"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000178127";"NDUFV2";"NADH:ubiquinone oxidoreductase core subunit V2";6433;0,17269866168499;"No"
"row_1";"ENSG00000204370";"SDHD";"succinate dehydrogenase complex subunit D";7023;0,111234910786152;"No"
"row_2";"ENSG00000189043";"NDUFA4";"NDUFA4 mitochondrial complex associated";7399;0,0765987634658813;"No"
"row_3";"ENSG00000140740";"UQCRC2";"ubiquinol-cytochrome c reductase core protein 2";7413;0,0756690055131912;"No"
"row_4";"ENSG00000139180";"NDUFA9";"NADH:ubiquinone oxidoreductase subunit A9";7701;0,0545729212462902;"No"
"row_5";"ENSG00000164182";"NDUFAF2";"NADH:ubiquinone oxidoreductase complex assembly factor 2";8975;0,00542242219671607;"No"
"row_6";"ENSG00000147684";"NDUFB9";"NADH:ubiquinone oxidoreductase subunit B9";9430;0,000325969507684931;"No"
"row_7";"ENSG00000179091";"CYC1";"cytochrome c1";9492;9,10423623281531e-05;"No"
"row_8";"ENSG00000109424";"UCP1";"uncoupling protein 1";9930;0;"No"
"row_9";"ENSG00000124172";"ATP5F1E";"ATP synthase F1 subunit epsilon";10154;0;"No"
"row_10";"ENSG00000133983";"COX16";"cytochrome c oxidase assembly factor COX16";10361;0;"No"
"row_11";"ENSG00000151366";"NDUFC2";"NADH:ubiquinone oxidoreductase subunit C2";10683;0;"No"
"row_12";"ENSG00000156885";"COX6A2";"cytochrome c oxidase subunit 6A2";10759;0;"No"
"row_13";"ENSG00000184983";"NDUFA6";"NADH:ubiquinone oxidoreductase subunit A6";12009;0;"No"
"row_14";"ENSG00000164258";"NDUFS4";"NADH:ubiquinone oxidoreductase subunit S4";27502;-1,94246240425855e-06;"No"
"row_15";"ENSG00000183513";"COA5";"cytochrome c oxidase assembly factor 5";28157;-0,00652197608724236;"No"
"row_16";"ENSG00000213619";"NDUFS3";"NADH:ubiquinone oxidoreductase core subunit S3";28648;-0,0195085275918245;"No"
"row_17";"ENSG00000145494";"NDUFS6";"NADH:ubiquinone oxidoreductase subunit S6";28908;-0,0278793629258871;"No"
"row_18";"ENSG00000169021";"UQCRFS1";"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1";29027;-0,0332955531775951;"No"
"row_19";"ENSG00000014919";"COX15";"cytochrome c oxidase assembly homolog COX15";29134;-0,0383390188217163;"No"
"row_20";"ENSG00000101247";"NDUFAF5";"NADH:ubiquinone oxidoreductase complex assembly factor 5";29532;-0,0610737726092339;"No"
"row_21";"ENSG00000130414";"NDUFA10";"NADH:ubiquinone oxidoreductase subunit A10";29585;-0,0638871639966965;"No"
"row_22";"ENSG00000152234";"ATP5F1A";"ATP synthase F1 subunit alpha";29695;-0,0707784816622734;"No"
"row_23";"ENSG00000073578";"SDHA";"succinate dehydrogenase complex flavoprotein subunit A";29720;-0,0729770883917809;"No"
