"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000124232";"RBPJL";"recombination signal binding protein for immunoglobulin kappa J region like";2204;3,02874088287354;"No"
"row_1";"ENSG00000148400";"NOTCH1";"notch receptor 1";3114;1,48888301849365;"No"
"row_2";"ENSG00000101384";"JAG1";"jagged canonical Notch ligand 1";5380;0,408279746770859;"No"
"row_3";"ENSG00000197921";"HES5";"hes family bHLH transcription factor 5";12491;0;"No"
"row_4";"ENSG00000198719";"DLL1";"delta like canonical Notch ligand 1";12548;0;"No"
"row_5";"ENSG00000204301";"NOTCH4";"notch receptor 4";13630;0;"No"
"row_6";"ENSG00000168214";"RBPJ";"recombination signal binding protein for immunoglobulin kappa J region";27617;-0,000297246559057385;"No"
"row_7";"ENSG00000141736";"ERBB2";"erb-b2 receptor tyrosine kinase 2";30403;-0,118439495563507;"No"
"row_8";"ENSG00000114315";"HES1";"hes family bHLH transcription factor 1";33187;-0,86256355047226;"No"
"row_9";"ENSG00000090932";"DLL3";"delta like canonical Notch ligand 3";33944;-1,14883863925934;"Yes"
"row_10";"ENSG00000037280";"FLT4";"fms related receptor tyrosine kinase 4";34484;-1,85112833976746;"Yes"
"row_11";"ENSG00000184916";"JAG2";"jagged canonical Notch ligand 2";35568;-5,58166074752808;"Yes"
"row_12";"ENSG00000163909";"HEYL";"hes related family bHLH transcription factor with YRPW motif like";36036;-12,9138631820679;"Yes"
"row_13";"ENSG00000128917";"DLL4";"delta like canonical Notch ligand 4";36195;-20,1982574462891;"Yes"
"row_14";"ENSG00000164683";"HEY1";"hes related family bHLH transcription factor with YRPW motif 1";36196;-20,2282295227051;"Yes"
"row_15";"ENSG00000135547";"HEY2";"hes related family bHLH transcription factor with YRPW motif 2";36348;-43,6772689819336;"Yes"
