"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000182890";"GLUD2";"glutamate dehydrogenase 2";2511;2,63756132125854;"No"
"row_1";"ENSG00000185015";"CA13";"carbonic anhydrase 13";2625;2,3168933391571;"No"
"row_2";"ENSG00000115419";"GLS";"glutaminase";4657;0,721478521823883;"No"
"row_3";"ENSG00000021826";"CPS1";"carbamoyl-phosphate synthase 1";5519;0,3686743080616;"No"
"row_4";"ENSG00000133742";"CA1";"carbonic anhydrase 1";6911;0,11443193256855;"No"
"row_5";"ENSG00000074410";"CA12";"carbonic anhydrase 12";8413;0,0210683457553387;"No"
"row_6";"ENSG00000070669";"ASNS";"asparagine synthetase (glutamine-hydrolyzing)";9643;0;"No"
"row_7";"ENSG00000107159";"CA9";"carbonic anhydrase 9";9896;0;"No"
"row_8";"ENSG00000131686";"CA6";"carbonic anhydrase 6";10322;0;"No"
"row_9";"ENSG00000174990";"CA5A";"carbonic anhydrase 5A";11457;0;"No"
"row_10";"ENSG00000116761";"CTH";"cystathionine gamma-lyase";28302;-0,00963495764881372;"No"
"row_11";"ENSG00000145020";"AMT";"aminomethyltransferase";28520;-0,0156442038714886;"No"
"row_12";"ENSG00000167434";"CA4";"carbonic anhydrase 4";29749;-0,0748182162642479;"No"
"row_13";"ENSG00000148672";"GLUD1";"glutamate dehydrogenase 1";30594;-0,138878718018532;"No"
"row_14";"ENSG00000168748";"CA7";"carbonic anhydrase 7";31129;-0,208202436566353;"No"
"row_15";"ENSG00000169239";"CA5B";"carbonic anhydrase 5B";32545;-0,548145890235901;"No"
"row_16";"ENSG00000118298";"CA14";"carbonic anhydrase 14";33095;-0,813521862030029;"No"
"row_17";"ENSG00000164879";"CA3";"carbonic anhydrase 3";33702;-0,950254142284393;"No"
"row_18";"ENSG00000135423";"GLS2";"glutaminase 2";35383;-4,663743019104;"Yes"
"row_19";"ENSG00000084110";"HAL";"histidine ammonia-lyase";36190;-19,8850402832031;"Yes"
"row_20";"ENSG00000178538";"CA8";"carbonic anhydrase 8";36244;-25,1142616271973;"Yes"
"row_21";"ENSG00000135821";"GLUL";"glutamate-ammonia ligase";36294;-33,0986557006836;"Yes"
"row_22";"ENSG00000104267";"CA2";"carbonic anhydrase 2";36295;-33,3264465332031;"Yes"
