"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000100448";"CTSG";"cathepsin G";3613;0,979648113250732;"No"
"row_1";"ENSG00000163751";"CPA3";"carboxypeptidase A3";3755;0,979648113250732;"No"
"row_2";"ENSG00000166825";"ANPEP";"alanyl aminopeptidase, membrane";4724;0,682169675827026;"No"
"row_3";"ENSG00000135744";"AGT";"angiotensinogen";5195;0,481890916824341;"No"
"row_4";"ENSG00000113441";"LNPEP";"leucyl and cystinyl aminopeptidase";6097;0,230720922350883;"No"
"row_5";"ENSG00000123213";"NLN";"neurolysin";7753;0,0511201545596123;"No"
"row_6";"ENSG00000064601";"CTSA";"cathepsin A";9095;0,00360902491956949;"No"
"row_7";"ENSG00000092009";"CMA1";"chymase 1";9725;0;"No"
"row_8";"ENSG00000130234";"ACE2";"angiotensin converting enzyme 2";10293;0;"No"
"row_9";"ENSG00000130368";"MAS1";"MAS1 proto-oncogene, G protein-coupled receptor";10296;0;"No"
"row_10";"ENSG00000143839";"REN";"renin";10549;0;"No"
"row_11";"ENSG00000144891";"AGTR1";"angiotensin II receptor type 1";10563;0;"No"
"row_12";"ENSG00000180772";"AGTR2";"angiotensin II receptor type 2";11761;0;"No"
"row_13";"ENSG00000172009";"THOP1";"thimet oligopeptidase 1";31416;-0,256136059761047;"No"
"row_14";"ENSG00000196549";"MME";"membrane metalloendopeptidase";35366;-4,50865793228149;"Yes"
"row_15";"ENSG00000159640";"ACE";"angiotensin I converting enzyme";35608;-6,10562944412231;"Yes"
"row_16";"ENSG00000138792";"ENPEP";"glutamyl aminopeptidase";36326;-38,9572525024414;"Yes"
