"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000110844";"PRPF40B";"pre-mRNA processing factor 40 homolog B";3303;1,24548494815826;"No"
"row_1";"ENSG00000109971";"HSPA8";"heat shock protein family A (Hsp70) member 8";4869;0,601096212863922;"No"
"row_2";"ENSG00000119707";"RBM25";"RNA binding motif protein 25";5167;0,488735139369965;"No"
"row_3";"ENSG00000021776";"AQR";"aquarius intron-binding spliceosomal factor";5683;0,312699526548386;"No"
"row_4";"ENSG00000136937";"NCBP1";"nuclear cap binding protein subunit 1";5689;0,310071021318436;"No"
"row_5";"ENSG00000173110";"HSPA6";"heat shock protein family A (Hsp70) member 6";5828;0,284513771533966;"No"
"row_6";"ENSG00000106245";"BUD31";"BUD31 homolog";6341;0,186927378177643;"No"
"row_7";"ENSG00000175467";"SART1";"spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP";6373;0,18216273188591;"No"
"row_8";"ENSG00000111196";"MAGOHB";"mago homolog B, exon junction complex subunit";6489;0,163861081004143;"No"
"row_9";"ENSG00000171566";"PLRG1";"pleiotropic regulator 1";6506;0,160723343491554;"No"
"row_10";"ENSG00000132792";"CTNNBL1";"catenin beta like 1";6667;0,14018440246582;"No"
"row_11";"ENSG00000124380";"SNRNP27";"small nuclear ribonucleoprotein U4/U6.U5 subunit 27";6716;0,135006293654442;"No"
"row_12";"ENSG00000100650";"SRSF5";"serine and arginine rich splicing factor 5";6747;0,131147176027298;"No"
"row_13";"ENSG00000143368";"SF3B4";"splicing factor 3b subunit 4";6883;0,116645589470863;"No"
"row_14";"ENSG00000167088";"SNRPD1";"small nuclear ribonucleoprotein D1 polypeptide";6984;0,114248439669609;"No"
"row_15";"ENSG00000160201";"U2AF1";"U2 small nuclear RNA auxiliary factor 1";7355;0,0805731117725372;"No"
"row_16";"ENSG00000100603";"SNW1";"SNW domain containing 1";7482;0,0697271525859833;"No"
"row_17";"ENSG00000116752";"BCAS2";"BCAS2 pre-mRNA processing factor";7641;0,0576521717011929;"No"
"row_18";"ENSG00000106355";"LSM5";"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated";7709;0,0540274754166603;"No"
"row_19";"ENSG00000143977";"SNRPG";"small nuclear ribonucleoprotein polypeptide G";7716;0,0535519458353519;"No"
"row_20";"ENSG00000136875";"PRPF4";"pre-mRNA splicing tri-snRNP complex factor PRPF4";7726;0,0528113171458244;"No"
"row_21";"ENSG00000160799";"CCDC12";"coiled-coil domain containing 12";7776;0,0500644966959953;"No"
"row_22";"ENSG00000079134";"THOC1";"THO complex subunit 1";7918;0,0428679548203945;"No"
"row_23";"ENSG00000124193";"SRSF6";"serine and arginine rich splicing factor 6";8078;0,0351429916918278;"No"
"row_24";"ENSG00000171960";"PPIH";"peptidylprolyl isomerase H";8117;0,0333153009414673;"No"
"row_25";"ENSG00000108654";"DDX5";"DEAD-box helicase 5";8133;0,0324643962085247;"No"
"row_26";"ENSG00000125870";"SNRPB2";"small nuclear ribonucleoprotein polypeptide B2";8140;0,0319741331040859;"No"
"row_27";"ENSG00000087365";"SF3B2";"splicing factor 3b subunit 2";8206;0,0286481119692326;"No"
"row_28";"ENSG00000101343";"CRNKL1";"crooked neck pre-mRNA splicing factor 1";8207;0,0286011975258589;"No"
"row_29";"ENSG00000198231";"DDX42";"DEAD-box helicase 42";8416;0,0209245085716248;"No"
"row_30";"ENSG00000150316";"CWC15";"CWC15 spliceosome associated protein homolog";8503;0,0169030260294676;"No"
"row_31";"ENSG00000164167";"LSM6";"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated";8577;0,0147633384913206;"No"
"row_32";"ENSG00000136450";"SRSF1";"serine and arginine rich splicing factor 1";8592;0,0143215097486973;"No"
"row_33";"ENSG00000164548";"TRA2A";"transformer 2 alpha homolog";8620;0,0134617602452636;"No"
"row_34";"ENSG00000165119";"HNRNPK";"heterogeneous nuclear ribonucleoprotein K";9108;0,00344597711227834;"No"
"row_35";"ENSG00000265241";"RBM8A";"RNA binding motif protein 8A";9117;0,00328382267616689;"No"
"row_36";"ENSG00000179950";"PUF60";"poly(U) binding splicing factor 60";9169;0,00254676840268075;"No"
"row_37";"ENSG00000165630";"PRPF18";"pre-mRNA processing factor 18";9221;0,00192788685671985;"No"
"row_38";"ENSG00000110107";"PRPF19";"pre-mRNA processing factor 19";9335;0,000890952360350639;"No"
"row_39";"ENSG00000101161";"PRPF6";"pre-mRNA processing factor 6";9438;0,000282083463389426;"No"
"row_40";"ENSG00000134453";"RBM17";"RNA binding motif protein 17";9542;4,92712933919393e-06;"No"
"row_41";"ENSG00000144028";"SNRNP200";"small nuclear ribonucleoprotein U5 subunit 200";9554;2,65000341670429e-08;"No"
