"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000156261";"CCT8";"chaperonin containing TCP1 subunit 8";6286;0,427870780229568;"No"
"row_1";"ENSG00000150753";"CCT5";"chaperonin containing TCP1 subunit 5";8504;0,0489563122391701;"No"
"row_2";"ENSG00000130826";"DKC1";"dyskerin pseudouridine synthase 1";8693;0,0373388007283211;"No"
"row_3";"ENSG00000146731";"CCT6A";"chaperonin containing TCP1 subunit 6A";8970;0,0244994610548019;"No"
"row_4";"ENSG00000166226";"CCT2";"chaperonin containing TCP1 subunit 2";9343;0,0118668777868152;"No"
"row_5";"ENSG00000145414";"NAF1";"nuclear assembly factor 1 ribonucleoprotein";9349;0,01171266566962;"No"
"row_6";"ENSG00000175792";"RUVBL1";"RuvB like AAA ATPase 1";9965;0,000659089942928404;"No"
"row_7";"ENSG00000270141";"TERC";"telomerase RNA component";25451;0;"No"
"row_8";"ENSG00000115484";"CCT4";"chaperonin containing TCP1 subunit 4";28373;-0,000369674264220521;"No"
"row_9";"ENSG00000109534";"GAR1";"GAR1 ribonucleoprotein";28529;-0,00147830892819911;"No"
"row_10";"ENSG00000145912";"NHP2";"NHP2 ribonucleoprotein";28730;-0,00399465067312121;"No"
"row_11";"ENSG00000132141";"CCT6B";"chaperonin containing TCP1 subunit 6B";29437;-0,0236361995339394;"No"
"row_12";"ENSG00000163468";"CCT3";"chaperonin containing TCP1 subunit 3";30144;-0,0620031207799911;"No"
"row_13";"ENSG00000120438";"TCP1";"t-complex 1";30172;-0,063688650727272;"No"
"row_14";"ENSG00000135624";"CCT7";"chaperonin containing TCP1 subunit 7";30349;-0,0770585760474205;"No"
"row_15";"ENSG00000141499";"WRAP53";"WD repeat containing antisense to TP53";30597;-0,0997337326407433;"No"
"row_16";"ENSG00000182117";"NOP10";"NOP10 ribonucleoprotein";31728;-0,256094455718994;"No"
"row_17";"ENSG00000183207";"RUVBL2";"RuvB like AAA ATPase 2";32220;-0,367638856172562;"Yes"
"row_18";"ENSG00000164362";"TERT";"telomerase reverse transcriptase";36291;-48,677619934082;"Yes"
