"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000213619";"NDUFS3";"NADH:ubiquinone oxidoreductase core subunit S3";8118;0,0788992866873741;"No"
"row_1";"ENSG00000139180";"NDUFA9";"NADH:ubiquinone oxidoreductase subunit A9";8898;0,0275864973664284;"No"
"row_2";"ENSG00000164182";"NDUFAF2";"NADH:ubiquinone oxidoreductase complex assembly factor 2";8933;0,0260851662606001;"No"
"row_3";"ENSG00000169021";"UQCRFS1";"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1";9445;0,00904767122119665;"No"
"row_4";"ENSG00000164258";"NDUFS4";"NADH:ubiquinone oxidoreductase subunit S4";9578;0,00611891550943255;"No"
"row_5";"ENSG00000204370";"SDHD";"succinate dehydrogenase complex subunit D";9598;0,00574235571548343;"No"
"row_6";"ENSG00000124172";"ATP5F1E";"ATP synthase F1 subunit epsilon";10730;0;"No"
"row_7";"ENSG00000133983";"COX16";"cytochrome c oxidase assembly factor COX16";10954;0;"No"
"row_8";"ENSG00000151366";"NDUFC2";"NADH:ubiquinone oxidoreductase subunit C2";11286;0;"No"
"row_9";"ENSG00000156885";"COX6A2";"cytochrome c oxidase subunit 6A2";11358;0;"No"
"row_10";"ENSG00000178127";"NDUFV2";"NADH:ubiquinone oxidoreductase core subunit V2";28295;-0,000105572435131762;"No"
"row_11";"ENSG00000179091";"CYC1";"cytochrome c1";28470;-0,0010251683415845;"No"
"row_12";"ENSG00000189043";"NDUFA4";"NDUFA4 mitochondrial complex associated";28540;-0,00159948074724525;"No"
"row_13";"ENSG00000117118";"SDHB";"succinate dehydrogenase complex iron sulfur subunit B";28675;-0,00314249191433191;"No"
"row_14";"ENSG00000224877";"NDUFAF8";"NADH:ubiquinone oxidoreductase complex assembly factor 8";28799;-0,00519829336553812;"No"
"row_15";"ENSG00000145494";"NDUFS6";"NADH:ubiquinone oxidoreductase subunit S6";28880;-0,00686692679300904;"No"
"row_16";"ENSG00000137806";"NDUFAF1";"NADH:ubiquinone oxidoreductase complex assembly factor 1";29020;-0,0102558853104711;"No"
"row_17";"ENSG00000203667";"COX20";"cytochrome c oxidase assembly factor COX20";29493;-0,0262131076306105;"No"
"row_18";"ENSG00000147684";"NDUFB9";"NADH:ubiquinone oxidoreductase subunit B9";29596;-0,0304633621126413;"No"
"row_19";"ENSG00000184983";"NDUFA6";"NADH:ubiquinone oxidoreductase subunit A6";29871;-0,0440829992294312;"No"
"row_20";"ENSG00000119013";"NDUFB3";"NADH:ubiquinone oxidoreductase subunit B3";30424;-0,0836892649531364;"No"
"row_21";"ENSG00000164405";"UQCRQ";"ubiquinol-cytochrome c reductase complex III subunit VII";30437;-0,0844276994466782;"No"
"row_22";"ENSG00000131495";"NDUFA2";"NADH:ubiquinone oxidoreductase subunit A2";30902;-0,126507475972176;"No"
"row_23";"ENSG00000143252";"SDHC";"succinate dehydrogenase complex subunit C";31132;-0,159115374088287;"Yes"
"row_24";"ENSG00000176340";"COX8A";"cytochrome c oxidase subunit 8A";31184;-0,166572421789169;"Yes"
"row_25";"ENSG00000156467";"UQCRB";"ubiquinol-cytochrome c reductase binding protein";31304;-0,184772953391075;"Yes"
"row_26";"ENSG00000147123";"NDUFB11";"NADH:ubiquinone oxidoreductase subunit B11";31349;-0,189978837966919;"Yes"
"row_27";"ENSG00000109424";"UCP1";"uncoupling protein 1";31389;-0,196891874074936;"Yes"
"row_28";"ENSG00000183513";"COA5";"cytochrome c oxidase assembly factor 5";31429;-0,202600061893463;"Yes"
"row_29";"ENSG00000241837";"ATP5PO";"ATP synthase peripheral stalk subunit OSCP";31605;-0,235919430851936;"Yes"
"row_30";"ENSG00000123545";"NDUFAF4";"NADH:ubiquinone oxidoreductase complex assembly factor 4";31615;-0,237686932086945;"Yes"
"row_31";"ENSG00000006695";"COX10";"cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10";31626;-0,239839270710945;"Yes"
"row_32";"ENSG00000156170";"NDUFAF6";"NADH:ubiquinone oxidoreductase complex assembly factor 6";31629;-0,240129455924034;"Yes"
"row_33";"ENSG00000167792";"NDUFV1";"NADH:ubiquinone oxidoreductase core subunit V1";31932;-0,295841664075851;"Yes"
"row_34";"ENSG00000023228";"NDUFS1";"NADH:ubiquinone oxidoreductase core subunit S1";31981;-0,30663737654686;"Yes"
"row_35";"ENSG00000178449";"COX14";"cytochrome c oxidase assembly factor COX14";32096;-0,33343181014061;"Yes"
"row_36";"ENSG00000178741";"COX5A";"cytochrome c oxidase subunit 5A";32101;-0,334348529577255;"Yes"
"row_37";"ENSG00000014919";"COX15";"cytochrome c oxidase assembly homolog COX15";32168;-0,356251835823059;"Yes"
"row_38";"ENSG00000130414";"NDUFA10";"NADH:ubiquinone oxidoreductase subunit A10";32226;-0,370750546455383;"Yes"
"row_39";"ENSG00000152234";"ATP5F1A";"ATP synthase F1 subunit alpha";32238;-0,377218753099442;"Yes"
"row_40";"ENSG00000110717";"NDUFS8";"NADH:ubiquinone oxidoreductase core subunit S8";32310;-0,398090094327927;"Yes"
"row_41";"ENSG00000073578";"SDHA";"succinate dehydrogenase complex flavoprotein subunit A";32447;-0,442414999008179;"Yes"
"row_42";"ENSG00000184752";"NDUFA12";"NADH:ubiquinone oxidoreductase subunit A12";32720;-0,529100477695465;"Yes"
"row_43";"ENSG00000115286";"NDUFS7";"NADH:ubiquinone oxidoreductase core subunit S7";33061;-0,693628370761871;"Yes"
"row_44";"ENSG00000166136";"NDUFB8";"NADH:ubiquinone oxidoreductase subunit B8";33069;-0,699056029319763;"Yes"
"row_45";"ENSG00000158864";"NDUFS2";"NADH:ubiquinone oxidoreductase core subunit S2";33258;-0,827088713645935;"Yes"
"row_46";"ENSG00000140990";"NDUFB10";"NADH:ubiquinone oxidoreductase subunit B10";33259;-0,8272305727005;"Yes"
"row_47";"ENSG00000119421";"NDUFA8";"NADH:ubiquinone oxidoreductase subunit A8";33402;-0,92771965265274;"Yes"
"row_48";"ENSG00000101247";"NDUFAF5";"NADH:ubiquinone oxidoreductase complex assembly factor 5";33773;-0,974498808383942;"Yes"
"row_49";"ENSG00000174886";"NDUFA11";"NADH:ubiquinone oxidoreductase subunit A11";33775;-0,976904094219208;"Yes"
"row_50";"ENSG00000126267";"COX6B1";"cytochrome c oxidase subunit 6B1";33824;-1,02650952339172;"Yes"
