"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000185386";"MAPK11";"mitogen-activated protein kinase 11";1761;10,7018775939941;"No"
"row_1";"ENSG00000109339";"MAPK10";"mitogen-activated protein kinase 10";2100;7,85142993927002;"No"
"row_2";"ENSG00000101695";"RNF125";"ring finger protein 125";4036;1,69736814498901;"No"
"row_3";"ENSG00000083799";"CYLD";"CYLD lysine 63 deubiquitinase";4047;1,66659045219421;"No"
"row_4";"ENSG00000107643";"MAPK8";"mitogen-activated protein kinase 8";4073;1,62918078899384;"No"
"row_5";"ENSG00000185507";"IRF7";"interferon regulatory factor 7";6380;0,405101448297501;"No"
"row_6";"ENSG00000175104";"TRAF6";"TNF receptor associated factor 6";6827;0,272900104522705;"No"
"row_7";"ENSG00000198933";"TBKBP1";"TBK1 binding protein 1";7140;0,209830269217491;"No"
"row_8";"ENSG00000137275";"RIPK1";"receptor interacting serine/threonine kinase 1";7214;0,196231305599213;"No"
"row_9";"ENSG00000052723";"SIKE1";"suppressor of IKBKE 1";7290;0,18548546731472;"No"
"row_10";"ENSG00000215301";"DDX3X";"DEAD-box helicase 3 X-linked";7520;0,146276220679283;"No"
"row_11";"ENSG00000145782";"ATG12";"autophagy related 12";7882;0,0985872000455856;"No"
"row_12";"ENSG00000168040";"FADD";"Fas associated via death domain";8176;0,0732333064079285;"No"
"row_13";"ENSG00000131323";"TRAF3";"TNF receptor associated factor 3";8279;0,0642398446798325;"No"
"row_14";"ENSG00000183735";"TBK1";"TANK binding kinase 1";8572;0,044283539056778;"No"
"row_15";"ENSG00000109320";"NFKB1";"nuclear factor kappa B subunit 1";9153;0,0174865107983351;"No"
"row_16";"ENSG00000213341";"CHUK";"component of inhibitor of nuclear factor kappa B kinase complex";9318;0,0126268723979592;"No"
"row_17";"ENSG00000173039";"RELA";"RELA proto-oncogene, NF-kB subunit";9327;0,0122975092381239;"No"
"row_18";"ENSG00000050748";"MAPK9";"mitogen-activated protein kinase 9";9406;0,0101030925288796;"No"
"row_19";"ENSG00000057663";"ATG5";"autophagy related 5";9576;0,00620174501091242;"No"
"row_20";"ENSG00000104825";"NFKBIB";"NFKB inhibitor beta";9637;0,00503314286470413;"No"
"row_21";"ENSG00000163512";"AZI2";"5-azacytidine induced 2";10093;9,1880741820205e-05;"No"
"row_22";"ENSG00000113302";"IL12B";"interleukin 12B";10573;0;"No"
"row_23";"ENSG00000120235";"IFNA6";"interferon alpha 6";10652;0;"No"
"row_24";"ENSG00000120242";"IFNA8";"interferon alpha 8";10653;0;"No"
"row_25";"ENSG00000137080";"IFNA21";"interferon alpha 21";11035;0;"No"
"row_26";"ENSG00000147873";"IFNA5";"interferon alpha 5";11233;0;"No"
"row_27";"ENSG00000147885";"IFNA16";"interferon alpha 16";11235;0;"No"
"row_28";"ENSG00000147896";"IFNK";"interferon kappa";11236;0;"No"
"row_29";"ENSG00000168811";"IL12A";"interleukin 12A";11759;0;"No"
"row_30";"ENSG00000169245";"CXCL10";"C-X-C motif chemokine ligand 10";11781;0;"No"
"row_31";"ENSG00000171855";"IFNB1";"interferon beta 1";11917;0;"No"
"row_32";"ENSG00000177047";"IFNW1";"interferon omega 1";12168;0;"No"
"row_33";"ENSG00000184584";"STING1";"stimulator of interferon response cGAMP interactor 1";12606;0;"No"
"row_34";"ENSG00000184995";"IFNE";"interferon epsilon";12631;0;"No"
"row_35";"ENSG00000186803";"IFNA10";"interferon alpha 10";12763;0;"No"
"row_36";"ENSG00000188379";"IFNA2";"interferon alpha 2";12881;0;"No"
"row_37";"ENSG00000197919";"IFNA1";"interferon alpha 1";13106;0;"No"
"row_38";"ENSG00000214042";"IFNA7";"interferon alpha 7";15955;0;"No"
"row_39";"ENSG00000228083";"IFNA14";"interferon alpha 14";17956;0;"No"
