"KEGG_ID";"Description";"Gene_Ratio";"BgRatio";"pvalue";"padj";"gene_id";"gene_name";"kegg_id";"count"
"hsa04610";"Complement and coagulation cascades";"22/266";"86/8567";8,09378168453874e-15;2,35529047020077e-12;"ENSG00000009724/ENSG00000057593/ENSG00000088926/ENSG00000106804/ENSG00000109072/ENSG00000115718/ENSG00000117601/ENSG00000123838/ENSG00000123843/ENSG00000125730/ENSG00000126218/ENSG00000165471/ENSG00000167711/ENSG00000171557/ENSG00000171560/ENSG00000171564/ENSG00000176919/ENSG00000180210/ENSG00000188488/ENSG00000197249/ENSG00000198734/ENSG00000205403";"MASP2/F7/F11/C5/VTN/PROC/SERPINC1/C4BPA/C4BPB/C3/F10/MBL2/SERPINF2/FGG/FGA/FGB/C8G/F2/SERPINA5/SERPINA1/F5/CFI";"hsa:10747/hsa:2155/hsa:2160/hsa:727/hsa:7448/hsa:5624/hsa:462/hsa:722/hsa:725/hsa:718/hsa:2159/hsa:4153/hsa:5345/hsa:2266/hsa:2243/hsa:2244/hsa:733/hsa:2147/hsa:5104/hsa:5265/hsa:2153/hsa:3426";22
"hsa04979";"Cholesterol metabolism";"15/266";"51/8567";1,90070046503328e-11;2,76551917662342e-09;"ENSG00000084674/ENSG00000091583/ENSG00000100979/ENSG00000110244/ENSG00000110245/ENSG00000118137/ENSG00000130203/ENSG00000130208/ENSG00000135929/ENSG00000143921/ENSG00000147465/ENSG00000158874/ENSG00000165029/ENSG00000167780/ENSG00000169174";"APOB/APOH/PLTP/APOA4/APOC3/APOA1/APOE/APOC1/CYP27A1/ABCG8/STAR/APOA2/ABCA1/SOAT2/PCSK9";"hsa:338/hsa:350/hsa:5360/hsa:337/hsa:345/hsa:335/hsa:348/hsa:341/hsa:1593/hsa:64241/hsa:6770/hsa:336/hsa:19/hsa:8435/hsa:255738";15
"hsa04975";"Fat digestion and absorption";"12/266";"43/8567";4,08013597310458e-09;3,95773189391144e-07;"ENSG00000015520/ENSG00000084674/ENSG00000106384/ENSG00000110244/ENSG00000118137/ENSG00000138308/ENSG00000138823/ENSG00000143921/ENSG00000163586/ENSG00000165029/ENSG00000166391/ENSG00000188257";"NPC1L1/APOB/MOGAT3/APOA4/APOA1/PLA2G12B/MTTP/ABCG8/FABP1/ABCA1/MOGAT2/PLA2G2A";"hsa:29881/hsa:338/hsa:346606/hsa:337/hsa:335/hsa:84647/hsa:4547/hsa:64241/hsa:2168/hsa:19/hsa:80168/hsa:5320";12
"hsa04518";"Integrin signaling";"15/266";"154/8567";8,31951959698041e-05;0,00605245050680325;"ENSG00000005844/ENSG00000039068/ENSG00000090339/ENSG00000092758/ENSG00000105371/ENSG00000105664/ENSG00000109072/ENSG00000118785/ENSG00000125730/ENSG00000164946/ENSG00000168743/ENSG00000171557/ENSG00000171560/ENSG00000171564/ENSG00000189056";"ITGAL/CDH1/ICAM1/COL9A3/ICAM4/COMP/VTN/SPP1/C3/FREM1/NPNT/FGG/FGA/FGB/RELN";"hsa:3683/hsa:999/hsa:3383/hsa:1299/hsa:3386/hsa:1311/hsa:7448/hsa:6696/hsa:718/hsa:158326/hsa:255743/hsa:2266/hsa:2243/hsa:2244/hsa:5649";15
"hsa03320";"PPAR signaling pathway";"10/266";"76/8567";0,000110095761601837;0,00640757332522692;"ENSG00000100979/ENSG00000110090/ENSG00000110243/ENSG00000110245/ENSG00000118137/ENSG00000135929/ENSG00000158874/ENSG00000163586/ENSG00000168306/ENSG00000197142";"PLTP/CPT1A/APOA5/APOC3/APOA1/CYP27A1/APOA2/FABP1/ACOX2/ACSL5";"hsa:5360/hsa:1374/hsa:116519/hsa:345/hsa:335/hsa:1593/hsa:336/hsa:2168/hsa:8309/hsa:51703";10
"hsa00670";"One carbon pool by folate";"6/266";"38/8567";0,00101313747733304;0,0491371676506524;"ENSG00000016391/ENSG00000132837/ENSG00000132840/ENSG00000151224/ENSG00000160282/ENSG00000178445";"CHDH/DMGDH/BHMT2/MAT1A/FTCD/GLDC";"hsa:55349/hsa:29958/hsa:23743/hsa:4143/hsa:10841/hsa:2731";6
"hsa00120";"Primary bile acid biosynthesis";"4/266";"17/8567";0,0015709562038171;0,065306893615825;"ENSG00000099377/ENSG00000122787/ENSG00000135929/ENSG00000168306";"HSD3B7/AKR1D1/CYP27A1/ACOX2";"hsa:80270/hsa:6718/hsa:1593/hsa:8309";4
"hsa05150";"Staphylococcus aureus infection";"9/266";"92/8567";0,00214242596674996;0,0725608749808501;"ENSG00000005844/ENSG00000009724/ENSG00000090339/ENSG00000106804/ENSG00000125730/ENSG00000165471/ENSG00000171345/ENSG00000171557/ENSG00000205403";"ITGAL/MASP2/ICAM1/C5/C3/MBL2/KRT19/FGG/CFI";"hsa:3683/hsa:10747/hsa:3383/hsa:727/hsa:718/hsa:4153/hsa:3880/hsa:2266/hsa:3426";9
"hsa00630";"Glyoxylate and dicarboxylate metabolism";"5/266";"31/8567";0,00243515471373202;0,0725608749808501;"ENSG00000135821/ENSG00000154930/ENSG00000172482/ENSG00000178445/ENSG00000241935";"GLUL/ACSS1/AGXT/GLDC/HOGA1";"hsa:2752/hsa:84532/hsa:189/hsa:2731/hsa:112817";5
"hsa02010";"ABC transporters";"6/266";"45/8567";0,00249350085844846;0,0725608749808501;"ENSG00000023839/ENSG00000091262/ENSG00000115657/ENSG00000121270/ENSG00000143921/ENSG00000165029";"ABCC2/ABCC6/ABCB6/ABCC11/ABCG8/ABCA1";"hsa:1244/hsa:368/hsa:10058/hsa:85320/hsa:64241/hsa:19";6
