"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000100385";"IL2RB";"interleukin 2 receptor subunit beta";42;64,9044723510742;"Yes"
"row_1";"ENSG00000168610";"STAT3";"signal transducer and activator of transcription 3";296;31,0837059020996;"Yes"
"row_2";"ENSG00000173757";"STAT5B";"signal transducer and activator of transcription 5B";317;29,9965763092041;"Yes"
"row_3";"ENSG00000126561";"STAT5A";"signal transducer and activator of transcription 5A";1072;9,46918296813965;"Yes"
"row_4";"ENSG00000168685";"IL7R";"interleukin 7 receptor";1219;8,47871208190918;"Yes"
"row_5";"ENSG00000134460";"IL2RA";"interleukin 2 receptor subunit alpha";1699;4,86845111846924;"Yes"
"row_6";"ENSG00000136244";"IL6";"interleukin 6";2977;1,78117072582245;"No"
"row_7";"ENSG00000113525";"IL5";"interleukin 5";3621;0,974733531475067;"No"
"row_8";"ENSG00000164136";"IL15";"interleukin 15";4789;0,674725532531738;"No"
"row_9";"ENSG00000100368";"CSF2RB";"colony stimulating factor 2 receptor subunit beta";5963;0,274474531412125;"No"
"row_10";"ENSG00000027697";"IFNGR1";"interferon gamma receptor 1";6020;0,26567006111145;"No"
"row_11";"ENSG00000134352";"IL6ST";"interleukin 6 cytokine family signal transducer";6351;0,208822563290596;"No"
"row_12";"ENSG00000166888";"STAT6";"signal transducer and activator of transcription 6";6953;0,125368386507034;"No"
"row_13";"ENSG00000137193";"PIM1";"Pim-1 proto-oncogene, serine/threonine kinase";7299;0,0926554650068283;"No"
"row_14";"ENSG00000104432";"IL7";"interleukin 7";7396;0,0841902494430542;"No"
"row_15";"ENSG00000110944";"IL23A";"interleukin 23 subunit alpha";7564;0,0706606954336166;"No"
"row_16";"ENSG00000159128";"IFNGR2";"interferon gamma receptor 2";8554;0,0188446827232838;"No"
"row_17";"ENSG00000091181";"IL5RA";"interleukin 5 receptor subunit alpha";9822;0;"No"
"row_18";"ENSG00000096996";"IL12RB1";"interleukin 12 receptor subunit beta 1";9849;0;"No"
"row_19";"ENSG00000109471";"IL2";"interleukin 2";10051;0;"No"
"row_20";"ENSG00000111537";"IFNG";"interferon gamma";10078;0;"No"
"row_21";"ENSG00000113302";"IL12B";"interleukin 12B";10120;0;"No"
"row_22";"ENSG00000113520";"IL4";"interleukin 4";10122;0;"No"
"row_23";"ENSG00000130427";"EPO";"erythropoietin";10430;0;"No"
"row_24";"ENSG00000147168";"IL2RG";"interleukin 2 receptor subunit gamma";10774;0;"No"
"row_25";"ENSG00000164399";"IL3";"interleukin 3";11137;0;"No"
"row_26";"ENSG00000168811";"IL12A";"interleukin 12A";11329;0;"No"
"row_27";"ENSG00000169194";"IL13";"interleukin 13";11344;0;"No"
"row_28";"ENSG00000142166";"IFNAR1";"interferon alpha and beta receptor subunit 1";27883;-0,000162580181495287;"No"
"row_29";"ENSG00000162434";"JAK1";"Janus kinase 1";27892;-0,000207957942620851;"No"
"row_30";"ENSG00000170581";"STAT2";"signal transducer and activator of transcription 2";28047;-0,0010521475924179;"No"
"row_31";"ENSG00000077238";"IL4R";"interleukin 4 receptor";28163;-0,00212113466113806;"No"
"row_32";"ENSG00000159110";"IFNAR2";"interferon alpha and beta receptor subunit 2";28555;-0,0078372536227107;"No"
"row_33";"ENSG00000115415";"STAT1";"signal transducer and activator of transcription 1";29930;-0,0635154843330383;"No"
"row_34";"ENSG00000131724";"IL13RA1";"interleukin 13 receptor subunit alpha 1";30328;-0,0907559916377068;"No"
"row_35";"ENSG00000096968";"JAK2";"Janus kinase 2";31088;-0,166634976863861;"No"
"row_36";"ENSG00000105639";"JAK3";"Janus kinase 3";31321;-0,199679359793663;"No"
"row_37";"ENSG00000081985";"IL12RB2";"interleukin 12 receptor subunit beta 2";31772;-0,277178585529327;"No"
"row_38";"ENSG00000138378";"STAT4";"signal transducer and activator of transcription 4";32665;-0,525700092315674;"No"
"row_39";"ENSG00000162594";"IL23R";"interleukin 23 receptor";33500;-0,939889788627625;"No"
"row_40";"ENSG00000185291";"IL3RA";"interleukin 3 receptor subunit alpha";33555;-0,939889788627625;"No"
"row_41";"ENSG00000197919";"IFNA1";"interferon alpha 1";33579;-0,939889788627625;"No"
"row_42";"ENSG00000160712";"IL6R";"interleukin 6 receptor";34444;-1,59387302398682;"No"
"row_43";"ENSG00000134470";"IL15RA";"interleukin 15 receptor subunit alpha";34471;-1,62852597236633;"No"
"row_44";"ENSG00000187266";"EPOR";"erythropoietin receptor";35206;-3,17681217193604;"No"
