"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000196616";"ADH1B";"alcohol dehydrogenase 1B (class I), beta polypeptide";790;13,6343021392822;"No"
"row_1";"ENSG00000136872";"ALDOB";"aldolase, fructose-bisphosphate B";1040;9,81092929840088;"No"
"row_2";"ENSG00000166796";"LDHC";"lactate dehydrogenase C";2011;3,87182998657227;"No"
"row_3";"ENSG00000111275";"ALDH2";"aldehyde dehydrogenase 2 family member";2152;3,20681238174438;"No"
"row_4";"ENSG00000106633";"GCK";"glucokinase";3608;0,974733531475067;"No"
"row_5";"ENSG00000124253";"PCK1";"phosphoenolpyruvate carboxykinase 1";3650;0,974733531475067;"No"
"row_6";"ENSG00000160883";"HK3";"hexokinase 3";3744;0,974733531475067;"No"
"row_7";"ENSG00000169299";"PGM2";"phosphoglucomutase 2";4997;0,559069037437439;"No"
"row_8";"ENSG00000137124";"ALDH1B1";"aldehyde dehydrogenase 1 family member B1";5188;0,485830277204514;"No"
"row_9";"ENSG00000108515";"ENO3";"enolase 3";5202;0,482431560754776;"No"
"row_10";"ENSG00000164708";"PGAM2";"phosphoglycerate mutase 2";5456;0,402165114879608;"No"
"row_11";"ENSG00000111674";"ENO2";"enolase 2";6054;0,258384019136429;"No"
"row_12";"ENSG00000164904";"ALDH7A1";"aldehyde dehydrogenase 7 family member A1";6277;0,216610848903656;"No"
"row_13";"ENSG00000111716";"LDHB";"lactate dehydrogenase B";7224;0,100736990571022;"No"
"row_14";"ENSG00000197894";"ADH5";"alcohol dehydrogenase 5 (class III), chi polypeptide";8923;0,0083099938929081;"No"
"row_15";"ENSG00000006534";"ALDH3B1";"aldehyde dehydrogenase 3 family member B1";8968;0,00715202465653419;"No"
"row_16";"ENSG00000067225";"PKM";"pyruvate kinase M1/2";9629;1,13515443445067e-05;"No"
"row_17";"ENSG00000100889";"PCK2";"phosphoenolpyruvate carboxykinase 2, mitochondrial";9886;0;"No"
"row_18";"ENSG00000131482";"G6PC1";"glucose-6-phosphatase catalytic subunit 1";10452;0;"No"
"row_19";"ENSG00000132746";"ALDH3B2";"aldehyde dehydrogenase 3 family member B2";10476;0;"No"
"row_20";"ENSG00000143627";"PKLR";"pyruvate kinase L/R";10701;0;"No"
"row_21";"ENSG00000152254";"G6PC2";"glucose-6-phosphatase catalytic subunit 2";10853;0;"No"
"row_22";"ENSG00000163114";"PDHA2";"pyruvate dehydrogenase E1 subunit alpha 2";11066;0;"No"
"row_23";"ENSG00000170950";"PGK2";"phosphoglycerate kinase 2";11433;0;"No"
"row_24";"ENSG00000171989";"LDHAL6B";"lactate dehydrogenase A like 6B";11497;0;"No"
"row_25";"ENSG00000172955";"ADH6";"alcohol dehydrogenase 6 (class V)";11557;0;"No"
"row_26";"ENSG00000187758";"ADH1A";"alcohol dehydrogenase 1A (class I), alpha polypeptide";12410;0;"No"
"row_27";"ENSG00000196344";"ADH7";"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide";12567;0;"No"
"row_28";"ENSG00000198099";"ADH4";"alcohol dehydrogenase 4 (class II), pi polypeptide";12702;0;"No"
"row_29";"ENSG00000226784";"PGAM4";"phosphoglycerate mutase family member 4";17287;0;"No"
"row_30";"ENSG00000248144";"ADH1C";"alcohol dehydrogenase 1C (class I), gamma polypeptide";21153;0;"No"
"row_31";"ENSG00000150768";"DLAT";"dihydrolipoamide S-acetyltransferase";27820;-3,69669287465513e-05;"No"
"row_32";"ENSG00000130957";"FBP2";"fructose-bisphosphatase 2";27951;-0,000528247037436813;"No"
"row_33";"ENSG00000111640";"GAPDH";"glyceraldehyde-3-phosphate dehydrogenase";28983;-0,0189492478966713;"No"
"row_34";"ENSG00000091140";"DLD";"dihydrolipoamide dehydrogenase";29106;-0,0232840199023485;"No"
"row_35";"ENSG00000168291";"PDHB";"pyruvate dehydrogenase E1 subunit beta";29376;-0,0332716666162014;"No"
"row_36";"ENSG00000117448";"AKR1A1";"aldo-keto reductase family 1 member A1";29395;-0,0342869907617569;"No"
"row_37";"ENSG00000111669";"TPI1";"triosephosphate isomerase 1";29605;-0,0446338914334774;"No"
"row_38";"ENSG00000074800";"ENO1";"enolase 1";29705;-0,0508898720145226;"No"
"row_39";"ENSG00000143149";"ALDH9A1";"aldehyde dehydrogenase 9 family member A1";30522;-0,107744388282299;"No"
"row_40";"ENSG00000141959";"PFKL";"phosphofructokinase, liver type";30874;-0,142097666859627;"No"
"row_41";"ENSG00000166800";"LDHAL6A";"lactate dehydrogenase A like 6A";31064;-0,163398578763008;"No"
"row_42";"ENSG00000105220";"GPI";"glucose-6-phosphate isomerase";31404;-0,212274938821793;"No"
"row_43";"ENSG00000134333";"LDHA";"lactate dehydrogenase A";32159;-0,381265044212341;"No"
"row_44";"ENSG00000159399";"HK2";"hexokinase 2";32173;-0,384378582239151;"No"
"row_45";"ENSG00000171314";"PGAM1";"phosphoglycerate mutase 1";32609;-0,499758452177048;"No"
"row_46";"ENSG00000156515";"HK1";"hexokinase 1";32646;-0,515909850597382;"No"
"row_47";"ENSG00000067057";"PFKP";"phosphofructokinase, platelet";32726;-0,548712730407715;"No"
"row_48";"ENSG00000152556";"PFKM";"phosphofructokinase, muscle";33063;-0,716603219509125;"No"
"row_49";"ENSG00000149925";"ALDOA";"aldolase, fructose-bisphosphate A";33204;-0,798632442951202;"No"
"row_50";"ENSG00000079739";"PGM1";"phosphoglucomutase 1";33254;-0,833105027675629;"No"
"row_51";"ENSG00000102144";"PGK1";"phosphoglycerate kinase 1";33808;-0,950952410697937;"No"
"row_52";"ENSG00000172331";"BPGM";"bisphosphoglycerate mutase";33870;-0,997394979000092;"No"
"row_53";"ENSG00000131828";"PDHA1";"pyruvate dehydrogenase E1 subunit alpha 1";34130;-1,20526444911957;"No"
"row_54";"ENSG00000072210";"ALDH3A2";"aldehyde dehydrogenase 3 family member A2";34314;-1,43324589729309;"No"
"row_55";"ENSG00000131069";"ACSS2";"acyl-CoA synthetase short chain family member 2";35168;-2,98014497756958;"Yes"
"row_56";"ENSG00000143891";"GALM";"galactose mutarotase";35317;-3,80541133880615;"Yes"
"row_57";"ENSG00000109107";"ALDOC";"aldolase, fructose-bisphosphate C";35556;-5,35558414459229;"Yes"
"row_58";"ENSG00000165140";"FBP1";"fructose-bisphosphatase 1";35847;-8,74531650543213;"Yes"
"row_59";"ENSG00000108602";"ALDH3A1";"aldehyde dehydrogenase 3 family member A1";36120;-18,159029006958;"Yes"
"row_60";"ENSG00000154930";"ACSS1";"acyl-CoA synthetase short chain family member 1";36283;-33,1375160217285;"Yes"
"row_61";"ENSG00000184254";"ALDH1A3";"aldehyde dehydrogenase 1 family member A3";36403;-86,8854293823242;"Yes"
