"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000161281";"COX7A1";"cytochrome c oxidase subunit 7A1";5348;0,44473659992218;"No"
"row_1";"ENSG00000115944";"COX7A2L";"cytochrome c oxidase subunit 7A2 like";7334;0,089606299996376;"No"
"row_2";"ENSG00000198938";"MT-CO3";"cytochrome c oxidase subunit III";8933;0,00795263238251209;"No"
"row_3";"ENSG00000148834";"GSTO1";"glutathione S-transferase omega 1";9357;0,00145613076165318;"No"
"row_4";"ENSG00000131055";"COX4I2";"cytochrome c oxidase subunit 4I2";10445;0;"No"
"row_5";"ENSG00000156885";"COX6A2";"cytochrome c oxidase subunit 6A2";10914;0;"No"
"row_6";"ENSG00000187581";"COX8C";"cytochrome c oxidase subunit 8C";12396;0;"No"
"row_7";"ENSG00000214435";"AS3MT";"arsenite methyltransferase";15601;0;"No"
"row_8";"ENSG00000198712";"MT-CO2";"cytochrome c oxidase subunit II";28678;-0,0105534484609962;"No"
"row_9";"ENSG00000160471";"COX6B2";"cytochrome c oxidase subunit 6B2";28705;-0,0112143661826849;"No"
"row_10";"ENSG00000112695";"COX7A2";"cytochrome c oxidase subunit 7A2";29286;-0,0296334624290466;"No"
"row_11";"ENSG00000198804";"MT-CO1";"cytochrome c oxidase subunit I";29903;-0,0623641237616539;"No"
"row_12";"ENSG00000178741";"COX5A";"cytochrome c oxidase subunit 5A";32557;-0,487022131681442;"Yes"
"row_13";"ENSG00000126267";"COX6B1";"cytochrome c oxidase subunit 6B1";32936;-0,644331336021423;"Yes"
"row_14";"ENSG00000131143";"COX4I1";"cytochrome c oxidase subunit 4I1";32978;-0,668687641620636;"Yes"
"row_15";"ENSG00000164919";"COX6C";"cytochrome c oxidase subunit 6C";34177;-1,25415515899658;"Yes"
"row_16";"ENSG00000176340";"COX8A";"cytochrome c oxidase subunit 8A";34245;-1,33003175258636;"Yes"
"row_17";"ENSG00000111775";"COX6A1";"cytochrome c oxidase subunit 6A1";34550;-1,76778590679169;"Yes"
"row_18";"ENSG00000131174";"COX7B";"cytochrome c oxidase subunit 7B";34625;-1,9301518201828;"Yes"
"row_19";"ENSG00000127184";"COX7C";"cytochrome c oxidase subunit 7C";34790;-2,19319367408752;"Yes"
"row_20";"ENSG00000135940";"COX5B";"cytochrome c oxidase subunit 5B";34922;-2,52619552612305;"Yes"
