"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000223095";"ENSP00000226218";"ENSG00000106366";"ENSG00000109072";999
"ENSP00000227667";"ENSP00000233242";"ENSG00000110245";"ENSG00000084674";999
"ENSP00000227667";"ENSP00000236850";"ENSG00000110245";"ENSG00000118137";999
"ENSP00000233242";"ENSP00000236850";"ENSG00000084674";"ENSG00000118137";999
"ENSP00000204604";"ENSP00000245451";"ENSG00000090539";"ENSG00000125378";999
"ENSP00000227667";"ENSP00000252486";"ENSG00000110245";"ENSG00000130203";999
"ENSP00000233242";"ENSP00000252486";"ENSG00000084674";"ENSG00000130203";999
"ENSP00000236850";"ENSP00000252486";"ENSG00000118137";"ENSG00000130203";999
"ENSP00000256010";"ENSP00000256637";"ENSG00000133636";"ENSG00000134243";999
"ENSP00000222399";"ENSP00000258341";"ENSG00000091136";"ENSG00000135862";999
"ENSP00000254976";"ENSP00000261205";"ENSG00000132639";"ENSG00000067715";999
"ENSP00000003084";"ENSP00000262613";"ENSG00000001626";"ENSG00000109062";999
"ENSP00000162749";"ENSP00000263464";"ENSG00000067182";"ENSG00000023445";999
"ENSP00000261254";"ENSP00000265734";"ENSG00000118971";"ENSG00000105810";999
"ENSP00000262662";"ENSP00000265734";"ENSG00000123080";"ENSG00000105810";999
"ENSP00000261769";"ENSP00000275493";"ENSG00000039068";"ENSG00000146648";999
"ENSP00000262995";"ENSP00000275493";"ENSG00000109458";"ENSG00000146648";999
"ENSP00000267101";"ENSP00000275493";"ENSG00000065361";"ENSG00000146648";999
"ENSP00000258455";"ENSP00000278572";"ENSG00000135972";"ENSG00000149273";999
"ENSP00000266069";"ENSP00000283632";"ENSG00000101193";"ENSG00000153561";999
"ENSP00000267101";"ENSP00000287842";"ENSG00000065361";"ENSG00000157168";999
"ENSP00000275493";"ENSP00000287842";"ENSG00000146648";"ENSG00000157168";999
"ENSP00000264498";"ENSP00000292408";"ENSG00000138685";"ENSG00000160867";999
"ENSP00000216962";"ENSP00000294724";"ENSG00000100994";"ENSG00000162688";999
"ENSP00000263238";"ENSP00000295685";"ENSG00000115091";"ENSG00000163466";999
"ENSP00000237530";"ENSP00000296255";"ENSG00000118705";"ENSG00000163902";999
"ENSP00000216911";"ENSP00000300403";"ENSG00000087586";"ENSG00000088325";999
"ENSP00000225964";"ENSP00000304408";"ENSG00000108821";"ENSG00000168542";999
"ENSP00000254976";"ENSP00000305613";"ENSG00000132639";"ENSG00000168993";999
"ENSP00000261205";"ENSP00000305613";"ENSG00000067715";"ENSG00000168993";999
"ENSP00000262768";"ENSP00000308208";"ENSG00000035862";"ENSG00000157227";999
"ENSP00000261461";"ENSP00000311344";"ENSG00000066027";"ENSG00000137713";999
"ENSP00000265165";"ENSP00000312987";"ENSG00000138795";"ENSG00000101076";999
"ENSP00000252486";"ENSP00000315130";"ENSG00000130203";"ENSG00000120885";999
"ENSP00000250784";"ENSP00000322408";"ENSG00000129824";"ENSG00000012817";999
"ENSP00000200181";"ENSP00000323856";"ENSG00000132470";"ENSG00000178209";999
"ENSP00000286301";"ENSP00000327513";"ENSG00000182578";"ENSG00000184371";999
"ENSP00000281821";"ENSP00000328777";"ENSG00000116106";"ENSG00000184349";999
"ENSP00000286548";"ENSP00000338185";"ENSG00000156052";"ENSG00000182621";999
"ENSP00000263864";"ENSP00000338562";"ENSG00000118640";"ENSG00000166900";999
"ENSP00000222693";"ENSP00000339191";"ENSG00000105971";"ENSG00000105974";999
"ENSP00000275493";"ENSP00000339191";"ENSG00000146648";"ENSG00000105974";999
"ENSP00000226218";"ENSP00000339328";"ENSG00000109072";"ENSG00000011422";999
"ENSP00000264498";"ENSP00000339824";"ENSG00000138685";"ENSG00000068078";999
"ENSP00000297185";"ENSP00000340019";"ENSG00000113013";"ENSG00000144381";999
"ENSP00000322408";"ENSP00000342812";"ENSG00000012817";"ENSG00000114374";999
"ENSP00000278572";"ENSP00000345957";"ENSG00000149273";"ENSG00000171858";999
"ENSP00000226218";"ENSP00000346839";"ENSG00000109072";"ENSG00000115414";999
"ENSP00000260356";"ENSP00000346839";"ENSG00000137801";"ENSG00000115414";999
"ENSP00000315190";"ENSP00000346839";"ENSG00000005884";"ENSG00000115414";999
"ENSP00000223642";"ENSP00000347197";"ENSG00000106804";"ENSG00000197405";999
"ENSP00000288139";"ENSP00000349320";"ENSG00000157388";"ENSG00000153956";999
"ENSP00000348838";"ENSP00000349957";"ENSG00000175063";"ENSG00000141552";999
"ENSP00000227667";"ENSP00000350425";"ENSG00000110245";"ENSG00000110244";999
"ENSP00000328777";"ENSP00000351209";"ENSG00000184349";"ENSG00000142627";999
"ENSP00000322408";"ENSP00000353284";"ENSG00000012817";"ENSG00000067048";999
"ENSP00000342812";"ENSP00000353284";"ENSG00000114374";"ENSG00000067048";999
"ENSP00000262613";"ENSP00000353408";"ENSG00000109062";"ENSG00000147065";999
"ENSP00000250784";"ENSP00000354722";"ENSG00000129824";"ENSG00000198692";999
"ENSP00000322408";"ENSP00000354722";"ENSG00000012817";"ENSG00000198692";999
"ENSP00000342812";"ENSP00000354722";"ENSG00000114374";"ENSG00000198692";999
"ENSP00000353284";"ENSP00000354722";"ENSG00000067048";"ENSG00000198692";999
"ENSP00000278572";"ENSP00000354739";"ENSG00000149273";"ENSG00000197958";999
"ENSP00000345957";"ENSP00000354739";"ENSG00000171858";"ENSG00000197958";999
"ENSP00000260356";"ENSP00000355361";"ENSG00000137801";"ENSG00000196776";999
"ENSP00000351905";"ENSP00000355896";"ENSG00000163513";"ENSG00000092969";999
"ENSP00000265371";"ENSP00000356000";"ENSG00000099250";"ENSG00000076356";999
"ENSP00000242786";"ENSP00000356030";"ENSG00000123146";"ENSG00000196352";999
"ENSP00000245907";"ENSP00000356030";"ENSG00000125730";"ENSG00000196352";999
"ENSP00000227667";"ENSP00000356969";"ENSG00000110245";"ENSG00000158874";999
"ENSP00000233242";"ENSP00000356969";"ENSG00000084674";"ENSG00000158874";999
"ENSP00000236850";"ENSP00000356969";"ENSG00000118137";"ENSG00000158874";999
"ENSP00000252486";"ENSP00000356969";"ENSG00000130203";"ENSG00000158874";999
"ENSP00000346032";"ENSP00000357704";"ENSG00000182718";"ENSG00000196154";999
"ENSP00000287936";"ENSP00000358414";"ENSG00000113161";"ENSG00000134240";999
"ENSP00000265371";"ENSP00000359077";"ENSG00000099250";"ENSG00000198910";999
"ENSP00000237014";"ENSP00000360522";"ENSG00000118271";"ENSG00000138207";999
"ENSP00000346839";"ENSP00000361818";"ENSG00000115414";"ENSG00000124145";999
"ENSP00000265734";"ENSP00000362082";"ENSG00000105810";"ENSG00000112576";999
"ENSP00000215095";"ENSP00000362399";"ENSG00000099365";"ENSG00000136854";999
"ENSP00000254976";"ENSP00000362399";"ENSG00000132639";"ENSG00000136854";999
"ENSP00000261799";"ENSP00000362680";"ENSG00000113721";"ENSG00000197122";999
"ENSP00000264657";"ENSP00000362680";"ENSG00000168610";"ENSG00000197122";999
"ENSP00000275493";"ENSP00000362680";"ENSG00000146648";"ENSG00000197122";999
"ENSP00000339191";"ENSP00000362680";"ENSG00000105974";"ENSG00000197122";999
"ENSP00000331242";"ENSP00000363081";"ENSG00000183762";"ENSG00000107984";999
"ENSP00000236850";"ENSP00000363868";"ENSG00000118137";"ENSG00000165029";999
