"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000227667";"ENSP00000233242";"ENSG00000110245";"ENSG00000084674";999
"ENSP00000227667";"ENSP00000236850";"ENSG00000110245";"ENSG00000118137";999
"ENSP00000233242";"ENSP00000236850";"ENSG00000084674";"ENSG00000118137";999
"ENSP00000204604";"ENSP00000245451";"ENSG00000090539";"ENSG00000125378";999
"ENSP00000227667";"ENSP00000252486";"ENSG00000110245";"ENSG00000130203";999
"ENSP00000233242";"ENSP00000252486";"ENSG00000084674";"ENSG00000130203";999
"ENSP00000236850";"ENSP00000252486";"ENSG00000118137";"ENSG00000130203";999
"ENSP00000222399";"ENSP00000258341";"ENSG00000091136";"ENSG00000135862";999
"ENSP00000003084";"ENSP00000262613";"ENSG00000001626";"ENSG00000109062";999
"ENSP00000261254";"ENSP00000265734";"ENSG00000118971";"ENSG00000105810";999
"ENSP00000258455";"ENSP00000278572";"ENSG00000135972";"ENSG00000149273";999
"ENSP00000266069";"ENSP00000283632";"ENSG00000101193";"ENSG00000153561";999
"ENSP00000263238";"ENSP00000295685";"ENSG00000115091";"ENSG00000163466";999
"ENSP00000237530";"ENSP00000296255";"ENSG00000118705";"ENSG00000163902";999
"ENSP00000216911";"ENSP00000300403";"ENSG00000087586";"ENSG00000088325";999
"ENSP00000225964";"ENSP00000304408";"ENSG00000108821";"ENSG00000168542";999
"ENSP00000261461";"ENSP00000311344";"ENSG00000066027";"ENSG00000137713";999
"ENSP00000265165";"ENSP00000312987";"ENSG00000138795";"ENSG00000101076";999
"ENSP00000263864";"ENSP00000338562";"ENSG00000118640";"ENSG00000166900";999
"ENSP00000297185";"ENSP00000340019";"ENSG00000113013";"ENSG00000144381";999
"ENSP00000278572";"ENSP00000345957";"ENSG00000149273";"ENSG00000171858";999
"ENSP00000226218";"ENSP00000346839";"ENSG00000109072";"ENSG00000115414";999
"ENSP00000260356";"ENSP00000346839";"ENSG00000137801";"ENSG00000115414";999
"ENSP00000227667";"ENSP00000350425";"ENSG00000110245";"ENSG00000110244";999
"ENSP00000278572";"ENSP00000354739";"ENSG00000149273";"ENSG00000197958";999
"ENSP00000345957";"ENSP00000354739";"ENSG00000171858";"ENSG00000197958";999
"ENSP00000227667";"ENSP00000356969";"ENSG00000110245";"ENSG00000158874";999
"ENSP00000233242";"ENSP00000356969";"ENSG00000084674";"ENSG00000158874";999
"ENSP00000236850";"ENSP00000356969";"ENSG00000118137";"ENSG00000158874";999
"ENSP00000252486";"ENSP00000356969";"ENSG00000130203";"ENSG00000158874";999
"ENSP00000287936";"ENSP00000358414";"ENSG00000113161";"ENSG00000134240";999
"ENSP00000237014";"ENSP00000360522";"ENSG00000118271";"ENSG00000138207";999
"ENSP00000346839";"ENSP00000361818";"ENSG00000115414";"ENSG00000124145";999
"ENSP00000331242";"ENSP00000363081";"ENSG00000183762";"ENSG00000107984";999
"ENSP00000308541";"ENSP00000364709";"ENSG00000180210";"ENSG00000126218";999
"ENSP00000334145";"ENSP00000364709";"ENSG00000117525";"ENSG00000126218";999
"ENSP00000334145";"ENSP00000364731";"ENSG00000117525";"ENSG00000057593";999
"ENSP00000216115";"ENSP00000365230";"ENSG00000100290";"ENSG00000171552";999
"ENSP00000204604";"ENSP00000368104";"ENSG00000090539";"ENSG00000125845";999
"ENSP00000070846";"ENSP00000369129";"ENSG00000057294";"ENSG00000096696";999
"ENSP00000237530";"ENSP00000376472";"ENSG00000118705";"ENSG00000134910";999
