"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000223095";"ENSP00000226218";"ENSG00000106366";"ENSG00000109072";999
"ENSP00000211998";"ENSP00000240123";"ENSG00000035403";"ENSG00000120896";999
"ENSP00000204604";"ENSP00000245451";"ENSG00000090539";"ENSG00000125378";999
"ENSP00000211998";"ENSP00000252699";"ENSG00000035403";"ENSG00000130402";999
"ENSP00000222399";"ENSP00000258341";"ENSG00000091136";"ENSG00000135862";999
"ENSP00000252999";"ENSP00000258341";"ENSG00000130702";"ENSG00000135862";999
"ENSP00000254976";"ENSP00000261205";"ENSG00000132639";"ENSG00000067715";999
"ENSP00000230050";"ENSP00000262584";"ENSG00000112306";"ENSG00000161016";999
"ENSP00000219070";"ENSP00000262768";"ENSG00000087245";"ENSG00000035862";999
"ENSP00000254958";"ENSP00000263388";"ENSG00000101384";"ENSG00000074181";999
"ENSP00000162749";"ENSP00000263464";"ENSG00000067182";"ENSG00000023445";999
"ENSP00000264031";"ENSP00000264234";"ENSG00000110375";"ENSG00000114638";999
"ENSP00000265362";"ENSP00000265371";"ENSG00000075213";"ENSG00000099250";999
"ENSP00000244869";"ENSP00000275493";"ENSG00000124882";"ENSG00000146648";999
"ENSP00000261769";"ENSP00000275493";"ENSG00000039068";"ENSG00000146648";999
"ENSP00000262995";"ENSP00000275493";"ENSG00000109458";"ENSG00000146648";999
"ENSP00000267101";"ENSP00000275493";"ENSG00000065361";"ENSG00000146648";999
"ENSP00000267101";"ENSP00000287842";"ENSG00000065361";"ENSG00000157168";999
"ENSP00000275493";"ENSP00000287842";"ENSG00000146648";"ENSG00000157168";999
"ENSP00000262193";"ENSP00000290541";"ENSG00000008018";"ENSG00000159377";999
"ENSP00000264716";"ENSP00000303315";"ENSG00000075426";"ENSG00000171223";999
"ENSP00000303315";"ENSP00000306245";"ENSG00000171223";"ENSG00000170345";999
"ENSP00000225577";"ENSP00000307272";"ENSG00000108443";"ENSG00000141564";999
"ENSP00000253462";"ENSP00000307288";"ENSG00000131153";"ENSG00000166508";999
"ENSP00000230050";"ENSP00000307889";"ENSG00000112306";"ENSG00000167526";999
"ENSP00000262584";"ENSP00000307889";"ENSG00000161016";"ENSG00000167526";999
"ENSP00000303315";"ENSP00000310170";"ENSG00000171223";"ENSG00000175592";999
"ENSP00000211998";"ENSP00000316029";"ENSG00000035403";"ENSG00000137076";999
"ENSP00000216487";"ENSP00000316779";"ENSG00000100599";"ENSG00000136717";999
