"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000249501";"ENSP00000249504";"ENSG00000128710";"ENSG00000128713";999
"ENSP00000173229";"ENSP00000334329";"ENSG00000065320";"ENSG00000107731";999
"ENSP00000342235";"ENSP00000354910";"ENSG00000178568";"ENSG00000158458";999
"ENSP00000339824";"ENSP00000371790";"ENSG00000068078";"ENSG00000102678";999
"ENSP00000341083";"ENSP00000387159";"ENSG00000159899";"ENSG00000163273";999
"ENSP00000367316";"ENSP00000389252";"ENSG00000077943";"ENSG00000168743";999
"ENSP00000379204";"ENSP00000401907";"ENSG00000101144";"ENSG00000138696";999
"ENSP00000173229";"ENSP00000406022";"ENSG00000065320";"ENSG00000182168";999
"ENSP00000300283";"ENSP00000406577";"ENSG00000237289";"ENSG00000223572";999
"ENSP00000266058";"ENSP00000417335";"ENSG00000187122";"ENSG00000185008";999
"ENSP00000266058";"ENSP00000420321";"ENSG00000187122";"ENSG00000169855";999
"ENSP00000417335";"ENSP00000422591";"ENSG00000185008";"ENSG00000145147";999
"ENSP00000420321";"ENSP00000422591";"ENSG00000169855";"ENSG00000145147";999
"ENSP00000296518";"ENSP00000426786";"ENSG00000164116";"ENSG00000061918";999
"ENSP00000327758";"ENSP00000435712";"ENSG00000183072";"ENSG00000136574";999
"ENSP00000221166";"ENSP00000482169";"ENSG00000104722";"ENSG00000277586";999
"ENSP00000264634";"ENSP00000364860";"ENSG00000114251";"ENSG00000169071";998
"ENSP00000339824";"ENSP00000396198";"ENSG00000068078";"ENSG00000129682";997
"ENSP00000221166";"ENSP00000358865";"ENSG00000104722";"ENSG00000148798";996
"ENSP00000354923";"ENSP00000378965";"ENSG00000198947";"ENSG00000172164";996
"ENSP00000363680";"ENSP00000379365";"ENSG00000158813";"ENSG00000131080";996
"ENSP00000311997";"ENSP00000482169";"ENSG00000100285";"ENSG00000277586";996
"ENSP00000320025";"ENSP00000349320";"ENSG00000165995";"ENSG00000153956";995
"ENSP00000221166";"ENSP00000311997";"ENSG00000104722";"ENSG00000100285";993
"ENSP00000335055";"ENSP00000479719";"ENSG00000132970";"ENSG00000055163";993
"ENSP00000313391";"ENSP00000496870";"ENSG00000153071";"ENSG00000081479";993
