"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000256646";"ENSP00000328169";"ENSG00000134250";"ENSG00000184916";999
"ENSP00000281821";"ENSP00000328777";"ENSG00000116106";"ENSG00000184349";999
"ENSP00000301178";"ENSP00000331831";"ENSG00000167601";"ENSG00000183087";999
"ENSP00000222693";"ENSP00000339191";"ENSG00000105971";"ENSG00000105974";999
"ENSP00000275493";"ENSP00000339191";"ENSG00000146648";"ENSG00000105974";999
"ENSP00000337383";"ENSP00000357112";"ENSG00000162711";"ENSG00000163568";999
"ENSP00000232564";"ENSP00000360021";"ENSG00000114450";"ENSG00000172380";999
"ENSP00000353654";"ENSP00000364979";"ENSG00000134871";"ENSG00000187498";999
"ENSP00000249071";"ENSP00000367851";"ENSG00000128340";"ENSG00000165168";999
"ENSP00000264144";"ENSP00000375778";"ENSG00000058085";"ENSG00000196878";999
"ENSP00000275493";"ENSP00000379092";"ENSG00000146648";"ENSG00000174808";999
"ENSP00000328777";"ENSP00000383053";"ENSG00000184349";"ENSG00000133216";999
"ENSP00000357112";"ENSP00000460475";"ENSG00000163568";"ENSG00000091592";999
"ENSP00000364898";"ENSP00000472929";"ENSG00000165025";"ENSG00000141968";999
"ENSP00000480355";"ENSP00000482270";"ENSG00000215115";"ENSG00000215113";999
"ENSP00000275493";"ENSP00000484824";"ENSG00000146648";"ENSG00000185499";999
"ENSP00000281821";"ENSP00000493716";"ENSG00000116106";"ENSG00000125266";999
"ENSP00000332118";"ENSP00000493716";"ENSG00000182580";"ENSG00000125266";999
"ENSP00000383053";"ENSP00000493716";"ENSG00000133216";"ENSG00000125266";999
"ENSP00000264144";"ENSP00000324532";"ENSG00000058085";"ENSG00000053747";998
"ENSP00000324532";"ENSP00000375778";"ENSG00000053747";"ENSG00000196878";998
"ENSP00000275493";"ENSP00000398632";"ENSG00000146648";"ENSG00000026508";998
"ENSP00000337383";"ENSP00000460475";"ENSG00000162711";"ENSG00000091592";998
"ENSP00000263341";"ENSP00000337383";"ENSG00000125538";"ENSG00000162711";997
"ENSP00000263645";"ENSP00000353475";"ENSG00000110651";"ENSG00000181885";997
"ENSP00000339191";"ENSP00000369689";"ENSG00000105974";"ENSG00000178372";996
"ENSP00000370989";"ENSP00000380855";"ENSG00000120217";"ENSG00000197646";996
"ENSP00000353408";"ENSP00000398632";"ENSG00000147065";"ENSG00000026508";996
"ENSP00000228945";"ENSP00000249071";"ENSG00000111348";"ENSG00000128340";992
"ENSP00000311035";"ENSP00000355361";"ENSG00000163606";"ENSG00000196776";990
"ENSP00000417498";"ENSP00000484824";"ENSG00000145113";"ENSG00000185499";990
"ENSP00000286827";"ENSP00000398632";"ENSG00000156299";"ENSG00000026508";989
"ENSP00000275493";"ENSP00000442460";"ENSG00000146648";"ENSG00000101213";989
"ENSP00000238018";"ENSP00000368727";"ENSG00000119125";"ENSG00000158125";988
"ENSP00000227155";"ENSP00000263645";"ENSG00000085117";"ENSG00000110651";984
