"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000227667";"ENSP00000233242";"ENSG00000110245";"ENSG00000084674";999
"ENSP00000227667";"ENSP00000236850";"ENSG00000110245";"ENSG00000118137";999
"ENSP00000233242";"ENSP00000236850";"ENSG00000084674";"ENSG00000118137";999
"ENSP00000227667";"ENSP00000252486";"ENSG00000110245";"ENSG00000130203";999
"ENSP00000233242";"ENSP00000252486";"ENSG00000084674";"ENSG00000130203";999
"ENSP00000236850";"ENSP00000252486";"ENSG00000118137";"ENSG00000130203";999
"ENSP00000283871";"ENSP00000289004";"ENSG00000113924";"ENSG00000158104";999
"ENSP00000257408";"ENSP00000292408";"ENSG00000134962";"ENSG00000160867";999
"ENSP00000273784";"ENSP00000295897";"ENSG00000145192";"ENSG00000163631";999
"ENSP00000306099";"ENSP00000308541";"ENSG00000171564";"ENSG00000180210";999
"ENSP00000252486";"ENSP00000315130";"ENSG00000130203";"ENSG00000120885";999
"ENSP00000250784";"ENSP00000322408";"ENSG00000129824";"ENSG00000012817";999
"ENSP00000306099";"ENSP00000336829";"ENSG00000171564";"ENSG00000171557";999
"ENSP00000308541";"ENSP00000336829";"ENSG00000180210";"ENSG00000171557";999
"ENSP00000322408";"ENSP00000342812";"ENSG00000012817";"ENSG00000114374";999
"ENSP00000226218";"ENSP00000346839";"ENSG00000109072";"ENSG00000115414";999
"ENSP00000227667";"ENSP00000350425";"ENSG00000110245";"ENSG00000110244";999
"ENSP00000343952";"ENSP00000351671";"ENSG00000112486";"ENSG00000115009";999
"ENSP00000322408";"ENSP00000353284";"ENSG00000012817";"ENSG00000067048";999
"ENSP00000342812";"ENSP00000353284";"ENSG00000114374";"ENSG00000067048";999
"ENSP00000250784";"ENSP00000354722";"ENSG00000129824";"ENSG00000198692";999
"ENSP00000322408";"ENSP00000354722";"ENSG00000012817";"ENSG00000198692";999
"ENSP00000342812";"ENSP00000354722";"ENSG00000114374";"ENSG00000198692";999
"ENSP00000353284";"ENSP00000354722";"ENSG00000067048";"ENSG00000198692";999
"ENSP00000308541";"ENSP00000356671";"ENSG00000180210";"ENSG00000117601";999
"ENSP00000308541";"ENSP00000356771";"ENSG00000180210";"ENSG00000198734";999
"ENSP00000227667";"ENSP00000356969";"ENSG00000110245";"ENSG00000158874";999
"ENSP00000233242";"ENSP00000356969";"ENSG00000084674";"ENSG00000158874";999
"ENSP00000236850";"ENSP00000356969";"ENSG00000118137";"ENSG00000158874";999
"ENSP00000252486";"ENSP00000356969";"ENSG00000130203";"ENSG00000158874";999
"ENSP00000237014";"ENSP00000360522";"ENSG00000118271";"ENSG00000138207";999
"ENSP00000236850";"ENSP00000363868";"ENSG00000118137";"ENSG00000165029";999
"ENSP00000308541";"ENSP00000364709";"ENSG00000180210";"ENSG00000126218";999
"ENSP00000363079";"ENSP00000383690";"ENSG00000165471";"ENSG00000009724";999
"ENSP00000371532";"ENSP00000392423";"ENSG00000147852";"ENSG00000189056";999
"ENSP00000259396";"ENSP00000394936";"ENSG00000229314";"ENSG00000228278";999
"ENSP00000295897";"ENSP00000410798";"ENSG00000163631";"ENSG00000104870";999
"ENSP00000396688";"ENSP00000415941";"ENSG00000244731";"ENSG00000224389";999
"ENSP00000233242";"ENSP00000427679";"ENSG00000084674";"ENSG00000138823";999
"ENSP00000227667";"ENSP00000465356";"ENSG00000110245";"ENSG00000130208";999
"ENSP00000252486";"ENSP00000465356";"ENSG00000130203";"ENSG00000130208";999
