"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000296575";"ENSP00000297261";"ENSG00000164161";"ENSG00000164690";999
"ENSP00000266718";"ENSP00000297268";"ENSG00000139329";"ENSG00000164692";999
"ENSP00000297268";"ENSP00000304408";"ENSG00000164692";"ENSG00000168542";999
"ENSP00000256010";"ENSP00000359532";"ENSG00000133636";"ENSG00000101188";999
"ENSP00000420321";"ENSP00000422591";"ENSG00000169855";"ENSG00000145147";999
"ENSP00000263923";"ENSP00000457421";"ENSG00000128052";"ENSG00000261371";999
"ENSP00000473093";"ENSP00000480637";"ENSG00000221867";"ENSG00000197172";999
"ENSP00000258111";"ENSP00000286628";"ENSG00000135643";"ENSG00000156113";998
"ENSP00000297268";"ENSP00000364000";"ENSG00000164692";"ENSG00000204262";998
"ENSP00000304408";"ENSP00000364000";"ENSG00000168542";"ENSG00000204262";998
"ENSP00000283254";"ENSP00000396915";"ENSG00000153253";"ENSG00000105711";998
"ENSP00000273395";"ENSP00000297261";"ENSG00000144857";"ENSG00000164690";996
"ENSP00000241337";"ENSP00000354357";"ENSG00000213366";"ENSG00000134202";996
"ENSP00000354923";"ENSP00000378965";"ENSG00000198947";"ENSG00000172164";996
"ENSP00000295550";"ENSP00000355180";"ENSG00000163359";"ENSG00000142156";994
"ENSP00000313391";"ENSP00000496870";"ENSG00000153071";"ENSG00000081479";993
"ENSP00000297261";"ENSP00000496870";"ENSG00000164690";"ENSG00000081479";992
"ENSP00000325527";"ENSP00000386043";"ENSG00000166147";"ENSG00000049323";989
"ENSP00000354923";"ENSP00000470152";"ENSG00000198947";"ENSG00000134769";988
"ENSP00000266718";"ENSP00000304408";"ENSG00000139329";"ENSG00000168542";986
"ENSP00000359310";"ENSP00000473093";"ENSG00000198930";"ENSG00000221867";980
"ENSP00000297261";"ENSP00000390436";"ENSG00000164690";"ENSG00000074047";975
"ENSP00000266718";"ENSP00000325527";"ENSG00000139329";"ENSG00000166147";972
"ENSP00000304408";"ENSP00000325527";"ENSG00000168542";"ENSG00000166147";970
"ENSP00000295550";"ENSP00000297268";"ENSG00000163359";"ENSG00000164692";968
"ENSP00000261304";"ENSP00000311648";"ENSG00000054983";"ENSG00000174607";968
"ENSP00000297261";"ENSP00000379258";"ENSG00000164690";"ENSG00000106571";966
"ENSP00000220616";"ENSP00000496870";"ENSG00000042832";"ENSG00000081479";966
"ENSP00000297268";"ENSP00000325527";"ENSG00000164692";"ENSG00000166147";965
"ENSP00000270458";"ENSP00000349320";"ENSG00000142408";"ENSG00000153956";965
"ENSP00000266718";"ENSP00000364000";"ENSG00000139329";"ENSG00000204262";960
"ENSP00000268603";"ENSP00000269141";"ENSG00000140937";"ENSG00000170558";958
"ENSP00000263923";"ENSP00000396198";"ENSG00000128052";"ENSG00000129682";957
"ENSP00000276914";"ENSP00000330200";"ENSG00000147872";"ENSG00000165810";956
"ENSP00000264634";"ENSP00000363826";"ENSG00000114251";"ENSG00000177283";956
"ENSP00000297261";"ENSP00000400341";"ENSG00000164690";"ENSG00000125798";956
"ENSP00000262262";"ENSP00000300060";"ENSG00000105383";"ENSG00000166825";953
"ENSP00000269141";"ENSP00000282561";"ENSG00000170558";"ENSG00000152661";952
"ENSP00000295550";"ENSP00000304408";"ENSG00000163359";"ENSG00000168542";952
"ENSP00000340684";"ENSP00000411821";"ENSG00000189221";"ENSG00000108602";951
"ENSP00000378965";"ENSP00000470152";"ENSG00000172164";"ENSG00000134769";946
"ENSP00000365807";"ENSP00000367762";"ENSG00000156049";"ENSG00000101333";944
"ENSP00000379258";"ENSP00000390436";"ENSG00000106571";"ENSG00000074047";941
"ENSP00000264071";"ENSP00000282561";"ENSG00000104833";"ENSG00000152661";940
"ENSP00000307766";"ENSP00000334448";"ENSG00000168830";"ENSG00000186469";940
"ENSP00000316924";"ENSP00000411821";"ENSG00000154930";"ENSG00000108602";940
"ENSP00000393379";"ENSP00000482169";"ENSG00000168280";"ENSG00000277586";940
"ENSP00000295550";"ENSP00000364000";"ENSG00000163359";"ENSG00000204262";935
"ENSP00000282561";"ENSP00000441802";"ENSG00000152661";"ENSG00000169851";935
"ENSP00000300060";"ENSP00000353731";"ENSG00000166825";"ENSG00000197635";931
"ENSP00000359073";"ENSP00000398655";"ENSG00000134215";"ENSG00000113263";931
"ENSP00000249750";"ENSP00000389241";"ENSG00000128918";"ENSG00000073737";930
"ENSP00000334448";"ENSP00000359532";"ENSG00000186469";"ENSG00000101188";929
"ENSP00000354923";"ENSP00000477999";"ENSG00000198947";"ENSG00000089250";929
"ENSP00000355847";"ENSP00000498074";"ENSG00000112541";"ENSG00000197594";929
"ENSP00000263923";"ENSP00000311697";"ENSG00000128052";"ENSG00000138675";927
"ENSP00000304408";"ENSP00000355180";"ENSG00000168542";"ENSG00000142156";926
"ENSP00000359310";"ENSP00000480637";"ENSG00000198930";"ENSG00000197172";925
"ENSP00000325527";"ENSP00000364000";"ENSG00000166147";"ENSG00000204262";924
"ENSP00000367762";"ENSP00000379098";"ENSG00000101333";"ENSG00000058404";924
"ENSP00000426786";"ENSP00000477999";"ENSG00000061918";"ENSG00000089250";921
"ENSP00000290295";"ENSP00000484945";"ENSG00000159184";"ENSG00000229637";921
"ENSP00000334198";"ENSP00000477999";"ENSG00000196557";"ENSG00000089250";920
"ENSP00000219479";"ENSP00000498074";"ENSG00000103202";"ENSG00000197594";920
"ENSP00000334198";"ENSP00000349320";"ENSG00000196557";"ENSG00000153956";919
"ENSP00000334910";"ENSP00000498074";"ENSG00000186642";"ENSG00000197594";918
"ENSP00000359864";"ENSP00000363826";"ENSG00000076716";"ENSG00000177283";917
"ENSP00000273395";"ENSP00000496870";"ENSG00000144857";"ENSG00000081479";916
"ENSP00000379098";"ENSP00000477999";"ENSG00000058404";"ENSG00000089250";915
"ENSP00000379098";"ENSP00000396915";"ENSG00000058404";"ENSG00000105711";914
"ENSP00000259727";"ENSP00000355847";"ENSG00000137198";"ENSG00000112541";911
"ENSP00000353864";"ENSP00000420321";"ENSG00000077264";"ENSG00000169855";911
"ENSP00000341083";"ENSP00000498074";"ENSG00000159899";"ENSG00000197594";911
"ENSP00000265077";"ENSP00000325527";"ENSG00000038427";"ENSG00000166147";910
"ENSP00000284110";"ENSP00000354213";"ENSG00000153976";"ENSG00000125430";910
"ENSP00000379496";"ENSP00000498074";"ENSG00000154678";"ENSG00000197594";910
"ENSP00000325527";"ENSP00000424571";"ENSG00000166147";"ENSG00000138829";909
"ENSP00000260302";"ENSP00000286657";"ENSG00000137745";"ENSG00000156140";908
"ENSP00000259727";"ENSP00000334910";"ENSG00000137198";"ENSG00000186642";908
"ENSP00000370078";"ENSP00000498074";"ENSG00000065989";"ENSG00000197594";907
"ENSP00000426786";"ENSP00000498074";"ENSG00000061918";"ENSG00000197594";907
