"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000261769";"ENSP00000275493";"ENSG00000039068";"ENSG00000146648";999
"ENSP00000225964";"ENSP00000304408";"ENSG00000108821";"ENSG00000168542";999
"ENSP00000173229";"ENSP00000334329";"ENSG00000065320";"ENSG00000107731";999
"ENSP00000288139";"ENSP00000349320";"ENSG00000157388";"ENSG00000153956";999
"ENSP00000278198";"ENSP00000359085";"ENSG00000148948";"ENSG00000162631";999
"ENSP00000260010";"ENSP00000363089";"ENSG00000137462";"ENSG00000136869";999
"ENSP00000364752";"ENSP00000364766";"ENSG00000204379";"ENSG00000204382";999
"ENSP00000352608";"ENSP00000369689";"ENSG00000196218";"ENSG00000178372";999
"ENSP00000265459";"ENSP00000370483";"ENSG00000110076";"ENSG00000146938";999
"ENSP00000278198";"ENSP00000376921";"ENSG00000148948";"ENSG00000196358";999
"ENSP00000261769";"ENSP00000377508";"ENSG00000039068";"ENSG00000173801";999
"ENSP00000369129";"ENSP00000377508";"ENSG00000096696";"ENSG00000173801";999
"ENSP00000275493";"ENSP00000379092";"ENSG00000146648";"ENSG00000174808";999
"ENSP00000265459";"ENSP00000392500";"ENSG00000110076";"ENSG00000169760";999
"ENSP00000379204";"ENSP00000401907";"ENSG00000101144";"ENSG00000138696";999
"ENSP00000173229";"ENSP00000406022";"ENSG00000065320";"ENSG00000182168";999
"ENSP00000319591";"ENSP00000414886";"ENSG00000171385";"ENSG00000182132";999
"ENSP00000332164";"ENSP00000420321";"ENSG00000184347";"ENSG00000169855";999
"ENSP00000420321";"ENSP00000422591";"ENSG00000169855";"ENSG00000145147";999
"ENSP00000422533";"ENSP00000427874";"ENSG00000150471";"ENSG00000145934";999
"ENSP00000340510";"ENSP00000465630";"ENSG00000118898";"ENSG00000167880";999
"ENSP00000369689";"ENSP00000477999";"ENSG00000178372";"ENSG00000089250";999
"ENSP00000226091";"ENSP00000481994";"ENSG00000108947";"ENSG00000106123";999
"ENSP00000480355";"ENSP00000482270";"ENSG00000215115";"ENSG00000215113";999
"ENSP00000381097";"ENSP00000493716";"ENSG00000154928";"ENSG00000125266";999
"ENSP00000481994";"ENSP00000493716";"ENSG00000106123";"ENSG00000125266";999
"ENSP00000392500";"ENSP00000497806";"ENSG00000169760";"ENSG00000132535";999
"ENSP00000232975";"ENSP00000499593";"ENSG00000114854";"ENSG00000118194";999
"ENSP00000261799";"ENSP00000275493";"ENSG00000113721";"ENSG00000146648";998
"ENSP00000278742";"ENSP00000342098";"ENSG00000149418";"ENSG00000166145";998
"ENSP00000304408";"ENSP00000364000";"ENSG00000168542";"ENSG00000204262";998
"ENSP00000264634";"ENSP00000364860";"ENSG00000114251";"ENSG00000169071";998
"ENSP00000282356";"ENSP00000369689";"ENSG00000152495";"ENSG00000178372";998
"ENSP00000226091";"ENSP00000381097";"ENSG00000108947";"ENSG00000154928";998
"ENSP00000328968";"ENSP00000396915";"ENSG00000183873";"ENSG00000105711";998
"ENSP00000344786";"ENSP00000447006";"ENSG00000163531";"ENSG00000018236";998
"ENSP00000264187";"ENSP00000346839";"ENSG00000116962";"ENSG00000115414";997
"ENSP00000325527";"ENSP00000364685";"ENSG00000166147";"ENSG00000117122";997
"ENSP00000299855";"ENSP00000378517";"ENSG00000149968";"ENSG00000118785";997
