"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000261769";"ENSP00000275493";"ENSG00000039068";"ENSG00000146648";999
"ENSP00000261769";"ENSP00000377508";"ENSG00000039068";"ENSG00000173801";999
"ENSP00000369129";"ENSP00000377508";"ENSG00000096696";"ENSG00000173801";999
"ENSP00000275493";"ENSP00000379092";"ENSG00000146648";"ENSG00000174808";999
"ENSP00000340510";"ENSP00000465630";"ENSG00000118898";"ENSG00000167880";999
"ENSP00000480355";"ENSP00000482270";"ENSG00000215115";"ENSG00000215113";999
"ENSP00000278742";"ENSP00000342098";"ENSG00000149418";"ENSG00000166145";998
"ENSP00000275493";"ENSP00000494162";"ENSG00000146648";"ENSG00000142273";997
"ENSP00000259206";"ENSP00000330959";"ENSG00000136689";"ENSG00000115590";995
"ENSP00000263946";"ENSP00000369129";"ENSG00000081277";"ENSG00000096696";995
"ENSP00000364898";"ENSP00000391592";"ENSG00000165025";"ENSG00000111679";995
"ENSP00000369689";"ENSP00000478061";"ENSG00000178372";"ENSG00000277443";995
"ENSP00000263735";"ENSP00000353475";"ENSG00000119888";"ENSG00000181885";993
"ENSP00000369689";"ENSP00000380958";"ENSG00000178372";"ENSG00000197971";987
"ENSP00000353475";"ENSP00000357005";"ENSG00000181885";"ENSG00000158769";982
"ENSP00000275493";"ENSP00000370473";"ENSG00000146648";"ENSG00000146674";981
"ENSP00000353608";"ENSP00000377508";"ENSG00000134762";"ENSG00000173801";974
"ENSP00000414350";"ENSP00000417498";"ENSG00000176945";"ENSG00000145113";974
"ENSP00000381008";"ENSP00000417498";"ENSG00000181143";"ENSG00000145113";969
"ENSP00000369129";"ENSP00000465630";"ENSG00000096696";"ENSG00000167880";969
"ENSP00000381601";"ENSP00000490935";"ENSG00000157601";"ENSG00000119922";968
"ENSP00000261769";"ENSP00000264012";"ENSG00000039068";"ENSG00000062038";967
"ENSP00000353475";"ENSP00000360269";"ENSG00000181885";"ENSG00000184292";966
"ENSP00000264350";"ENSP00000381601";"ENSG00000138646";"ENSG00000157601";963
"ENSP00000357112";"ENSP00000445135";"ENSG00000163568";"ENSG00000022556";963
"ENSP00000241125";"ENSP00000372295";"ENSG00000121743";"ENSG00000165474";957
"ENSP00000265641";"ENSP00000348429";"ENSG00000110090";"ENSG00000197142";955
"ENSP00000219255";"ENSP00000349204";"ENSG00000102981";"ENSG00000130545";954
"ENSP00000340510";"ENSP00000369129";"ENSG00000118898";"ENSG00000096696";953
"ENSP00000353475";"ENSP00000409544";"ENSG00000181885";"ENSG00000189143";953
"ENSP00000200181";"ENSP00000324532";"ENSG00000132470";"ENSG00000053747";951
"ENSP00000219255";"ENSP00000376333";"ENSG00000102981";"ENSG00000073350";950
"ENSP00000337733";"ENSP00000375682";"ENSG00000167754";"ENSG00000129455";947
"ENSP00000221132";"ENSP00000310263";"ENSG00000104689";"ENSG00000173530";946
"ENSP00000353608";"ENSP00000369129";"ENSG00000134762";"ENSG00000096696";946
"ENSP00000263946";"ENSP00000377508";"ENSG00000081277";"ENSG00000173801";946
"ENSP00000364212";"ENSP00000385057";"ENSG00000158825";"ENSG00000239713";945
"ENSP00000252593";"ENSP00000385057";"ENSG00000130303";"ENSG00000239713";943
"ENSP00000264350";"ENSP00000490935";"ENSG00000138646";"ENSG00000119922";937
"ENSP00000257770";"ENSP00000364212";"ENSG00000135318";"ENSG00000158825";935
"ENSP00000260010";"ENSP00000275493";"ENSG00000137462";"ENSG00000146648";933
"ENSP00000201031";"ENSP00000501092";"ENSG00000087510";"ENSG00000137203";931
"ENSP00000331678";"ENSP00000369129";"ENSG00000184363";"ENSG00000096696";930
"ENSP00000331678";"ENSP00000353608";"ENSG00000184363";"ENSG00000134762";929
"ENSP00000354822";"ENSP00000381601";"ENSG00000132530";"ENSG00000157601";925
"ENSP00000211287";"ENSP00000264867";"ENSG00000156711";"ENSG00000109819";924
"ENSP00000357005";"ENSP00000409544";"ENSG00000158769";"ENSG00000189143";924
"ENSP00000211287";"ENSP00000418915";"ENSG00000156711";"ENSG00000147889";924
"ENSP00000263735";"ENSP00000275493";"ENSG00000119888";"ENSG00000146648";923
"ENSP00000261769";"ENSP00000353475";"ENSG00000039068";"ENSG00000181885";923
"ENSP00000261769";"ENSP00000357005";"ENSG00000039068";"ENSG00000158769";921
"ENSP00000275493";"ENSP00000391592";"ENSG00000146648";"ENSG00000111679";919
"ENSP00000262134";"ENSP00000320337";"ENSG00000087253";"ENSG00000176485";917
"ENSP00000263946";"ENSP00000331678";"ENSG00000081277";"ENSG00000184363";916
"ENSP00000305603";"ENSP00000483018";"ENSG00000171124";"ENSG00000175164";912
"ENSP00000275493";"ENSP00000418915";"ENSG00000146648";"ENSG00000147889";910
"ENSP00000263735";"ENSP00000481841";"ENSG00000119888";"ENSG00000272398";910
"ENSP00000260010";"ENSP00000378199";"ENSG00000137462";"ENSG00000126803";909
"ENSP00000381601";"ENSP00000395590";"ENSG00000157601";"ENSG00000068079";909
"ENSP00000241125";"ENSP00000463752";"ENSG00000121743";"ENSG00000183153";907
"ENSP00000372295";"ENSP00000463752";"ENSG00000165474";"ENSG00000183153";906
"ENSP00000261769";"ENSP00000263735";"ENSG00000039068";"ENSG00000119888";905
"ENSP00000361721";"ENSP00000501092";"ENSG00000179862";"ENSG00000137203";905
"ENSP00000405738";"ENSP00000418748";"ENSG00000104413";"ENSG00000103067";903
"ENSP00000319730";"ENSP00000342098";"ENSG00000052344";"ENSG00000166145";899
"ENSP00000263946";"ENSP00000353608";"ENSG00000081277";"ENSG00000134762";894
"ENSP00000405738";"ENSP00000495564";"ENSG00000104413";"ENSG00000083307";891
"ENSP00000263946";"ENSP00000465630";"ENSG00000081277";"ENSG00000167880";890
"ENSP00000354822";"ENSP00000490935";"ENSG00000132530";"ENSG00000119922";887
"ENSP00000252242";"ENSP00000275493";"ENSG00000186081";"ENSG00000146648";885
"ENSP00000257770";"ENSP00000379802";"ENSG00000135318";"ENSG00000133805";882
"ENSP00000263735";"ENSP00000301244";"ENSG00000119888";"ENSG00000167642";880
"ENSP00000264832";"ENSP00000275493";"ENSG00000090339";"ENSG00000146648";877
"ENSP00000275493";"ENSP00000417498";"ENSG00000146648";"ENSG00000145113";875
"ENSP00000251642";"ENSP00000395590";"ENSG00000108771";"ENSG00000068079";868
