"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000223095";"ENSP00000226218";"ENSG00000106366";"ENSG00000109072";999
"ENSP00000227667";"ENSP00000233242";"ENSG00000110245";"ENSG00000084674";999
"ENSP00000227667";"ENSP00000236850";"ENSG00000110245";"ENSG00000118137";999
"ENSP00000233242";"ENSP00000236850";"ENSG00000084674";"ENSG00000118137";999
"ENSP00000211998";"ENSP00000240123";"ENSG00000035403";"ENSG00000120896";999
"ENSP00000227667";"ENSP00000252486";"ENSG00000110245";"ENSG00000130203";999
"ENSP00000233242";"ENSP00000252486";"ENSG00000084674";"ENSG00000130203";999
"ENSP00000236850";"ENSP00000252486";"ENSG00000118137";"ENSG00000130203";999
"ENSP00000243077";"ENSP00000252486";"ENSG00000123384";"ENSG00000130203";999
"ENSP00000222399";"ENSP00000258341";"ENSG00000091136";"ENSG00000135862";999
"ENSP00000252999";"ENSP00000258341";"ENSG00000130702";"ENSG00000135862";999
"ENSP00000244007";"ENSP00000261799";"ENSG00000124181";"ENSG00000113721";999
"ENSP00000254958";"ENSP00000263388";"ENSG00000101384";"ENSG00000074181";999
"ENSP00000264031";"ENSP00000264234";"ENSG00000110375";"ENSG00000114638";999
"ENSP00000265362";"ENSP00000265371";"ENSG00000075213";"ENSG00000099250";999
"ENSP00000261254";"ENSP00000265734";"ENSG00000118971";"ENSG00000105810";999
"ENSP00000262662";"ENSP00000265734";"ENSG00000123080";"ENSG00000105810";999
"ENSP00000254719";"ENSP00000269305";"ENSG00000132383";"ENSG00000141510";999
"ENSP00000266079";"ENSP00000271628";"ENSG00000101161";"ENSG00000143368";999
"ENSP00000255465";"ENSP00000274255";"ENSG00000133101";"ENSG00000145604";999
"ENSP00000237530";"ENSP00000295770";"ENSG00000118705";"ENSG00000163527";999
"ENSP00000292614";"ENSP00000301788";"ENSG00000005075";"ENSG00000168002";999
"ENSP00000264716";"ENSP00000303315";"ENSG00000075426";"ENSG00000171223";999
"ENSP00000225964";"ENSP00000304408";"ENSG00000108821";"ENSG00000168542";999
"ENSP00000265165";"ENSP00000312987";"ENSG00000138795";"ENSG00000101076";999
"ENSP00000211998";"ENSP00000316029";"ENSG00000035403";"ENSG00000137076";999
"ENSP00000194214";"ENSP00000320359";"ENSG00000081870";"ENSG00000128581";999
"ENSP00000200181";"ENSP00000323856";"ENSG00000132470";"ENSG00000178209";999
"ENSP00000280154";"ENSP00000326381";"ENSG00000150593";"ENSG00000156976";999
"ENSP00000281821";"ENSP00000328777";"ENSG00000116106";"ENSG00000184349";999
"ENSP00000305260";"ENSP00000334448";"ENSG00000172354";"ENSG00000186469";999
"ENSP00000308541";"ENSP00000336829";"ENSG00000180210";"ENSG00000171557";999
"ENSP00000286548";"ENSP00000338185";"ENSG00000156052";"ENSG00000182621";999
"ENSP00000297185";"ENSP00000340019";"ENSG00000113013";"ENSG00000144381";999
"ENSP00000269305";"ENSP00000340989";"ENSG00000141510";"ENSG00000175793";999
"ENSP00000173229";"ENSP00000341198";"ENSG00000065320";"ENSG00000067141";999
"ENSP00000269305";"ENSP00000341957";"ENSG00000141510";"ENSG00000143514";999
"ENSP00000226218";"ENSP00000346839";"ENSG00000109072";"ENSG00000115414";999
"ENSP00000260356";"ENSP00000346839";"ENSG00000137801";"ENSG00000115414";999
"ENSP00000315190";"ENSP00000346839";"ENSG00000005884";"ENSG00000115414";999
"ENSP00000347591";"ENSP00000347942";"ENSG00000151892";"ENSG00000165731";999
"ENSP00000339191";"ENSP00000349541";"ENSG00000105974";"ENSG00000177469";999
"ENSP00000227667";"ENSP00000350425";"ENSG00000110245";"ENSG00000110244";999
"ENSP00000269305";"ENSP00000354218";"ENSG00000141510";"ENSG00000104881";999
"ENSP00000260356";"ENSP00000355361";"ENSG00000137801";"ENSG00000196776";999
"ENSP00000351905";"ENSP00000355896";"ENSG00000163513";"ENSG00000092969";999
"ENSP00000227667";"ENSP00000356969";"ENSG00000110245";"ENSG00000158874";999
"ENSP00000233242";"ENSP00000356969";"ENSG00000084674";"ENSG00000158874";999
"ENSP00000236850";"ENSP00000356969";"ENSG00000118137";"ENSG00000158874";999
"ENSP00000252486";"ENSP00000356969";"ENSG00000130203";"ENSG00000158874";999
"ENSP00000281821";"ENSP00000357393";"ENSG00000116106";"ENSG00000143590";999
"ENSP00000302961";"ENSP00000358081";"ENSG00000170606";"ENSG00000151929";999
"ENSP00000265371";"ENSP00000359077";"ENSG00000099250";"ENSG00000198910";999
"ENSP00000211998";"ENSP00000360293";"ENSG00000035403";"ENSG00000095637";999
"ENSP00000237014";"ENSP00000360522";"ENSG00000118271";"ENSG00000138207";999
"ENSP00000357384";"ENSP00000360638";"ENSG00000179085";"ENSG00000000419";999
"ENSP00000342848";"ENSP00000362057";"ENSG00000188747";"ENSG00000007952";999
"ENSP00000264187";"ENSP00000363827";"ENSG00000116962";"ENSG00000142798";999
"ENSP00000308541";"ENSP00000364709";"ENSG00000180210";"ENSG00000126218";999
"ENSP00000334145";"ENSP00000364709";"ENSG00000117525";"ENSG00000126218";999
"ENSP00000334145";"ENSP00000364731";"ENSG00000117525";"ENSG00000057593";999
"ENSP00000353654";"ENSP00000364979";"ENSG00000134871";"ENSG00000187498";999
"ENSP00000286548";"ENSP00000365006";"ENSG00000156052";"ENSG00000213694";999
"ENSP00000269305";"ENSP00000365230";"ENSG00000141510";"ENSG00000171552";999
"ENSP00000318822";"ENSP00000365230";"ENSG00000015475";"ENSG00000171552";999
"ENSP00000273550";"ENSP00000366525";"ENSG00000167996";"ENSG00000087086";999
"ENSP00000299155";"ENSP00000367064";"ENSG00000166126";"ENSG00000107611";999
"ENSP00000366416";"ENSP00000368683";"ENSG00000136160";"ENSG00000078401";999
"ENSP00000346839";"ENSP00000370542";"ENSG00000115414";"ENSG00000115884";999
"ENSP00000263379";"ENSP00000370698";"ENSG00000104998";"ENSG00000134352";999
"ENSP00000311344";"ENSP00000372042";"ENSG00000137713";"ENSG00000074211";999
"ENSP00000264144";"ENSP00000375778";"ENSG00000058085";"ENSG00000196878";999
"ENSP00000300305";"ENSP00000376436";"ENSG00000159216";"ENSG00000134954";999
"ENSP00000237530";"ENSP00000376472";"ENSG00000118705";"ENSG00000134910";999
"ENSP00000358994";"ENSP00000376753";"ENSG00000196586";"ENSG00000123159";999
"ENSP00000262306";"ENSP00000376808";"ENSG00000103363";"ENSG00000166266";999
"ENSP00000265362";"ENSP00000377061";"ENSG00000075213";"ENSG00000114554";999
"ENSP00000265371";"ENSP00000377061";"ENSG00000099250";"ENSG00000114554";999
"ENSP00000263798";"ENSP00000377783";"ENSG00000092445";"ENSG00000184500";999
"ENSP00000295408";"ENSP00000377783";"ENSG00000153208";"ENSG00000184500";999
"ENSP00000317334";"ENSP00000377958";"ENSG00000120438";"ENSG00000115484";999
"ENSP00000255465";"ENSP00000378699";"ENSG00000133101";"ENSG00000170312";999
"ENSP00000360498";"ENSP00000380466";"ENSG00000182154";"ENSG00000214026";999
"ENSP00000264605";"ENSP00000382177";"ENSG00000115648";"ENSG00000197535";999
"ENSP00000173229";"ENSP00000383303";"ENSG00000065320";"ENSG00000171587";999
"ENSP00000255465";"ENSP00000384849";"ENSG00000133101";"ENSG00000124762";999
"ENSP00000261254";"ENSP00000384849";"ENSG00000118971";"ENSG00000124762";999
