"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000223095";"ENSP00000226218";"ENSG00000106366";"ENSG00000109072";999
"ENSP00000227667";"ENSP00000233242";"ENSG00000110245";"ENSG00000084674";999
"ENSP00000227667";"ENSP00000236850";"ENSG00000110245";"ENSG00000118137";999
"ENSP00000233242";"ENSP00000236850";"ENSG00000084674";"ENSG00000118137";999
"ENSP00000211998";"ENSP00000240123";"ENSG00000035403";"ENSG00000120896";999
"ENSP00000227667";"ENSP00000252486";"ENSG00000110245";"ENSG00000130203";999
"ENSP00000233242";"ENSP00000252486";"ENSG00000084674";"ENSG00000130203";999
"ENSP00000236850";"ENSP00000252486";"ENSG00000118137";"ENSG00000130203";999
"ENSP00000243077";"ENSP00000252486";"ENSG00000123384";"ENSG00000130203";999
"ENSP00000222399";"ENSP00000258341";"ENSG00000091136";"ENSG00000135862";999
"ENSP00000252999";"ENSP00000258341";"ENSG00000130702";"ENSG00000135862";999
"ENSP00000261254";"ENSP00000265734";"ENSG00000118971";"ENSG00000105810";999
"ENSP00000237530";"ENSP00000295770";"ENSG00000118705";"ENSG00000163527";999
"ENSP00000225964";"ENSP00000304408";"ENSG00000108821";"ENSG00000168542";999
"ENSP00000265165";"ENSP00000312987";"ENSG00000138795";"ENSG00000101076";999
"ENSP00000211998";"ENSP00000316029";"ENSG00000035403";"ENSG00000137076";999
"ENSP00000308541";"ENSP00000336829";"ENSG00000180210";"ENSG00000171557";999
"ENSP00000297185";"ENSP00000340019";"ENSG00000113013";"ENSG00000144381";999
"ENSP00000226218";"ENSP00000346839";"ENSG00000109072";"ENSG00000115414";999
"ENSP00000260356";"ENSP00000346839";"ENSG00000137801";"ENSG00000115414";999
"ENSP00000227667";"ENSP00000350425";"ENSG00000110245";"ENSG00000110244";999
"ENSP00000351905";"ENSP00000355896";"ENSG00000163513";"ENSG00000092969";999
"ENSP00000227667";"ENSP00000356969";"ENSG00000110245";"ENSG00000158874";999
"ENSP00000233242";"ENSP00000356969";"ENSG00000084674";"ENSG00000158874";999
"ENSP00000236850";"ENSP00000356969";"ENSG00000118137";"ENSG00000158874";999
"ENSP00000252486";"ENSP00000356969";"ENSG00000130203";"ENSG00000158874";999
"ENSP00000211998";"ENSP00000360293";"ENSG00000035403";"ENSG00000095637";999
"ENSP00000237014";"ENSP00000360522";"ENSG00000118271";"ENSG00000138207";999
"ENSP00000264187";"ENSP00000363827";"ENSG00000116962";"ENSG00000142798";999
"ENSP00000308541";"ENSP00000364709";"ENSG00000180210";"ENSG00000126218";999
"ENSP00000334145";"ENSP00000364709";"ENSG00000117525";"ENSG00000126218";999
"ENSP00000334145";"ENSP00000364731";"ENSG00000117525";"ENSG00000057593";999
"ENSP00000353654";"ENSP00000364979";"ENSG00000134871";"ENSG00000187498";999
"ENSP00000299155";"ENSP00000367064";"ENSG00000166126";"ENSG00000107611";999
"ENSP00000366416";"ENSP00000368683";"ENSG00000136160";"ENSG00000078401";999
"ENSP00000264144";"ENSP00000375778";"ENSG00000058085";"ENSG00000196878";999
"ENSP00000237530";"ENSP00000376472";"ENSG00000118705";"ENSG00000134910";999
"ENSP00000265362";"ENSP00000377061";"ENSG00000075213";"ENSG00000114554";999
"ENSP00000263798";"ENSP00000377783";"ENSG00000092445";"ENSG00000184500";999
"ENSP00000295408";"ENSP00000377783";"ENSG00000153208";"ENSG00000184500";999
"ENSP00000317334";"ENSP00000377958";"ENSG00000120438";"ENSG00000115484";999
"ENSP00000005226";"ENSP00000386331";"ENSG00000006611";"ENSG00000137474";999
"ENSP00000355771";"ENSP00000418070";"ENSG00000130396";"ENSG00000177707";999
"ENSP00000257290";"ENSP00000422464";"ENSG00000134853";"ENSG00000145431";999
"ENSP00000261799";"ENSP00000422464";"ENSG00000113721";"ENSG00000145431";999
"ENSP00000419465";"ENSP00000435233";"ENSG00000018408";"ENSG00000187079";999
"ENSP00000380378";"ENSP00000435289";"ENSG00000007168";"ENSG00000168092";999
"ENSP00000302961";"ENSP00000437125";"ENSG00000170606";"ENSG00000109971";999
"ENSP00000359727";"ENSP00000437125";"ENSG00000112208";"ENSG00000109971";999
"ENSP00000227667";"ENSP00000465356";"ENSG00000110245";"ENSG00000130208";999
"ENSP00000252486";"ENSP00000465356";"ENSG00000130203";"ENSG00000130208";999
"ENSP00000435233";"ENSP00000478927";"ENSG00000187079";"ENSG00000137693";999
"ENSP00000349259";"ENSP00000487444";"ENSG00000115306";"ENSG00000197694";999
"ENSP00000281821";"ENSP00000493716";"ENSG00000116106";"ENSG00000125266";999
"ENSP00000447488";"ENSP00000494788";"ENSG00000111052";"ENSG00000147044";999
"ENSP00000252486";"ENSP00000496870";"ENSG00000130203";"ENSG00000081479";999
"ENSP00000367064";"ENSP00000496870";"ENSG00000107611";"ENSG00000081479";999
"ENSP00000308541";"ENSP00000498441";"ENSG00000180210";"ENSG00000171560";999
"ENSP00000336829";"ENSP00000498441";"ENSG00000171557";"ENSG00000171560";999
"ENSP00000222399";"ENSP00000252999";"ENSG00000091136";"ENSG00000130702";998
"ENSP00000264144";"ENSP00000324532";"ENSG00000058085";"ENSG00000053747";998
"ENSP00000284878";"ENSP00000348635";"ENSG00000154639";"ENSG00000160593";998
"ENSP00000217381";"ENSP00000354923";"ENSG00000101400";"ENSG00000198947";998
"ENSP00000304408";"ENSP00000364000";"ENSG00000168542";"ENSG00000204262";998
"ENSP00000324532";"ENSP00000375778";"ENSG00000053747";"ENSG00000196878";998
"ENSP00000309477";"ENSP00000390265";"ENSG00000122729";"ENSG00000138413";998
"ENSP00000354111";"ENSP00000437125";"ENSG00000101152";"ENSG00000109971";998
"ENSP00000360522";"ENSP00000456609";"ENSG00000138207";"ENSG00000137868";998
"ENSP00000236850";"ENSP00000465356";"ENSG00000118137";"ENSG00000130208";998
"ENSP00000361027";"ENSP00000478927";"ENSG00000126016";"ENSG00000137693";998
"ENSP00000376808";"ENSP00000481249";"ENSG00000166266";"ENSG00000120833";998
"ENSP00000467141";"ENSP00000484342";"ENSG00000155657";"ENSG00000183091";998
"ENSP00000299155";"ENSP00000496870";"ENSG00000166126";"ENSG00000081479";998
"ENSP00000258341";"ENSP00000264187";"ENSG00000135862";"ENSG00000116962";997
"ENSP00000249373";"ENSP00000295731";"ENSG00000128602";"ENSG00000163501";997
"ENSP00000256078";"ENSP00000303192";"ENSG00000133703";"ENSG00000143344";997
"ENSP00000286201";"ENSP00000325526";"ENSG00000155760";"ENSG00000085741";997
"ENSP00000200453";"ENSP00000341779";"ENSG00000087074";"ENSG00000186298";997
"ENSP00000264187";"ENSP00000346839";"ENSG00000116962";"ENSG00000115414";997
"ENSP00000349259";"ENSP00000349588";"ENSG00000115306";"ENSG00000145362";997
"ENSP00000254719";"ENSP00000351185";"ENSG00000132383";"ENSG00000138346";997
"ENSP00000341247";"ENSP00000353741";"ENSG00000189369";"ENSG00000120705";997
"ENSP00000346839";"ENSP00000355330";"ENSG00000115414";"ENSG00000198959";997
"ENSP00000265838";"ENSP00000358414";"ENSG00000075239";"ENSG00000134240";997
"ENSP00000302961";"ENSP00000359727";"ENSG00000170606";"ENSG00000112208";997
"ENSP00000327336";"ENSP00000363827";"ENSG00000182492";"ENSG00000142798";997
"ENSP00000265689";"ENSP00000368439";"ENSG00000110721";"ENSG00000102230";997
