"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000292614";"ENSP00000301788";"ENSG00000005075";"ENSG00000168002";999
"ENSP00000200181";"ENSP00000323856";"ENSG00000132470";"ENSG00000178209";999
"ENSP00000269305";"ENSP00000340989";"ENSG00000141510";"ENSG00000175793";999
"ENSP00000173229";"ENSP00000341198";"ENSG00000065320";"ENSG00000067141";999
"ENSP00000347591";"ENSP00000347942";"ENSG00000151892";"ENSG00000165731";999
"ENSP00000269305";"ENSP00000354218";"ENSG00000141510";"ENSG00000104881";999
"ENSP00000265371";"ENSP00000359077";"ENSG00000099250";"ENSG00000198910";999
"ENSP00000286548";"ENSP00000365006";"ENSG00000156052";"ENSG00000213694";999
"ENSP00000358994";"ENSP00000376753";"ENSG00000196586";"ENSG00000123159";999
"ENSP00000360498";"ENSP00000380466";"ENSG00000182154";"ENSG00000214026";999
"ENSP00000264605";"ENSP00000382177";"ENSG00000115648";"ENSG00000197535";999
"ENSP00000173229";"ENSP00000383303";"ENSG00000065320";"ENSG00000171587";999
"ENSP00000255465";"ENSP00000384849";"ENSG00000133101";"ENSG00000124762";999
"ENSP00000269305";"ENSP00000384849";"ENSG00000141510";"ENSG00000124762";999
"ENSP00000378323";"ENSP00000389377";"ENSG00000138814";"ENSG00000131196";999
"ENSP00000371638";"ENSP00000392617";"ENSG00000080503";"ENSG00000108604";999
"ENSP00000379204";"ENSP00000401907";"ENSG00000101144";"ENSG00000138696";999
"ENSP00000361066";"ENSP00000405330";"ENSG00000124151";"ENSG00000091831";999
"ENSP00000254066";"ENSP00000419692";"ENSG00000131759";"ENSG00000186350";999
"ENSP00000364898";"ENSP00000472929";"ENSG00000165025";"ENSG00000141968";999
"ENSP00000265371";"ENSP00000480680";"ENSG00000099250";"ENSG00000012171";999
"ENSP00000405330";"ENSP00000497069";"ENSG00000091831";"ENSG00000140443";999
"ENSP00000265361";"ENSP00000265371";"ENSG00000075223";"ENSG00000099250";998
"ENSP00000263734";"ENSP00000307479";"ENSG00000116016";"ENSG00000172379";998
"ENSP00000271628";"ENSP00000358554";"ENSG00000143368";"ENSG00000116752";998
"ENSP00000244007";"ENSP00000364898";"ENSG00000124181";"ENSG00000165025";998
"ENSP00000250448";"ENSP00000405330";"ENSG00000129514";"ENSG00000091831";998
"ENSP00000339191";"ENSP00000405330";"ENSG00000105974";"ENSG00000091831";998
"ENSP00000244007";"ENSP00000472929";"ENSG00000124181";"ENSG00000141968";998
"ENSP00000286639";"ENSP00000303315";"ENSG00000156127";"ENSG00000171223";997
"ENSP00000276689";"ENSP00000317159";"ENSG00000147684";"ENSG00000179091";997
"ENSP00000361066";"ENSP00000363822";"ENSG00000124151";"ENSG00000169083";997
"ENSP00000359073";"ENSP00000364898";"ENSG00000134215";"ENSG00000165025";997
"ENSP00000250448";"ENSP00000368632";"ENSG00000129514";"ENSG00000107485";997
"ENSP00000369689";"ENSP00000378323";"ENSG00000178372";"ENSG00000138814";997
"ENSP00000303145";"ENSP00000358105";"ENSG00000170348";"ENSG00000117362";996
"ENSP00000250448";"ENSP00000363822";"ENSG00000129514";"ENSG00000169083";996
"ENSP00000339191";"ENSP00000369689";"ENSG00000105974";"ENSG00000178372";996
"ENSP00000357283";"ENSP00000433760";"ENSG00000160789";"ENSG00000175334";996
"ENSP00000265371";"ENSP00000496491";"ENSG00000099250";"ENSG00000170381";996
"ENSP00000262306";"ENSP00000263734";"ENSG00000103363";"ENSG00000116016";995
"ENSP00000262094";"ENSP00000264605";"ENSG00000041353";"ENSG00000115648";995
"ENSP00000006275";"ENSP00000373979";"ENSG00000007255";"ENSG00000167632";995
"ENSP00000265371";"ENSP00000376753";"ENSG00000099250";"ENSG00000123159";995
"ENSP00000384849";"ENSP00000451828";"ENSG00000124762";"ENSG00000142208";995
"ENSP00000263025";"ENSP00000269305";"ENSG00000102882";"ENSG00000141510";994
"ENSP00000350719";"ENSP00000357283";"ENSG00000054654";"ENSG00000160789";994
"ENSP00000269305";"ENSP00000451828";"ENSG00000141510";"ENSG00000142208";994
"ENSP00000379098";"ENSP00000499717";"ENSG00000058404";"ENSG00000198668";993
"ENSP00000239938";"ENSP00000300131";"ENSG00000120738";"ENSG00000166886";992
"ENSP00000284292";"ENSP00000369689";"ENSG00000154146";"ENSG00000178372";992
"ENSP00000269305";"ENSP00000405330";"ENSG00000141510";"ENSG00000091831";992
"ENSP00000248553";"ENSP00000451828";"ENSG00000106211";"ENSG00000142208";991
"ENSP00000271628";"ENSP00000469468";"ENSG00000143368";"ENSG00000130520";991
"ENSP00000222254";"ENSP00000267101";"ENSG00000105647";"ENSG00000065361";990
"ENSP00000159060";"ENSP00000342848";"ENSG00000074771";"ENSG00000188747";989
"ENSP00000300305";"ENSP00000368632";"ENSG00000159216";"ENSG00000107485";989
"ENSP00000201031";"ENSP00000457230";"ENSG00000087510";"ENSG00000186153";989
"ENSP00000369689";"ENSP00000379098";"ENSG00000178372";"ENSG00000058404";988
"ENSP00000361066";"ENSP00000419692";"ENSG00000124151";"ENSG00000186350";988
"ENSP00000302289";"ENSP00000448071";"ENSG00000170571";"ENSG00000118596";988
"ENSP00000202556";"ENSP00000269305";"ENSG00000088808";"ENSG00000141510";986
"ENSP00000296181";"ENSP00000315190";"ENSG00000082781";"ENSG00000005884";986
"ENSP00000269305";"ENSP00000377192";"ENSG00000141510";"ENSG00000160211";986
"ENSP00000358582";"ENSP00000403362";"ENSG00000134262";"ENSG00000161203";986
"ENSP00000378323";"ENSP00000499717";"ENSG00000138814";"ENSG00000198668";986
"ENSP00000351908";"ENSP00000451828";"ENSG00000197442";"ENSG00000142208";985
"ENSP00000340989";"ENSP00000405330";"ENSG00000175793";"ENSG00000091831";984
"ENSP00000359077";"ENSP00000481841";"ENSG00000198910";"ENSG00000272398";984
"ENSP00000217740";"ENSP00000497271";"ENSG00000101695";"ENSG00000115267";984
"ENSP00000370896";"ENSP00000405330";"ENSG00000196208";"ENSG00000091831";983
"ENSP00000200181";"ENSP00000315190";"ENSG00000132470";"ENSG00000005884";982
"ENSP00000368632";"ENSP00000405330";"ENSG00000107485";"ENSG00000091831";982
"ENSP00000286548";"ENSP00000450482";"ENSG00000156052";"ENSG00000168398";982
"ENSP00000225577";"ENSP00000451828";"ENSG00000108443";"ENSG00000142208";982
"ENSP00000263025";"ENSP00000405330";"ENSG00000102882";"ENSG00000091831";981
"ENSP00000363822";"ENSP00000405330";"ENSG00000169083";"ENSG00000091831";981
"ENSP00000248553";"ENSP00000358081";"ENSG00000106211";"ENSG00000151929";980
"ENSP00000305988";"ENSP00000359077";"ENSG00000170017";"ENSG00000198910";979
"ENSP00000369689";"ENSP00000405330";"ENSG00000178372";"ENSG00000091831";979
"ENSP00000358105";"ENSP00000498587";"ENSG00000117362";"ENSG00000148400";979
"ENSP00000291527";"ENSP00000405330";"ENSG00000160182";"ENSG00000091831";978
"ENSP00000283249";"ENSP00000315190";"ENSG00000115221";"ENSG00000005884";977
"ENSP00000287394";"ENSP00000405330";"ENSG00000156802";"ENSG00000091831";977
"ENSP00000329858";"ENSP00000438349";"ENSG00000183665";"ENSG00000173113";977
"ENSP00000408025";"ENSP00000496166";"ENSG00000165140";"ENSG00000149925";977
"ENSP00000262306";"ENSP00000291900";"ENSG00000103363";"ENSG00000160445";976
"ENSP00000268679";"ENSP00000300305";"ENSG00000129993";"ENSG00000159216";976
"ENSP00000253458";"ENSP00000328269";"ENSG00000131149";"ENSG00000064961";975
"ENSP00000267101";"ENSP00000379092";"ENSG00000065361";"ENSG00000174808";975
"ENSP00000265641";"ENSP00000422607";"ENSG00000110090";"ENSG00000151726";975
"ENSP00000255465";"ENSP00000269305";"ENSG00000133101";"ENSG00000141510";974
"ENSP00000286548";"ENSP00000358548";"ENSG00000156052";"ENSG00000213281";974
"ENSP00000237596";"ENSP00000406191";"ENSG00000118762";"ENSG00000111199";974
"ENSP00000222725";"ENSP00000498587";"ENSG00000106003";"ENSG00000148400";973
"ENSP00000256495";"ENSP00000338283";"ENSG00000134107";"ENSG00000170485";972
"ENSP00000357265";"ENSP00000442736";"ENSG00000196189";"ENSG00000198753";972
"ENSP00000222254";"ENSP00000451828";"ENSG00000105647";"ENSG00000142208";971
"ENSP00000354511";"ENSP00000478561";"ENSG00000093010";"ENSG00000138061";971
"ENSP00000339191";"ENSP00000497069";"ENSG00000105974";"ENSG00000140443";971
"ENSP00000239938";"ENSP00000303315";"ENSG00000120738";"ENSG00000171223";970
"ENSP00000263025";"ENSP00000358548";"ENSG00000102882";"ENSG00000213281";970
"ENSP00000351908";"ENSP00000384849";"ENSG00000197442";"ENSG00000124762";970
"ENSP00000222725";"ENSP00000263388";"ENSG00000106003";"ENSG00000074181";969
"ENSP00000239938";"ENSP00000269305";"ENSG00000120738";"ENSG00000141510";969
"ENSP00000344741";"ENSP00000348069";"ENSG00000186480";"ENSG00000072310";969
"ENSP00000436812";"ENSP00000484824";"ENSG00000117983";"ENSG00000185499";969
"ENSP00000262094";"ENSP00000440704";"ENSG00000041353";"ENSG00000142765";968
"ENSP00000269305";"ENSP00000407442";"ENSG00000141510";"ENSG00000163349";967
"ENSP00000269305";"ENSP00000484824";"ENSG00000141510";"ENSG00000185499";966
"ENSP00000282561";"ENSP00000339191";"ENSG00000152661";"ENSG00000105974";965
"ENSP00000328269";"ENSP00000360526";"ENSG00000064961";"ENSG00000171940";965
"ENSP00000336666";"ENSP00000403362";"ENSG00000106367";"ENSG00000161203";965
"ENSP00000240100";"ENSP00000263025";"ENSG00000120875";"ENSG00000102882";964
"ENSP00000300131";"ENSP00000318057";"ENSG00000166886";"ENSG00000179388";964
"ENSP00000248553";"ENSP00000323856";"ENSG00000106211";"ENSG00000178209";964
"ENSP00000336666";"ENSP00000358582";"ENSG00000106367";"ENSG00000134262";964
"ENSP00000222254";"ENSP00000364898";"ENSG00000105647";"ENSG00000165025";964
"ENSP00000222254";"ENSP00000497069";"ENSG00000105647";"ENSG00000140443";964
"ENSP00000378360";"ENSP00000497271";"ENSG00000149476";"ENSG00000115267";964
"ENSP00000239938";"ENSP00000263025";"ENSG00000120738";"ENSG00000102882";963
"ENSP00000262138";"ENSP00000301050";"ENSG00000075461";"ENSG00000167535";962
"ENSP00000360608";"ENSP00000369689";"ENSG00000176884";"ENSG00000178372";960
"ENSP00000358548";"ENSP00000497069";"ENSG00000213281";"ENSG00000140443";960
"ENSP00000244007";"ENSP00000267101";"ENSG00000124181";"ENSG00000065361";959
"ENSP00000358548";"ENSP00000369689";"ENSG00000213281";"ENSG00000178372";958
"ENSP00000254066";"ENSP00000388510";"ENSG00000131759";"ENSG00000172819";958
"ENSP00000322832";"ENSP00000441858";"ENSG00000067836";"ENSG00000104093";958
"ENSP00000262662";"ENSP00000269305";"ENSG00000123080";"ENSG00000141510";957
"ENSP00000222254";"ENSP00000422793";"ENSG00000105647";"ENSG00000109452";957
"ENSP00000263025";"ENSP00000451828";"ENSG00000102882";"ENSG00000142208";957
"ENSP00000248553";"ENSP00000269305";"ENSG00000106211";"ENSG00000141510";955
"ENSP00000225577";"ENSP00000405330";"ENSG00000108443";"ENSG00000091831";955
"ENSP00000286548";"ENSP00000386069";"ENSG00000156052";"ENSG00000184160";953
"ENSP00000351790";"ENSP00000366326";"ENSG00000138347";"ENSG00000078114";952
"ENSP00000282928";"ENSP00000435509";"ENSG00000152977";"ENSG00000174963";951
"ENSP00000255380";"ENSP00000286548";"ENSG00000133019";"ENSG00000156052";950
"ENSP00000333019";"ENSP00000361471";"ENSG00000185100";"ENSG00000130707";950
"ENSP00000306844";"ENSP00000442736";"ENSG00000168758";"ENSG00000198753";950
"ENSP00000408025";"ENSP00000494664";"ENSG00000165140";"ENSG00000156515";950
