"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000223095";"ENSP00000226218";"ENSG00000106366";"ENSG00000109072";999
"ENSP00000227667";"ENSP00000233242";"ENSG00000110245";"ENSG00000084674";999
"ENSP00000227667";"ENSP00000236850";"ENSG00000110245";"ENSG00000118137";999
"ENSP00000233242";"ENSP00000236850";"ENSG00000084674";"ENSG00000118137";999
"ENSP00000232564";"ENSP00000248150";"ENSG00000114450";"ENSG00000127588";999
"ENSP00000249501";"ENSP00000249504";"ENSG00000128710";"ENSG00000128713";999
"ENSP00000227667";"ENSP00000252486";"ENSG00000110245";"ENSG00000130203";999
"ENSP00000233242";"ENSP00000252486";"ENSG00000084674";"ENSG00000130203";999
"ENSP00000236850";"ENSP00000252486";"ENSG00000118137";"ENSG00000130203";999
"ENSP00000243077";"ENSP00000252486";"ENSG00000123384";"ENSG00000130203";999
"ENSP00000283871";"ENSP00000289004";"ENSG00000113924";"ENSG00000158104";999
"ENSP00000273784";"ENSP00000295897";"ENSG00000145192";"ENSG00000163631";999
"ENSP00000306099";"ENSP00000308541";"ENSG00000171564";"ENSG00000180210";999
"ENSP00000265165";"ENSP00000312987";"ENSG00000138795";"ENSG00000101076";999
"ENSP00000250784";"ENSP00000322408";"ENSG00000129824";"ENSG00000012817";999
"ENSP00000281821";"ENSP00000328777";"ENSG00000116106";"ENSG00000184349";999
"ENSP00000306099";"ENSP00000336829";"ENSG00000171564";"ENSG00000171557";999
"ENSP00000308541";"ENSP00000336829";"ENSG00000180210";"ENSG00000171557";999
"ENSP00000328777";"ENSP00000337451";"ENSG00000184349";"ENSG00000044524";999
"ENSP00000222693";"ENSP00000339191";"ENSG00000105971";"ENSG00000105974";999
"ENSP00000244869";"ENSP00000342235";"ENSG00000124882";"ENSG00000178568";999
"ENSP00000267101";"ENSP00000342235";"ENSG00000065361";"ENSG00000178568";999
"ENSP00000155093";"ENSP00000342812";"ENSG00000067646";"ENSG00000114374";999
"ENSP00000322408";"ENSP00000342812";"ENSG00000012817";"ENSG00000114374";999
"ENSP00000226218";"ENSP00000346839";"ENSG00000109072";"ENSG00000115414";999
"ENSP00000260356";"ENSP00000346839";"ENSG00000137801";"ENSG00000115414";999
"ENSP00000227667";"ENSP00000350425";"ENSG00000110245";"ENSG00000110244";999
"ENSP00000322408";"ENSP00000353284";"ENSG00000012817";"ENSG00000067048";999
"ENSP00000342812";"ENSP00000353284";"ENSG00000114374";"ENSG00000067048";999
"ENSP00000250784";"ENSP00000354722";"ENSG00000129824";"ENSG00000198692";999
"ENSP00000322408";"ENSP00000354722";"ENSG00000012817";"ENSG00000198692";999
"ENSP00000342812";"ENSP00000354722";"ENSG00000114374";"ENSG00000198692";999
"ENSP00000353284";"ENSP00000354722";"ENSG00000067048";"ENSG00000198692";999
"ENSP00000267101";"ENSP00000354910";"ENSG00000065361";"ENSG00000158458";999
"ENSP00000342235";"ENSP00000354910";"ENSG00000178568";"ENSG00000158458";999
"ENSP00000290866";"ENSP00000355627";"ENSG00000159640";"ENSG00000135744";999
"ENSP00000308541";"ENSP00000356671";"ENSG00000180210";"ENSG00000117601";999
"ENSP00000308541";"ENSP00000356771";"ENSG00000180210";"ENSG00000198734";999
"ENSP00000227667";"ENSP00000356969";"ENSG00000110245";"ENSG00000158874";999
"ENSP00000233242";"ENSP00000356969";"ENSG00000084674";"ENSG00000158874";999
"ENSP00000236850";"ENSP00000356969";"ENSG00000118137";"ENSG00000158874";999
"ENSP00000252486";"ENSP00000356969";"ENSG00000130203";"ENSG00000158874";999
"ENSP00000328777";"ENSP00000358309";"ENSG00000184349";"ENSG00000135333";999
"ENSP00000232564";"ENSP00000360021";"ENSG00000114450";"ENSG00000172380";999
"ENSP00000237014";"ENSP00000360522";"ENSG00000118271";"ENSG00000138207";999
"ENSP00000342235";"ENSP00000361214";"ENSG00000178568";"ENSG00000185737";999
"ENSP00000236850";"ENSP00000363868";"ENSG00000118137";"ENSG00000165029";999
"ENSP00000308541";"ENSP00000364709";"ENSG00000180210";"ENSG00000126218";999
"ENSP00000353654";"ENSP00000364979";"ENSG00000134871";"ENSG00000187498";999
"ENSP00000362690";"ENSP00000368253";"ENSG00000136931";"ENSG00000169297";999
"ENSP00000245907";"ENSP00000378131";"ENSG00000125730";"ENSG00000205403";999
"ENSP00000346839";"ENSP00000380227";"ENSG00000115414";"ENSG00000115232";999
"ENSP00000328777";"ENSP00000383053";"ENSG00000184349";"ENSG00000133216";999
"ENSP00000259206";"ENSP00000386380";"ENSG00000136689";"ENSG00000115594";999
"ENSP00000259396";"ENSP00000394936";"ENSG00000229314";"ENSG00000228278";999
"ENSP00000245451";"ENSP00000401907";"ENSG00000125378";"ENSG00000138696";999
"ENSP00000379204";"ENSP00000401907";"ENSG00000101144";"ENSG00000138696";999
"ENSP00000173229";"ENSP00000406022";"ENSG00000065320";"ENSG00000182168";999
"ENSP00000260356";"ENSP00000415743";"ENSG00000137801";"ENSG00000135218";999
"ENSP00000396688";"ENSP00000415941";"ENSG00000244731";"ENSG00000224389";999
"ENSP00000266058";"ENSP00000417335";"ENSG00000187122";"ENSG00000185008";999
"ENSP00000417404";"ENSP00000420525";"ENSG00000010704";"ENSG00000106327";999
"ENSP00000417335";"ENSP00000422591";"ENSG00000185008";"ENSG00000145147";999
"ENSP00000296518";"ENSP00000426786";"ENSG00000164116";"ENSG00000061918";999
"ENSP00000233242";"ENSP00000427679";"ENSG00000084674";"ENSG00000138823";999
"ENSP00000364898";"ENSP00000472929";"ENSG00000165025";"ENSG00000141968";999
"ENSP00000328777";"ENSP00000480763";"ENSG00000184349";"ENSG00000145242";999
"ENSP00000221166";"ENSP00000482169";"ENSG00000104722";"ENSG00000277586";999
"ENSP00000281821";"ENSP00000493716";"ENSG00000116106";"ENSG00000125266";999
"ENSP00000383053";"ENSP00000493716";"ENSG00000133216";"ENSG00000125266";999
"ENSP00000252486";"ENSP00000496870";"ENSG00000130203";"ENSG00000081479";999
"ENSP00000306099";"ENSP00000498441";"ENSG00000171564";"ENSG00000171560";999
"ENSP00000308541";"ENSP00000498441";"ENSG00000180210";"ENSG00000171560";999
"ENSP00000336829";"ENSP00000498441";"ENSG00000171557";"ENSG00000171560";999
"ENSP00000236850";"ENSP00000295897";"ENSG00000118137";"ENSG00000163631";998
"ENSP00000259396";"ENSP00000295897";"ENSG00000229314";"ENSG00000163631";998
"ENSP00000236850";"ENSP00000317674";"ENSG00000118137";"ENSG00000100342";998
"ENSP00000295897";"ENSP00000346839";"ENSG00000163631";"ENSG00000115414";998
"ENSP00000356671";"ENSP00000364709";"ENSG00000117601";"ENSG00000126218";998
"ENSP00000264634";"ENSP00000364860";"ENSG00000114251";"ENSG00000169071";998
"ENSP00000370129";"ENSP00000370254";"ENSG00000151632";"ENSG00000187134";998
"ENSP00000244869";"ENSP00000379097";"ENSG00000124882";"ENSG00000109321";998
"ENSP00000295897";"ENSP00000394936";"ENSG00000163631";"ENSG00000228278";998
"ENSP00000245907";"ENSP00000396688";"ENSG00000125730";"ENSG00000244731";998
"ENSP00000356037";"ENSP00000396688";"ENSG00000123838";"ENSG00000244731";998
"ENSP00000245907";"ENSP00000415941";"ENSG00000125730";"ENSG00000224389";998
"ENSP00000356037";"ENSP00000415941";"ENSG00000123838";"ENSG00000224389";998
