"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000223095";"ENSP00000226218";"ENSG00000106366";"ENSG00000109072";999
"ENSP00000227667";"ENSP00000233242";"ENSG00000110245";"ENSG00000084674";999
"ENSP00000227667";"ENSP00000236850";"ENSG00000110245";"ENSG00000118137";999
"ENSP00000233242";"ENSP00000236850";"ENSG00000084674";"ENSG00000118137";999
"ENSP00000227667";"ENSP00000252486";"ENSG00000110245";"ENSG00000130203";999
"ENSP00000233242";"ENSP00000252486";"ENSG00000084674";"ENSG00000130203";999
"ENSP00000236850";"ENSP00000252486";"ENSG00000118137";"ENSG00000130203";999
"ENSP00000243077";"ENSP00000252486";"ENSG00000123384";"ENSG00000130203";999
"ENSP00000283871";"ENSP00000289004";"ENSG00000113924";"ENSG00000158104";999
"ENSP00000273784";"ENSP00000295897";"ENSG00000145192";"ENSG00000163631";999
"ENSP00000306099";"ENSP00000308541";"ENSG00000171564";"ENSG00000180210";999
"ENSP00000250784";"ENSP00000322408";"ENSG00000129824";"ENSG00000012817";999
"ENSP00000306099";"ENSP00000336829";"ENSG00000171564";"ENSG00000171557";999
"ENSP00000308541";"ENSP00000336829";"ENSG00000180210";"ENSG00000171557";999
"ENSP00000155093";"ENSP00000342812";"ENSG00000067646";"ENSG00000114374";999
"ENSP00000322408";"ENSP00000342812";"ENSG00000012817";"ENSG00000114374";999
"ENSP00000226218";"ENSP00000346839";"ENSG00000109072";"ENSG00000115414";999
"ENSP00000260356";"ENSP00000346839";"ENSG00000137801";"ENSG00000115414";999
"ENSP00000227667";"ENSP00000350425";"ENSG00000110245";"ENSG00000110244";999
"ENSP00000322408";"ENSP00000353284";"ENSG00000012817";"ENSG00000067048";999
"ENSP00000342812";"ENSP00000353284";"ENSG00000114374";"ENSG00000067048";999
"ENSP00000250784";"ENSP00000354722";"ENSG00000129824";"ENSG00000198692";999
"ENSP00000322408";"ENSP00000354722";"ENSG00000012817";"ENSG00000198692";999
"ENSP00000342812";"ENSP00000354722";"ENSG00000114374";"ENSG00000198692";999
"ENSP00000353284";"ENSP00000354722";"ENSG00000067048";"ENSG00000198692";999
"ENSP00000308541";"ENSP00000356671";"ENSG00000180210";"ENSG00000117601";999
"ENSP00000308541";"ENSP00000356771";"ENSG00000180210";"ENSG00000198734";999
"ENSP00000227667";"ENSP00000356969";"ENSG00000110245";"ENSG00000158874";999
"ENSP00000233242";"ENSP00000356969";"ENSG00000084674";"ENSG00000158874";999
"ENSP00000236850";"ENSP00000356969";"ENSG00000118137";"ENSG00000158874";999
"ENSP00000252486";"ENSP00000356969";"ENSG00000130203";"ENSG00000158874";999
"ENSP00000237014";"ENSP00000360522";"ENSG00000118271";"ENSG00000138207";999
"ENSP00000236850";"ENSP00000363868";"ENSG00000118137";"ENSG00000165029";999
"ENSP00000308541";"ENSP00000364709";"ENSG00000180210";"ENSG00000126218";999
"ENSP00000245907";"ENSP00000378131";"ENSG00000125730";"ENSG00000205403";999
"ENSP00000259206";"ENSP00000386380";"ENSG00000136689";"ENSG00000115594";999
"ENSP00000259396";"ENSP00000394936";"ENSG00000229314";"ENSG00000228278";999
"ENSP00000260356";"ENSP00000415743";"ENSG00000137801";"ENSG00000135218";999
"ENSP00000396688";"ENSP00000415941";"ENSG00000244731";"ENSG00000224389";999
"ENSP00000417404";"ENSP00000420525";"ENSG00000010704";"ENSG00000106327";999
"ENSP00000233242";"ENSP00000427679";"ENSG00000084674";"ENSG00000138823";999
"ENSP00000306099";"ENSP00000498441";"ENSG00000171564";"ENSG00000171560";999
"ENSP00000308541";"ENSP00000498441";"ENSG00000180210";"ENSG00000171560";999
"ENSP00000336829";"ENSP00000498441";"ENSG00000171557";"ENSG00000171560";999
"ENSP00000236850";"ENSP00000295897";"ENSG00000118137";"ENSG00000163631";998
"ENSP00000259396";"ENSP00000295897";"ENSG00000229314";"ENSG00000163631";998
"ENSP00000236850";"ENSP00000317674";"ENSG00000118137";"ENSG00000100342";998
"ENSP00000295897";"ENSP00000346839";"ENSG00000163631";"ENSG00000115414";998
"ENSP00000356671";"ENSP00000364709";"ENSG00000117601";"ENSG00000126218";998
"ENSP00000370129";"ENSP00000370254";"ENSG00000151632";"ENSG00000187134";998
"ENSP00000244869";"ENSP00000379097";"ENSG00000124882";"ENSG00000109321";998
"ENSP00000295897";"ENSP00000394936";"ENSG00000163631";"ENSG00000228278";998
"ENSP00000245907";"ENSP00000396688";"ENSG00000125730";"ENSG00000244731";998
"ENSP00000356037";"ENSP00000396688";"ENSG00000123838";"ENSG00000244731";998
"ENSP00000245907";"ENSP00000415941";"ENSG00000125730";"ENSG00000224389";998
"ENSP00000356037";"ENSP00000415941";"ENSG00000123838";"ENSG00000224389";998
"ENSP00000295897";"ENSP00000416066";"ENSG00000163631";"ENSG00000197249";998
"ENSP00000346839";"ENSP00000355330";"ENSG00000115414";"ENSG00000198959";997
"ENSP00000369927";"ENSP00000370129";"ENSG00000196139";"ENSG00000151632";997
"ENSP00000308541";"ENSP00000333203";"ENSG00000180210";"ENSG00000188488";996
"ENSP00000346839";"ENSP00000378517";"ENSG00000115414";"ENSG00000118785";996
"ENSP00000252486";"ENSP00000350425";"ENSG00000130203";"ENSG00000110244";995
"ENSP00000356771";"ENSP00000364709";"ENSG00000198734";"ENSG00000126218";995
"ENSP00000369927";"ENSP00000370254";"ENSG00000196139";"ENSG00000187134";995
"ENSP00000243611";"ENSP00000396688";"ENSG00000123843";"ENSG00000244731";995
"ENSP00000243611";"ENSP00000415941";"ENSG00000123843";"ENSG00000224389";995
"ENSP00000346839";"ENSP00000416330";"ENSG00000115414";"ENSG00000120708";995
"ENSP00000227667";"ENSP00000445002";"ENSG00000110245";"ENSG00000110243";995
"ENSP00000236850";"ENSP00000237014";"ENSG00000118137";"ENSG00000118271";994
"ENSP00000237014";"ENSP00000295897";"ENSG00000118271";"ENSG00000163631";994
"ENSP00000350425";"ENSP00000356969";"ENSG00000110244";"ENSG00000158874";994
"ENSP00000319464";"ENSP00000359446";"ENSG00000178772";"ENSG00000120054";993
"ENSP00000267101";"ENSP00000379097";"ENSG00000065361";"ENSG00000109321";993
"ENSP00000385035";"ENSP00000396688";"ENSG00000182326";"ENSG00000244731";993
"ENSP00000385035";"ENSP00000415941";"ENSG00000182326";"ENSG00000224389";993
"ENSP00000255189";"ENSP00000274353";"ENSG00000132837";"ENSG00000145692";992
"ENSP00000269299";"ENSP00000347140";"ENSG00000141505";"ENSG00000161944";992
"ENSP00000233242";"ENSP00000350425";"ENSG00000084674";"ENSG00000110244";992
"ENSP00000252486";"ENSP00000445002";"ENSG00000130203";"ENSG00000110243";992
"ENSP00000252723";"ENSP00000494504";"ENSG00000130427";"ENSG00000090534";992
"ENSP00000295897";"ENSP00000308541";"ENSG00000163631";"ENSG00000180210";990
"ENSP00000226218";"ENSP00000252486";"ENSG00000109072";"ENSG00000130203";989
"ENSP00000236850";"ENSP00000350425";"ENSG00000118137";"ENSG00000110244";989
"ENSP00000205948";"ENSP00000356969";"ENSG00000091583";"ENSG00000158874";989
"ENSP00000223095";"ENSP00000243077";"ENSG00000106366";"ENSG00000123384";988
"ENSP00000226218";"ENSP00000295897";"ENSG00000109072";"ENSG00000163631";988
"ENSP00000274353";"ENSP00000361287";"ENSG00000145692";"ENSG00000151224";988
