"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000249501";"ENSP00000249504";"ENSG00000128710";"ENSG00000128713";999
"ENSP00000242208";"ENSP00000256759";"ENSG00000122641";"ENSG00000134363";999
"ENSP00000249071";"ENSP00000261623";"ENSG00000128340";"ENSG00000051523";999
"ENSP00000200181";"ENSP00000323856";"ENSG00000132470";"ENSG00000178209";999
"ENSP00000306157";"ENSP00000339804";"ENSG00000168685";"ENSG00000145777";999
"ENSP00000300061";"ENSP00000345751";"ENSG00000166828";"ENSG00000168447";999
"ENSP00000359783";"ENSP00000359787";"ENSG00000137965";"ENSG00000137959";999
"ENSP00000342235";"ENSP00000361214";"ENSG00000178568";"ENSG00000185737";999
"ENSP00000339824";"ENSP00000371790";"ENSG00000068078";"ENSG00000102678";999
"ENSP00000264144";"ENSP00000375778";"ENSG00000058085";"ENSG00000196878";999
"ENSP00000226317";"ENSP00000379110";"ENSG00000124875";"ENSG00000163739";999
"ENSP00000265074";"ENSP00000387159";"ENSG00000113389";"ENSG00000163273";999
"ENSP00000342278";"ENSP00000388001";"ENSG00000111335";"ENSG00000089127";999
"ENSP00000371790";"ENSP00000410294";"ENSG00000102678";"ENSG00000066468";999
"ENSP00000327758";"ENSP00000435712";"ENSG00000183072";"ENSG00000136574";999
"ENSP00000263923";"ENSP00000457421";"ENSG00000128052";"ENSG00000261371";999
"ENSP00000473093";"ENSP00000480637";"ENSG00000221867";"ENSG00000197172";999
"ENSP00000264657";"ENSP00000293328";"ENSG00000168610";"ENSG00000173757";998
"ENSP00000297268";"ENSP00000364000";"ENSG00000164692";"ENSG00000204262";998
"ENSP00000261937";"ENSP00000263923";"ENSG00000037280";"ENSG00000128052";994
"ENSP00000263341";"ENSP00000306512";"ENSG00000125538";"ENSG00000169429";994
"ENSP00000221166";"ENSP00000311997";"ENSG00000104722";"ENSG00000100285";993
"ENSP00000293328";"ENSP00000342235";"ENSG00000173757";"ENSG00000178568";993
"ENSP00000342235";"ENSP00000379097";"ENSG00000178568";"ENSG00000109321";992
"ENSP00000263923";"ENSP00000376123";"ENSG00000128052";"ENSG00000027869";991
"ENSP00000256759";"ENSP00000379204";"ENSG00000134363";"ENSG00000101144";989
"ENSP00000285018";"ENSP00000345785";"ENSG00000154764";"ENSG00000188763";987
"ENSP00000339824";"ENSP00000410294";"ENSG00000068078";"ENSG00000066468";987
"ENSP00000242208";"ENSP00000295228";"ENSG00000122641";"ENSG00000163083";986
"ENSP00000263341";"ENSP00000363089";"ENSG00000125538";"ENSG00000136869";986
"ENSP00000306512";"ENSP00000441600";"ENSG00000169429";"ENSG00000183625";986
"ENSP00000263341";"ENSP00000388566";"ENSG00000125538";"ENSG00000196954";985
"ENSP00000200181";"ENSP00000375778";"ENSG00000132470";"ENSG00000196878";982
"ENSP00000286628";"ENSP00000496939";"ENSG00000156113";"ENSG00000104783";981
"ENSP00000256759";"ENSP00000295228";"ENSG00000134363";"ENSG00000163083";980
"ENSP00000264657";"ENSP00000364898";"ENSG00000168610";"ENSG00000165025";980
"ENSP00000359310";"ENSP00000473093";"ENSG00000198930";"ENSG00000221867";980
"ENSP00000263341";"ENSP00000379110";"ENSG00000125538";"ENSG00000163739";978
