"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000254976";"ENSP00000261205";"ENSG00000132639";"ENSG00000067715";999
"ENSP00000263339";"ENSP00000263341";"ENSG00000115008";"ENSG00000125538";999
"ENSP00000052754";"ENSP00000275493";"ENSG00000011465";"ENSG00000146648";999
"ENSP00000244869";"ENSP00000275493";"ENSG00000124882";"ENSG00000146648";999
"ENSP00000261769";"ENSP00000275493";"ENSG00000039068";"ENSG00000146648";999
"ENSP00000267101";"ENSP00000275493";"ENSG00000065361";"ENSG00000146648";999
"ENSP00000261590";"ENSP00000280904";"ENSG00000046604";"ENSG00000134755";999
"ENSP00000215368";"ENSP00000281821";"ENSG00000099617";"ENSG00000116106";999
"ENSP00000226091";"ENSP00000281821";"ENSG00000108947";"ENSG00000116106";999
"ENSP00000282499";"ENSP00000296526";"ENSG00000152578";"ENSG00000120251";999
"ENSP00000241261";"ENSP00000310263";"ENSG00000121858";"ENSG00000173530";999
"ENSP00000263341";"ENSP00000314807";"ENSG00000125538";"ENSG00000196083";999
"ENSP00000222390";"ENSP00000317272";"ENSG00000019991";"ENSG00000105976";999
"ENSP00000314976";"ENSP00000328133";"ENSG00000016402";"ENSG00000174564";999
"ENSP00000245451";"ENSP00000328181";"ENSG00000125378";"ENSG00000183691";999
"ENSP00000257290";"ENSP00000330382";"ENSG00000134853";"ENSG00000100311";999
"ENSP00000261799";"ENSP00000330382";"ENSG00000113721";"ENSG00000100311";999
"ENSP00000263339";"ENSP00000330959";"ENSG00000115008";"ENSG00000115590";999
"ENSP00000263341";"ENSP00000330959";"ENSG00000125538";"ENSG00000115590";999
"ENSP00000233156";"ENSP00000334145";"ENSG00000003436";"ENSG00000117525";999
"ENSP00000222693";"ENSP00000339191";"ENSG00000105971";"ENSG00000105974";999
"ENSP00000275493";"ENSP00000339191";"ENSG00000146648";"ENSG00000105974";999
"ENSP00000228928";"ENSP00000342278";"ENSG00000111331";"ENSG00000111335";999
"ENSP00000257290";"ENSP00000346508";"ENSG00000134853";"ENSG00000197461";999
"ENSP00000261799";"ENSP00000346508";"ENSG00000113721";"ENSG00000197461";999
"ENSP00000274721";"ENSP00000347942";"ENSG00000146013";"ENSG00000165731";999
"ENSP00000288139";"ENSP00000349320";"ENSG00000157388";"ENSG00000153956";999
"ENSP00000339191";"ENSP00000349541";"ENSG00000105974";"ENSG00000177469";999
"ENSP00000325527";"ENSP00000351807";"ENSG00000166147";"ENSG00000049540";999
"ENSP00000257414";"ENSP00000352882";"ENSG00000092421";"ENSG00000221866";999
"ENSP00000265371";"ENSP00000352882";"ENSG00000099250";"ENSG00000221866";999
"ENSP00000267101";"ENSP00000354910";"ENSG00000065361";"ENSG00000158458";999
"ENSP00000242786";"ENSP00000356030";"ENSG00000123146";"ENSG00000196352";999
"ENSP00000245907";"ENSP00000356030";"ENSG00000125730";"ENSG00000196352";999
"ENSP00000249071";"ENSP00000356505";"ENSG00000128340";"ENSG00000116701";999
"ENSP00000337383";"ENSP00000357112";"ENSG00000162711";"ENSG00000163568";999
"ENSP00000233156";"ENSP00000364709";"ENSG00000003436";"ENSG00000126218";999
"ENSP00000334145";"ENSP00000364709";"ENSG00000117525";"ENSG00000126218";999
"ENSP00000357801";"ENSP00000367263";"ENSG00000197747";"ENSG00000124942";999
"ENSP00000315011";"ENSP00000368683";"ENSG00000151617";"ENSG00000078401";999
"ENSP00000265459";"ENSP00000370483";"ENSG00000110076";"ENSG00000146938";999
"ENSP00000341170";"ENSP00000373700";"ENSG00000105894";"ENSG00000171094";999
"ENSP00000264144";"ENSP00000375778";"ENSG00000058085";"ENSG00000196878";999
"ENSP00000257290";"ENSP00000376865";"ENSG00000134853";"ENSG00000170962";999
"ENSP00000261799";"ENSP00000376865";"ENSG00000113721";"ENSG00000170962";999
"ENSP00000275493";"ENSP00000379092";"ENSG00000146648";"ENSG00000174808";999
"ENSP00000275493";"ENSP00000379097";"ENSG00000146648";"ENSG00000109321";999
"ENSP00000300134";"ENSP00000379111";"ENSG00000166888";"ENSG00000077238";999
"ENSP00000328181";"ENSP00000379204";"ENSG00000183691";"ENSG00000101144";999
"ENSP00000200181";"ENSP00000386896";"ENSG00000132470";"ENSG00000091409";999
"ENSP00000280357";"ENSP00000387211";"ENSG00000150782";"ENSG00000115604";999
"ENSP00000274721";"ENSP00000387435";"ENSG00000146013";"ENSG00000117407";999
"ENSP00000347942";"ENSP00000387435";"ENSG00000165731";"ENSG00000117407";999
"ENSP00000371532";"ENSP00000392423";"ENSG00000147852";"ENSG00000189056";999
"ENSP00000265459";"ENSP00000392500";"ENSG00000110076";"ENSG00000169760";999
"ENSP00000301218";"ENSP00000397026";"ENSG00000105737";"ENSG00000164418";999
"ENSP00000245451";"ENSP00000401907";"ENSG00000125378";"ENSG00000138696";999
"ENSP00000379204";"ENSP00000401907";"ENSG00000101144";"ENSG00000138696";999
"ENSP00000300305";"ENSP00000402257";"ENSG00000159216";"ENSG00000079102";999
"ENSP00000275493";"ENSP00000404131";"ENSG00000146648";"ENSG00000163235";999
"ENSP00000266058";"ENSP00000417335";"ENSG00000187122";"ENSG00000185008";999
"ENSP00000332164";"ENSP00000417335";"ENSG00000184347";"ENSG00000185008";999
"ENSP00000311035";"ENSP00000420298";"ENSG00000163606";"ENSG00000091972";999
"ENSP00000266058";"ENSP00000420321";"ENSG00000187122";"ENSG00000169855";999
"ENSP00000332164";"ENSP00000420321";"ENSG00000184347";"ENSG00000169855";999
"ENSP00000417404";"ENSP00000420525";"ENSG00000010704";"ENSG00000106327";999
"ENSP00000296518";"ENSP00000426786";"ENSG00000164116";"ENSG00000061918";999
"ENSP00000373489";"ENSP00000449404";"ENSG00000111057";"ENSG00000170421";999
"ENSP00000357112";"ENSP00000460475";"ENSG00000163568";"ENSG00000091592";999
"ENSP00000340510";"ENSP00000465630";"ENSG00000118898";"ENSG00000167880";999
"ENSP00000369689";"ENSP00000477999";"ENSG00000178372";"ENSG00000089250";999
"ENSP00000473093";"ENSP00000480637";"ENSG00000221867";"ENSG00000197172";999
"ENSP00000296526";"ENSP00000481554";"ENSG00000120251";"ENSG00000125675";999
"ENSP00000221166";"ENSP00000482169";"ENSG00000104722";"ENSG00000277586";999
"ENSP00000480355";"ENSP00000482270";"ENSG00000215115";"ENSG00000215113";999
"ENSP00000350036";"ENSP00000482546";"ENSG00000077935";"ENSG00000100918";999
"ENSP00000392500";"ENSP00000497806";"ENSG00000169760";"ENSG00000132535";999
"ENSP00000261799";"ENSP00000275493";"ENSG00000113721";"ENSG00000146648";998
"ENSP00000265371";"ENSP00000284136";"ENSG00000099250";"ENSG00000153993";998
"ENSP00000263339";"ENSP00000314807";"ENSG00000115008";"ENSG00000196083";998
"ENSP00000261751";"ENSP00000315602";"ENSG00000117971";"ENSG00000080644";998
"ENSP00000264144";"ENSP00000324532";"ENSG00000058085";"ENSG00000053747";998
"ENSP00000314807";"ENSP00000330959";"ENSG00000196083";"ENSG00000115590";998
"ENSP00000278742";"ENSP00000342098";"ENSG00000149418";"ENSG00000166145";998
"ENSP00000330382";"ENSP00000346508";"ENSG00000100311";"ENSG00000197461";998
"ENSP00000263317";"ENSP00000356505";"ENSG00000086991";"ENSG00000116701";998
"ENSP00000264634";"ENSP00000364860";"ENSG00000114251";"ENSG00000169071";998
"ENSP00000261590";"ENSP00000369129";"ENSG00000046604";"ENSG00000096696";998
"ENSP00000280904";"ENSP00000369129";"ENSG00000134755";"ENSG00000096696";998
"ENSP00000282356";"ENSP00000369689";"ENSG00000152495";"ENSG00000178372";998
"ENSP00000324532";"ENSP00000375778";"ENSG00000053747";"ENSG00000196878";998
"ENSP00000244869";"ENSP00000379097";"ENSG00000124882";"ENSG00000109321";998
"ENSP00000362108";"ENSP00000380437";"ENSG00000148346";"ENSG00000092096";998
"ENSP00000283254";"ENSP00000396915";"ENSG00000153253";"ENSG00000105711";998
"ENSP00000328968";"ENSP00000396915";"ENSG00000183873";"ENSG00000105711";998
"ENSP00000386306";"ENSP00000396915";"ENSG00000169432";"ENSG00000105711";998
"ENSP00000275493";"ENSP00000398632";"ENSG00000146648";"ENSG00000026508";998
"ENSP00000267101";"ENSP00000404131";"ENSG00000065361";"ENSG00000163235";998
"ENSP00000375810";"ENSP00000408979";"ENSG00000104892";"ENSG00000155980";998
"ENSP00000388566";"ENSP00000433209";"ENSG00000196954";"ENSG00000104518";998
"ENSP00000344786";"ENSP00000447006";"ENSG00000163531";"ENSG00000018236";998
"ENSP00000337383";"ENSP00000460475";"ENSG00000162711";"ENSG00000091592";998
"ENSP00000360608";"ENSP00000497806";"ENSG00000176884";"ENSG00000132535";998
"ENSP00000397026";"ENSP00000497806";"ENSG00000164418";"ENSG00000132535";998
"ENSP00000263339";"ENSP00000280357";"ENSG00000115008";"ENSG00000150782";997
"ENSP00000219070";"ENSP00000308208";"ENSG00000087245";"ENSG00000157227";997
"ENSP00000263341";"ENSP00000337383";"ENSG00000125538";"ENSG00000162711";997
"ENSP00000325527";"ENSP00000364685";"ENSG00000166147";"ENSG00000117122";997
"ENSP00000375810";"ENSP00000393379";"ENSG00000104892";"ENSG00000168280";997
"ENSP00000222390";"ENSP00000431418";"ENSG00000019991";"ENSG00000198400";997
"ENSP00000259818";"ENSP00000439020";"ENSG00000137285";"ENSG00000167552";997
"ENSP00000282499";"ENSP00000481554";"ENSG00000152578";"ENSG00000125675";997
"ENSP00000275493";"ENSP00000494162";"ENSG00000146648";"ENSG00000142273";997
"ENSP00000494686";"ENSP00000496255";"ENSG00000126778";"ENSG00000104313";997
"ENSP00000265727";"ENSP00000497806";"ENSG00000008277";"ENSG00000132535";997
"ENSP00000275493";"ENSP00000317272";"ENSG00000146648";"ENSG00000105976";996
"ENSP00000241014";"ENSP00000330572";"ENSG00000121653";"ENSG00000008735";996
"ENSP00000241337";"ENSP00000354357";"ENSG00000213366";"ENSG00000134202";996
"ENSP00000275493";"ENSP00000354910";"ENSG00000146648";"ENSG00000158458";996
"ENSP00000212355";"ENSP00000355896";"ENSG00000069702";"ENSG00000092969";996
"ENSP00000221166";"ENSP00000358865";"ENSG00000104722";"ENSG00000148798";996
"ENSP00000351807";"ENSP00000364685";"ENSG00000049540";"ENSG00000117122";996
"ENSP00000339191";"ENSP00000369689";"ENSG00000105974";"ENSG00000178372";996
"ENSP00000341524";"ENSP00000391311";"ENSG00000125354";"ENSG00000184702";996
"ENSP00000265077";"ENSP00000398632";"ENSG00000038427";"ENSG00000026508";996
"ENSP00000353408";"ENSP00000398632";"ENSG00000147065";"ENSG00000026508";996
"ENSP00000428340";"ENSP00000431418";"ENSG00000154188";"ENSG00000198400";996
"ENSP00000410242";"ENSP00000437621";"ENSG00000073792";"ENSG00000149948";996
"ENSP00000311997";"ENSP00000482169";"ENSG00000100285";"ENSG00000277586";996
"ENSP00000200181";"ENSP00000497653";"ENSG00000132470";"ENSG00000065618";996
"ENSP00000477999";"ENSP00000497806";"ENSG00000089250";"ENSG00000132535";996
"ENSP00000241261";"ENSP00000498466";"ENSG00000121858";"ENSG00000026103";996
"ENSP00000286186";"ENSP00000498466";"ENSG00000003400";"ENSG00000026103";996
"ENSP00000261769";"ENSP00000269141";"ENSG00000039068";"ENSG00000170558";995
"ENSP00000264257";"ENSP00000314807";"ENSG00000115598";"ENSG00000196083";995
"ENSP00000259206";"ENSP00000330959";"ENSG00000136689";"ENSG00000115590";995
"ENSP00000263946";"ENSP00000369129";"ENSG00000081277";"ENSG00000096696";995
"ENSP00000264832";"ENSP00000398632";"ENSG00000090339";"ENSG00000026508";995
"ENSP00000317272";"ENSP00000398632";"ENSG00000105976";"ENSG00000026508";995
"ENSP00000399376";"ENSP00000480132";"ENSG00000171867";"ENSG00000149294";995
"ENSP00000370483";"ENSP00000497806";"ENSG00000146938";"ENSG00000132535";995
"ENSP00000270458";"ENSP00000296526";"ENSG00000142408";"ENSG00000120251";994
"ENSP00000216492";"ENSP00000368244";"ENSG00000100604";"ENSG00000089199";994
"ENSP00000360938";"ENSP00000370737";"ENSG00000123453";"ENSG00000178445";994
"ENSP00000221166";"ENSP00000311997";"ENSG00000104722";"ENSG00000100285";993
"ENSP00000052754";"ENSP00000351807";"ENSG00000011465";"ENSG00000049540";993
"ENSP00000267101";"ENSP00000379097";"ENSG00000065361";"ENSG00000109321";993
"ENSP00000335055";"ENSP00000479719";"ENSG00000132970";"ENSG00000055163";993
"ENSP00000362444";"ENSP00000497806";"ENSG00000116544";"ENSG00000132535";993
"ENSP00000228945";"ENSP00000249071";"ENSG00000111348";"ENSG00000128340";992
"ENSP00000233242";"ENSP00000350425";"ENSG00000084674";"ENSG00000110244";992
"ENSP00000354923";"ENSP00000356515";"ENSG00000198947";"ENSG00000152818";992
"ENSP00000052754";"ENSP00000228251";"ENSG00000011465";"ENSG00000060138";991
"ENSP00000254976";"ENSP00000263864";"ENSG00000132639";"ENSG00000118640";991
"ENSP00000243349";"ENSP00000295228";"ENSG00000123612";"ENSG00000163083";991
"ENSP00000264832";"ENSP00000353408";"ENSG00000090339";"ENSG00000147065";991
"ENSP00000349320";"ENSP00000360423";"ENSG00000153956";"ENSG00000148408";991
"ENSP00000346508";"ENSP00000376865";"ENSG00000197461";"ENSG00000170962";991
"ENSP00000379092";"ENSP00000379097";"ENSG00000174808";"ENSG00000109321";991
"ENSP00000264187";"ENSP00000398632";"ENSG00000116962";"ENSG00000026508";991
"ENSP00000386170";"ENSP00000435712";"ENSG00000164532";"ENSG00000136574";991
"ENSP00000396915";"ENSP00000490107";"ENSG00000105711";"ENSG00000136531";991
"ENSP00000216492";"ENSP00000220478";"ENSG00000100604";"ENSG00000104112";990
"ENSP00000259206";"ENSP00000263339";"ENSG00000136689";"ENSG00000115008";990
"ENSP00000263341";"ENSP00000280357";"ENSG00000125538";"ENSG00000150782";990
"ENSP00000243346";"ENSP00000281043";"ENSG00000123609";"ENSG00000134323";990
"ENSP00000288139";"ENSP00000369689";"ENSG00000157388";"ENSG00000178372";990
"ENSP00000330382";"ENSP00000376865";"ENSG00000100311";"ENSG00000170962";990
"ENSP00000351807";"ENSP00000378957";"ENSG00000049540";"ENSG00000166482";990
"ENSP00000299106";"ENSP00000383376";"ENSG00000166086";"ENSG00000154721";990
"ENSP00000339191";"ENSP00000399376";"ENSG00000105974";"ENSG00000171867";990
"ENSP00000337383";"ENSP00000433209";"ENSG00000162711";"ENSG00000104518";990
"ENSP00000352565";"ENSP00000435712";"ENSG00000164107";"ENSG00000136574";990
"ENSP00000257290";"ENSP00000261799";"ENSG00000134853";"ENSG00000113721";989
"ENSP00000256759";"ENSP00000379204";"ENSG00000134363";"ENSG00000101144";989
"ENSP00000372035";"ENSP00000419465";"ENSG00000150457";"ENSG00000018408";989
"ENSP00000277120";"ENSP00000431418";"ENSG00000148053";"ENSG00000198400";989
"ENSP00000444198";"ENSP00000501092";"ENSG00000164442";"ENSG00000137203";989
"ENSP00000311997";"ENSP00000358865";"ENSG00000100285";"ENSG00000148798";988
"ENSP00000155840";"ENSP00000369689";"ENSG00000053918";"ENSG00000178372";988
"ENSP00000369689";"ENSP00000379098";"ENSG00000178372";"ENSG00000058404";988
"ENSP00000255465";"ENSP00000413720";"ENSG00000133101";"ENSG00000129757";988
"ENSP00000354923";"ENSP00000470152";"ENSG00000198947";"ENSG00000134769";988
"ENSP00000264554";"ENSP00000275493";"ENSG00000129946";"ENSG00000146648";987
"ENSP00000233242";"ENSP00000303208";"ENSG00000084674";"ENSG00000169174";987
"ENSP00000267101";"ENSP00000317272";"ENSG00000065361";"ENSG00000105976";987
"ENSP00000309953";"ENSP00000351807";"ENSG00000172638";"ENSG00000049540";987
"ENSP00000340684";"ENSP00000376776";"ENSG00000189221";"ENSG00000123454";987
"ENSP00000369689";"ENSP00000377372";"ENSG00000178372";"ENSG00000172020";987
"ENSP00000369689";"ENSP00000380958";"ENSG00000178372";"ENSG00000197971";987
"ENSP00000263665";"ENSP00000418112";"ENSG00000113805";"ENSG00000144724";987
"ENSP00000265459";"ENSP00000497806";"ENSG00000110076";"ENSG00000132535";987
"ENSP00000257290";"ENSP00000275493";"ENSG00000134853";"ENSG00000146648";986
"ENSP00000262138";"ENSP00000288139";"ENSG00000075461";"ENSG00000157388";986
"ENSP00000266718";"ENSP00000304408";"ENSG00000139329";"ENSG00000168542";986
"ENSP00000052754";"ENSP00000317272";"ENSG00000011465";"ENSG00000105976";986
"ENSP00000306253";"ENSP00000349588";"ENSG00000150995";"ENSG00000145362";986
"ENSP00000304133";"ENSP00000368244";"ENSG00000171951";"ENSG00000089199";986
"ENSP00000340684";"ENSP00000403644";"ENSG00000189221";"ENSG00000132437";986
"ENSP00000358865";"ENSP00000482169";"ENSG00000148798";"ENSG00000277586";986
"ENSP00000298910";"ENSP00000500990";"ENSG00000188906";"ENSG00000145335";986
"ENSP00000219070";"ENSP00000260356";"ENSG00000087245";"ENSG00000137801";985
"ENSP00000264867";"ENSP00000327213";"ENSG00000109819";"ENSG00000180530";985
"ENSP00000322898";"ENSP00000350844";"ENSG00000164330";"ENSG00000196092";985
"ENSP00000263341";"ENSP00000388566";"ENSG00000125538";"ENSG00000196954";985
"ENSP00000264051";"ENSP00000281821";"ENSG00000066248";"ENSG00000116106";984
"ENSP00000263233";"ENSP00000295987";"ENSG00000102003";"ENSG00000008056";984
"ENSP00000351790";"ENSP00000360762";"ENSG00000138347";"ENSG00000148677";984
"ENSP00000317721";"ENSP00000360938";"ENSG00000179761";"ENSG00000123453";984
"ENSP00000272224";"ENSP00000401907";"ENSG00000143869";"ENSG00000138696";984
"ENSP00000376776";"ENSP00000403644";"ENSG00000123454";"ENSG00000132437";984
"ENSP00000445135";"ENSP00000460475";"ENSG00000022556";"ENSG00000091592";984
"ENSP00000399376";"ENSP00000500990";"ENSG00000171867";"ENSG00000145335";984
"ENSP00000155840";"ENSP00000262186";"ENSG00000053918";"ENSG00000055118";983
"ENSP00000248437";"ENSP00000264071";"ENSG00000127824";"ENSG00000104833";983
"ENSP00000233242";"ENSP00000299022";"ENSG00000084674";"ENSG00000166035";983
"ENSP00000302625";"ENSP00000340347";"ENSG00000168646";"ENSG00000081059";983
"ENSP00000359621";"ENSP00000359640";"ENSG00000055732";"ENSG00000153898";983
"ENSP00000306253";"ENSP00000369689";"ENSG00000150995";"ENSG00000178372";983
"ENSP00000366109";"ENSP00000386881";"ENSG00000135046";"ENSG00000135636";983
"ENSP00000349320";"ENSP00000438949";"ENSG00000153956";"ENSG00000182389";983
"ENSP00000244869";"ENSP00000267101";"ENSG00000124882";"ENSG00000065361";982
"ENSP00000269141";"ENSP00000296526";"ENSG00000170558";"ENSG00000120251";982
"ENSP00000273395";"ENSP00000298743";"ENSG00000144857";"ENSG00000180447";982
"ENSP00000200181";"ENSP00000315190";"ENSG00000132470";"ENSG00000005884";982
