"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000261590";"ENSP00000280904";"ENSG00000046604";"ENSG00000134755";999
"ENSP00000222693";"ENSP00000339191";"ENSG00000105971";"ENSG00000105974";999
"ENSP00000261590";"ENSP00000369129";"ENSG00000046604";"ENSG00000096696";998
"ENSP00000280904";"ENSP00000369129";"ENSG00000134755";"ENSG00000096696";998
"ENSP00000410242";"ENSP00000437621";"ENSG00000073792";"ENSG00000149948";996
"ENSP00000333640";"ENSP00000494686";"ENSG00000064655";"ENSG00000126778";996
"ENSP00000364801";"ENSP00000364802";"ENSG00000204388";"ENSG00000204389";994
"ENSP00000444198";"ENSP00000501092";"ENSG00000164442";"ENSG00000137203";989
"ENSP00000359621";"ENSP00000359640";"ENSG00000055732";"ENSG00000153898";983
"ENSP00000355245";"ENSP00000372170";"ENSG00000198807";"ENSG00000163132";983
"ENSP00000331902";"ENSP00000378340";"ENSG00000188153";"ENSG00000197565";982
"ENSP00000263774";"ENSP00000338641";"ENSG00000213619";"ENSG00000157502";974
"ENSP00000261590";"ENSP00000353608";"ENSG00000046604";"ENSG00000134762";961
"ENSP00000337907";"ENSP00000447488";"ENSG00000150054";"ENSG00000111052";958
"ENSP00000369129";"ENSP00000373489";"ENSG00000096696";"ENSG00000111057";957
"ENSP00000314807";"ENSP00000387211";"ENSG00000196083";"ENSG00000115604";955
"ENSP00000360493";"ENSP00000482581";"ENSG00000124813";"ENSG00000233608";948
"ENSP00000353608";"ENSP00000369129";"ENSG00000134762";"ENSG00000096696";946
"ENSP00000201031";"ENSP00000444198";"ENSG00000087510";"ENSG00000164442";945
"ENSP00000356437";"ENSP00000356444";"ENSG00000111961";"ENSG00000203727";941
"ENSP00000360493";"ENSP00000419465";"ENSG00000124813";"ENSG00000018408";934
"ENSP00000320092";"ENSP00000369981";"ENSG00000140600";"ENSG00000107295";931
"ENSP00000201031";"ENSP00000501092";"ENSG00000087510";"ENSG00000137203";931
"ENSP00000331678";"ENSP00000369129";"ENSG00000184363";"ENSG00000096696";930
"ENSP00000348602";"ENSP00000369981";"ENSG00000078053";"ENSG00000107295";930
"ENSP00000331678";"ENSP00000353608";"ENSG00000184363";"ENSG00000134762";929
"ENSP00000261590";"ENSP00000331678";"ENSG00000046604";"ENSG00000184363";926
"ENSP00000375921";"ENSP00000494686";"ENSG00000135903";"ENSG00000126778";925
"ENSP00000337451";"ENSP00000358309";"ENSG00000044524";"ENSG00000135333";924
"ENSP00000282572";"ENSP00000426359";"ENSG00000152669";"ENSG00000234602";922
