"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000274721";"ENSP00000347942";"ENSG00000146013";"ENSG00000165731";999
"ENSP00000352035";"ENSP00000373648";"ENSG00000075043";"ENSG00000184156";999
"ENSP00000341170";"ENSP00000373700";"ENSG00000105894";"ENSG00000171094";999
"ENSP00000370483";"ENSP00000385142";"ENSG00000146938";"ENSG00000179915";999
"ENSP00000301218";"ENSP00000397026";"ENSG00000105737";"ENSG00000164418";999
"ENSP00000473093";"ENSP00000480637";"ENSG00000221867";"ENSG00000197172";999
"ENSP00000261751";"ENSP00000315602";"ENSG00000117971";"ENSG00000080644";998
"ENSP00000222390";"ENSP00000431418";"ENSG00000019991";"ENSG00000198400";997
"ENSP00000216492";"ENSP00000368244";"ENSG00000100604";"ENSG00000089199";994
"ENSP00000052754";"ENSP00000351807";"ENSG00000011465";"ENSG00000049540";993
"ENSP00000233242";"ENSP00000350425";"ENSG00000084674";"ENSG00000110244";992
"ENSP00000216492";"ENSP00000220478";"ENSG00000100604";"ENSG00000104112";990
"ENSP00000351807";"ENSP00000378957";"ENSG00000049540";"ENSG00000166482";990
"ENSP00000257290";"ENSP00000261799";"ENSG00000134853";"ENSG00000113721";989
"ENSP00000262494";"ENSP00000397181";"ENSG00000087258";"ENSG00000117152";989
"ENSP00000304133";"ENSP00000368244";"ENSG00000171951";"ENSG00000089199";986
"ENSP00000376776";"ENSP00000403644";"ENSG00000123454";"ENSG00000132437";984
"ENSP00000359077";"ENSP00000481841";"ENSG00000198910";"ENSG00000272398";984
"ENSP00000334448";"ENSP00000354859";"ENSG00000186469";"ENSG00000149295";981
"ENSP00000262494";"ENSP00000334448";"ENSG00000087258";"ENSG00000186469";980
"ENSP00000359310";"ENSP00000473093";"ENSG00000198930";"ENSG00000221867";980
"ENSP00000052754";"ENSP00000266718";"ENSG00000011465";"ENSG00000139329";978
"ENSP00000266744";"ENSP00000317333";"ENSG00000139352";"ENSG00000178403";976
"ENSP00000269593";"ENSP00000330658";"ENSG00000141753";"ENSG00000182752";976
"ENSP00000364995";"ENSP00000431418";"ENSG00000148082";"ENSG00000198400";975
"ENSP00000241337";"ENSP00000358851";"ENSG00000213366";"ENSG00000168765";973
"ENSP00000254976";"ENSP00000295987";"ENSG00000132639";"ENSG00000008056";970
"ENSP00000285311";"ENSP00000433112";"ENSG00000155011";"ENSG00000050165";967
"ENSP00000254976";"ENSP00000374036";"ENSG00000132639";"ENSG00000089169";966
"ENSP00000233242";"ENSP00000417138";"ENSG00000084674";"ENSG00000100979";964
"ENSP00000266744";"ENSP00000497479";"ENSG00000139352";"ENSG00000186487";964
"ENSP00000313581";"ENSP00000314151";"ENSG00000167751";"ENSG00000142515";963
"ENSP00000315602";"ENSP00000357461";"ENSG00000080644";"ENSG00000160716";962
"ENSP00000365080";"ENSP00000391088";"ENSG00000204442";"ENSG00000144406";958
"ENSP00000216492";"ENSP00000304133";"ENSG00000100604";"ENSG00000171951";954
"ENSP00000262138";"ENSP00000375647";"ENSG00000075461";"ENSG00000105605";951
"ENSP00000282928";"ENSP00000435509";"ENSG00000152977";"ENSG00000174963";951
"ENSP00000262494";"ENSP00000354859";"ENSG00000087258";"ENSG00000149295";950
"ENSP00000363081";"ENSP00000433112";"ENSG00000107984";"ENSG00000050165";949
"ENSP00000254976";"ENSP00000352544";"ENSG00000132639";"ENSG00000145920";947
"ENSP00000314151";"ENSP00000333203";"ENSG00000142515";"ENSG00000188488";939
"ENSP00000285311";"ENSP00000363081";"ENSG00000155011";"ENSG00000107984";938
"ENSP00000233735";"ENSP00000377456";"ENSG00000115386";"ENSG00000172016";938
"ENSP00000220478";"ENSP00000368244";"ENSG00000104112";"ENSG00000089199";937
"ENSP00000334448";"ENSP00000394624";"ENSG00000186469";"ENSG00000112038";935
"ENSP00000281043";"ENSP00000373700";"ENSG00000134323";"ENSG00000171094";932
"ENSP00000261799";"ENSP00000364995";"ENSG00000113721";"ENSG00000148082";926
"ENSP00000359310";"ENSP00000480637";"ENSG00000198930";"ENSG00000197172";925
"ENSP00000220478";"ENSP00000304133";"ENSG00000104112";"ENSG00000171951";924
"ENSP00000257290";"ENSP00000364995";"ENSG00000134853";"ENSG00000148082";923
"ENSP00000359077";"ENSP00000383392";"ENSG00000198910";"ENSG00000154654";923
"ENSP00000340292";"ENSP00000497482";"ENSG00000185559";"ENSG00000254656";920
"ENSP00000355969";"ENSP00000420295";"ENSG00000198570";"ENSG00000133256";917
"ENSP00000242208";"ENSP00000287139";"ENSG00000122641";"ENSG00000156574";913
"ENSP00000261751";"ENSP00000357461";"ENSG00000117971";"ENSG00000160716";910
"ENSP00000334448";"ENSP00000362353";"ENSG00000186469";"ENSG00000112164";909
"ENSP00000295987";"ENSP00000377372";"ENSG00000008056";"ENSG00000172020";905
"ENSP00000233242";"ENSP00000295834";"ENSG00000084674";"ENSG00000163586";898
"ENSP00000230658";"ENSP00000317333";"ENSG00000016082";"ENSG00000178403";897
"ENSP00000295101";"ENSP00000334448";"ENSG00000162989";"ENSG00000186469";896
"ENSP00000226382";"ENSP00000266744";"ENSG00000109132";"ENSG00000139352";894
"ENSP00000264824";"ENSP00000345681";"ENSG00000104903";"ENSG00000179348";894
"ENSP00000254976";"ENSP00000255224";"ENSG00000132639";"ENSG00000132872";890
"ENSP00000426809";"ENSP00000481841";"ENSG00000007062";"ENSG00000272398";890
"ENSP00000254976";"ENSP00000346265";"ENSG00000132639";"ENSG00000129990";884
"ENSP00000266744";"ENSP00000298231";"ENSG00000139352";"ENSG00000165462";883
"ENSP00000262186";"ENSP00000463533";"ENSG00000055118";"ENSG00000173826";883
"ENSP00000298231";"ENSP00000376776";"ENSG00000165462";"ENSG00000123454";878
"ENSP00000332164";"ENSP00000389140";"ENSG00000184347";"ENSG00000187323";877
"ENSP00000351807";"ENSP00000369677";"ENSG00000049540";"ENSG00000138080";876
"ENSP00000357206";"ENSP00000490614";"ENSG00000132688";"ENSG00000077279";876
"ENSP00000242208";"ENSP00000359940";"ENSG00000122641";"ENSG00000147255";874
"ENSP00000219070";"ENSP00000351807";"ENSG00000087245";"ENSG00000049540";873
"ENSP00000296318";"ENSP00000344967";"ENSG00000144730";"ENSG00000187678";871
"ENSP00000052754";"ENSP00000219070";"ENSG00000011465";"ENSG00000087245";866
"ENSP00000313581";"ENSP00000333203";"ENSG00000167751";"ENSG00000188488";866
"ENSP00000350425";"ENSP00000417138";"ENSG00000110244";"ENSG00000100979";861
"ENSP00000222390";"ENSP00000261799";"ENSG00000019991";"ENSG00000113721";855
"ENSP00000052754";"ENSP00000356791";"ENSG00000011465";"ENSG00000143196";850
"ENSP00000376776";"ENSP00000464215";"ENSG00000123454";"ENSG00000008283";846
"ENSP00000332591";"ENSP00000334448";"ENSG00000185149";"ENSG00000186469";842
"ENSP00000222390";"ENSP00000257290";"ENSG00000019991";"ENSG00000134853";841
"ENSP00000052754";"ENSP00000222390";"ENSG00000011465";"ENSG00000019991";837
"ENSP00000262138";"ENSP00000418081";"ENSG00000075461";"ENSG00000007402";837
"ENSP00000375647";"ENSP00000418081";"ENSG00000105605";"ENSG00000007402";837
"ENSP00000226382";"ENSP00000376776";"ENSG00000109132";"ENSG00000123454";834
"ENSP00000226382";"ENSP00000352565";"ENSG00000109132";"ENSG00000164107";833
"ENSP00000254976";"ENSP00000391311";"ENSG00000132639";"ENSG00000184702";832
"ENSP00000230658";"ENSP00000295108";"ENSG00000016082";"ENSG00000162992";830
"ENSP00000357206";"ENSP00000426809";"ENSG00000132688";"ENSG00000007062";829
"ENSP00000052754";"ENSP00000257290";"ENSG00000011465";"ENSG00000134853";826
"ENSP00000272847";"ENSP00000334448";"ENSG00000144407";"ENSG00000186469";823
"ENSP00000353508";"ENSP00000377372";"ENSG00000078018";"ENSG00000172020";821
"ENSP00000254976";"ENSP00000377372";"ENSG00000132639";"ENSG00000172020";819
"ENSP00000350348";"ENSP00000397026";"ENSG00000196277";"ENSG00000164418";816
"ENSP00000314151";"ENSP00000370473";"ENSG00000142515";"ENSG00000146674";813
"ENSP00000287139";"ENSP00000323155";"ENSG00000156574";"ENSG00000179284";812
"ENSP00000228938";"ENSP00000351807";"ENSG00000111341";"ENSG00000049540";810
"ENSP00000353508";"ENSP00000357206";"ENSG00000078018";"ENSG00000132688";807
"ENSP00000241337";"ENSP00000354677";"ENSG00000213366";"ENSG00000116157";806
"ENSP00000254976";"ENSP00000429562";"ENSG00000132639";"ENSG00000130477";806
"ENSP00000262494";"ENSP00000433001";"ENSG00000087258";"ENSG00000143248";806
"ENSP00000266718";"ENSP00000356791";"ENSG00000139329";"ENSG00000143196";803
"ENSP00000219070";"ENSP00000370473";"ENSG00000087245";"ENSG00000146674";801
"ENSP00000376303";"ENSP00000477141";"ENSG00000169169";"ENSG00000260230";794
"ENSP00000298231";"ENSP00000352565";"ENSG00000165462";"ENSG00000164107";793
"ENSP00000264382";"ENSP00000362353";"ENSG00000090402";"ENSG00000112164";790
