"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000223095";"ENSP00000226218";"ENSG00000106366";"ENSG00000109072";999
"ENSP00000227667";"ENSP00000233242";"ENSG00000110245";"ENSG00000084674";999
"ENSP00000227667";"ENSP00000236850";"ENSG00000110245";"ENSG00000118137";999
"ENSP00000233242";"ENSP00000236850";"ENSG00000084674";"ENSG00000118137";999
"ENSP00000204604";"ENSP00000245451";"ENSG00000090539";"ENSG00000125378";999
"ENSP00000227667";"ENSP00000252486";"ENSG00000110245";"ENSG00000130203";999
"ENSP00000233242";"ENSP00000252486";"ENSG00000084674";"ENSG00000130203";999
"ENSP00000236850";"ENSP00000252486";"ENSG00000118137";"ENSG00000130203";999
"ENSP00000242208";"ENSP00000256759";"ENSG00000122641";"ENSG00000134363";999
"ENSP00000254976";"ENSP00000261205";"ENSG00000132639";"ENSG00000067715";999
"ENSP00000162749";"ENSP00000261464";"ENSG00000067182";"ENSG00000082512";999
"ENSP00000265362";"ENSP00000265371";"ENSG00000075213";"ENSG00000099250";999
"ENSP00000265171";"ENSP00000267101";"ENSG00000138798";"ENSG00000065361";999
"ENSP00000261590";"ENSP00000280904";"ENSG00000046604";"ENSG00000134755";999
"ENSP00000283871";"ENSP00000289004";"ENSG00000113924";"ENSG00000158104";999
"ENSP00000257408";"ENSP00000292408";"ENSG00000134962";"ENSG00000160867";999
"ENSP00000273784";"ENSP00000295897";"ENSG00000145192";"ENSG00000163631";999
"ENSP00000282499";"ENSP00000296526";"ENSG00000152578";"ENSG00000120251";999
"ENSP00000297261";"ENSP00000298743";"ENSG00000164690";"ENSG00000180447";999
"ENSP00000306099";"ENSP00000308541";"ENSG00000171564";"ENSG00000180210";999
"ENSP00000265165";"ENSP00000312987";"ENSG00000138795";"ENSG00000101076";999
"ENSP00000222390";"ENSP00000317272";"ENSG00000019991";"ENSG00000105976";999
"ENSP00000250784";"ENSP00000322408";"ENSG00000129824";"ENSG00000012817";999
"ENSP00000257290";"ENSP00000330382";"ENSG00000134853";"ENSG00000100311";999
"ENSP00000226091";"ENSP00000332118";"ENSG00000108947";"ENSG00000182580";999
"ENSP00000232564";"ENSP00000334448";"ENSG00000114450";"ENSG00000186469";999
"ENSP00000306099";"ENSP00000336829";"ENSG00000171564";"ENSG00000171557";999
"ENSP00000308541";"ENSP00000336829";"ENSG00000180210";"ENSG00000171557";999
"ENSP00000322408";"ENSP00000342812";"ENSG00000012817";"ENSG00000114374";999
"ENSP00000226218";"ENSP00000346839";"ENSG00000109072";"ENSG00000115414";999
"ENSP00000260356";"ENSP00000346839";"ENSG00000137801";"ENSG00000115414";999
"ENSP00000274721";"ENSP00000347942";"ENSG00000146013";"ENSG00000165731";999
"ENSP00000265459";"ENSP00000348169";"ENSG00000110076";"ENSG00000165246";999
"ENSP00000288139";"ENSP00000349320";"ENSG00000157388";"ENSG00000153956";999
"ENSP00000343952";"ENSP00000351671";"ENSG00000112486";"ENSG00000115009";999
"ENSP00000325527";"ENSP00000351807";"ENSG00000166147";"ENSG00000049540";999
"ENSP00000265362";"ENSP00000352882";"ENSG00000075213";"ENSG00000221866";999
"ENSP00000265371";"ENSP00000352882";"ENSG00000099250";"ENSG00000221866";999
"ENSP00000322408";"ENSP00000353284";"ENSG00000012817";"ENSG00000067048";999
"ENSP00000342812";"ENSP00000353284";"ENSG00000114374";"ENSG00000067048";999
"ENSP00000250784";"ENSP00000354722";"ENSG00000129824";"ENSG00000198692";999
"ENSP00000322408";"ENSP00000354722";"ENSG00000012817";"ENSG00000198692";999
"ENSP00000342812";"ENSP00000354722";"ENSG00000114374";"ENSG00000198692";999
"ENSP00000353284";"ENSP00000354722";"ENSG00000067048";"ENSG00000198692";999
"ENSP00000267101";"ENSP00000354910";"ENSG00000065361";"ENSG00000158458";999
"ENSP00000290866";"ENSP00000355627";"ENSG00000159640";"ENSG00000135744";999
"ENSP00000245907";"ENSP00000356030";"ENSG00000125730";"ENSG00000196352";999
"ENSP00000308541";"ENSP00000356671";"ENSG00000180210";"ENSG00000117601";999
"ENSP00000308541";"ENSP00000356771";"ENSG00000180210";"ENSG00000198734";999
"ENSP00000227667";"ENSP00000356969";"ENSG00000110245";"ENSG00000158874";999
"ENSP00000233242";"ENSP00000356969";"ENSG00000084674";"ENSG00000158874";999
"ENSP00000236850";"ENSP00000356969";"ENSG00000118137";"ENSG00000158874";999
"ENSP00000252486";"ENSP00000356969";"ENSG00000130203";"ENSG00000158874";999
"ENSP00000232564";"ENSP00000360021";"ENSG00000114450";"ENSG00000172380";999
"ENSP00000237014";"ENSP00000360522";"ENSG00000118271";"ENSG00000138207";999
"ENSP00000236850";"ENSP00000363868";"ENSG00000118137";"ENSG00000165029";999
"ENSP00000353654";"ENSP00000364979";"ENSG00000134871";"ENSG00000187498";999
"ENSP00000265459";"ENSP00000370483";"ENSG00000110076";"ENSG00000146938";999
"ENSP00000352035";"ENSP00000373648";"ENSG00000075043";"ENSG00000184156";999
"ENSP00000341170";"ENSP00000373700";"ENSG00000105894";"ENSG00000171094";999
"ENSP00000245907";"ENSP00000378131";"ENSG00000125730";"ENSG00000205403";999
"ENSP00000300134";"ENSP00000379111";"ENSG00000166888";"ENSG00000077238";999
"ENSP00000361004";"ENSP00000379111";"ENSG00000123496";"ENSG00000077238";999
"ENSP00000346839";"ENSP00000380227";"ENSG00000115414";"ENSG00000115232";999
"ENSP00000226091";"ENSP00000383053";"ENSG00000108947";"ENSG00000133216";999
"ENSP00000328777";"ENSP00000383053";"ENSG00000184349";"ENSG00000133216";999
"ENSP00000363079";"ENSP00000383690";"ENSG00000165471";"ENSG00000009724";999
"ENSP00000259206";"ENSP00000386380";"ENSG00000136689";"ENSG00000115594";999
"ENSP00000314807";"ENSP00000386380";"ENSG00000196083";"ENSG00000115594";999
"ENSP00000265459";"ENSP00000392500";"ENSG00000110076";"ENSG00000169760";999
"ENSP00000259396";"ENSP00000394936";"ENSG00000229314";"ENSG00000228278";999
"ENSP00000301218";"ENSP00000397026";"ENSG00000105737";"ENSG00000164418";999
"ENSP00000245451";"ENSP00000401907";"ENSG00000125378";"ENSG00000138696";999
"ENSP00000283147";"ENSP00000401907";"ENSG00000153162";"ENSG00000138696";999
"ENSP00000379204";"ENSP00000401907";"ENSG00000101144";"ENSG00000138696";999
"ENSP00000300305";"ENSP00000402257";"ENSG00000159216";"ENSG00000079102";999
"ENSP00000396688";"ENSP00000415941";"ENSG00000244731";"ENSG00000224389";999
"ENSP00000245907";"ENSP00000416561";"ENSG00000125730";"ENSG00000243649";999
"ENSP00000266058";"ENSP00000417335";"ENSG00000187122";"ENSG00000185008";999
"ENSP00000332164";"ENSP00000417335";"ENSG00000184347";"ENSG00000185008";999
"ENSP00000296518";"ENSP00000426786";"ENSG00000164116";"ENSG00000061918";999
"ENSP00000348888";"ENSP00000440066";"ENSG00000162896";"ENSG00000132465";999
"ENSP00000373489";"ENSP00000449404";"ENSG00000111057";"ENSG00000170421";999
"ENSP00000227667";"ENSP00000465356";"ENSG00000110245";"ENSG00000130208";999
"ENSP00000252486";"ENSP00000465356";"ENSG00000130203";"ENSG00000130208";999
"ENSP00000473093";"ENSP00000480637";"ENSG00000221867";"ENSG00000197172";999
"ENSP00000265371";"ENSP00000480680";"ENSG00000099250";"ENSG00000012171";999
