"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000254976";"ENSP00000261205";"ENSG00000132639";"ENSG00000067715";999
"ENSP00000282499";"ENSP00000296526";"ENSG00000152578";"ENSG00000120251";999
"ENSP00000226091";"ENSP00000332118";"ENSG00000108947";"ENSG00000182580";999
"ENSP00000232564";"ENSP00000334448";"ENSG00000114450";"ENSG00000186469";999
"ENSP00000274721";"ENSP00000347942";"ENSG00000146013";"ENSG00000165731";999
"ENSP00000288139";"ENSP00000349320";"ENSG00000157388";"ENSG00000153956";999
"ENSP00000325527";"ENSP00000351807";"ENSG00000166147";"ENSG00000049540";999
"ENSP00000265362";"ENSP00000352882";"ENSG00000075213";"ENSG00000221866";999
"ENSP00000232564";"ENSP00000360021";"ENSG00000114450";"ENSG00000172380";999
"ENSP00000353654";"ENSP00000364979";"ENSG00000134871";"ENSG00000187498";999
"ENSP00000265459";"ENSP00000370483";"ENSG00000110076";"ENSG00000146938";999
"ENSP00000352035";"ENSP00000373648";"ENSG00000075043";"ENSG00000184156";999
"ENSP00000341170";"ENSP00000373700";"ENSG00000105894";"ENSG00000171094";999
"ENSP00000226091";"ENSP00000383053";"ENSG00000108947";"ENSG00000133216";999
"ENSP00000328777";"ENSP00000383053";"ENSG00000184349";"ENSG00000133216";999
"ENSP00000265459";"ENSP00000392500";"ENSG00000110076";"ENSG00000169760";999
"ENSP00000301218";"ENSP00000397026";"ENSG00000105737";"ENSG00000164418";999
"ENSP00000379204";"ENSP00000401907";"ENSG00000101144";"ENSG00000138696";999
"ENSP00000266058";"ENSP00000417335";"ENSG00000187122";"ENSG00000185008";999
"ENSP00000332164";"ENSP00000417335";"ENSG00000184347";"ENSG00000185008";999
"ENSP00000296518";"ENSP00000426786";"ENSG00000164116";"ENSG00000061918";999
"ENSP00000348888";"ENSP00000440066";"ENSG00000162896";"ENSG00000132465";999
"ENSP00000473093";"ENSP00000480637";"ENSG00000221867";"ENSG00000197172";999
"ENSP00000221166";"ENSP00000482169";"ENSG00000104722";"ENSG00000277586";999
"ENSP00000332118";"ENSP00000493716";"ENSG00000182580";"ENSG00000125266";999
"ENSP00000383053";"ENSP00000493716";"ENSG00000133216";"ENSG00000125266";999
"ENSP00000232564";"ENSP00000300873";"ENSG00000114450";"ENSG00000167414";998
"ENSP00000261751";"ENSP00000315602";"ENSG00000117971";"ENSG00000080644";998
"ENSP00000301050";"ENSP00000360423";"ENSG00000167535";"ENSG00000148408";998
"ENSP00000288139";"ENSP00000301050";"ENSG00000157388";"ENSG00000167535";997
"ENSP00000325527";"ENSP00000364685";"ENSG00000166147";"ENSG00000117122";997
"ENSP00000222390";"ENSP00000431418";"ENSG00000019991";"ENSG00000198400";997
"ENSP00000221166";"ENSP00000358865";"ENSG00000104722";"ENSG00000148798";996
"ENSP00000351807";"ENSP00000364685";"ENSG00000049540";"ENSG00000117122";996
"ENSP00000302548";"ENSP00000386498";"ENSG00000170166";"ENSG00000128652";996
"ENSP00000380271";"ENSP00000427018";"ENSG00000091428";"ENSG00000176406";996
"ENSP00000428340";"ENSP00000431418";"ENSG00000154188";"ENSG00000198400";996
"ENSP00000311997";"ENSP00000482169";"ENSG00000100285";"ENSG00000277586";996
"ENSP00000301050";"ENSP00000349320";"ENSG00000167535";"ENSG00000153956";995
"ENSP00000270458";"ENSP00000296526";"ENSG00000142408";"ENSG00000120251";994
"ENSP00000216492";"ENSP00000368244";"ENSG00000100604";"ENSG00000089199";994
"ENSP00000221166";"ENSP00000311997";"ENSG00000104722";"ENSG00000100285";993
"ENSP00000052754";"ENSP00000351807";"ENSG00000011465";"ENSG00000049540";993
"ENSP00000250617";"ENSP00000353864";"ENSG00000129675";"ENSG00000077264";993
"ENSP00000262494";"ENSP00000356529";"ENSG00000087258";"ENSG00000143333";993
"ENSP00000349320";"ENSP00000360423";"ENSG00000153956";"ENSG00000148408";991
"ENSP00000216492";"ENSP00000220478";"ENSG00000100604";"ENSG00000104112";990
"ENSP00000270458";"ENSP00000310003";"ENSG00000142408";"ENSG00000174871";990
"ENSP00000296526";"ENSP00000310003";"ENSG00000120251";"ENSG00000174871";990
"ENSP00000351807";"ENSP00000378957";"ENSG00000049540";"ENSG00000166482";990
"ENSP00000494664";"ENSP00000496597";"ENSG00000156515";"ENSG00000152556";990
"ENSP00000334319";"ENSP00000380271";"ENSG00000186472";"ENSG00000091428";989
"ENSP00000262494";"ENSP00000397181";"ENSG00000087258";"ENSG00000117152";989
"ENSP00000427018";"ENSP00000429562";"ENSG00000176406";"ENSG00000130477";989
"ENSP00000277120";"ENSP00000431418";"ENSG00000148053";"ENSG00000198400";989
"ENSP00000391311";"ENSP00000494051";"ENSG00000184702";"ENSG00000100167";989
"ENSP00000311997";"ENSP00000358865";"ENSG00000100285";"ENSG00000148798";988
"ENSP00000255465";"ENSP00000413720";"ENSG00000133101";"ENSG00000129757";988
"ENSP00000444149";"ENSP00000465734";"ENSG00000139155";"ENSG00000147100";987
"ENSP00000262138";"ENSP00000288139";"ENSG00000075461";"ENSG00000157388";986
"ENSP00000266718";"ENSP00000304408";"ENSG00000139329";"ENSG00000168542";986
"ENSP00000304133";"ENSP00000368244";"ENSG00000171951";"ENSG00000089199";986
"ENSP00000332164";"ENSP00000380903";"ENSG00000184347";"ENSG00000154134";986
"ENSP00000361027";"ENSP00000387739";"ENSG00000126016";"ENSG00000166025";986
"ENSP00000358865";"ENSP00000482169";"ENSG00000148798";"ENSG00000277586";986
"ENSP00000298910";"ENSP00000500990";"ENSG00000188906";"ENSG00000145335";986
"ENSP00000166244";"ENSP00000328777";"ENSG00000070886";"ENSG00000184349";985
"ENSP00000322898";"ENSP00000350844";"ENSG00000164330";"ENSG00000196092";985
"ENSP00000263233";"ENSP00000295987";"ENSG00000102003";"ENSG00000008056";984
"ENSP00000273395";"ENSP00000298743";"ENSG00000144857";"ENSG00000180447";982
"ENSP00000283254";"ENSP00000490107";"ENSG00000153253";"ENSG00000136531";982
"ENSP00000252804";"ENSP00000348645";"ENSG00000130508";"ENSG00000147485";981
"ENSP00000334448";"ENSP00000354859";"ENSG00000186469";"ENSG00000149295";981
"ENSP00000262494";"ENSP00000355523";"ENSG00000087258";"ENSG00000182901";981
"ENSP00000334448";"ENSP00000361009";"ENSG00000186469";"ENSG00000124126";981
"ENSP00000254976";"ENSP00000263233";"ENSG00000132639";"ENSG00000102003";980
"ENSP00000262494";"ENSP00000334448";"ENSG00000087258";"ENSG00000186469";980
"ENSP00000428417";"ENSP00000429562";"ENSG00000079841";"ENSG00000130477";980
"ENSP00000359310";"ENSP00000473093";"ENSG00000198930";"ENSG00000221867";980
"ENSP00000261655";"ENSP00000427018";"ENSG00000060709";"ENSG00000176406";979
"ENSP00000052754";"ENSP00000266718";"ENSG00000011465";"ENSG00000139329";978
"ENSP00000259089";"ENSP00000284486";"ENSG00000136573";"ENSG00000154319";978
"ENSP00000262186";"ENSP00000328968";"ENSG00000055118";"ENSG00000183873";978
"ENSP00000233813";"ENSP00000370473";"ENSG00000115461";"ENSG00000146674";978
"ENSP00000322898";"ENSP00000455426";"ENSG00000164330";"ENSG00000102935";978
"ENSP00000262848";"ENSP00000265717";"ENSG00000183943";"ENSG00000005249";977
"ENSP00000288139";"ENSP00000375647";"ENSG00000157388";"ENSG00000105605";977
"ENSP00000345824";"ENSP00000428417";"ENSG00000005379";"ENSG00000079841";977
"ENSP00000223061";"ENSP00000304408";"ENSG00000106333";"ENSG00000168542";976
"ENSP00000266744";"ENSP00000317333";"ENSG00000139352";"ENSG00000178403";976
"ENSP00000277120";"ENSP00000328777";"ENSG00000148053";"ENSG00000184349";975
"ENSP00000381607";"ENSP00000478561";"ENSG00000084207";"ENSG00000138061";973
"ENSP00000266718";"ENSP00000325527";"ENSG00000139329";"ENSG00000166147";972
"ENSP00000262138";"ENSP00000349320";"ENSG00000075461";"ENSG00000153956";972
"ENSP00000368314";"ENSP00000469242";"ENSG00000091129";"ENSG00000160460";972
"ENSP00000266744";"ENSP00000329170";"ENSG00000139352";"ENSG00000184486";971
"ENSP00000238628";"ENSP00000393541";"ENSG00000119650";"ENSG00000100360";971
"ENSP00000288139";"ENSP00000418081";"ENSG00000157388";"ENSG00000007402";971
"ENSP00000254976";"ENSP00000295987";"ENSG00000132639";"ENSG00000008056";970
"ENSP00000304408";"ENSP00000325527";"ENSG00000168542";"ENSG00000166147";970
"ENSP00000235382";"ENSP00000363092";"ENSG00000116741";"ENSG00000185532";970
"ENSP00000345824";"ENSP00000427018";"ENSG00000005379";"ENSG00000176406";970
"ENSP00000329170";"ENSP00000497479";"ENSG00000184486";"ENSG00000186487";970
"ENSP00000368314";"ENSP00000447006";"ENSG00000091129";"ENSG00000018236";969
"ENSP00000252575";"ENSP00000480132";"ENSG00000130287";"ENSG00000149294";969
"ENSP00000261304";"ENSP00000311648";"ENSG00000054983";"ENSG00000174607";968
"ENSP00000328968";"ENSP00000376523";"ENSG00000183873";"ENSG00000166257";968
"ENSP00000234961";"ENSP00000394624";"ENSG00000116329";"ENSG00000112038";967
"ENSP00000285311";"ENSP00000433112";"ENSG00000155011";"ENSG00000050165";967
"ENSP00000270458";"ENSP00000288139";"ENSG00000142408";"ENSG00000157388";966
"ENSP00000254976";"ENSP00000374036";"ENSG00000132639";"ENSG00000089169";966
"ENSP00000323901";"ENSP00000380379";"ENSG00000180340";"ENSG00000111186";966
"ENSP00000270458";"ENSP00000349320";"ENSG00000142408";"ENSG00000153956";965
"ENSP00000349320";"ENSP00000375647";"ENSG00000153956";"ENSG00000105605";965
"ENSP00000236877";"ENSP00000370669";"ENSG00000118160";"ENSG00000100678";964
"ENSP00000268164";"ENSP00000480132";"ENSG00000140557";"ENSG00000149294";964
"ENSP00000266744";"ENSP00000497479";"ENSG00000139352";"ENSG00000186487";964
"ENSP00000313581";"ENSP00000314151";"ENSG00000167751";"ENSG00000142515";963
"ENSP00000222573";"ENSP00000380227";"ENSG00000105855";"ENSG00000115232";963
"ENSP00000261655";"ENSP00000428417";"ENSG00000060709";"ENSG00000079841";963
"ENSP00000262138";"ENSP00000301050";"ENSG00000075461";"ENSG00000167535";962
"ENSP00000315602";"ENSP00000357461";"ENSG00000080644";"ENSG00000160716";962
"ENSP00000334329";"ENSP00000389140";"ENSG00000107731";"ENSG00000187323";961
"ENSP00000233948";"ENSP00000323901";"ENSG00000115596";"ENSG00000180340";960
"ENSP00000365080";"ENSP00000391088";"ENSG00000204442";"ENSG00000144406";958
"ENSP00000284440";"ENSP00000500990";"ENSG00000154277";"ENSG00000145335";957
"ENSP00000314151";"ENSP00000323036";"ENSG00000142515";"ENSG00000014257";956
"ENSP00000302177";"ENSP00000314036";"ENSG00000143797";"ENSG00000026652";955
"ENSP00000360608";"ENSP00000477999";"ENSG00000176884";"ENSG00000089250";955
"ENSP00000233948";"ENSP00000285311";"ENSG00000115596";"ENSG00000155011";954
"ENSP00000216492";"ENSP00000304133";"ENSG00000100604";"ENSG00000171951";954
"ENSP00000265165";"ENSP00000311825";"ENSG00000138795";"ENSG00000175029";954
"ENSP00000331614";"ENSP00000350844";"ENSG00000185811";"ENSG00000196092";954
"ENSP00000052754";"ENSP00000364685";"ENSG00000011465";"ENSG00000117122";954
"ENSP00000020945";"ENSP00000242261";"ENSG00000019549";"ENSG00000122691";952
"ENSP00000264741";"ENSP00000265131";"ENSG00000144668";"ENSG00000041982";952
"ENSP00000363092";"ENSP00000426786";"ENSG00000185532";"ENSG00000061918";952
"ENSP00000262138";"ENSP00000375647";"ENSG00000075461";"ENSG00000105605";951
"ENSP00000282928";"ENSP00000435509";"ENSG00000152977";"ENSG00000174963";951
"ENSP00000262494";"ENSP00000354859";"ENSG00000087258";"ENSG00000149295";950
"ENSP00000334448";"ENSP00000366233";"ENSG00000186469";"ENSG00000204681";950
"ENSP00000376523";"ENSP00000490107";"ENSG00000166257";"ENSG00000136531";950
"ENSP00000254976";"ENSP00000428417";"ENSG00000132639";"ENSG00000079841";949
"ENSP00000259365";"ENSP00000264436";"ENSG00000136842";"ENSG00000075340";948
"ENSP00000313581";"ENSP00000323036";"ENSG00000167751";"ENSG00000014257";948
"ENSP00000296518";"ENSP00000363092";"ENSG00000164116";"ENSG00000185532";948
"ENSP00000232564";"ENSP00000262494";"ENSG00000114450";"ENSG00000087258";947
"ENSP00000321606";"ENSP00000343690";"ENSG00000072832";"ENSG00000113657";947
"ENSP00000266058";"ENSP00000380903";"ENSG00000187122";"ENSG00000154134";947
"ENSP00000297323";"ENSP00000380271";"ENSG00000164742";"ENSG00000091428";946
"ENSP00000261205";"ENSP00000295987";"ENSG00000067715";"ENSG00000008056";945
"ENSP00000249700";"ENSP00000264436";"ENSG00000128872";"ENSG00000075340";944
"ENSP00000314036";"ENSP00000324944";"ENSG00000026652";"ENSG00000172197";944
"ENSP00000334448";"ENSP00000363553";"ENSG00000186469";"ENSG00000198121";944
"ENSP00000270458";"ENSP00000375647";"ENSG00000142408";"ENSG00000105605";944
"ENSP00000261205";"ENSP00000263233";"ENSG00000067715";"ENSG00000102003";942
"ENSP00000301050";"ENSP00000375647";"ENSG00000167535";"ENSG00000105605";942
"ENSP00000352035";"ENSP00000490107";"ENSG00000075043";"ENSG00000136531";942
"ENSP00000482245";"ENSP00000496255";"ENSG00000276644";"ENSG00000104313";942
"ENSP00000226279";"ENSP00000287713";"ENSG00000004468";"ENSG00000157064";940
"ENSP00000282499";"ENSP00000310003";"ENSG00000152578";"ENSG00000174871";940
"ENSP00000307766";"ENSP00000334448";"ENSG00000168830";"ENSG00000186469";940
"ENSP00000393379";"ENSP00000482169";"ENSG00000168280";"ENSG00000277586";940
"ENSP00000277120";"ENSP00000329668";"ENSG00000148053";"ENSG00000185634";939
"ENSP00000220772";"ENSP00000323901";"ENSG00000104332";"ENSG00000180340";938
"ENSP00000324857";"ENSP00000352882";"ENSG00000137872";"ENSG00000221866";938
"ENSP00000233735";"ENSP00000377456";"ENSG00000115386";"ENSG00000172016";938
"ENSP00000385143";"ENSP00000389140";"ENSG00000156687";"ENSG00000187323";938
"ENSP00000232564";"ENSP00000361009";"ENSG00000114450";"ENSG00000124126";937
"ENSP00000220478";"ENSP00000368244";"ENSG00000104112";"ENSG00000089199";937
"ENSP00000221166";"ENSP00000393379";"ENSG00000104722";"ENSG00000168280";937
"ENSP00000270458";"ENSP00000282499";"ENSG00000142408";"ENSG00000152578";936
"ENSP00000350844";"ENSP00000365720";"ENSG00000196092";"ENSG00000106829";936
"ENSP00000329668";"ENSP00000431418";"ENSG00000185634";"ENSG00000198400";936
"ENSP00000052754";"ENSP00000304408";"ENSG00000011465";"ENSG00000168542";935
"ENSP00000283228";"ENSP00000333685";"ENSG00000153233";"ENSG00000185386";935
"ENSP00000334448";"ENSP00000394624";"ENSG00000186469";"ENSG00000112038";935
"ENSP00000334448";"ENSP00000349003";"ENSG00000186469";"ENSG00000050628";934
"ENSP00000250617";"ENSP00000367686";"ENSG00000129675";"ENSG00000101349";934
"ENSP00000216492";"ENSP00000263233";"ENSG00000100604";"ENSG00000102003";932
"ENSP00000281043";"ENSP00000373700";"ENSG00000134323";"ENSG00000171094";932
"ENSP00000286827";"ENSP00000383053";"ENSG00000156299";"ENSG00000133216";932
"ENSP00000312185";"ENSP00000430945";"ENSG00000155849";"ENSG00000181790";932
"ENSP00000322898";"ENSP00000331614";"ENSG00000164330";"ENSG00000185811";931
"ENSP00000264218";"ENSP00000334448";"ENSG00000109255";"ENSG00000186469";931
"ENSP00000266744";"ENSP00000355001";"ENSG00000139352";"ENSG00000198914";931
"ENSP00000295108";"ENSP00000381382";"ENSG00000162992";"ENSG00000196628";931
"ENSP00000360423";"ENSP00000418081";"ENSG00000148408";"ENSG00000007402";931
"ENSP00000270458";"ENSP00000301050";"ENSG00000142408";"ENSG00000167535";930
"ENSP00000311648";"ENSP00000329697";"ENSG00000174607";"ENSG00000141934";929
"ENSP00000367686";"ENSP00000417335";"ENSG00000101349";"ENSG00000185008";929
"ENSP00000282356";"ENSP00000490614";"ENSG00000152495";"ENSG00000077279";929
"ENSP00000333685";"ENSP00000351908";"ENSG00000185386";"ENSG00000197442";928
"ENSP00000226091";"ENSP00000493716";"ENSG00000108947";"ENSG00000125266";928
"ENSP00000401907";"ENSP00000452126";"ENSG00000138696";"ENSG00000182175";927
