"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000261623";"ENSP00000263317";"ENSG00000051523";"ENSG00000086991";999
"ENSP00000234396";"ENSP00000264649";"ENSG00000116039";"ENSG00000033627";999
"ENSP00000274721";"ENSP00000347942";"ENSG00000146013";"ENSG00000165731";999
"ENSP00000264657";"ENSP00000293328";"ENSG00000168610";"ENSG00000173757";998
"ENSP00000261751";"ENSP00000315602";"ENSG00000117971";"ENSG00000080644";998
"ENSP00000221166";"ENSP00000358865";"ENSG00000104722";"ENSG00000148798";996
"ENSP00000351807";"ENSP00000364685";"ENSG00000049540";"ENSG00000117122";996
"ENSP00000216492";"ENSP00000368244";"ENSG00000100604";"ENSG00000089199";994
"ENSP00000221166";"ENSP00000311997";"ENSG00000104722";"ENSG00000100285";993
"ENSP00000263317";"ENSP00000317997";"ENSG00000086991";"ENSG00000137857";992
"ENSP00000233242";"ENSP00000350425";"ENSG00000084674";"ENSG00000110244";992
"ENSP00000216492";"ENSP00000220478";"ENSG00000100604";"ENSG00000104112";990
"ENSP00000296526";"ENSP00000310003";"ENSG00000120251";"ENSG00000174871";990
"ENSP00000351807";"ENSP00000378957";"ENSG00000049540";"ENSG00000166482";990
"ENSP00000352565";"ENSP00000435712";"ENSG00000164107";"ENSG00000136574";990
"ENSP00000262494";"ENSP00000397181";"ENSG00000087258";"ENSG00000117152";989
"ENSP00000311997";"ENSP00000358865";"ENSG00000100285";"ENSG00000148798";988
"ENSP00000263665";"ENSP00000418112";"ENSG00000113805";"ENSG00000144724";987
"ENSP00000262138";"ENSP00000288139";"ENSG00000075461";"ENSG00000157388";986
"ENSP00000304133";"ENSP00000368244";"ENSG00000171951";"ENSG00000089199";986
"ENSP00000317721";"ENSP00000360938";"ENSG00000179761";"ENSG00000123453";984
"ENSP00000376776";"ENSP00000403644";"ENSG00000123454";"ENSG00000132437";984
"ENSP00000155840";"ENSP00000262186";"ENSG00000053918";"ENSG00000055118";983
"ENSP00000261623";"ENSP00000317997";"ENSG00000051523";"ENSG00000137857";980
"ENSP00000264657";"ENSP00000364898";"ENSG00000168610";"ENSG00000165025";980
"ENSP00000304669";"ENSP00000384638";"ENSG00000044115";"ENSG00000066032";979
"ENSP00000322898";"ENSP00000455426";"ENSG00000164330";"ENSG00000102935";978
"ENSP00000288139";"ENSP00000375647";"ENSG00000157388";"ENSG00000105605";977
"ENSP00000166244";"ENSP00000215368";"ENSG00000070886";"ENSG00000099617";976
"ENSP00000266744";"ENSP00000317333";"ENSG00000139352";"ENSG00000178403";976
"ENSP00000288135";"ENSP00000293328";"ENSG00000157404";"ENSG00000173757";971
"ENSP00000288139";"ENSP00000418081";"ENSG00000157388";"ENSG00000007402";971
"ENSP00000368314";"ENSP00000447006";"ENSG00000091129";"ENSG00000018236";969
"ENSP00000155840";"ENSP00000352035";"ENSG00000053918";"ENSG00000075043";967
"ENSP00000234961";"ENSP00000394624";"ENSG00000116329";"ENSG00000112038";967
"ENSP00000285311";"ENSP00000433112";"ENSG00000155011";"ENSG00000050165";967
"ENSP00000254976";"ENSP00000374036";"ENSG00000132639";"ENSG00000089169";966
"ENSP00000264554";"ENSP00000277120";"ENSG00000129946";"ENSG00000148053";964
"ENSP00000236877";"ENSP00000370669";"ENSG00000118160";"ENSG00000100678";964
"ENSP00000268164";"ENSP00000480132";"ENSG00000140557";"ENSG00000149294";964
"ENSP00000266744";"ENSP00000497479";"ENSG00000139352";"ENSG00000186487";964
"ENSP00000313581";"ENSP00000314151";"ENSG00000167751";"ENSG00000142515";963
"ENSP00000261655";"ENSP00000428417";"ENSG00000060709";"ENSG00000079841";963
"ENSP00000315602";"ENSP00000357461";"ENSG00000080644";"ENSG00000160716";962
"ENSP00000264657";"ENSP00000288135";"ENSG00000168610";"ENSG00000157404";960
"ENSP00000380602";"ENSP00000418112";"ENSG00000144619";"ENSG00000144724";960
"ENSP00000365080";"ENSP00000391088";"ENSG00000204442";"ENSG00000144406";958
"ENSP00000225916";"ENSP00000499501";"ENSG00000108773";"ENSG00000273213";956
"ENSP00000233948";"ENSP00000285311";"ENSG00000115596";"ENSG00000155011";954
"ENSP00000216492";"ENSP00000304133";"ENSG00000100604";"ENSG00000171951";954
"ENSP00000262138";"ENSP00000375647";"ENSG00000075461";"ENSG00000105605";951
"ENSP00000282928";"ENSP00000435509";"ENSG00000152977";"ENSG00000174963";951
"ENSP00000262494";"ENSP00000354859";"ENSG00000087258";"ENSG00000149295";950
"ENSP00000219070";"ENSP00000261623";"ENSG00000087245";"ENSG00000051523";949
"ENSP00000254976";"ENSP00000428417";"ENSG00000132639";"ENSG00000079841";949
"ENSP00000259365";"ENSP00000264436";"ENSG00000136842";"ENSG00000075340";948
"ENSP00000254976";"ENSP00000352544";"ENSG00000132639";"ENSG00000145920";947
"ENSP00000311997";"ENSP00000408979";"ENSG00000100285";"ENSG00000155980";947
"ENSP00000272224";"ENSP00000379204";"ENSG00000143869";"ENSG00000101144";944
"ENSP00000482245";"ENSP00000496255";"ENSG00000276644";"ENSG00000104313";942
"ENSP00000314151";"ENSP00000333203";"ENSG00000142515";"ENSG00000188488";939
"ENSP00000324857";"ENSP00000352882";"ENSG00000137872";"ENSG00000221866";938
"ENSP00000233735";"ENSP00000377456";"ENSG00000115386";"ENSG00000172016";938
"ENSP00000220478";"ENSP00000368244";"ENSG00000104112";"ENSG00000089199";937
"ENSP00000317578";"ENSP00000394624";"ENSG00000100077";"ENSG00000112038";936
"ENSP00000221166";"ENSP00000408979";"ENSG00000104722";"ENSG00000155980";936
"ENSP00000264554";"ENSP00000288135";"ENSG00000129946";"ENSG00000157404";934
