"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000249071";"ENSP00000261623";"ENSG00000128340";"ENSG00000051523";999
"ENSP00000222390";"ENSP00000317272";"ENSG00000019991";"ENSG00000105976";999
"ENSP00000245451";"ENSP00000328181";"ENSG00000125378";"ENSG00000183691";999
"ENSP00000286744";"ENSP00000333539";"ENSG00000156218";"ENSG00000151338";999
"ENSP00000173229";"ENSP00000334329";"ENSG00000065320";"ENSG00000107731";999
"ENSP00000222693";"ENSP00000339191";"ENSG00000105971";"ENSG00000105974";999
"ENSP00000274721";"ENSP00000347942";"ENSG00000146013";"ENSG00000165731";999
"ENSP00000339191";"ENSP00000349541";"ENSG00000105974";"ENSG00000177469";999
"ENSP00000234371";"ENSP00000356162";"ENSG00000116014";"ENSG00000170498";999
"ENSP00000249071";"ENSP00000356505";"ENSG00000128340";"ENSG00000116701";999
"ENSP00000261623";"ENSP00000356505";"ENSG00000051523";"ENSG00000116701";999
"ENSP00000264144";"ENSP00000375778";"ENSG00000058085";"ENSG00000196878";999
"ENSP00000363089";"ENSP00000389600";"ENSG00000136869";"ENSG00000174130";999
"ENSP00000300305";"ENSP00000402257";"ENSG00000159216";"ENSG00000079102";999
"ENSP00000332164";"ENSP00000417335";"ENSG00000184347";"ENSG00000185008";999
"ENSP00000373489";"ENSP00000449404";"ENSG00000111057";"ENSG00000170421";999
"ENSP00000282397";"ENSP00000480043";"ENSG00000102755";"ENSG00000150630";999
"ENSP00000364898";"ENSP00000482457";"ENSG00000165025";"ENSG00000197943";999
"ENSP00000281821";"ENSP00000493716";"ENSG00000116106";"ENSG00000125266";999
"ENSP00000381097";"ENSP00000493716";"ENSG00000154928";"ENSG00000125266";999
"ENSP00000261751";"ENSP00000315602";"ENSG00000117971";"ENSG00000080644";998
"ENSP00000361405";"ENSP00000362108";"ENSG00000100985";"ENSG00000148346";998
"ENSP00000265171";"ENSP00000379097";"ENSG00000138798";"ENSG00000109321";998
"ENSP00000361405";"ENSP00000398632";"ENSG00000100985";"ENSG00000026508";998
"ENSP00000265171";"ENSP00000404131";"ENSG00000138798";"ENSG00000163235";998
"ENSP00000388566";"ENSP00000433209";"ENSG00000196954";"ENSG00000104518";998
"ENSP00000260356";"ENSP00000361405";"ENSG00000137801";"ENSG00000100985";997
"ENSP00000359073";"ENSP00000364898";"ENSG00000134215";"ENSG00000165025";997
"ENSP00000304895";"ENSP00000365016";"ENSG00000169047";"ENSG00000185950";997
"ENSP00000306512";"ENSP00000386884";"ENSG00000169429";"ENSG00000121966";997
"ENSP00000274276";"ENSP00000498630";"ENSG00000145623";"ENSG00000164509";997
"ENSP00000300305";"ENSP00000345681";"ENSG00000159216";"ENSG00000179348";996
"ENSP00000212355";"ENSP00000355896";"ENSG00000069702";"ENSG00000092969";996
"ENSP00000221166";"ENSP00000358865";"ENSG00000104722";"ENSG00000148798";996
"ENSP00000302548";"ENSP00000386498";"ENSG00000170166";"ENSG00000128652";996
"ENSP00000272928";"ENSP00000386884";"ENSG00000144476";"ENSG00000121966";996
"ENSP00000353408";"ENSP00000398632";"ENSG00000147065";"ENSG00000026508";996
