"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000245451";"ENSP00000328181";"ENSG00000125378";"ENSG00000183691";999
"ENSP00000286744";"ENSP00000333539";"ENSG00000156218";"ENSG00000151338";999
"ENSP00000222693";"ENSP00000339191";"ENSG00000105971";"ENSG00000105974";999
"ENSP00000339191";"ENSP00000349541";"ENSG00000105974";"ENSG00000177469";999
"ENSP00000249071";"ENSP00000356505";"ENSG00000128340";"ENSG00000116701";999
"ENSP00000264144";"ENSP00000375778";"ENSG00000058085";"ENSG00000196878";999
"ENSP00000363089";"ENSP00000389600";"ENSG00000136869";"ENSG00000174130";999
"ENSP00000373489";"ENSP00000449404";"ENSG00000111057";"ENSG00000170421";999
"ENSP00000282397";"ENSP00000480043";"ENSG00000102755";"ENSG00000150630";999
"ENSP00000361405";"ENSP00000362108";"ENSG00000100985";"ENSG00000148346";998
"ENSP00000265171";"ENSP00000379097";"ENSG00000138798";"ENSG00000109321";998
"ENSP00000361405";"ENSP00000398632";"ENSG00000100985";"ENSG00000026508";998
"ENSP00000265171";"ENSP00000404131";"ENSG00000138798";"ENSG00000163235";998
"ENSP00000388566";"ENSP00000433209";"ENSG00000196954";"ENSG00000104518";998
"ENSP00000260356";"ENSP00000361405";"ENSG00000137801";"ENSG00000100985";997
"ENSP00000274276";"ENSP00000498630";"ENSG00000145623";"ENSG00000164509";997
"ENSP00000212355";"ENSP00000355896";"ENSG00000069702";"ENSG00000092969";996
"ENSP00000353408";"ENSP00000398632";"ENSG00000147065";"ENSG00000026508";996
"ENSP00000410242";"ENSP00000437621";"ENSG00000073792";"ENSG00000149948";996
"ENSP00000317272";"ENSP00000398632";"ENSG00000105976";"ENSG00000026508";995
"ENSP00000346508";"ENSP00000422464";"ENSG00000197461";"ENSG00000145431";995
"ENSP00000371985";"ENSP00000487785";"ENSG00000111262";"ENSG00000177301";995
"ENSP00000249071";"ENSP00000429283";"ENSG00000128340";"ENSG00000134516";994
