"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000223095";"ENSP00000226218";"ENSG00000106366";"ENSG00000109072";999
"ENSP00000249501";"ENSP00000249504";"ENSG00000128710";"ENSG00000128713";999
"ENSP00000254958";"ENSP00000256646";"ENSG00000101384";"ENSG00000134250";999
"ENSP00000261623";"ENSP00000263317";"ENSG00000051523";"ENSG00000086991";999
"ENSP00000254958";"ENSP00000263388";"ENSG00000101384";"ENSG00000074181";999
"ENSP00000227507";"ENSP00000265734";"ENSG00000110092";"ENSG00000105810";999
"ENSP00000262662";"ENSP00000265734";"ENSG00000123080";"ENSG00000105810";999
"ENSP00000265171";"ENSP00000269571";"ENSG00000138798";"ENSG00000141736";999
"ENSP00000261597";"ENSP00000271452";"ENSG00000080986";"ENSG00000143228";999
"ENSP00000230050";"ENSP00000272317";"ENSG00000112306";"ENSG00000143947";999
"ENSP00000264867";"ENSP00000287820";"ENSG00000109819";"ENSG00000132170";999
"ENSP00000263238";"ENSP00000294742";"ENSG00000115091";"ENSG00000162704";999
"ENSP00000306397";"ENSP00000307786";"ENSG00000169021";"ENSG00000172115";999
"ENSP00000256646";"ENSP00000328169";"ENSG00000134250";"ENSG00000184916";999
"ENSP00000263388";"ENSP00000328169";"ENSG00000074181";"ENSG00000184916";999
"ENSP00000230461";"ENSP00000332756";"ENSG00000112697";"ENSG00000101974";999
"ENSP00000319417";"ENSP00000333433";"ENSG00000165480";"ENSG00000182628";999
"ENSP00000173229";"ENSP00000334329";"ENSG00000065320";"ENSG00000107731";999
"ENSP00000226218";"ENSP00000339328";"ENSG00000109072";"ENSG00000011422";999
"ENSP00000173229";"ENSP00000341198";"ENSG00000065320";"ENSG00000067141";999
"ENSP00000261200";"ENSP00000345708";"ENSG00000069431";"ENSG00000187486";999
"ENSP00000226218";"ENSP00000346839";"ENSG00000109072";"ENSG00000115414";999
"ENSP00000260356";"ENSP00000346839";"ENSG00000137801";"ENSG00000115414";999
"ENSP00000223642";"ENSP00000347197";"ENSG00000106804";"ENSG00000197405";999
"ENSP00000288139";"ENSP00000349320";"ENSG00000157388";"ENSG00000153956";999
"ENSP00000264552";"ENSP00000349957";"ENSG00000108106";"ENSG00000141552";999
"ENSP00000230050";"ENSP00000355315";"ENSG00000112306";"ENSG00000198918";999
"ENSP00000286428";"ENSP00000356989";"ENSG00000155959";"ENSG00000143256";999
"ENSP00000326119";"ENSP00000358022";"ENSG00000141682";"ENSG00000143384";999
"ENSP00000307850";"ENSP00000359295";"ENSG00000175550";"ENSG00000117505";999
"ENSP00000310170";"ENSP00000360266";"ENSG00000175592";"ENSG00000177606";999
"ENSP00000276201";"ENSP00000360525";"ENSG00000125351";"ENSG00000162385";999
"ENSP00000229758";"ENSP00000361540";"ENSG00000112029";"ENSG00000117399";999
"ENSP00000264552";"ENSP00000361540";"ENSG00000108106";"ENSG00000117399";999
"ENSP00000349957";"ENSP00000361540";"ENSG00000141552";"ENSG00000117399";999
"ENSP00000346839";"ENSP00000361818";"ENSG00000115414";"ENSG00000124145";999
"ENSP00000265734";"ENSP00000362082";"ENSG00000105810";"ENSG00000112576";999
"ENSP00000261799";"ENSP00000362680";"ENSG00000113721";"ENSG00000197122";999
"ENSP00000269571";"ENSP00000362680";"ENSG00000141736";"ENSG00000197122";999
"ENSP00000346671";"ENSP00000362680";"ENSG00000010810";"ENSG00000197122";999
"ENSP00000284818";"ENSP00000363089";"ENSG00000154589";"ENSG00000136869";999
"ENSP00000264187";"ENSP00000363827";"ENSG00000116962";"ENSG00000142798";999
"ENSP00000349577";"ENSP00000364490";"ENSG00000100033";"ENSG00000159423";999
"ENSP00000353654";"ENSP00000364979";"ENSG00000134871";"ENSG00000187498";999
"ENSP00000230050";"ENSP00000367806";"ENSG00000112306";"ENSG00000105193";999
"ENSP00000272317";"ENSP00000367806";"ENSG00000143947";"ENSG00000105193";999
"ENSP00000355315";"ENSP00000367806";"ENSG00000198918";"ENSG00000105193";999
"ENSP00000363921";"ENSP00000367830";"ENSG00000148498";"ENSG00000067606";999
"ENSP00000349131";"ENSP00000368516";"ENSG00000146374";"ENSG00000205213";999
"ENSP00000346839";"ENSP00000370542";"ENSG00000115414";"ENSG00000115884";999
"ENSP00000264144";"ENSP00000375778";"ENSG00000058085";"ENSG00000196878";999
"ENSP00000215631";"ENSP00000375986";"ENSG00000099860";"ENSG00000085511";999
"ENSP00000360025";"ENSP00000375986";"ENSG00000116717";"ENSG00000085511";999
"ENSP00000371321";"ENSP00000376272";"ENSG00000035928";"ENSG00000163918";999
"ENSP00000300305";"ENSP00000376436";"ENSG00000159216";"ENSG00000134954";999
"ENSP00000261799";"ENSP00000376865";"ENSG00000113721";"ENSG00000170962";999
"ENSP00000270776";"ENSP00000377192";"ENSG00000142657";"ENSG00000160211";999
"ENSP00000261769";"ENSP00000377508";"ENSG00000039068";"ENSG00000173801";999
"ENSP00000369129";"ENSP00000377508";"ENSG00000096696";"ENSG00000173801";999
"ENSP00000296328";"ENSP00000379457";"ENSG00000163960";"ENSG00000185104";999
"ENSP00000230050";"ENSP00000379506";"ENSG00000112306";"ENSG00000188846";999
"ENSP00000272317";"ENSP00000379506";"ENSG00000143947";"ENSG00000188846";999
"ENSP00000355315";"ENSP00000379506";"ENSG00000198918";"ENSG00000188846";999
"ENSP00000367806";"ENSP00000379506";"ENSG00000105193";"ENSG00000188846";999
"ENSP00000346839";"ENSP00000380227";"ENSG00000115414";"ENSG00000115232";999
"ENSP00000362680";"ENSP00000380638";"ENSG00000197122";"ENSG00000120899";999
"ENSP00000326119";"ENSP00000381185";"ENSG00000141682";"ENSG00000171791";999
"ENSP00000250617";"ENSP00000384515";"ENSG00000129675";"ENSG00000188677";999
"ENSP00000337598";"ENSP00000384515";"ENSG00000169756";"ENSG00000188677";999
"ENSP00000227507";"ENSP00000384849";"ENSG00000110092";"ENSG00000124762";999
"ENSP00000265734";"ENSP00000384849";"ENSG00000105810";"ENSG00000124762";999
"ENSP00000362082";"ENSP00000384849";"ENSG00000112576";"ENSG00000124762";999
"ENSP00000314807";"ENSP00000386380";"ENSG00000196083";"ENSG00000115594";999
"ENSP00000343896";"ENSP00000386593";"ENSG00000127616";"ENSG00000163939";999
"ENSP00000343896";"ENSP00000397552";"ENSG00000127616";"ENSG00000136518";999
"ENSP00000386593";"ENSP00000397552";"ENSG00000163939";"ENSG00000136518";999
"ENSP00000269571";"ENSP00000398632";"ENSG00000141736";"ENSG00000026508";999
"ENSP00000346839";"ENSP00000398632";"ENSG00000115414";"ENSG00000026508";999
"ENSP00000378517";"ENSP00000398632";"ENSG00000118785";"ENSG00000026508";999
"ENSP00000245451";"ENSP00000401907";"ENSG00000125378";"ENSG00000138696";999
"ENSP00000362153";"ENSP00000402338";"ENSG00000134697";"ENSG00000197498";999
"ENSP00000269571";"ENSP00000403459";"ENSG00000141736";"ENSG00000141738";999
"ENSP00000377192";"ENSP00000405573";"ENSG00000160211";"ENSG00000105220";999
"ENSP00000173229";"ENSP00000406022";"ENSG00000065320";"ENSG00000182168";999
"ENSP00000347591";"ENSP00000409007";"ENSG00000151892";"ENSG00000168621";999
"ENSP00000362680";"ENSP00000409581";"ENSG00000197122";"ENSG00000137486";999
"ENSP00000391249";"ENSP00000413507";"ENSG00000184640";"ENSG00000122545";999
"ENSP00000230050";"ENSP00000414321";"ENSG00000112306";"ENSG00000138326";999
"ENSP00000272317";"ENSP00000414321";"ENSG00000143947";"ENSG00000138326";999
"ENSP00000355315";"ENSP00000414321";"ENSG00000198918";"ENSG00000138326";999
"ENSP00000367806";"ENSP00000414321";"ENSG00000105193";"ENSG00000138326";999
"ENSP00000379506";"ENSP00000414321";"ENSG00000188846";"ENSG00000138326";999
"ENSP00000300305";"ENSP00000415151";"ENSG00000159216";"ENSG00000067955";999
"ENSP00000360493";"ENSP00000415151";"ENSG00000124813";"ENSG00000067955";999
"ENSP00000382800";"ENSP00000415151";"ENSG00000020633";"ENSG00000067955";999
"ENSP00000326381";"ENSP00000416255";"ENSG00000156976";"ENSG00000114867";999
"ENSP00000287820";"ENSP00000419692";"ENSG00000132170";"ENSG00000186350";999
"ENSP00000261799";"ENSP00000422464";"ENSG00000113721";"ENSG00000145431";999
"ENSP00000343896";"ENSP00000430432";"ENSG00000127616";"ENSG00000196591";999
"ENSP00000345206";"ENSP00000434552";"ENSG00000168214";"ENSG00000184384";999
"ENSP00000295522";"ENSP00000438262";"ENSG00000163347";"ENSG00000119139";999
"ENSP00000371936";"ENSP00000442736";"ENSG00000112902";"ENSG00000198753";999
"ENSP00000373489";"ENSP00000449404";"ENSG00000111057";"ENSG00000170421";999
"ENSP00000312995";"ENSP00000450607";"ENSG00000092853";"ENSG00000111602";999
"ENSP00000263923";"ENSP00000451040";"ENSG00000128052";"ENSG00000119630";999
"ENSP00000362680";"ENSP00000453508";"ENSG00000197122";"ENSG00000171914";999
"ENSP00000247470";"ENSP00000460475";"ENSG00000103490";"ENSG00000091592";999
"ENSP00000381185";"ENSP00000460475";"ENSG00000171791";"ENSG00000091592";999
"ENSP00000230050";"ENSP00000464342";"ENSG00000112306";"ENSG00000130255";999
"ENSP00000272317";"ENSP00000464342";"ENSG00000143947";"ENSG00000130255";999
"ENSP00000355315";"ENSP00000464342";"ENSG00000198918";"ENSG00000130255";999
"ENSP00000367806";"ENSP00000464342";"ENSG00000105193";"ENSG00000130255";999
"ENSP00000379506";"ENSP00000464342";"ENSG00000188846";"ENSG00000130255";999
"ENSP00000414321";"ENSP00000464342";"ENSG00000138326";"ENSG00000130255";999
"ENSP00000431984";"ENSP00000464849";"ENSG00000014216";"ENSG00000126247";999
"ENSP00000324124";"ENSP00000465099";"ENSG00000177700";"ENSG00000117877";999
"ENSP00000340510";"ENSP00000465630";"ENSG00000118898";"ENSG00000167880";999
"ENSP00000354207";"ENSP00000467537";"ENSG00000140538";"ENSG00000105426";999
"ENSP00000354207";"ENSP00000469455";"ENSG00000140538";"ENSG00000225950";999
"ENSP00000230050";"ENSP00000472469";"ENSG00000112306";"ENSG00000233927";999
"ENSP00000272317";"ENSP00000472469";"ENSG00000143947";"ENSG00000233927";999
"ENSP00000355315";"ENSP00000472469";"ENSG00000198918";"ENSG00000233927";999
"ENSP00000367806";"ENSP00000472469";"ENSG00000105193";"ENSG00000233927";999
"ENSP00000379506";"ENSP00000472469";"ENSG00000188846";"ENSG00000233927";999
"ENSP00000414321";"ENSP00000472469";"ENSG00000138326";"ENSG00000233927";999
"ENSP00000464342";"ENSP00000472469";"ENSG00000130255";"ENSG00000233927";999
"ENSP00000234111";"ENSP00000473381";"ENSG00000115758";"ENSG00000104904";999
"ENSP00000162749";"ENSP00000477613";"ENSG00000067182";"ENSG00000110330";999
"ENSP00000350170";"ENSP00000479719";"ENSG00000114416";"ENSG00000055163";999
