"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000223095";"ENSP00000226218";"ENSG00000106366";"ENSG00000109072";999
"ENSP00000227667";"ENSP00000233242";"ENSG00000110245";"ENSG00000084674";999
"ENSP00000227667";"ENSP00000236850";"ENSG00000110245";"ENSG00000118137";999
"ENSP00000233242";"ENSP00000236850";"ENSG00000084674";"ENSG00000118137";999
"ENSP00000249501";"ENSP00000249504";"ENSG00000128710";"ENSG00000128713";999
"ENSP00000227667";"ENSP00000252486";"ENSG00000110245";"ENSG00000130203";999
"ENSP00000233242";"ENSP00000252486";"ENSG00000084674";"ENSG00000130203";999
"ENSP00000236850";"ENSP00000252486";"ENSG00000118137";"ENSG00000130203";999
"ENSP00000243077";"ENSP00000252486";"ENSG00000123384";"ENSG00000130203";999
"ENSP00000254958";"ENSP00000256646";"ENSG00000101384";"ENSG00000134250";999
"ENSP00000236850";"ENSP00000261693";"ENSG00000118137";"ENSG00000073060";999
"ENSP00000258526";"ENSP00000261918";"ENSG00000136040";"ENSG00000138623";999
"ENSP00000262158";"ENSP00000262435";"ENSG00000101665";"ENSG00000108854";999
"ENSP00000219070";"ENSP00000262768";"ENSG00000087245";"ENSG00000035862";999
"ENSP00000261623";"ENSP00000263317";"ENSG00000051523";"ENSG00000086991";999
"ENSP00000254958";"ENSP00000263388";"ENSG00000101384";"ENSG00000074181";999
"ENSP00000263923";"ENSP00000265371";"ENSG00000128052";"ENSG00000099250";999
"ENSP00000265171";"ENSP00000267101";"ENSG00000138798";"ENSG00000065361";999
"ENSP00000242057";"ENSP00000279146";"ENSG00000106546";"ENSG00000110711";999
"ENSP00000070846";"ENSP00000280904";"ENSG00000057294";"ENSG00000134755";999
"ENSP00000266069";"ENSP00000283632";"ENSG00000101193";"ENSG00000153561";999
"ENSP00000267101";"ENSP00000287842";"ENSG00000065361";"ENSG00000157168";999
"ENSP00000264498";"ENSP00000292408";"ENSG00000138685";"ENSG00000160867";999
"ENSP00000252486";"ENSP00000303634";"ENSG00000130203";"ENSG00000157193";999
"ENSP00000305731";"ENSP00000307540";"ENSG00000170373";"ENSG00000170369";999
"ENSP00000262768";"ENSP00000308208";"ENSG00000035862";"ENSG00000157227";999
"ENSP00000252486";"ENSP00000315130";"ENSG00000130203";"ENSG00000120885";999
"ENSP00000250784";"ENSP00000322408";"ENSG00000129824";"ENSG00000012817";999
"ENSP00000287936";"ENSP00000322706";"ENSG00000113161";"ENSG00000112972";999
"ENSP00000200181";"ENSP00000323856";"ENSG00000132470";"ENSG00000178209";999
"ENSP00000256646";"ENSP00000328169";"ENSG00000134250";"ENSG00000184916";999
"ENSP00000263388";"ENSP00000328169";"ENSG00000074181";"ENSG00000184916";999
"ENSP00000281821";"ENSP00000328777";"ENSG00000116106";"ENSG00000184349";999
"ENSP00000295408";"ENSP00000331831";"ENSG00000153208";"ENSG00000183087";999
"ENSP00000301178";"ENSP00000331831";"ENSG00000167601";"ENSG00000183087";999
"ENSP00000328777";"ENSP00000337451";"ENSG00000184349";"ENSG00000044524";999
"ENSP00000263864";"ENSP00000338562";"ENSG00000118640";"ENSG00000166900";999
"ENSP00000226218";"ENSP00000339328";"ENSG00000109072";"ENSG00000011422";999
"ENSP00000264498";"ENSP00000339824";"ENSG00000138685";"ENSG00000068078";999
"ENSP00000269305";"ENSP00000340989";"ENSG00000141510";"ENSG00000175793";999
"ENSP00000322408";"ENSP00000342812";"ENSG00000012817";"ENSG00000114374";999
"ENSP00000226218";"ENSP00000346839";"ENSG00000109072";"ENSG00000115414";999
"ENSP00000260356";"ENSP00000346839";"ENSG00000137801";"ENSG00000115414";999
"ENSP00000315190";"ENSP00000346839";"ENSG00000005884";"ENSG00000115414";999
"ENSP00000339191";"ENSP00000349541";"ENSG00000105974";"ENSG00000177469";999
"ENSP00000227667";"ENSP00000350425";"ENSG00000110245";"ENSG00000110244";999
"ENSP00000328777";"ENSP00000351209";"ENSG00000184349";"ENSG00000142627";999
"ENSP00000286186";"ENSP00000351273";"ENSG00000003400";"ENSG00000064012";999
"ENSP00000322408";"ENSP00000353284";"ENSG00000012817";"ENSG00000067048";999
"ENSP00000342812";"ENSP00000353284";"ENSG00000114374";"ENSG00000067048";999
"ENSP00000262613";"ENSP00000353408";"ENSG00000109062";"ENSG00000147065";999
"ENSP00000269305";"ENSP00000354218";"ENSG00000141510";"ENSG00000104881";999
"ENSP00000264634";"ENSP00000354607";"ENSG00000114251";"ENSG00000163251";999
"ENSP00000250784";"ENSP00000354722";"ENSG00000129824";"ENSG00000198692";999
"ENSP00000322408";"ENSP00000354722";"ENSG00000012817";"ENSG00000198692";999
"ENSP00000342812";"ENSP00000354722";"ENSG00000114374";"ENSG00000198692";999
"ENSP00000353284";"ENSP00000354722";"ENSG00000067048";"ENSG00000198692";999
"ENSP00000260356";"ENSP00000355361";"ENSG00000137801";"ENSG00000196776";999
"ENSP00000265371";"ENSP00000356000";"ENSG00000099250";"ENSG00000076356";999
"ENSP00000242786";"ENSP00000356030";"ENSG00000123146";"ENSG00000196352";999
"ENSP00000227667";"ENSP00000356969";"ENSG00000110245";"ENSG00000158874";999
"ENSP00000233242";"ENSP00000356969";"ENSG00000084674";"ENSG00000158874";999
"ENSP00000236850";"ENSP00000356969";"ENSG00000118137";"ENSG00000158874";999
"ENSP00000252486";"ENSP00000356969";"ENSG00000130203";"ENSG00000158874";999
"ENSP00000307850";"ENSP00000359295";"ENSG00000175550";"ENSG00000117505";999
"ENSP00000232564";"ENSP00000360021";"ENSG00000114450";"ENSG00000172380";999
"ENSP00000310170";"ENSP00000360266";"ENSG00000175592";"ENSG00000177606";999
"ENSP00000347457";"ENSP00000362014";"ENSG00000197959";"ENSG00000106976";999
"ENSP00000261623";"ENSP00000362057";"ENSG00000051523";"ENSG00000007952";999
"ENSP00000294304";"ENSP00000363081";"ENSG00000162337";"ENSG00000107984";999
"ENSP00000331242";"ENSP00000363081";"ENSG00000183762";"ENSG00000107984";999
"ENSP00000260010";"ENSP00000363089";"ENSG00000137462";"ENSG00000136869";999
"ENSP00000340019";"ENSP00000363089";"ENSG00000144381";"ENSG00000136869";999
"ENSP00000236850";"ENSP00000363868";"ENSG00000118137";"ENSG00000165029";999
"ENSP00000264932";"ENSP00000364699";"ENSG00000073578";"ENSG00000204370";999
"ENSP00000353654";"ENSP00000364979";"ENSG00000134871";"ENSG00000187498";999
"ENSP00000216115";"ENSP00000365230";"ENSG00000100290";"ENSG00000171552";999
"ENSP00000269305";"ENSP00000365230";"ENSG00000141510";"ENSG00000171552";999
"ENSP00000326119";"ENSP00000365230";"ENSG00000141682";"ENSG00000171552";999
"ENSP00000360672";"ENSP00000367830";"ENSG00000124171";"ENSG00000067606";999
"ENSP00000070846";"ENSP00000369129";"ENSG00000057294";"ENSG00000096696";999
"ENSP00000346839";"ENSP00000370542";"ENSG00000115414";"ENSG00000115884";999
"ENSP00000215631";"ENSP00000375986";"ENSG00000099860";"ENSG00000085511";999
"ENSP00000300305";"ENSP00000376436";"ENSG00000159216";"ENSG00000134954";999
"ENSP00000355809";"ENSP00000376652";"ENSG00000154380";"ENSG00000196405";999
"ENSP00000261769";"ENSP00000377508";"ENSG00000039068";"ENSG00000173801";999
"ENSP00000369129";"ENSP00000377508";"ENSG00000096696";"ENSG00000173801";999
