"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000227667";"ENSP00000233242";"ENSG00000110245";"ENSG00000084674";999
"ENSP00000227667";"ENSP00000236850";"ENSG00000110245";"ENSG00000118137";999
"ENSP00000233242";"ENSP00000236850";"ENSG00000084674";"ENSG00000118137";999
"ENSP00000227667";"ENSP00000252486";"ENSG00000110245";"ENSG00000130203";999
"ENSP00000233242";"ENSP00000252486";"ENSG00000084674";"ENSG00000130203";999
"ENSP00000236850";"ENSP00000252486";"ENSG00000118137";"ENSG00000130203";999
"ENSP00000243077";"ENSP00000252486";"ENSG00000123384";"ENSG00000130203";999
"ENSP00000236850";"ENSP00000261693";"ENSG00000118137";"ENSG00000073060";999
"ENSP00000242057";"ENSP00000279146";"ENSG00000106546";"ENSG00000110711";999
"ENSP00000070846";"ENSP00000280904";"ENSG00000057294";"ENSG00000134755";999
"ENSP00000266069";"ENSP00000283632";"ENSG00000101193";"ENSG00000153561";999
"ENSP00000305731";"ENSP00000307540";"ENSG00000170373";"ENSG00000170369";999
"ENSP00000252486";"ENSP00000315130";"ENSG00000130203";"ENSG00000120885";999
"ENSP00000287936";"ENSP00000322706";"ENSG00000113161";"ENSG00000112972";999
"ENSP00000263388";"ENSP00000328169";"ENSG00000074181";"ENSG00000184916";999
"ENSP00000263864";"ENSP00000338562";"ENSG00000118640";"ENSG00000166900";999
"ENSP00000226218";"ENSP00000346839";"ENSG00000109072";"ENSG00000115414";999
"ENSP00000227667";"ENSP00000350425";"ENSG00000110245";"ENSG00000110244";999
"ENSP00000286186";"ENSP00000351273";"ENSG00000003400";"ENSG00000064012";999
"ENSP00000227667";"ENSP00000356969";"ENSG00000110245";"ENSG00000158874";999
"ENSP00000233242";"ENSP00000356969";"ENSG00000084674";"ENSG00000158874";999
"ENSP00000236850";"ENSP00000356969";"ENSG00000118137";"ENSG00000158874";999
"ENSP00000252486";"ENSP00000356969";"ENSG00000130203";"ENSG00000158874";999
"ENSP00000261623";"ENSP00000362057";"ENSG00000051523";"ENSG00000007952";999
"ENSP00000294304";"ENSP00000363081";"ENSG00000162337";"ENSG00000107984";999
"ENSP00000331242";"ENSP00000363081";"ENSG00000183762";"ENSG00000107984";999
"ENSP00000264932";"ENSP00000364699";"ENSG00000073578";"ENSG00000204370";999
"ENSP00000216115";"ENSP00000365230";"ENSG00000100290";"ENSG00000171552";999
"ENSP00000360672";"ENSP00000367830";"ENSG00000124171";"ENSG00000067606";999
"ENSP00000070846";"ENSP00000369129";"ENSG00000057294";"ENSG00000096696";999
"ENSP00000261769";"ENSP00000377508";"ENSG00000039068";"ENSG00000173801";999
"ENSP00000369129";"ENSP00000377508";"ENSG00000096696";"ENSG00000173801";999
"ENSP00000295408";"ENSP00000377783";"ENSG00000153208";"ENSG00000184500";999
"ENSP00000362547";"ENSP00000384848";"ENSG00000101407";"ENSG00000186654";999
"ENSP00000005226";"ENSP00000386331";"ENSG00000006611";"ENSG00000137474";999
"ENSP00000373489";"ENSP00000449404";"ENSG00000111057";"ENSG00000170421";999
"ENSP00000227667";"ENSP00000465356";"ENSG00000110245";"ENSG00000130208";999
"ENSP00000252486";"ENSP00000465356";"ENSG00000130203";"ENSG00000130208";999
"ENSP00000340510";"ENSP00000465630";"ENSG00000118898";"ENSG00000167880";999
"ENSP00000447488";"ENSP00000494788";"ENSG00000111052";"ENSG00000147044";999
"ENSP00000252486";"ENSP00000496870";"ENSG00000130203";"ENSG00000081479";999
