"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000242208";"ENSP00000256759";"ENSG00000122641";"ENSG00000134363";999
"ENSP00000261623";"ENSP00000263317";"ENSG00000051523";"ENSG00000086991";999
"ENSP00000260356";"ENSP00000346839";"ENSG00000137801";"ENSG00000115414";999
"ENSP00000315190";"ENSP00000346839";"ENSG00000005884";"ENSG00000115414";999
"ENSP00000261623";"ENSP00000356505";"ENSG00000051523";"ENSG00000116701";999
"ENSP00000278198";"ENSP00000359085";"ENSG00000148948";"ENSG00000162631";999
"ENSP00000364752";"ENSP00000364766";"ENSG00000204379";"ENSG00000204382";999
"ENSP00000265459";"ENSP00000370483";"ENSG00000110076";"ENSG00000146938";999
"ENSP00000264144";"ENSP00000375778";"ENSG00000058085";"ENSG00000196878";999
"ENSP00000367316";"ENSP00000389252";"ENSG00000077943";"ENSG00000168743";999
"ENSP00000473093";"ENSP00000480637";"ENSG00000221867";"ENSG00000197172";999
"ENSP00000341838";"ENSP00000499593";"ENSG00000129991";"ENSG00000118194";999
"ENSP00000263317";"ENSP00000356505";"ENSG00000086991";"ENSG00000116701";998
"ENSP00000361405";"ENSP00000362108";"ENSG00000100985";"ENSG00000148346";998
"ENSP00000346839";"ENSP00000355330";"ENSG00000115414";"ENSG00000198959";997
"ENSP00000260356";"ENSP00000361405";"ENSG00000137801";"ENSG00000100985";997
"ENSP00000359073";"ENSP00000364898";"ENSG00000134215";"ENSG00000165025";997
"ENSP00000299855";"ENSP00000378517";"ENSG00000149968";"ENSG00000118785";997
"ENSP00000221166";"ENSP00000358865";"ENSG00000104722";"ENSG00000148798";996
"ENSP00000263317";"ENSP00000363089";"ENSG00000086991";"ENSG00000136869";996
"ENSP00000346839";"ENSP00000378517";"ENSG00000115414";"ENSG00000118785";996
"ENSP00000302548";"ENSP00000386498";"ENSG00000170166";"ENSG00000128652";996
"ENSP00000346839";"ENSP00000363089";"ENSG00000115414";"ENSG00000136869";995
"ENSP00000346839";"ENSP00000416330";"ENSG00000115414";"ENSG00000120708";995
"ENSP00000371985";"ENSP00000487785";"ENSG00000111262";"ENSG00000177301";995
"ENSP00000364801";"ENSP00000364802";"ENSG00000204388";"ENSG00000204389";994
"ENSP00000221166";"ENSP00000311997";"ENSG00000104722";"ENSG00000100285";993
"ENSP00000304283";"ENSP00000429283";"ENSG00000169750";"ENSG00000134516";993
"ENSP00000224356";"ENSP00000249750";"ENSG00000095596";"ENSG00000128918";991
"ENSP00000338272";"ENSP00000357348";"ENSG00000164683";"ENSG00000135547";989
"ENSP00000311997";"ENSP00000358865";"ENSG00000100285";"ENSG00000148798";988
"ENSP00000219070";"ENSP00000260356";"ENSG00000087245";"ENSG00000137801";985
"ENSP00000362108";"ENSP00000496870";"ENSG00000148346";"ENSG00000081479";984
"ENSP00000361202";"ENSP00000365016";"ENSG00000133124";"ENSG00000185950";983
"ENSP00000233735";"ENSP00000303206";"ENSG00000115386";"ENSG00000172023";977
"ENSP00000319591";"ENSP00000376855";"ENSG00000171385";"ENSG00000175497";977
"ENSP00000346839";"ENSP00000367316";"ENSG00000115414";"ENSG00000077943";976
"ENSP00000359114";"ENSP00000369889";"ENSG00000060718";"ENSG00000139219";976
"ENSP00000225964";"ENSP00000295550";"ENSG00000108821";"ENSG00000163359";974
"ENSP00000225964";"ENSP00000346839";"ENSG00000108821";"ENSG00000115414";974
"ENSP00000363089";"ENSP00000364898";"ENSG00000136869";"ENSG00000165025";971
"ENSP00000308452";"ENSP00000340989";"ENSG00000128422";"ENSG00000175793";967
"ENSP00000280357";"ENSP00000388566";"ENSG00000150782";"ENSG00000196954";967
"ENSP00000260356";"ENSP00000315190";"ENSG00000137801";"ENSG00000005884";965
"ENSP00000225964";"ENSP00000359114";"ENSG00000108821";"ENSG00000060718";965
"ENSP00000280357";"ENSP00000386380";"ENSG00000150782";"ENSG00000115594";965
"ENSP00000346839";"ENSP00000362108";"ENSG00000115414";"ENSG00000148346";964
"ENSP00000346839";"ENSP00000356954";"ENSG00000115414";"ENSG00000118523";963
"ENSP00000361405";"ENSP00000368683";"ENSG00000100985";"ENSG00000078401";963
