"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000227667";"ENSP00000233242";"ENSG00000110245";"ENSG00000084674";999
"ENSP00000227667";"ENSP00000236850";"ENSG00000110245";"ENSG00000118137";999
"ENSP00000233242";"ENSP00000236850";"ENSG00000084674";"ENSG00000118137";999
"ENSP00000227667";"ENSP00000252486";"ENSG00000110245";"ENSG00000130203";999
"ENSP00000233242";"ENSP00000252486";"ENSG00000084674";"ENSG00000130203";999
"ENSP00000236850";"ENSP00000252486";"ENSG00000118137";"ENSG00000130203";999
"ENSP00000283871";"ENSP00000289004";"ENSG00000113924";"ENSG00000158104";999
"ENSP00000273784";"ENSP00000295897";"ENSG00000145192";"ENSG00000163631";999
"ENSP00000306099";"ENSP00000308541";"ENSG00000171564";"ENSG00000180210";999
"ENSP00000250784";"ENSP00000322408";"ENSG00000129824";"ENSG00000012817";999
"ENSP00000306099";"ENSP00000336829";"ENSG00000171564";"ENSG00000171557";999
"ENSP00000308541";"ENSP00000336829";"ENSG00000180210";"ENSG00000171557";999
"ENSP00000155093";"ENSP00000342812";"ENSG00000067646";"ENSG00000114374";999
"ENSP00000322408";"ENSP00000342812";"ENSG00000012817";"ENSG00000114374";999
"ENSP00000264832";"ENSP00000349252";"ENSG00000090339";"ENSG00000005844";999
"ENSP00000227667";"ENSP00000350425";"ENSG00000110245";"ENSG00000110244";999
"ENSP00000322408";"ENSP00000353284";"ENSG00000012817";"ENSG00000067048";999
"ENSP00000342812";"ENSP00000353284";"ENSG00000114374";"ENSG00000067048";999
"ENSP00000250784";"ENSP00000354722";"ENSG00000129824";"ENSG00000198692";999
"ENSP00000322408";"ENSP00000354722";"ENSG00000012817";"ENSG00000198692";999
"ENSP00000342812";"ENSP00000354722";"ENSG00000114374";"ENSG00000198692";999
"ENSP00000353284";"ENSP00000354722";"ENSG00000067048";"ENSG00000198692";999
"ENSP00000308541";"ENSP00000356671";"ENSG00000180210";"ENSG00000117601";999
"ENSP00000308541";"ENSP00000356771";"ENSG00000180210";"ENSG00000198734";999
"ENSP00000227667";"ENSP00000356969";"ENSG00000110245";"ENSG00000158874";999
"ENSP00000233242";"ENSP00000356969";"ENSG00000084674";"ENSG00000158874";999
"ENSP00000236850";"ENSP00000356969";"ENSG00000118137";"ENSG00000158874";999
"ENSP00000252486";"ENSP00000356969";"ENSG00000130203";"ENSG00000158874";999
"ENSP00000236850";"ENSP00000363868";"ENSG00000118137";"ENSG00000165029";999
"ENSP00000308541";"ENSP00000364709";"ENSG00000180210";"ENSG00000126218";999
"ENSP00000245907";"ENSP00000378131";"ENSG00000125730";"ENSG00000205403";999
"ENSP00000363079";"ENSP00000383690";"ENSG00000165471";"ENSG00000009724";999
"ENSP00000259396";"ENSP00000394936";"ENSG00000229314";"ENSG00000228278";999
"ENSP00000233242";"ENSP00000427679";"ENSG00000084674";"ENSG00000138823";999
"ENSP00000227667";"ENSP00000465356";"ENSG00000110245";"ENSG00000130208";999
"ENSP00000252486";"ENSP00000465356";"ENSG00000130203";"ENSG00000130208";999
"ENSP00000306099";"ENSP00000498441";"ENSG00000171564";"ENSG00000171560";999
"ENSP00000308541";"ENSP00000498441";"ENSG00000180210";"ENSG00000171560";999
"ENSP00000336829";"ENSP00000498441";"ENSG00000171557";"ENSG00000171560";999
"ENSP00000236850";"ENSP00000295897";"ENSG00000118137";"ENSG00000163631";998
"ENSP00000259396";"ENSP00000295897";"ENSG00000229314";"ENSG00000163631";998
