"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000226091";"ENSP00000281821";"ENSG00000108947";"ENSG00000116106";999
"ENSP00000225964";"ENSP00000297268";"ENSG00000108821";"ENSG00000164692";999
"ENSP00000266718";"ENSP00000297268";"ENSG00000139329";"ENSG00000164692";999
"ENSP00000225964";"ENSP00000304408";"ENSG00000108821";"ENSG00000168542";999
"ENSP00000297268";"ENSP00000304408";"ENSG00000164692";"ENSG00000168542";999
"ENSP00000264634";"ENSP00000323901";"ENSG00000114251";"ENSG00000180340";999
"ENSP00000281821";"ENSP00000328777";"ENSG00000116106";"ENSG00000184349";999
"ENSP00000301178";"ENSP00000331831";"ENSG00000167601";"ENSG00000183087";999
"ENSP00000226091";"ENSP00000332118";"ENSG00000108947";"ENSG00000182580";999
"ENSP00000232564";"ENSP00000334448";"ENSG00000114450";"ENSG00000186469";999
"ENSP00000222693";"ENSP00000339191";"ENSG00000105971";"ENSG00000105974";999
"ENSP00000278198";"ENSP00000359085";"ENSG00000148948";"ENSG00000162631";999
"ENSP00000232564";"ENSP00000360021";"ENSG00000114450";"ENSG00000172380";999
"ENSP00000364752";"ENSP00000364766";"ENSG00000204379";"ENSG00000204382";999
"ENSP00000353654";"ENSP00000364979";"ENSG00000134871";"ENSG00000187498";999
"ENSP00000265459";"ENSP00000370483";"ENSG00000110076";"ENSG00000146938";999
"ENSP00000264144";"ENSP00000375778";"ENSG00000058085";"ENSG00000196878";999
"ENSP00000278198";"ENSP00000376921";"ENSG00000148948";"ENSG00000196358";999
"ENSP00000328181";"ENSP00000379204";"ENSG00000183691";"ENSG00000101144";999
"ENSP00000226091";"ENSP00000383053";"ENSG00000108947";"ENSG00000133216";999
"ENSP00000328777";"ENSP00000383053";"ENSG00000184349";"ENSG00000133216";999
"ENSP00000363089";"ENSP00000389600";"ENSG00000136869";"ENSG00000174130";999
"ENSP00000265459";"ENSP00000392500";"ENSG00000110076";"ENSG00000169760";999
"ENSP00000379204";"ENSP00000401907";"ENSG00000101144";"ENSG00000138696";999
"ENSP00000173229";"ENSP00000406022";"ENSG00000065320";"ENSG00000182168";999
"ENSP00000232564";"ENSP00000421710";"ENSG00000114450";"ENSG00000167083";999
"ENSP00000422533";"ENSP00000427874";"ENSG00000150471";"ENSG00000145934";999
"ENSP00000348888";"ENSP00000440066";"ENSG00000162896";"ENSG00000132465";999
"ENSP00000261937";"ENSP00000480043";"ENSG00000037280";"ENSG00000150630";999
"ENSP00000328777";"ENSP00000480763";"ENSG00000184349";"ENSG00000145242";999
"ENSP00000226091";"ENSP00000481994";"ENSG00000108947";"ENSG00000106123";999
"ENSP00000345064";"ENSP00000357040";"ENSG00000139174";"ENSG00000162738";998
"ENSP00000264634";"ENSP00000364860";"ENSG00000114251";"ENSG00000169071";998
"ENSP00000345055";"ENSP00000373648";"ENSG00000185760";"ENSG00000184156";998
