"node1_protein";"node2_protein";"node1_gene";"node2_gene";"score"
"ENSP00000287641";"ENSP00000350198";"ENSG00000157005";"ENSG00000180616";999
"ENSP00000364752";"ENSP00000364766";"ENSG00000204379";"ENSG00000204382";999
"ENSP00000264657";"ENSP00000293328";"ENSG00000168610";"ENSG00000173757";998
"ENSP00000245907";"ENSP00000356386";"ENSG00000125730";"ENSG00000134365";998
"ENSP00000263125";"ENSP00000380150";"ENSG00000065675";"ENSG00000198286";998
"ENSP00000357040";"ENSP00000492363";"ENSG00000162738";"ENSG00000163637";997
"ENSP00000265969";"ENSP00000414886";"ENSG00000129159";"ENSG00000182132";996
"ENSP00000371985";"ENSP00000487785";"ENSG00000111262";"ENSG00000177301";995
"ENSP00000280684";"ENSP00000487785";"ENSG00000151079";"ENSG00000177301";986
"ENSP00000280684";"ENSP00000371985";"ENSG00000151079";"ENSG00000111262";985
"ENSP00000233735";"ENSP00000303206";"ENSG00000115386";"ENSG00000172023";977
"ENSP00000288139";"ENSP00000375647";"ENSG00000157388";"ENSG00000105605";977
"ENSP00000216223";"ENSP00000293328";"ENSG00000100385";"ENSG00000173757";976
"ENSP00000245907";"ENSP00000454623";"ENSG00000125730";"ENSG00000140678";969
"ENSP00000380602";"ENSP00000418112";"ENSG00000144619";"ENSG00000144724";960
"ENSP00000299022";"ENSP00000497642";"ENSG00000166035";"ENSG00000175445";957
"ENSP00000245907";"ENSP00000278407";"ENSG00000125730";"ENSG00000149131";954
"ENSP00000261917";"ENSP00000328968";"ENSG00000138622";"ENSG00000183873";953
"ENSP00000331040";"ENSP00000367972";"ENSG00000205927";"ENSG00000172201";952
"ENSP00000293328";"ENSP00000482954";"ENSG00000173757";"ENSG00000113494";951
"ENSP00000228841";"ENSP00000499593";"ENSG00000111245";"ENSG00000118194";950
"ENSP00000329797";"ENSP00000357106";"ENSG00000182985";"ENSG00000162706";949
"ENSP00000352455";"ENSP00000364685";"ENSG00000197614";"ENSG00000117122";943
"ENSP00000233735";"ENSP00000377456";"ENSG00000115386";"ENSG00000172016";938
"ENSP00000287842";"ENSP00000361214";"ENSG00000157168";"ENSG00000185737";936
"ENSP00000433847";"ENSP00000480132";"ENSG00000109956";"ENSG00000149294";927
"ENSP00000264657";"ENSP00000330393";"ENSG00000168610";"ENSG00000116678";921
"ENSP00000288699";"ENSP00000331504";"ENSG00000157851";"ENSG00000182511";918
"ENSP00000329697";"ENSP00000497642";"ENSG00000141934";"ENSG00000175445";913
"ENSP00000264828";"ENSP00000359114";"ENSG00000080573";"ENSG00000060718";910
"ENSP00000264657";"ENSP00000363822";"ENSG00000168610";"ENSG00000169083";907
"ENSP00000327758";"ENSP00000499593";"ENSG00000183072";"ENSG00000118194";907
"ENSP00000383392";"ENSP00000480132";"ENSG00000154654";"ENSG00000149294";906
"ENSP00000261917";"ENSP00000307342";"ENSG00000138622";"ENSG00000164588";904
"ENSP00000348602";"ENSP00000429344";"ENSG00000078053";"ENSG00000240694";896
"ENSP00000363822";"ENSP00000414150";"ENSG00000169083";"ENSG00000157554";893
"ENSP00000288699";"ENSP00000429344";"ENSG00000157851";"ENSG00000240694";892
"ENSP00000264657";"ENSP00000361405";"ENSG00000168610";"ENSG00000100985";890
"ENSP00000288699";"ENSP00000348602";"ENSG00000157851";"ENSG00000078053";888
"ENSP00000331040";"ENSP00000366347";"ENSG00000205927";"ENSG00000125820";885
"ENSP00000265459";"ENSP00000282020";"ENSG00000110076";"ENSG00000152208";880
"ENSP00000361359";"ENSP00000454623";"ENSG00000101017";"ENSG00000140678";877
"ENSP00000303206";"ENSP00000377456";"ENSG00000172023";"ENSG00000172016";875
"ENSP00000216223";"ENSP00000264657";"ENSG00000100385";"ENSG00000168610";871
"ENSP00000288139";"ENSP00000352608";"ENSG00000157388";"ENSG00000196218";865
"ENSP00000261917";"ENSP00000327758";"ENSG00000138622";"ENSG00000183072";864
"ENSP00000293328";"ENSP00000330393";"ENSG00000173757";"ENSG00000116678";859
"ENSP00000392197";"ENSP00000408979";"ENSG00000068615";"ENSG00000155980";855
