"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000154678";"PDE1C";"phosphodiesterase 1C";150;42,3473510742188;"Yes"
"row_1";"ENSG00000221882";"OR3A2";"olfactory receptor family 3 subfamily A member 2";154;41,6649856567383;"Yes"
"row_2";"ENSG00000197233";"OR1J2";"olfactory receptor family 1 subfamily J member 2";384;26,2510643005371;"Yes"
"row_3";"ENSG00000167355";"OR51B5";"olfactory receptor family 51 subfamily B member 5";598;17,78635597229;"Yes"
"row_4";"ENSG00000016490";"CLCA1";"chloride channel accessory 1";839;12,6752662658691;"Yes"
"row_5";"ENSG00000177462";"OR2T8";"olfactory receptor family 2 subfamily T member 8";849;12,6752662658691;"Yes"
"row_6";"ENSG00000280094";"OR1B1";"olfactory receptor family 1 subfamily B member 1";1016;10,4539680480957;"Yes"
"row_7";"ENSG00000238243";"OR2W3";"olfactory receptor family 2 subfamily W member 3";1139;8,85261344909668;"Yes"
"row_8";"ENSG00000138669";"PRKG2";"protein kinase cGMP-dependent 2";1624;4,95519781112671;"Yes"
"row_9";"ENSG00000070729";"CNGB1";"cyclic nucleotide gated channel subunit beta 1";1633;4,88708925247192;"Yes"
"row_10";"ENSG00000196071";"OR2L13";"olfactory receptor family 2 subfamily L member 13";1935;3,98490023612976;"Yes"
"row_11";"ENSG00000159961";"OR3A3";"olfactory receptor family 3 subfamily A member 3";2228;3,02874088287354;"Yes"
"row_12";"ENSG00000176294";"OR4N2";"olfactory receptor family 4 subfamily N member 2";2258;3,02874088287354;"Yes"
"row_13";"ENSG00000183251";"OR51B4";"olfactory receptor family 51 subfamily B member 4";2269;3,02874088287354;"Yes"
"row_14";"ENSG00000186509";"OR9Q1";"olfactory receptor family 9 subfamily Q member 1";2279;3,02874088287354;"Yes"
"row_15";"ENSG00000279012";"OR51B2";"olfactory receptor family 51 subfamily B member 2";2398;3,02874088287354;"Yes"
"row_16";"ENSG00000170782";"OR10A4";"olfactory receptor family 10 subfamily A member 4";2765;2,0205066204071;"Yes"
"row_17";"ENSG00000177212";"OR2T33";"olfactory receptor family 2 subfamily T member 33";2769;2,0205066204071;"Yes"
"row_18";"ENSG00000112599";"GUCA1B";"guanylate cyclase activator 1B";3321;1,21661531925201;"Yes"
