"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000117707";"PROX1";"prospero homeobox 1";740;18,1573696136475;"No"
"row_1";"ENSG00000012223";"LTF";"lactotransferrin";1213;9,90123081207275;"No"
"row_2";"ENSG00000128394";"APOBEC3F";"apolipoprotein B mRNA editing enzyme catalytic subunit 3F";2654;2,3424334526062;"No"
"row_3";"ENSG00000171791";"BCL2";"BCL2 apoptosis regulator";2728;2,14760255813599;"No"
"row_4";"ENSG00000178562";"CD28";"CD28 molecule";4246;0,897293627262115;"No"
"row_5";"ENSG00000077097";"TOP2B";"DNA topoisomerase II beta";5028;0,708451628684998;"No"
"row_6";"ENSG00000198791";"CNOT7";"CCR4-NOT transcription complex subunit 7";5378;0,529141902923584;"No"
"row_7";"ENSG00000215301";"DDX3X";"DEAD-box helicase 3 X-linked";5788;0,392764180898666;"No"
"row_8";"ENSG00000197381";"ADARB1";"adenosine deaminase RNA specific B1";6011;0,333113968372345;"No"
"row_9";"ENSG00000135250";"SRPK2";"SRSF protein kinase 2";6746;0,18774987757206;"No"
"row_10";"ENSG00000074696";"HACD3";"3-hydroxyacyl-CoA dehydratase 3";7011;0,152035564184189;"No"
"row_11";"ENSG00000108654";"DDX5";"DEAD-box helicase 5";7017;0,150887489318848;"No"
"row_12";"ENSG00000171960";"PPIH";"peptidylprolyl isomerase H";7022;0,150490000844002;"No"
"row_13";"ENSG00000131747";"TOP2A";"DNA topoisomerase II alpha";7880;0,0673463344573975;"No"
"row_14";"ENSG00000155506";"LARP1";"La ribonucleoprotein 1, translational regulator";8062;0,0534900575876236;"No"
"row_15";"ENSG00000055332";"EIF2AK2";"eukaryotic translation initiation factor 2 alpha kinase 2";8163;0,0484513118863106;"No"
"row_16";"ENSG00000160710";"ADAR";"adenosine deaminase RNA specific";8322;0,0387225858867168;"No"
"row_17";"ENSG00000129351";"ILF3";"interleukin enhancer binding factor 3";9018;0,0123789710924029;"No"
"row_18";"ENSG00000134321";"RSAD2";"radical S-adenosyl methionine domain containing 2";9352;0,00546484719961882;"No"
"row_19";"ENSG00000132376";"INPP5K";"inositol polyphosphate-5-phosphatase K";9825;0,000244045950239524;"No"
"row_20";"ENSG00000145901";"TNIP1";"TNFAIP3 interacting protein 1";9881;6,9358640757855e-05;"No"
"row_21";"ENSG00000077800";"FKBP6";"FKBP prolyl isomerase family member 6 (inactive)";10036;0;"No"
"row_22";"ENSG00000100298";"APOBEC3H";"apolipoprotein B mRNA editing enzyme catalytic subunit 3H";10130;0;"No"
"row_23";"ENSG00000111732";"AICDA";"activation induced cytidine deaminase";10336;0;"No"
"row_24";"ENSG00000121236";"TRIM6";"tripartite motif containing 6";10463;0;"No"
"row_25";"ENSG00000124107";"SLPI";"secretory leukocyte peptidase inhibitor";10520;0;"No"
"row_26";"ENSG00000128383";"APOBEC3A";"apolipoprotein B mRNA editing enzyme catalytic subunit 3A";10622;0;"No"
"row_27";"ENSG00000152778";"IFIT5";"interferon induced protein with tetratricopeptide repeats 5";11067;0;"No"
"row_28";"ENSG00000171855";"IFNB1";"interferon beta 1";11676;0;"No"
"row_29";"ENSG00000197110";"IFNL3";"interferon lambda 3";12807;0;"No"
"row_30";"ENSG00000213512";"GBP7";"guanylate binding protein 7";15625;0;"No"
"row_31";"ENSG00000232810";"TNF";"tumor necrosis factor";18692;0;"No"
"row_32";"ENSG00000243811";"APOBEC3D";"apolipoprotein B mRNA editing enzyme catalytic subunit 3D";21028;0;"No"
"row_33";"ENSG00000271503";"CCL5";"C-C motif chemokine ligand 5";25344;0;"No"
"row_34";"ENSG00000102921";"N4BP1";"NEDD4 binding protein 1";28156;-0,000907133740838617;"No"
"row_35";"ENSG00000084072";"PPIE";"peptidylprolyl isomerase E";28189;-0,00114472582936287;"No"
"row_36";"ENSG00000105939";"ZC3HAV1";"zinc finger CCCH-type containing, antiviral 1";28306;-0,00244765821844339;"No"
"row_37";"ENSG00000096063";"SRPK1";"SRSF protein kinase 1";28403;-0,00371924182400107;"No"
"row_38";"ENSG00000167986";"DDB1";"damage specific DNA binding protein 1";28524;-0,00548774609342217;"No"
"row_39";"ENSG00000171497";"PPID";"peptidylprolyl isomerase D";28716;-0,00983875058591366;"No"
"row_40";"ENSG00000124164";"VAPB";"VAMP associated protein B and C";28881;-0,0144388331100345;"No"
"row_41";"ENSG00000139546";"TARBP2";"TARBP2 subunit of RISC loading complex";29084;-0,0222904030233622;"No"
"row_42";"ENSG00000124214";"STAU1";"staufen double-stranded RNA binding protein 1";29735;-0,0522994585335255;"No"
"row_43";"ENSG00000175334";"BANF1";"barrier to autointegration nuclear assembly factor 1";29943;-0,067424513399601;"No"
"row_44";"ENSG00000070756";"PABPC1";"poly(A) binding protein cytoplasmic 1";30130;-0,083822101354599;"No"
"row_45";"ENSG00000176142";"TMEM39A";"transmembrane protein 39A";30235;-0,0934377163648605;"No"
"row_46";"ENSG00000065243";"PKN2";"protein kinase N2";30392;-0,109337188303471;"No"
"row_47";"ENSG00000130726";"TRIM28";"tripartite motif containing 28";30764;-0,149961873888969;"No"
"row_48";"ENSG00000174840";"PDE12";"phosphodiesterase 12";31129;-0,20278100669384;"No"
"row_49";"ENSG00000196262";"PPIA";"peptidylprolyl isomerase A";31212;-0,216762542724609;"No"
"row_50";"ENSG00000179262";"RAD23A";"RAD23 homolog A, nucleotide excision repair protein";31663;-0,303505390882492;"No"
"row_51";"ENSG00000088888";"MAVS";"mitochondrial antiviral signaling protein";31833;-0,355119675397873;"No"
"row_52";"ENSG00000130813";"SHFL";"shiftless antiviral inhibitor of ribosomal frameshifting";31992;-0,403863966464996;"No"
"row_53";"ENSG00000116833";"NR5A2";"nuclear receptor subfamily 5 group A member 2";32186;-0,469986766576767;"No"
"row_54";"ENSG00000204347";"BTBD17";"BTB domain containing 17";33292;-1,03109467029572;"No"
"row_55";"ENSG00000124201";"ZNFX1";"zinc finger NFX1-type containing 1";34245;-2,41021823883057;"No"
"row_56";"ENSG00000166801";"FAM111A";"FAM111 trypsin like peptidase A";34459;-2,97572898864746;"No"
"row_57";"ENSG00000239713";"APOBEC3G";"apolipoprotein B mRNA editing enzyme catalytic subunit 3G";34994;-5,65492391586304;"Yes"
"row_58";"ENSG00000148400";"NOTCH1";"notch receptor 1";35080;-5,93162250518799;"Yes"
"row_59";"ENSG00000185745";"IFIT1";"interferon induced protein with tetratricopeptide repeats 1";35197;-6,99021816253662;"Yes"
"row_60";"ENSG00000244509";"APOBEC3C";"apolipoprotein B mRNA editing enzyme catalytic subunit 3C";35410;-9,46776962280273;"Yes"
"row_61";"ENSG00000089127";"OAS1";"2'-5'-oligoadenylate synthetase 1";35411;-9,49798107147217;"Yes"
"row_62";"ENSG00000172183";"ISG20";"interferon stimulated exonuclease gene 20";35415;-9,50889492034912;"Yes"
"row_63";"ENSG00000135114";"OASL";"2'-5'-oligoadenylate synthetase like";35434;-9,98398876190186;"Yes"
"row_64";"ENSG00000115267";"IFIH1";"interferon induced with helicase C domain 1";35514;-11,3325691223145;"Yes"
"row_65";"ENSG00000135828";"RNASEL";"ribonuclease L";35583;-12,5733194351196;"Yes"
"row_66";"ENSG00000185201";"IFITM2";"interferon induced transmembrane protein 2";35590;-12,7161636352539;"Yes"
"row_67";"ENSG00000185885";"IFITM1";"interferon induced transmembrane protein 1";35722;-15,7270126342773;"Yes"
"row_68";"ENSG00000157601";"MX1";"MX dynamin like GTPase 1";35967;-23,1993637084961;"Yes"
"row_69";"ENSG00000142089";"IFITM3";"interferon induced transmembrane protein 3";36014;-25,0976142883301;"Yes"
"row_70";"ENSG00000187608";"ISG15";"ISG15 ubiquitin like modifier";36134;-32,8445129394531;"Yes"
"row_71";"ENSG00000112343";"TRIM38";"tripartite motif containing 38";36221;-40,1341209411621;"Yes"
"row_72";"ENSG00000111331";"OAS3";"2'-5'-oligoadenylate synthetase 3";36280;-48,4332084655762;"Yes"
"row_73";"ENSG00000188313";"PLSCR1";"phospholipid scramblase 1";36282;-48,4531517028809;"Yes"
"row_74";"ENSG00000163565";"IFI16";"interferon gamma inducible protein 16";36283;-48,7209014892578;"Yes"
"row_75";"ENSG00000130303";"BST2";"bone marrow stromal cell antigen 2";36306;-52,1789474487305;"Yes"
"row_76";"ENSG00000179750";"APOBEC3B";"apolipoprotein B mRNA editing enzyme catalytic subunit 3B";36331;-56,975414276123;"Yes"
"row_77";"ENSG00000169429";"CXCL8";"C-X-C motif chemokine ligand 8";36342;-62,9936714172363;"Yes"
"row_78";"ENSG00000111335";"OAS2";"2'-5'-oligoadenylate synthetase 2";36365;-73,804557800293;"Yes"
"row_79";"ENSG00000149948";"HMGA2";"high mobility group AT-hook 2";36401;-111,004302978516;"Yes"
