"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000109738";"GLRB";"glycine receptor beta";449;144,229629516602;"No"
"row_1";"ENSG00000033867";"SLC4A7";"solute carrier family 4 member 7";533;121,923622131348;"No"
"row_2";"ENSG00000169504";"CLIC4";"chloride intracellular channel 4";554;117,774436950684;"No"
"row_3";"ENSG00000130821";"SLC6A8";"solute carrier family 6 member 8";721;84,9655914306641;"No"
"row_4";"ENSG00000136295";"TTYH3";"tweety family member 3";848;67,4536590576172;"No"
"row_5";"ENSG00000131620";"ANO1";"anoctamin 1";1080;46,4060592651367;"No"
"row_6";"ENSG00000106089";"STX1A";"syntaxin 1A";1138;42,624813079834;"No"
"row_7";"ENSG00000091137";"SLC26A4";"solute carrier family 26 member 4";1345;32,4496002197266;"No"
"row_8";"ENSG00000146205";"ANO7";"anoctamin 7";1957;15,7129354476929;"No"
"row_9";"ENSG00000165646";"SLC18A2";"solute carrier family 18 member A2";1961;15,6776895523071;"No"
"row_10";"ENSG00000153291";"SLC25A27";"solute carrier family 25 member 27";2039;14,3741817474365;"No"
"row_11";"ENSG00000111886";"GABRR2";"gamma-aminobutyric acid type A receptor subunit rho2";2114;13,4457855224609;"No"
"row_12";"ENSG00000102078";"SLC25A14";"solute carrier family 25 member 14";2159;12,8614912033081;"No"
"row_13";"ENSG00000225697";"SLC26A6";"solute carrier family 26 member 6";2258;11,7188768386841;"No"
"row_14";"ENSG00000155962";"CLIC2";"chloride intracellular channel 2";2266;11,6431818008423;"No"
"row_15";"ENSG00000154122";"ANKH";"ANKH inorganic pyrophosphate transport regulator";2299;11,3256320953369;"No"
"row_16";"ENSG00000170310";"STX8";"syntaxin 8";2463;9,77845191955566;"No"
"row_17";"ENSG00000011677";"GABRA3";"gamma-aminobutyric acid type A receptor subunit alpha3";2491;9,54363250732422;"No"
"row_18";"ENSG00000147606";"SLC26A7";"solute carrier family 26 member 7";2655;8,14784526824951;"No"
"row_19";"ENSG00000198356";"GET3";"guided entry of tail-anchored proteins factor 3, ATPase";2705;7,81245565414429;"No"
"row_20";"ENSG00000134955";"SLC37A2";"solute carrier family 37 member 2";2865;6,77704954147339;"No"
"row_21";"ENSG00000163288";"GABRB1";"gamma-aminobutyric acid type A receptor subunit beta1";2973;6,14344596862793;"No"
"row_22";"ENSG00000101958";"GLRA2";"glycine receptor alpha 2";2993;6,0490837097168;"No"
"row_23";"ENSG00000160746";"ANO10";"anoctamin 10";3035;5,87917947769165;"No"
"row_24";"ENSG00000074855";"ANO8";"anoctamin 8";3269;4,91277933120728;"No"
"row_25";"ENSG00000144136";"SLC20A1";"solute carrier family 20 member 1";3305;4,79436206817627;"No"
"row_26";"ENSG00000080493";"SLC4A4";"solute carrier family 4 member 4";3551;3,91734099388123;"No"
"row_27";"ENSG00000137975";"CLCA2";"chloride channel accessory 2";3751;3,37127804756165;"No"
"row_28";"ENSG00000121940";"CLCC1";"chloride channel CLIC like 1";4149;2,5340416431427;"No"
"row_29";"ENSG00000108846";"ABCC3";"ATP binding cassette subfamily C member 3";4165;2,47197508811951;"No"
"row_30";"ENSG00000065600";"PACC1";"proton activated chloride channel 1";4371;2,09702491760254;"No"
"row_31";"ENSG00000174032";"SLC25A30";"solute carrier family 25 member 30";4907;1,42389369010925;"No"
"row_32";"ENSG00000074803";"SLC12A1";"solute carrier family 12 member 1";5186;1,13889181613922;"No"
"row_33";"ENSG00000171714";"ANO5";"anoctamin 5";5194;1,13889181613922;"No"
"row_34";"ENSG00000100342";"APOL1";"apolipoprotein L1";5544;0,91681832075119;"No"
"row_35";"ENSG00000157800";"SLC37A3";"solute carrier family 37 member 3";5656;0,827907502651215;"No"
"row_36";"ENSG00000085491";"SLC25A24";"solute carrier family 25 member 24";5732;0,76142805814743;"No"
"row_37";"ENSG00000016490";"CLCA1";"chloride channel accessory 1";5844;0,731657743453979;"No"
"row_38";"ENSG00000079950";"STX7";"syntaxin 7";6147;0,578070044517517;"No"
"row_39";"ENSG00000142959";"BEST4";"bestrophin 4";6186;0,556597650051117;"No"
"row_40";"ENSG00000109572";"CLCN3";"chloride voltage-gated channel 3";6333;0,480296909809113;"No"
"row_41";"ENSG00000016602";"CLCA4";"chloride channel accessory 4";6336;0,479763835668564;"No"
"row_42";"ENSG00000091664";"SLC17A6";"solute carrier family 17 member 6";6499;0,417131036520004;"No"
"row_43";"ENSG00000213719";"CLIC1";"chloride intracellular channel 1";6737;0,40304508805275;"No"
"row_44";"ENSG00000132164";"SLC6A11";"solute carrier family 6 member 11";6879;0,349096208810806;"No"
"row_45";"ENSG00000163285";"GABRG1";"gamma-aminobutyric acid type A receptor subunit gamma1";7559;0,166800960898399;"No"
"row_46";"ENSG00000004939";"SLC4A1";"solute carrier family 4 member 1 (Diego blood group)";7902;0,0978367626667023;"No"
"row_47";"ENSG00000179520";"SLC17A8";"solute carrier family 17 member 8";8331;0,0953990742564201;"No"
"row_48";"ENSG00000118515";"SGK1";"serum/glucocorticoid regulated kinase 1";8416;0,0906819850206375;"No"
"row_49";"ENSG00000144290";"SLC4A10";"solute carrier family 4 member 10";8567;0,0707616209983826;"No"
"row_50";"ENSG00000166206";"GABRB3";"gamma-aminobutyric acid type A receptor subunit beta3";8715;0,0536283180117607;"No"
"row_51";"ENSG00000088836";"SLC4A11";"solute carrier family 4 member 11";8784;0,045962680131197;"No"
"row_52";"ENSG00000164073";"MFSD8";"major facilitator superfamily domain containing 8";8909;0,0348386205732822;"No"
"row_53";"ENSG00000148339";"SLC25A25";"solute carrier family 25 member 25";9346;0,0117734335362911;"No"
"row_54";"ENSG00000134343";"ANO3";"anoctamin 3";9358;0,0111996224150062;"No"
"row_55";"ENSG00000151572";"ANO4";"anoctamin 4";9605;0,00294779264368117;"No"
"row_56";"ENSG00000186297";"GABRA5";"gamma-aminobutyric acid type A receptor subunit alpha5";9694;0,0015868425834924;"No"
"row_57";"ENSG00000167614";"TTYH1";"tweety family member 1";9906;-7,28811215822134e-08;"No"
"row_58";"ENSG00000124574";"ABCC10";"ATP binding cassette subfamily C member 10";9974;-0,000137628012453206;"No"
"row_59";"ENSG00000103222";"ABCC1";"ATP binding cassette subfamily C member 1 (ABCC1 blood group)";10068;-0,000888837967067957;"No"
"row_60";"ENSG00000114770";"ABCC5";"ATP binding cassette subfamily C member 5";10179;-0,00271235196851194;"No"
"row_61";"ENSG00000174502";"SLC26A9";"solute carrier family 26 member 9";10458;-0,0108550200238824;"No"
"row_62";"ENSG00000114923";"SLC4A3";"solute carrier family 4 member 3";11184;-0,0766577869653702;"No"
"row_63";"ENSG00000167995";"BEST1";"bestrophin 1";11246;-0,085971400141716;"No"
"row_64";"ENSG00000134917";"ADAMTS8";"ADAM metallopeptidase with thrombospondin type 1 motif 8";11383;-0,108201406896114;"No"
"row_65";"ENSG00000091138";"SLC26A3";"solute carrier family 26 member 3";11539;-0,123887747526169;"No"
"row_66";"ENSG00000164889";"SLC4A2";"solute carrier family 4 member 2";11712;-0,158697456121445;"No"
"row_67";"ENSG00000124140";"SLC12A5";"solute carrier family 12 member 5";11732;-0,165163412690163;"No"
"row_68";"ENSG00000157765";"SLC34A2";"solute carrier family 34 member 2";11784;-0,178441435098648;"No"
"row_69";"ENSG00000182256";"GABRG3";"gamma-aminobutyric acid type A receptor subunit gamma3";11867;-0,199944272637367;"No"
"row_70";"ENSG00000086159";"AQP6";"aquaporin 6";12001;-0,233653426170349;"No"
"row_71";"ENSG00000182544";"MFSD5";"major facilitator superfamily domain containing 5";12294;-0,322787076234818;"No"
"row_72";"ENSG00000288602";"C8orf44-SGK3";"C8orf44-SGK3 readthrough";12355;-0,341785848140717;"No"
"row_73";"ENSG00000175003";"SLC22A1";"solute carrier family 22 member 1";12430;-0,378901362419128;"No"
"row_74";"ENSG00000094755";"GABRP";"gamma-aminobutyric acid type A receptor subunit pi";12478;-0,400439292192459;"No"
"row_75";"ENSG00000145888";"GLRA1";"glycine receptor alpha 1";12633;-0,415650427341461;"No"
"row_76";"ENSG00000047617";"ANO2";"anoctamin 2";12721;-0,455587774515152;"No"
"row_77";"ENSG00000112337";"SLC17A2";"solute carrier family 17 member 2";12777;-0,477354854345322;"No"
"row_78";"ENSG00000162399";"BSND";"barttin CLCNK type accessory subunit beta";12786;-0,477354854345322;"No"
"row_79";"ENSG00000112782";"CLIC5";"chloride intracellular channel 5";12914;-0,489394873380661;"No"
"row_80";"ENSG00000105641";"SLC5A5";"solute carrier family 5 member 5";12975;-0,52306205034256;"No"
"row_81";"ENSG00000164707";"SLC13A4";"solute carrier family 13 member 4";13085;-0,58554470539093;"No"
"row_82";"ENSG00000146828";"SLC12A9";"solute carrier family 12 member 9";13183;-0,643310785293579;"No"
