"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000133661";"SFTPD";"surfactant protein D";2014;7,24857425689697;"No"
"row_1";"ENSG00000168961";"LGALS9";"galectin 9";3220;2,54217457771301;"No"
"row_2";"ENSG00000104951";"IL4I1";"interleukin 4 induced 1";3424;2,00002312660217;"No"
"row_3";"ENSG00000135077";"HAVCR2";"hepatitis A virus cellular receptor 2";3459;2,00002312660217;"No"
"row_4";"ENSG00000120217";"CD274";"CD274 molecule";3900;1,64090442657471;"No"
"row_5";"ENSG00000196126";"HLA-DRB1";"major histocompatibility complex, class II, DR beta 1";4464;1,00623989105225;"No"
"row_6";"ENSG00000197646";"PDCD1LG2";"programmed cell death 1 ligand 2";4465;1,00623989105225;"No"
"row_7";"ENSG00000137507";"LRRC32";"leucine rich repeat containing 32";4549;0,991640210151672;"No"
"row_8";"ENSG00000121594";"CD80";"CD80 molecule";4769;0,877782940864563;"No"
"row_9";"ENSG00000134258";"VTCN1";"V-set domain containing T cell activation inhibitor 1";4798;0,877782940864563;"No"
"row_10";"ENSG00000136634";"IL10";"interleukin 10";4806;0,877782940864563;"No"
"row_11";"ENSG00000186265";"BTLA";"B and T lymphocyte associated";4991;0,877782940864563;"No"
"row_12";"ENSG00000197329";"PELI1";"pellino E3 ubiquitin protein ligase 1";5510;0,811214804649353;"No"
"row_13";"ENSG00000131507";"NDFIP1";"Nedd4 family interacting protein 1";5643;0,703861117362976;"No"
"row_14";"ENSG00000128791";"TWSG1";"twisted gastrulation BMP signaling modulator 1";6205;0,440091907978058;"No"
"row_15";"ENSG00000174564";"IL20RB";"interleukin 20 receptor subunit beta";6791;0,286540150642395;"No"
"row_16";"ENSG00000124508";"BTN2A2";"butyrophilin subfamily 2 member A2";6797;0,285689473152161;"No"
"row_17";"ENSG00000114423";"CBLB";"Cbl proto-oncogene B";6888;0,26477462053299;"No"
"row_18";"ENSG00000164889";"SLC4A2";"solute carrier family 4 member 2";7332;0,17687039077282;"No"
"row_19";"ENSG00000104894";"CD37";"CD37 molecule";7505;0,157338827848434;"No"
"row_20";"ENSG00000121210";"TMEM131L";"transmembrane 131 like";7838;0,11694972962141;"No"
"row_21";"ENSG00000160685";"ZBTB7B";"zinc finger and BTB domain containing 7B";8659;0,0479139275848866;"No"
"row_22";"ENSG00000179295";"PTPN11";"protein tyrosine phosphatase non-receptor type 11";8811;0,0380424372851849;"No"
"row_23";"ENSG00000174842";"GLMN";"glomulin, FKBP associated protein";8948;0,0312035921961069;"No"
"row_24";"ENSG00000136536";"MARCHF7";"membrane associated ring-CH-type finger 7";9062;0,0259482674300671;"No"
"row_25";"ENSG00000049768";"FOXP3";"forkhead box P3";10374;0;"No"
"row_26";"ENSG00000081181";"ARG2";"arginase 2";10447;0;"No"
"row_27";"ENSG00000104972";"LILRB1";"leukocyte immunoglobulin like receptor B1";10593;0;"No"
"row_28";"ENSG00000107738";"VSIR";"V-set immunoregulatory receptor";10646;0;"No"
"row_29";"ENSG00000109943";"CRTAM";"cytotoxic and regulatory T cell molecule";10679;0;"No"
"row_30";"ENSG00000114013";"CD86";"CD86 molecule";10739;0;"No"
"row_31";"ENSG00000117215";"PLA2G2D";"phospholipase A2 group IID";10774;0;"No"
"row_32";"ENSG00000118520";"ARG1";"arginase 1";10790;0;"No"
"row_33";"ENSG00000127472";"PLA2G5";"phospholipase A2 group V";10963;0;"No"
"row_34";"ENSG00000131042";"LILRB2";"leukocyte immunoglobulin like receptor B2";11021;0;"No"
"row_35";"ENSG00000131203";"IDO1";"indoleamine 2,3-dioxygenase 1";11027;0;"No"
"row_36";"ENSG00000134460";"IL2RA";"interleukin 2 receptor subunit alpha";11096;0;"No"
"row_37";"ENSG00000149021";"SCGB1A1";"secretoglobin family 1A member 1";11379;0;"No"
"row_38";"ENSG00000155659";"VSIG4";"V-set and immunoglobulin domain containing 4";11468;0;"No"
"row_39";"ENSG00000163599";"CTLA4";"cytotoxic T-lymphocyte associated protein 4";11655;0;"No"
"row_40";"ENSG00000170298";"LGALS9B";"galectin 9B";11963;0;"No"
"row_41";"ENSG00000171916";"LGALS9C";"galectin 9C";12065;0;"No"
"row_42";"ENSG00000182566";"CLEC4G";"C-type lectin domain family 4 member G";12633;0;"No"
"row_43";"ENSG00000186818";"LILRB4";"leukocyte immunoglobulin like receptor B4";12920;0;"No"
"row_44";"ENSG00000203710";"CR1";"complement C3b/C4b receptor 1 (Knops blood group)";14366;0;"No"
"row_45";"ENSG00000207613";"MIR181C";"microRNA 181c";15184;0;"No"
"row_46";"ENSG00000135870";"RC3H1";"ring finger and CCCH-type domains 1";28982;-0,00639597699046135;"No"
"row_47";"ENSG00000147437";"GNRH1";"gonadotropin releasing hormone 1";29142;-0,0106201963499188;"No"
"row_48";"ENSG00000075711";"DLG1";"discs large MAGUK scaffold protein 1";29799;-0,0376134850084782;"No"
"row_49";"ENSG00000002822";"MAD1L1";"mitotic arrest deficient 1 like 1";29900;-0,044540774077177;"No"
"row_50";"ENSG00000108946";"PRKAR1A";"protein kinase cAMP-dependent type I regulatory subunit alpha";30116;-0,0588481612503529;"No"
"row_51";"ENSG00000164305";"CASP3";"caspase 3";30376;-0,0781471878290176;"No"
"row_52";"ENSG00000147889";"CDKN2A";"cyclin dependent kinase inhibitor 2A";30422;-0,0812966078519821;"No"
"row_53";"ENSG00000204632";"HLA-G";"major histocompatibility complex, class I, G";30723;-0,110540144145489;"No"
"row_54";"ENSG00000111913";"RIPOR2";"RHO family interacting cell polarization regulator 2";32004;-0,359071105718613;"No"
"row_55";"ENSG00000180900";"SCRIB";"scribble planar cell polarity protein";32454;-0,521515786647797;"No"
"row_56";"ENSG00000078747";"ITCH";"itchy E3 ubiquitin protein ligase";32945;-0,791157305240631;"No"
"row_57";"ENSG00000151208";"DLG5";"discs large MAGUK scaffold protein 5";33568;-1,44763588905334;"No"
"row_58";"ENSG00000158786";"PLA2G2F";"phospholipase A2 group IIF";33874;-1,93674921989441;"No"
"row_59";"ENSG00000136235";"GPNMB";"glycoprotein nmb";34264;-2,26998925209045;"Yes"
"row_60";"ENSG00000064201";"TSPAN32";"tetraspanin 32";34410;-2,83129286766052;"Yes"
"row_61";"ENSG00000124145";"SDC4";"syndecan 4";34420;-2,88278937339783;"Yes"
"row_62";"ENSG00000172216";"CEBPB";"CCAAT enhancer binding protein beta";34556;-3,1673891544342;"Yes"
"row_63";"ENSG00000204592";"HLA-E";"major histocompatibility complex, class I, E";34951;-5,09857797622681;"Yes"
"row_64";"ENSG00000162511";"LAPTM5";"lysosomal protein transmembrane 5";34968;-5,30984354019165;"Yes"
"row_65";"ENSG00000146072";"TNFRSF21";"TNF receptor superfamily member 21";35044;-5,94203805923462;"Yes"
"row_66";"ENSG00000105329";"TGFB1";"transforming growth factor beta 1";35052;-6,0198450088501;"Yes"
"row_67";"ENSG00000141736";"ERBB2";"erb-b2 receptor tyrosine kinase 2";35251;-7,41278409957886;"Yes"
"row_68";"ENSG00000171867";"PRNP";"prion protein (Kanno blood group)";35523;-11,1647129058838;"Yes"
"row_69";"ENSG00000129654";"FOXJ1";"forkhead box J1";35635;-13,9551076889038;"Yes"
"row_70";"ENSG00000163501";"IHH";"Indian hedgehog signaling molecule";35674;-14,7001361846924;"Yes"
"row_71";"ENSG00000197471";"SPN";"sialophorin";35870;-20,6055297851562;"Yes"
"row_72";"ENSG00000157873";"TNFRSF14";"TNF receptor superfamily member 14";35875;-20,7049522399902;"Yes"
"row_73";"ENSG00000111679";"PTPN6";"protein tyrosine phosphatase non-receptor type 6";36048;-29,0289134979248;"Yes"
"row_74";"ENSG00000188257";"PLA2G2A";"phospholipase A2 group IIA";36121;-33,2420387268066;"Yes"
