"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000119630";"PGF";"placental growth factor";2022;7,20235538482666;"No"
"row_1";"ENSG00000169750";"RAC3";"Rac family small GTPase 3";2228;6,22063636779785;"No"
"row_2";"ENSG00000160271";"RALGDS";"ral guanine nucleotide dissociation stimulator";2234;6,1558575630188;"No"
"row_3";"ENSG00000109339";"MAPK10";"mitogen-activated protein kinase 10";2803;3,17484354972839;"No"
"row_4";"ENSG00000129675";"ARHGEF6";"Rac/Cdc42 guanine nucleotide exchange factor 6";3076;3,05753493309021;"No"
"row_5";"ENSG00000105810";"CDK6";"cyclin dependent kinase 6";3529;1,81922233104706;"No"
"row_6";"ENSG00000119699";"TGFB3";"transforming growth factor beta 3";3875;1,21845734119415;"No"
"row_7";"ENSG00000145675";"PIK3R1";"phosphoinositide-3-kinase regulatory subunit 1";4064;1,02197062969208;"No"
"row_8";"ENSG00000141506";"PIK3R5";"phosphoinositide-3-kinase regulatory subunit 5";4188;0,997101008892059;"No"
"row_9";"ENSG00000112242";"E2F3";"E2F transcription factor 3";4809;0,880844414234161;"No"
"row_10";"ENSG00000106799";"TGFBR1";"transforming growth factor beta receptor 1";4908;0,799529492855072;"No"
"row_11";"ENSG00000173511";"VEGFB";"vascular endothelial growth factor B";5177;0,636582732200623;"No"
"row_12";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";5815;0,365153312683105;"No"
"row_13";"ENSG00000141646";"SMAD4";"SMAD family member 4";6551;0,192678391933441;"No"
"row_14";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";7127;0,121678583323956;"No"
"row_15";"ENSG00000105647";"PIK3R2";"phosphoinositide-3-kinase regulatory subunit 2";7315;0,105990193784237;"No"
"row_16";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";7627;0,0760093033313751;"No"
"row_17";"ENSG00000139687";"RB1";"RB transcriptional corepressor 1";7708;0,0708819255232811;"No"
"row_18";"ENSG00000101412";"E2F1";"E2F transcription factor 1";7966;0,0521603003144264;"No"
"row_19";"ENSG00000107643";"MAPK8";"mitogen-activated protein kinase 8";7995;0,0497864931821823;"No"
"row_20";"ENSG00000135446";"CDK4";"cyclin dependent kinase 4";8348;0,0306279398500919;"No"
"row_21";"ENSG00000132906";"CASP9";"caspase 9";8429;0,026772802695632;"No"
"row_22";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";8841;0,0129621662199497;"No"
"row_23";"ENSG00000162434";"JAK1";"Janus kinase 1";9343;0,00312204100191593;"No"
"row_24";"ENSG00000141510";"TP53";"tumor protein p53";9685;0,000210231941309758;"No"
"row_25";"ENSG00000175387";"SMAD2";"SMAD family member 2";9740;6,06401699769776e-05;"No"
"row_26";"ENSG00000105851";"PIK3CG";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma";10076;0;"No"
"row_27";"ENSG00000117461";"PIK3R3";"phosphoinositide-3-kinase regulatory subunit 3";10242;0;"No"
"row_28";"ENSG00000165197";"VEGFD";"vascular endothelial growth factor D";11154;0;"No"
"row_29";"ENSG00000006451";"RALA";"RAS like proto-oncogene A";27470;-5,43642709089909e-05;"No"
"row_30";"ENSG00000139618";"BRCA2";"BRCA2 DNA repair associated";27891;-0,00302778137847781;"No"
"row_31";"ENSG00000147889";"CDKN2A";"cyclin dependent kinase inhibitor 2A";28115;-0,00626086303964257;"No"
"row_32";"ENSG00000213341";"CHUK";"component of inhibitor of nuclear factor kappa B kinase complex";28312;-0,0100672142580152;"No"
"row_33";"ENSG00000173039";"RELA";"RELA proto-oncogene, NF-kB subunit";28537;-0,0160870794206858;"No"
"row_34";"ENSG00000051180";"RAD51";"RAD51 recombinase";28555;-0,0163526087999344;"No"
"row_35";"ENSG00000002330";"BAD";"BCL2 associated agonist of cell death";28685;-0,0203819368034601;"No"
"row_36";"ENSG00000007968";"E2F2";"E2F transcription factor 2";28881;-0,0277742557227612;"No"
"row_37";"ENSG00000105221";"AKT2";"AKT serine/threonine kinase 2";29241;-0,0438425540924072;"No"
"row_38";"ENSG00000104365";"IKBKB";"inhibitor of nuclear factor kappa B kinase subunit beta";29284;-0,0464335605502129;"No"
"row_39";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";29303;-0,0480866581201553;"No"
"row_40";"ENSG00000112715";"VEGFA";"vascular endothelial growth factor A";29722;-0,071590431034565;"No"
"row_41";"ENSG00000050748";"MAPK9";"mitogen-activated protein kinase 9";30269;-0,118469402194023;"No"
"row_42";"ENSG00000115415";"STAT1";"signal transducer and activator of transcription 1";30472;-0,142772376537323;"No"
"row_43";"ENSG00000017797";"RALBP1";"ralA binding protein 1";30491;-0,145748436450958;"No"
"row_44";"ENSG00000136238";"RAC1";"Rac family small GTPase 1";30525;-0,149678185582161;"No"
"row_45";"ENSG00000078061";"ARAF";"A-Raf proto-oncogene, serine/threonine kinase";31121;-0,244028434157372;"No"
"row_46";"ENSG00000070831";"CDC42";"cell division cycle 42";31122;-0,244404792785645;"No"
"row_47";"ENSG00000110092";"CCND1";"cyclin D1";31543;-0,344954818487167;"No"
"row_48";"ENSG00000269335";"IKBKG";"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma";31918;-0,465919643640518;"No"
"row_49";"ENSG00000168610";"STAT3";"signal transducer and activator of transcription 3";31974;-0,483242481946945;"No"
"row_50";"ENSG00000121879";"PIK3CA";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha";31998;-0,490342020988464;"No"
"row_51";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";32162;-0,571418941020966;"No"
"row_52";"ENSG00000163513";"TGFBR2";"transforming growth factor beta receptor 2";32630;-0,849131226539612;"No"
"row_53";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";32640;-0,858128428459167;"No"
"row_54";"ENSG00000109320";"NFKB1";"nuclear factor kappa B subunit 1";32682;-0,904886543750763;"No"
"row_55";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";33413;-1,25096440315247;"No"
"row_56";"ENSG00000166949";"SMAD3";"SMAD family member 3";33423;-1,27866280078888;"No"
"row_57";"ENSG00000144118";"RALB";"RAS like proto-oncogene B";34115;-2,65057754516602;"Yes"
"row_58";"ENSG00000171608";"PIK3CD";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta";34142;-2,7751989364624;"Yes"
"row_59";"ENSG00000051382";"PIK3CB";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta";34651;-4,08898878097534;"Yes"
"row_60";"ENSG00000171552";"BCL2L1";"BCL2 like 1";34698;-4,48271703720093;"Yes"
"row_61";"ENSG00000141736";"ERBB2";"erb-b2 receptor tyrosine kinase 2";34851;-5,48342323303223;"Yes"
"row_62";"ENSG00000105329";"TGFB1";"transforming growth factor beta 1";35029;-7,05102157592773;"Yes"
"row_63";"ENSG00000075651";"PLD1";"phospholipase D1";35436;-12,5709161758423;"Yes"
"row_64";"ENSG00000150630";"VEGFC";"vascular endothelial growth factor C";35531;-14,5354204177856;"Yes"
"row_65";"ENSG00000092969";"TGFB2";"transforming growth factor beta 2";35544;-14,7075643539429;"Yes"
"row_66";"ENSG00000138798";"EGF";"epidermal growth factor";35710;-19,1770401000977;"Yes"
"row_67";"ENSG00000146648";"EGFR";"epidermal growth factor receptor";36060;-35,5327186584473;"Yes"
"row_68";"ENSG00000128340";"RAC2";"Rac family small GTPase 2";36204;-46,9374389648438;"Yes"
"row_69";"ENSG00000163235";"TGFA";"transforming growth factor alpha";36281;-57,4152374267578;"Yes"
