"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000177606";"JUN";"Jun proto-oncogene, AP-1 transcription factor subunit";42;574,553039550781;"Yes"
"row_1";"ENSG00000114450";"GNB4";"G protein subunit beta 4";102;320,989959716797;"Yes"
"row_2";"ENSG00000112715";"VEGFA";"vascular endothelial growth factor A";275;148,420440673828;"Yes"
"row_3";"ENSG00000213281";"NRAS";"NRAS proto-oncogene, GTPase";505;83,3408737182617;"Yes"
"row_4";"ENSG00000174021";"GNG5";"G protein subunit gamma 5";1047;33,6731567382812;"No"
"row_5";"ENSG00000111664";"GNB3";"G protein subunit beta 3";1742;14,5886259078979;"No"
"row_6";"ENSG00000172380";"GNG12";"G protein subunit gamma 12";1817;13,3921184539795;"No"
"row_7";"ENSG00000186469";"GNG2";"G protein subunit gamma 2";2187;9,39396858215332;"No"
"row_8";"ENSG00000100311";"PDGFB";"platelet derived growth factor subunit B";2380;8,03196334838867;"No"
"row_9";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";3245;4,09274625778198;"No"
"row_10";"ENSG00000176533";"GNG7";"G protein subunit gamma 7";3688;3,00035762786865;"No"
"row_11";"ENSG00000100644";"HIF1A";"hypoxia inducible factor 1 subunit alpha";4003;2,37127995491028;"No"
"row_12";"ENSG00000170345";"FOS";"Fos proto-oncogene, AP-1 transcription factor subunit";4685;1,44171857833862;"No"
"row_13";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";5528;0,818768322467804;"No"
"row_14";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";6231;0,507927536964417;"No"
"row_15";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";8139;0,0759720504283905;"No"
"row_16";"ENSG00000078369";"GNB1";"G protein subunit beta 1";8826;0,0558604076504707;"No"
"row_17";"ENSG00000168243";"GNG4";"G protein subunit gamma 4";8919;0,0464024618268013;"No"
"row_18";"ENSG00000167414";"GNG8";"G protein subunit gamma 8";12143;-0,225883096456528;"No"
"row_19";"ENSG00000126934";"MAP2K2";"mitogen-activated protein kinase kinase 2";12809;-0,452881634235382;"No"
"row_20";"ENSG00000069966";"GNB5";"G protein subunit beta 5";13331;-0,600366950035095;"No"
"row_21";"ENSG00000172354";"GNB2";"G protein subunit beta 2";13645;-0,811226308345795;"No"
"row_22";"ENSG00000127588";"GNG13";"G protein subunit gamma 13";16208;-4,31235837936401;"No"
"row_23";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";17431;-11,7228832244873;"No"
