"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000026508";"CD44";"CD44 molecule (IN blood group)";9;1713,79956054688;"Yes"
"row_1";"ENSG00000170961";"HAS2";"hyaluronan synthase 2";29;1320,69262695312;"Yes"
"row_2";"ENSG00000111817";"DSE";"dermatan sulfate epimerase";82;637,727600097656;"Yes"
"row_3";"ENSG00000125430";"HS3ST3B1";"heparan sulfate-glucosamine 3-sulfotransferase 3B1";97;547,705017089844;"Yes"
"row_4";"ENSG00000171310";"CHST11";"carbohydrate sulfotransferase 11";135;430,889556884766;"Yes"
"row_5";"ENSG00000153976";"HS3ST3A1";"heparan sulfate-glucosamine 3-sulfotransferase 3A1";227;290,381164550781;"Yes"
"row_6";"ENSG00000169826";"CSGALNACT2";"chondroitin sulfate N-acetylgalactosaminyltransferase 2";290;222,282272338867;"Yes"
"row_7";"ENSG00000010404";"IDS";"iduronate 2-sulfatase";322;197,807556152344;"Yes"
"row_8";"ENSG00000122863";"CHST3";"carbohydrate sulfotransferase 3";432;151,424346923828;"Yes"
"row_9";"ENSG00000131873";"CHSY1";"chondroitin sulfate synthase 1";517;124,897277832031;"Yes"
"row_10";"ENSG00000138685";"FGF2";"fibroblast growth factor 2";532;122,043853759766;"Yes"
"row_11";"ENSG00000138798";"EGF";"epidermal growth factor";635;100,467979431152;"Yes"
"row_12";"ENSG00000176022";"B3GALT6";"beta-1,3-galactosyltransferase 6";1098;45,2983703613281;"No"
"row_13";"ENSG00000033100";"CHPF2";"chondroitin polymerizing factor 2";1105;44,9467849731445;"No"
"row_14";"ENSG00000105329";"TGFB1";"transforming growth factor beta 1";1185;39,6163635253906;"No"
"row_15";"ENSG00000171451";"DSEL";"dermatan sulfate epimerase like";1684;21,5710468292236;"No"
"row_16";"ENSG00000198108";"CHSY3";"chondroitin sulfate synthase 3";2037;14,4142036437988;"No"
"row_17";"ENSG00000151348";"EXT2";"exostosin glycosyltransferase 2";2070;13,9963064193726;"No"
"row_18";"ENSG00000125538";"IL1B";"interleukin 1 beta";2356;10,784276008606;"No"
"row_19";"ENSG00000157593";"SLC35B2";"solute carrier family 35 member B2";2675;8,02062320709229;"No"
"row_20";"ENSG00000128973";"CLN6";"CLN6 transmembrane ER protein";2776;7,24424314498901;"No"
"row_21";"ENSG00000182197";"EXT1";"exostosin glycosyltransferase 1";3364;4,6060471534729;"No"
