"gene_id";"log2FoldChange";"pvalue";"padj";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000000971";2,80214251556314;0,0180163672360888;0,0327115596588448;"CFH";"1";196651878;196747504;"+";95627;"protein_coding";"complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"ENSG00000001461";2,96294028406689;1,29594476709869e-61;3,67449854312417e-60;"NIPAL3";"1";24413360;24472983;"+";59624;"protein_coding";"NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]"
"ENSG00000001561";2,2876761976692;3,38929717356312e-22;2,94112422244783e-21;"ENPP4";"6";46129964;46146699;"+";16736;"protein_coding";"ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]"
"ENSG00000003436";3,15613201263421;0,00696366036303555;0,0137064943192636;"TFPI";"2";187464230;187554505;"-";90276;"protein_coding";"tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]"
"ENSG00000004399";1,29644079376535;3,52511753390897e-12;1,76763311358085e-11;"PLXND1";"3";129555213;129606739;"-";51527;"protein_coding";"plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]"
"ENSG00000004777";1,57129860713621;1,44612555389876e-06;4,6017742504657e-06;"ARHGAP33";"19";35775515;35788822;"+";13308;"protein_coding";"Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]"
"ENSG00000005059";4,7354510803401;5,2229970913112e-77;1,98555317041405e-75;"MCUB";"4";109560199;109688719;"+";128521;"protein_coding";"mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]"
"ENSG00000005238";1,39933575304218;2,70748595148909e-08;1,00948181970221e-07;"FAM214B";"9";35104121;35116341;"-";12221;"protein_coding";"atos homolog B [Source:HGNC Symbol;Acc:HGNC:25666]"
"ENSG00000005249";5,6324459976548;8,85717850262872e-18;6,2317881228924e-17;"PRKAR2B";"7";107044728;107161811;"+";121914;"protein_coding";"protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"ENSG00000005448";1,93582143675015;3,18633340765605e-17;2,17637154602966e-16;"WDR54";"2";74421721;74426259;"+";4539;"protein_coding";"WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]"
"ENSG00000005469";1,23011747831;1,51413666967618e-06;4,80744025571107e-06;"CROT";"7";87345635;87399796;"+";54162;"protein_coding";"carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]"
"ENSG00000005700";1,8265008915605;0,000706260903044554;0,00162731740740652;"IBTK";"6";82169987;82247754;"-";155536;"protein_coding";"inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]"
"ENSG00000005882";1,41491521355438;6,16021117944023e-05;0,000163579098665005;"PDK2";"17";50094737;50111369;"+";16633;"protein_coding";"pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]"
"ENSG00000005884";5,88616779023963;0;0;"ITGA3";"17";50055968;50090485;"+";34518;"protein_coding";"integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]"
