"gene_id";"log2FoldChange";"pvalue";"padj";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000000003";-3,28919676438888;5,34333125117997e-119;4,00590635704013e-117;"TSPAN6";"X";100627108;100637104;"-";9997;"protein_coding";"tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
"ENSG00000000419";-1,55813226922942;3,47113894994424e-24;3,26980522828908e-23;"DPM1";"20";50934855;50958564;"-";23710;"protein_coding";"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]"
"ENSG00000001626";-7,12695102114244;0,00030063181345751;0,000730876573694094;"CFTR";"7";117479963;117668665;"+";188703;"protein_coding";"CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]"
"ENSG00000001630";-1,42680701779588;3,79638753995917e-45;7,00546366697979e-44;"CYP51A1";"7";92112149;92134745;"-";22597;"protein_coding";"cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]"
"ENSG00000002933";-5,30047249673115;0,000197799711990929;0,000492020297868429;"TMEM176A";"7";150800543;150805120;"+";4578;"protein_coding";"transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]"
"ENSG00000003393";-1,02875762889046;3,58963465411764e-16;2,32001037149315e-15;"ALS2";"2";201700263;201781172;"-";80910;"protein_coding";"alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]"
"ENSG00000003400";-5,89173774588457;1,00339975637004e-22;8,91568476912032e-22;"CASP10";"2";201182881;201229406;"+";46526;"protein_coding";"caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]"
"ENSG00000003989";-5,5850607305507;9,08687924912499e-05;0,000236007215312408;"SLC7A2";"8";17494349;17570568;"+";76220;"protein_coding";"solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]"
"ENSG00000004059";-1,03298922103419;4,73041798417476e-14;2,69864654317777e-13;"ARF5";"7";127588352;127591705;"+";3354;"protein_coding";"ARF GTPase 5 [Source:HGNC Symbol;Acc:HGNC:658]"
"ENSG00000004139";-1,41097560587014;1,02330503843063e-12;5,35134610936653e-12;"SARM1";"17";28371662;28401045;"+";29384;"protein_coding";"sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]"
"ENSG00000004142";-1,80917707806393;7,91946731189151e-103;4,62936258721494e-101;"POLDIP2";"17";28346628;28357589;"-";10962;"protein_coding";"DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]"
"ENSG00000005001";-9,00406474805986;1,78159349035307e-08;6,75178048109161e-08;"PRSS22";"16";2852727;2858630;"-";11328;"protein_coding";"serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]"
"ENSG00000005243";-2,51892997610743;0,000488680748485497;0,00115274899058858;"COPZ2";"17";48026167;48048086;"-";21920;"protein_coding";"COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]"
"ENSG00000005379";-3,26684012970362;3,06579556610954e-06;9,41865812057662e-06;"TSPOAP1";"17";58301227;58329030;"-";27804;"protein_coding";"TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]"
"ENSG00000005513";-8,88608456463873;2,80885956497957e-08;1,04556403172508e-07;"SOX8";"16";981808;986979;"+";5172;"protein_coding";"SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]"
"ENSG00000005981";-7,88315900982441;6,04286297012879e-06;1,80356055319336e-05;"ASB4";"7";95485439;95544738;"+";59300;"protein_coding";"ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]"
"ENSG00000006025";-2,68464424774653;3,41807991408896e-26;3,46868050259123e-25;"OSBPL7";"17";47807367;47821822;"-";14456;"protein_coding";"oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]"
"ENSG00000006042";-9,04233359980664;2,64268079183126e-15;1,6167712700992e-14;"TMEM98";"17";32927910;32941649;"+";13740;"protein_coding";"transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]"
"ENSG00000006047";-11,595025945787;2,95582591543097e-15;1,80447040595462e-14;"YBX2";"17";7288252;7294557;"-";6306;"protein_coding";"Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]"
"ENSG00000006282";-3,15056629375409;1,61046964492214e-76;6,08166070114515e-75;"SPATA20";"17";50547089;50555852;"+";8764;"protein_coding";"spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]"
"ENSG00000006283";-3,32115516510453;5,00959672610897e-05;0,000134173554868906;"CACNA1G";"17";50560933;50629625;"+";68693;"protein_coding";"calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]"
"ENSG00000006432";-1,06903848989341;2,05300115427728e-12;1,04851077080137e-11;"MAP3K9";"14";70722526;70809262;"-";86737;"protein_coding";"mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]"
"ENSG00000006453";-2,42950987428263;7,35062955611582e-05;0,000193503849311136;"BAIAP2L1";"7";98291650;98401115;"-";109466;"protein_coding";"BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]"
"ENSG00000006555";-6,14900813839966;2,7399823979827e-16;1,78031060339424e-15;"TTC22";"1";54779696;54802379;"-";22684;"protein_coding";"tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]"
"ENSG00000006611";-10,1121551446339;4,79681407256927e-07;1,59572830646433e-06;"USH1C";"11";17493895;17544416;"-";50522;"protein_coding";"USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]"
"ENSG00000006740";-4,26167983867278;1,7966287511608e-09;7,43975161415907e-09;"ARHGAP44";"17";12789512;12991644;"+";202133;"protein_coding";"Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]"
"ENSG00000006757";-6,56891561685384;1,3145568922207e-19;1,01852798880232e-18;"PNPLA4";"X";7898763;7928587;"-";29825;"protein_coding";"patatin like domain 4, phospholipase and triacylglycerol lipase  [Source:HGNC Symbol;Acc:HGNC:24887]"
"ENSG00000006837";-1,01723823541274;0,00882556831978347;0,0170488485344482;"CDKL3";"5";134236120;134372380;"-";136261;"protein_coding";"cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483]"
"ENSG00000007062";-8,80364648157216;0,000766408526308996;0,00175536836348538;"PROM1";"4";15968226;16084059;"-";115834;"protein_coding";"prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]"
"ENSG00000007171";-9,28532439409881;4,9574267569839e-35;6,81855901006915e-34;"NOS2";"17";27756766;27800529;"-";43764;"protein_coding";"nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]"
"ENSG00000007216";-7,75939991880376;1,36620876869291e-05;3,92986475780575e-05;"SLC13A2";"17";28473357;28497781;"+";24425;"protein_coding";"solute carrier family 13 member 2 [Source:HGNC Symbol;Acc:HGNC:10917]"
"ENSG00000007255";-1,72301171207469;0,00115668165395423;0,00258387634489528;"TRAPPC6A";"19";45162928;45179266;"-";16339;"protein_coding";"trafficking protein particle complex subunit 6A [Source:HGNC Symbol;Acc:HGNC:23069]"
"ENSG00000007376";-1,14752039790575;7,27706376178822e-16;4,60898706307841e-15;"RPUSD1";"16";784974;788383;"-";3410;"protein_coding";"RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]"
"ENSG00000007384";-1,68658485369506;1,39924696575084e-17;9,72069452926377e-17;"RHBDF1";"16";58059;76355;"-";18297;"protein_coding";"rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]"
"ENSG00000007516";-4,17605455436827;1,81400384289818e-06;5,70961305447705e-06;"BAIAP3";"16";1333605;1349441;"+";15837;"protein_coding";"BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]"
"ENSG00000007866";-4,70827695661073;4,62952049703366e-125;3,69258342821811e-123;"TEAD3";"6";35473597;35497084;"-";23488;"protein_coding";"TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716]"
"ENSG00000007944";-1,70970205660579;5,55609494774537e-17;3,74110393148188e-16;"MYLIP";"6";16129086;16151015;"+";21930;"protein_coding";"myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]"
"ENSG00000007952";-10,4033352908411;1,78789177149886e-23;1,63632839934124e-22;"NOX1";"X";100843324;100874345;"-";31022;"protein_coding";"NADPH oxidase 1 [Source:HGNC Symbol;Acc:HGNC:7889]"
"ENSG00000008086";-1,85659817537396;7,30804232963087e-16;4,62689074645658e-15;"CDKL5";"X";18425605;18653629;"+";228025;"protein_coding";"cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]"
"ENSG00000008283";-3,41812353699705;2,45062320853732e-59;6,54611698693638e-58;"CYB561";"17";63432303;63446361;"-";14059;"protein_coding";"cytochrome b561 [Source:HGNC Symbol;Acc:HGNC:2571]"
"ENSG00000008300";-1,32473230868884;2,70466466070272e-18;1,95867293566121e-17;"CELSR3";"3";48636463;48662915;"-";26453;"protein_coding";"cadherin EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]"
"ENSG00000008323";-6,39316097481751;9,73922860587355e-145;1,01365178703449e-142;"PLEKHG6";"12";6310436;6328506;"+";18071;"protein_coding";"pleckstrin homology and RhoGEF domain containing G6 [Source:HGNC Symbol;Acc:HGNC:25562]"
"ENSG00000008517";-3,75348370965225;3,24878187022353e-78;1,27186829685425e-76;"IL32";"16";3065312;3069819;"+";4508;"protein_coding";"interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]"
"ENSG00000008735";-5,01418076824117;3,64211522243735e-18;2,61206994671358e-17;"MAPK8IP2";"22";50600685;50613981;"+";13297;"protein_coding";"mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]"
