"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000092969";"TGFB2";"transforming growth factor beta 2";357;27,3924427032471;"No"
"row_1";"ENSG00000156925";"ZIC3";"Zic family member 3";700;15,3718461990356;"No"
"row_2";"ENSG00000101115";"SALL4";"spalt like transcription factor 4";744;14,3880844116211;"No"
"row_3";"ENSG00000154764";"WNT7A";"Wnt family member 7A";1047;9,84325504302979;"No"
"row_4";"ENSG00000089225";"TBX5";"T-box transcription factor 5";1088;9,20632648468018;"No"
"row_5";"ENSG00000101282";"RSPO4";"R-spondin 4";1140;8,83609104156494;"No"
"row_6";"ENSG00000183691";"NOG";"noggin";1208;8,30395984649658;"No"
"row_7";"ENSG00000123388";"HOXC11";"homeobox C11";1237;7,86735725402832;"No"
"row_8";"ENSG00000107831";"FGF8";"fibroblast growth factor 8";1325;7,11122179031372;"No"
"row_9";"ENSG00000125965";"GDF5";"growth differentiation factor 5";1329;7,11122179031372;"No"
"row_10";"ENSG00000125398";"SOX9";"SRY-box transcription factor 9";1491;5,90750455856323;"No"
"row_11";"ENSG00000151012";"SLC7A11";"solute carrier family 7 member 11";1785;4,85595989227295;"No"
"row_12";"ENSG00000116132";"PRRX1";"paired related homeobox 1";1789;4,81858587265015;"No"
"row_13";"ENSG00000168542";"COL3A1";"collagen type III alpha 1 chain";1843;4,44597244262695;"No"
"row_14";"ENSG00000132470";"ITGB4";"integrin subunit beta 4";1889;4,13637971878052;"No"
"row_15";"ENSG00000003137";"CYP26B1";"cytochrome P450 family 26 subfamily B member 1";2019;3,70550465583801;"No"
"row_16";"ENSG00000125378";"BMP4";"bone morphogenetic protein 4";2044;3,60335755348206;"No"
"row_17";"ENSG00000135454";"B4GALNT1";"beta-1,4-N-acetyl-galactosaminyltransferase 1";2100;3,36199378967285;"No"
"row_18";"ENSG00000073282";"TP63";"tumor protein p63";2181;3,02874088287354;"No"
"row_19";"ENSG00000083307";"GRHL2";"grainyhead like transcription factor 2";2185;3,02874088287354;"No"
"row_20";"ENSG00000143320";"CRABP2";"cellular retinoic acid binding protein 2";2570;2,49682521820068;"No"
"row_21";"ENSG00000182197";"EXT1";"exostosin glycosyltransferase 1";2680;2,14616322517395;"No"
"row_22";"ENSG00000075223";"SEMA3C";"semaphorin 3C";2684;2,1329300403595;"No"
"row_23";"ENSG00000134323";"MYCN";"MYCN proto-oncogene, bHLH transcription factor";2717;2,05133366584778;"No"
"row_24";"ENSG00000138829";"FBN2";"fibrillin 2";2881;1,91522920131683;"No"
"row_25";"ENSG00000142156";"COL6A1";"collagen type VI alpha 1 chain";2956;1,73266458511353;"No"
"row_26";"ENSG00000131650";"KREMEN2";"kringle containing transmembrane protein 2";2958;1,73161590099335;"No"
"row_27";"ENSG00000121075";"TBX4";"T-box transcription factor 4";3041;1,56680834293365;"No"
"row_28";"ENSG00000198363";"ASPH";"aspartate beta-hydroxylase";3066;1,54661810398102;"No"
"row_29";"ENSG00000148400";"NOTCH1";"notch receptor 1";3114;1,48888301849365;"No"
"row_30";"ENSG00000091436";"MAP3K20";"mitogen-activated protein kinase kinase kinase 20";3118;1,47477638721466;"No"
"row_31";"ENSG00000073712";"FERMT2";"FERM domain containing kindlin 2";3254;1,30157876014709;"No"
"row_32";"ENSG00000168014";"C2CD3";"C2 domain containing 3 centriole elongation regulator";3375;1,16612946987152;"No"
"row_33";"ENSG00000146535";"GNA12";"G protein subunit alpha 12";3419;1,10921728610992;"No"
"row_34";"ENSG00000116285";"ERRFI1";"ERBB receptor feedback inhibitor 1";3533;1,03874337673187;"No"
"row_35";"ENSG00000075388";"FGF4";"fibroblast growth factor 4";3609;0,979648113250732;"No"
"row_36";"ENSG00000185716";"MOSMO";"modulator of smoothened";4332;0,957578480243683;"No"
"row_37";"ENSG00000143951";"WDPCP";"WD repeat containing planar cell polarity effector";4742;0,672357499599457;"No"
"row_38";"ENSG00000124813";"RUNX2";"RUNX family transcription factor 2";4845;0,61013275384903;"No"
"row_39";"ENSG00000108379";"WNT3";"Wnt family member 3";5022;0,542677164077759;"No"
"row_40";"ENSG00000164190";"NIPBL";"NIPBL cohesin loading factor";5084;0,521696150302887;"No"
"row_41";"ENSG00000106571";"GLI3";"GLI family zinc finger 3";5117;0,514306128025055;"No"
"row_42";"ENSG00000091409";"ITGA6";"integrin subunit alpha 6";5123;0,512243866920471;"No"
"row_43";"ENSG00000005339";"CREBBP";"CREB binding protein";5156;0,494578808546066;"No"
"row_44";"ENSG00000114251";"WNT5A";"Wnt family member 5A";5172;0,485414624214172;"No"
"row_45";"ENSG00000145423";"SFRP2";"secreted frizzled related protein 2";5197;0,481890916824341;"No"
"row_46";"ENSG00000117298";"ECE1";"endothelin converting enzyme 1";5225;0,480718433856964;"No"
"row_47";"ENSG00000134250";"NOTCH2";"notch receptor 2";5277;0,458854913711548;"No"
"row_48";"ENSG00000076356";"PLXNA2";"plexin A2";5308;0,441197723150253;"No"
"row_49";"ENSG00000159899";"NPR2";"natriuretic peptide receptor 2";5485;0,380433082580566;"No"
"row_50";"ENSG00000101052";"IFT52";"intraflagellar transport 52";5714;0,304921209812164;"No"
"row_51";"ENSG00000164930";"FZD6";"frizzled class receptor 6";5804;0,285280495882034;"No"
"row_52";"ENSG00000085224";"ATRX";"ATRX chromatin remodeler";5805;0,285126745700836;"No"
"row_53";"ENSG00000152601";"MBNL1";"muscleblind like splicing regulator 1";5871;0,282015442848206;"No"
"row_54";"ENSG00000056586";"RC3H2";"ring finger and CCCH-type domains 2";5894;0,277215659618378;"No"
"row_55";"ENSG00000204217";"BMPR2";"bone morphogenetic protein receptor type 2";5997;0,252403825521469;"No"
"row_56";"ENSG00000131127";"ZNF141";"zinc finger protein 141";6066;0,237792238593102;"No"
"row_57";"ENSG00000104331";"BPNT2";"3'(2'), 5'-bisphosphate nucleotidase 2";6218;0,208462238311768;"No"
