"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000068078";"FGFR3";"fibroblast growth factor receptor 3";176;59,3578147888184;"Yes"
"row_1";"ENSG00000160867";"FGFR4";"fibroblast growth factor receptor 4";661;19,7593402862549;"Yes"
"row_2";"ENSG00000162344";"FGF19";"fibroblast growth factor 19";1044;9,44117641448975;"Yes"
"row_3";"ENSG00000158815";"FGF17";"fibroblast growth factor 17";1117;8,38588905334473;"Yes"
"row_4";"ENSG00000102678";"FGF9";"fibroblast growth factor 9";1498;4,92395925521851;"Yes"
"row_5";"ENSG00000077782";"FGFR1";"fibroblast growth factor receptor 1";3287;0,881383001804352;"No"
"row_6";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";6787;0,033317044377327;"No"
"row_7";"ENSG00000126934";"MAP2K2";"mitogen-activated protein kinase kinase 2";7042;0,0209549497812986;"No"
"row_8";"ENSG00000177885";"GRB2";"growth factor receptor bound protein 2";7330;0,0109141347929835;"No"
"row_9";"ENSG00000070193";"FGF10";"fibroblast growth factor 10";8235;0;"No"
"row_10";"ENSG00000075388";"FGF4";"fibroblast growth factor 4";8262;0;"No"
"row_11";"ENSG00000078579";"FGF20";"fibroblast growth factor 20";8278;0;"No"
"row_12";"ENSG00000105550";"FGF21";"fibroblast growth factor 21";8518;0;"No"
"row_13";"ENSG00000107831";"FGF8";"fibroblast growth factor 8";8569;0;"No"
"row_14";"ENSG00000111241";"FGF6";"fibroblast growth factor 6";8622;0;"No"
"row_15";"ENSG00000118972";"FGF23";"fibroblast growth factor 23";8771;0;"No"
"row_16";"ENSG00000138675";"FGF5";"fibroblast growth factor 5";9281;0;"No"
"row_17";"ENSG00000140285";"FGF7";"fibroblast growth factor 7";9318;0;"No"
"row_18";"ENSG00000156427";"FGF18";"fibroblast growth factor 18";9678;0;"No"
"row_19";"ENSG00000174775";"HRAS";"HRas proto-oncogene, GTPase";10557;0;"No"
"row_20";"ENSG00000186895";"FGF3";"fibroblast growth factor 3";11402;0;"No"
"row_21";"ENSG00000196468";"FGF16";"fibroblast growth factor 16";11677;0;"No"
"row_22";"ENSG00000115904";"SOS1";"SOS Ras/Rac guanine nucleotide exchange factor 1";28108;-0,00489353202283382;"No"
"row_23";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";28185;-0,0065031903795898;"No"
"row_24";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";28361;-0,0104790041223168;"No"
"row_25";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";28928;-0,0287922583520412;"No"
"row_26";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";29656;-0,0716045051813126;"No"
"row_27";"ENSG00000078061";"ARAF";"A-Raf proto-oncogene, serine/threonine kinase";30705;-0,187262088060379;"No"
"row_28";"ENSG00000213281";"NRAS";"NRAS proto-oncogene, GTPase";31084;-0,251596838235855;"No"
"row_29";"ENSG00000113578";"FGF1";"fibroblast growth factor 1";31515;-0,344453275203705;"No"
"row_30";"ENSG00000100485";"SOS2";"SOS Ras/Rho guanine nucleotide exchange factor 2";31996;-0,511470556259155;"No"
"row_31";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";32050;-0,527902603149414;"No"
"row_32";"ENSG00000070388";"FGF22";"fibroblast growth factor 22";32091;-0,55072408914566;"No"
"row_33";"ENSG00000138685";"FGF2";"fibroblast growth factor 2";34020;-2,80003643035889;"No"
"row_34";"ENSG00000066468";"FGFR2";"fibroblast growth factor receptor 2";34342;-3,8147349357605;"No"
