"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000118194";"TNNT2";"troponin T2, cardiac type";105;48,4597778320312;"Yes"
"row_1";"ENSG00000105605";"CACNG7";"calcium voltage-gated channel auxiliary subunit gamma 7";208;36,6495704650879;"Yes"
"row_2";"ENSG00000157388";"CACNA1D";"calcium voltage-gated channel subunit alpha1 D";265;32,6158180236816;"Yes"
"row_3";"ENSG00000111245";"MYL2";"myosin light chain 2";340;27,9267272949219;"Yes"
"row_4";"ENSG00000114854";"TNNC1";"troponin C1, slow skeletal and cardiac type";659;16,0762939453125;"Yes"
"row_5";"ENSG00000151062";"CACNA2D4";"calcium voltage-gated channel auxiliary subunit alpha2delta 4";852;12,6364107131958;"Yes"
"row_6";"ENSG00000151067";"CACNA1C";"calcium voltage-gated channel subunit alpha1 C";949;11,0055303573608;"Yes"
"row_7";"ENSG00000198467";"TPM2";"tropomyosin 2";985;10,6395311355591;"Yes"
"row_8";"ENSG00000140416";"TPM1";"tropomyosin 1";1576;5,64657497406006;"Yes"
"row_9";"ENSG00000018625";"ATP1A2";"ATPase Na+/K+ transporting subunit alpha 2";1680;4,86845111846924;"Yes"
"row_10";"ENSG00000165995";"CACNB2";"calcium voltage-gated channel auxiliary subunit beta 2";1868;4,61830568313599;"Yes"
"row_11";"ENSG00000182389";"CACNB4";"calcium voltage-gated channel auxiliary subunit beta 4";2151;3,21138668060303;"Yes"
"row_12";"ENSG00000153956";"CACNA2D1";"calcium voltage-gated channel auxiliary subunit alpha2delta 1";3049;1,62960469722748;"No"
"row_13";"ENSG00000129244";"ATP1B2";"ATPase Na+/K+ transporting subunit beta 2";3501;1,03933036327362;"No"
"row_14";"ENSG00000108878";"CACNG1";"calcium voltage-gated channel auxiliary subunit gamma 1";3613;0,974733531475067;"No"
"row_15";"ENSG00000067191";"CACNB1";"calcium voltage-gated channel auxiliary subunit beta 1";4767;0,687578976154327;"No"
"row_16";"ENSG00000157445";"CACNA2D3";"calcium voltage-gated channel auxiliary subunit alpha2delta 3";4866;0,633593022823334;"No"
"row_17";"ENSG00000161281";"COX7A1";"cytochrome c oxidase subunit 7A1";5348;0,44473659992218;"No"
"row_18";"ENSG00000143153";"ATP1B1";"ATPase Na+/K+ transporting subunit beta 1";5811;0,304355502128601;"No"
"row_19";"ENSG00000007402";"CACNA2D2";"calcium voltage-gated channel auxiliary subunit alpha2delta 2";6100;0,248301103711128;"No"
"row_20";"ENSG00000115944";"COX7A2L";"cytochrome c oxidase subunit 7A2 like";7334;0,089606299996376;"No"
"row_21";"ENSG00000169021";"UQCRFS1";"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1";7498;0,0755895376205444;"No"
"row_22";"ENSG00000140740";"UQCRC2";"ubiquinol-cytochrome c reductase core protein 2";7683;0,062401857227087;"No"
"row_23";"ENSG00000233954";"UQCRHL";"ubiquinol-cytochrome c reductase hinge protein like";8620;0,0161869004368782;"No"
"row_24";"ENSG00000198727";"MT-CYB";"cytochrome b";8687;0,0139268720522523;"No"
"row_25";"ENSG00000198938";"MT-CO3";"cytochrome c oxidase subunit III";8933;0,00795263238251209;"No"
"row_26";"ENSG00000167535";"CACNB3";"calcium voltage-gated channel auxiliary subunit beta 3";9585;8,92682583071291e-05;"No"
"row_27";"ENSG00000163399";"ATP1A1";"ATPase Na+/K+ transporting subunit alpha 1";9628;1,1537780665094e-05;"No"
"row_28";"ENSG00000006116";"CACNG3";"calcium voltage-gated channel auxiliary subunit gamma 3";9660;0;"No"
"row_29";"ENSG00000075461";"CACNG4";"calcium voltage-gated channel auxiliary subunit gamma 4";9762;0;"No"
"row_30";"ENSG00000081248";"CACNA1S";"calcium voltage-gated channel subunit alpha1 S";9786;0;"No"
"row_31";"ENSG00000092054";"MYH7";"myosin heavy chain 7";9829;0;"No"
"row_32";"ENSG00000101892";"ATP1B4";"ATPase Na+/K+ transporting family member beta 4";9911;0;"No"
"row_33";"ENSG00000102001";"CACNA1F";"calcium voltage-gated channel subunit alpha1 F";9916;0;"No"
"row_34";"ENSG00000131055";"COX4I2";"cytochrome c oxidase subunit 4I2";10445;0;"No"
"row_35";"ENSG00000132681";"ATP1A4";"ATPase Na+/K+ transporting subunit alpha 4";10474;0;"No"
"row_36";"ENSG00000137731";"FXYD2";"FXYD domain containing ion transport regulator 2";10583;0;"No"
"row_37";"ENSG00000156885";"COX6A2";"cytochrome c oxidase subunit 6A2";10914;0;"No"
"row_38";"ENSG00000159251";"ACTC1";"actin alpha cardiac muscle 1";10965;0;"No"
"row_39";"ENSG00000160808";"MYL3";"myosin light chain 3";10993;0;"No"
"row_40";"ENSG00000166862";"CACNG2";"calcium voltage-gated channel auxiliary subunit gamma 2";11231;0;"No"
"row_41";"ENSG00000170516";"COX7B2";"cytochrome c oxidase subunit 7B2";11412;0;"No"
"row_42";"ENSG00000187581";"COX8C";"cytochrome c oxidase subunit 8C";12396;0;"No"
"row_43";"ENSG00000197616";"MYH6";"myosin heavy chain 6";12660;0;"No"
"row_44";"ENSG00000069849";"ATP1B3";"ATPase Na+/K+ transporting subunit beta 3";28657;-0,0103001017123461;"No"
"row_45";"ENSG00000198712";"MT-CO2";"cytochrome c oxidase subunit II";28678;-0,0105534484609962;"No"
"row_46";"ENSG00000160471";"COX6B2";"cytochrome c oxidase subunit 6B2";28705;-0,0112143661826849;"No"
"row_47";"ENSG00000143549";"TPM3";"tropomyosin 3";29103;-0,023227334022522;"No"
"row_48";"ENSG00000198689";"SLC9A6";"solute carrier family 9 member A6";29107;-0,0233011096715927;"No"
"row_49";"ENSG00000164405";"UQCRQ";"ubiquinol-cytochrome c reductase complex III subunit VII";29265;-0,0287898331880569;"No"
"row_50";"ENSG00000112695";"COX7A2";"cytochrome c oxidase subunit 7A2";29286;-0,0296334624290466;"No"
"row_51";"ENSG00000198804";"MT-CO1";"cytochrome c oxidase subunit I";29903;-0,0623641237616539;"No"
"row_52";"ENSG00000184076";"UQCR10";"ubiquinol-cytochrome c reductase, complex III subunit X";29959;-0,0653821304440498;"No"
"row_53";"ENSG00000198626";"RYR2";"ryanodine receptor 2";30026;-0,0705225467681885;"No"
"row_54";"ENSG00000174437";"ATP2A2";"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2";30297;-0,0874016508460045;"No"
"row_55";"ENSG00000142408";"CACNG8";"calcium voltage-gated channel auxiliary subunit gamma 8";30313;-0,0887448489665985;"No"
"row_56";"ENSG00000167460";"TPM4";"tropomyosin 4";30660;-0,121297985315323;"No"
"row_57";"ENSG00000173660";"UQCRH";"ubiquinol-cytochrome c reductase hinge protein";31147;-0,17349274456501;"No"
"row_58";"ENSG00000090020";"SLC9A1";"solute carrier family 9 member A1";31894;-0,306476444005966;"No"
"row_59";"ENSG00000178741";"COX5A";"cytochrome c oxidase subunit 5A";32557;-0,487022131681442;"No"
"row_60";"ENSG00000156467";"UQCRB";"ubiquinol-cytochrome c reductase binding protein";32734;-0,553201496601105;"No"
"row_61";"ENSG00000130433";"CACNG6";"calcium voltage-gated channel auxiliary subunit gamma 6";32807;-0,586150527000427;"No"
"row_62";"ENSG00000126267";"COX6B1";"cytochrome c oxidase subunit 6B1";32936;-0,644331336021423;"No"
"row_63";"ENSG00000010256";"UQCRC1";"ubiquinol-cytochrome c reductase core protein 1";32944;-0,645166575908661;"No"
"row_64";"ENSG00000131143";"COX4I1";"cytochrome c oxidase subunit 4I1";32978;-0,668687641620636;"No"
"row_65";"ENSG00000075429";"CACNG5";"calcium voltage-gated channel auxiliary subunit gamma 5";33411;-0,939889788627625;"No"
"row_66";"ENSG00000164919";"COX6C";"cytochrome c oxidase subunit 6C";34177;-1,25415515899658;"No"
"row_67";"ENSG00000176340";"COX8A";"cytochrome c oxidase subunit 8A";34245;-1,33003175258636;"No"
"row_68";"ENSG00000111775";"COX6A1";"cytochrome c oxidase subunit 6A1";34550;-1,76778590679169;"No"
"row_69";"ENSG00000127540";"UQCR11";"ubiquinol-cytochrome c reductase, complex III subunit XI";34591;-1,87123560905457;"No"
"row_70";"ENSG00000131174";"COX7B";"cytochrome c oxidase subunit 7B";34625;-1,9301518201828;"No"
"row_71";"ENSG00000179091";"CYC1";"cytochrome c1";34717;-1,99164140224457;"No"
"row_72";"ENSG00000127184";"COX7C";"cytochrome c oxidase subunit 7C";34790;-2,19319367408752;"No"
"row_73";"ENSG00000135940";"COX5B";"cytochrome c oxidase subunit 5B";34922;-2,52619552612305;"No"
"row_74";"ENSG00000183023";"SLC8A1";"solute carrier family 8 member A1";35246;-3,38096141815186;"No"
"row_75";"ENSG00000105409";"ATP1A3";"ATPase Na+/K+ transporting subunit alpha 3";35247;-3,38791656494141;"No"
"row_76";"ENSG00000129991";"TNNI3";"troponin I3, cardiac type";35814;-8,19658946990967;"No"
