"gene_id";"log2FoldChange";"log2CPM";"pvalue";"FDR";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000001561";7,39633525216273;3,56245862895906;0,000105038078930782;0,00540115296829667;"ENPP4";"6";46129964;46146699;"+";16736;"protein_coding";"ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]"
"ENSG00000003137";5,30037423010774;3,74664948637581;0,00134659763055896;0,0339973878905198;"CYP26B1";"2";72129238;72147862;"-";18625;"protein_coding";"cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]"
"ENSG00000005249";11,1235560170006;3,15848644692206;2,69788319194008e-05;0,00222719128085647;"PRKAR2B";"7";107044728;107161811;"+";121914;"protein_coding";"protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"ENSG00000005884";6,29573996237631;8,04634913675706;0,000196828966913182;0,00839081424993125;"ITGA3";"17";50055968;50090485;"+";34518;"protein_coding";"integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]"
"ENSG00000006788";12,5262029942564;4,54834219734504;2,42191797749181e-06;0,000527000041690578;"MYH13";"17";10300866;10373005;"-";72140;"protein_coding";"myosin heavy chain 13 [Source:HGNC Symbol;Acc:HGNC:7571]"
"ENSG00000009709";7,03615497853176;2,30608291353634;0,000417889937255764;0,0142450384416979;"PAX7";"1";18631006;18748866;"+";117861;"protein_coding";"paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]"
"ENSG00000011028";11,4470210104758;6,67201128800232;2,13358998821544e-07;0,000129459128518286;"MRC2";"17";62627401;62693601;"+";66201;"protein_coding";"mannose receptor C-type 2 [Source:HGNC Symbol;Acc:HGNC:16875]"
"ENSG00000011201";10,5746241854453;5,8014871374913;9,64703087574139e-07;0,000320623775988253;"ANOS1";"X";8528874;8732187;"-";203314;"protein_coding";"anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]"
"ENSG00000011677";7,18790936079402;3,35766590178321;0,00015035191502928;0,00689384360019641;"GABRA3";"X";152166234;152451359;"-";285126;"protein_coding";"gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]"
"ENSG00000013016";11,0247841226633;3,06116405230352;3,21134906798551e-05;0,00251727288681098;"EHD3";"2";31234014;31269451;"+";35438;"protein_coding";"EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]"
"ENSG00000013588";5,97990391679877;5,59495572039357;0,000392067736800219;0,013593921929475;"GPRC5A";"12";12891022;12913666;"+";22645;"protein_coding";"G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]"
"ENSG00000013619";6,88323016369617;4,00711828506738;0,000144235360035289;0,00670085476832106;"MAMLD1";"X";150361564;150514178;"+";152615;"protein_coding";"mastermind like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:2568]"
"ENSG00000018236";11,6379351901682;3,66671222610331;1,11961549240183e-05;0,00133009597759275;"CNTN1";"12";40692429;41072412;"+";379984;"protein_coding";"contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]"
"ENSG00000019549";6,1884750758709;2,38490972827288;0,000811601591296048;0,0233673584877122;"SNAI2";"8";48917677;48921440;"-";3764;"protein_coding";"snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]"
"ENSG00000021645";8,3757418993956;3,61733009785212;4,24316972459323e-05;0,00293682199607492;"NRXN3";"14";77979904;79868290;"+";1888387;"protein_coding";"neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]"
"ENSG00000021762";11,4820687122218;3,51248755370199;1,46587485088601e-05;0,00154840491193732;"OSBPL5";"11";3087116;3165352;"-";78237;"protein_coding";"oxysterol binding protein like 5 [Source:HGNC Symbol;Acc:HGNC:16392]"
"ENSG00000022267";13,4419477482021;5,46040601200321;4,98347783130746e-07;0,000226142259818874;"FHL1";"X";136146702;136211359;"+";64658;"protein_coding";"four and a half LIM domains 1 [Source:HGNC Symbol;Acc:HGNC:3702]"
"ENSG00000022567";10,521226761106;2,56671794487678;7,52587924247149e-05;0,00424786294110724;"SLC45A4";"8";141207166;141308321;"-";101156;"protein_coding";"solute carrier family 45 member 4 [Source:HGNC Symbol;Acc:HGNC:29196]"
"ENSG00000023608";5,20679700657746;8,0390957611354;0,0012075706712282;0,0316279265156358;"SNAPC1";"14";61762357;61796428;"+";34072;"protein_coding";"small nuclear RNA activating complex polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:11134]"
"ENSG00000026025";11,2217873332622;9,30193459451381;5,67357360671414e-08;7,37686145450125e-05;"VIM";"10";17228210;17237597;"+";9388;"protein_coding";"vimentin [Source:HGNC Symbol;Acc:HGNC:12692]"
