"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000094916";"CBX5";"chromobox 5";2053;3,99442267417908;"No"
"row_1";"ENSG00000152684";"PELO";"pelota mRNA surveillance and ribosome rescue factor";2318;3,42690920829773;"No"
"row_2";"ENSG00000065665";"SEC61A2";"SEC61 translocon subunit alpha 2";3567;1,21497654914856;"No"
"row_3";"ENSG00000077097";"TOP2B";"DNA topoisomerase II beta";5028;0,708451628684998;"No"
"row_4";"ENSG00000187742";"SECISBP2";"SECIS binding protein 2";5122;0,655262231826782;"No"
"row_5";"ENSG00000135679";"MDM2";"MDM2 proto-oncogene";5340;0,544236183166504;"No"
"row_6";"ENSG00000170473";"PYM1";"PYM homolog 1, exon junction complex associated factor";5578;0,463921129703522;"No"
"row_7";"ENSG00000169217";"CD2BP2";"CD2 cytoplasmic tail binding protein 2";5614;0,448408126831055;"No"
"row_8";"ENSG00000005486";"RHBDD2";"rhomboid domain containing 2";5783;0,395304083824158;"No"
"row_9";"ENSG00000215301";"DDX3X";"DEAD-box helicase 3 X-linked";5788;0,392764180898666;"No"
"row_10";"ENSG00000198862";"LTN1";"listerin E3 ubiquitin protein ligase 1";5843;0,379646778106689;"No"
"row_11";"ENSG00000072849";"DERL2";"derlin 2";5847;0,377384692430496;"No"
"row_12";"ENSG00000132478";"UNK";"unk zinc finger";6114;0,304834187030792;"No"
"row_13";"ENSG00000111605";"CPSF6";"cleavage and polyadenylation specific factor 6";6327;0,266746312379837;"No"
"row_14";"ENSG00000106462";"EZH2";"enhancer of zeste 2 polycomb repressive complex 2 subunit";6333;0,265901774168015;"No"
"row_15";"ENSG00000135829";"DHX9";"DExH-box helicase 9";6380;0,256463259458542;"No"
"row_16";"ENSG00000040341";"STAU2";"staufen double-stranded RNA binding protein 2";6568;0,218450054526329;"No"
"row_17";"ENSG00000145375";"AFG2A";"AFG2 AAA ATPase homolog A";6589;0,213929936289787;"No"
"row_18";"ENSG00000154059";"IMPACT";"impact RWD domain protein";6776;0,183671683073044;"No"
"row_19";"ENSG00000138593";"SECISBP2L";"SECIS binding protein 2 like";6823;0,17832313477993;"No"
"row_20";"ENSG00000172766";"NAA16";"N-alpha-acetyltransferase 16, NatA auxiliary subunit";6916;0,165636882185936;"No"
"row_21";"ENSG00000107937";"GTPBP4";"GTP binding protein 4";6928;0,164289891719818;"No"
"row_22";"ENSG00000143183";"TMCO1";"transmembrane and coiled-coil domains 1";6949;0,161223441362381;"No"
"row_23";"ENSG00000108654";"DDX5";"DEAD-box helicase 5";7017;0,150887489318848;"No"
"row_24";"ENSG00000171960";"PPIH";"peptidylprolyl isomerase H";7022;0,150490000844002;"No"
"row_25";"ENSG00000023734";"STRAP";"serine/threonine kinase receptor associated protein";7052;0,147441193461418;"No"
"row_26";"ENSG00000063046";"EIF4B";"eukaryotic translation initiation factor 4B";7079;0,143501043319702;"No"
"row_27";"ENSG00000156256";"USP16";"ubiquitin specific peptidase 16";7322;0,112465091049671;"No"
"row_28";"ENSG00000130349";"MTRES1";"mitochondrial transcription rescue factor 1";7478;0,0965869426727295;"No"
"row_29";"ENSG00000120705";"ETF1";"eukaryotic translation termination factor 1";7616;0,0853849202394485;"No"
"row_30";"ENSG00000214575";"CPEB1";"cytoplasmic polyadenylation element binding protein 1";7945;0,0618652477860451;"No"
"row_31";"ENSG00000155506";"LARP1";"La ribonucleoprotein 1, translational regulator";8062;0,0534900575876236;"No"
"row_32";"ENSG00000156531";"PHF6";"PHD finger protein 6";8071;0,0531133040785789;"No"
"row_33";"ENSG00000124571";"XPO5";"exportin 5";8152;0,0488413870334625;"No"
"row_34";"ENSG00000005100";"DHX33";"DEAH-box helicase 33";8193;0,0464830808341503;"No"
"row_35";"ENSG00000140598";"EFL1";"elongation factor like GTPase 1";8298;0,0399140752851963;"No"
"row_36";"ENSG00000070366";"SMG6";"SMG6 nonsense mediated mRNA decay factor";8307;0,0394286625087261;"No"
"row_37";"ENSG00000174780";"SRP72";"signal recognition particle 72";8376;0,0358653403818607;"No"
"row_38";"ENSG00000164134";"NAA15";"N-alpha-acetyltransferase 15, NatA auxiliary subunit";8506;0,030203003436327;"No"
"row_39";"ENSG00000153187";"HNRNPU";"heterogeneous nuclear ribonucleoprotein U";8563;0,0282924938946962;"No"
"row_40";"ENSG00000204628";"RACK1";"receptor for activated C kinase 1";8847;0,0173044260591269;"No"
"row_41";"ENSG00000185728";"YTHDF3";"YTH N6-methyladenosine RNA binding protein F3";9041;0,011608699336648;"No"
"row_42";"ENSG00000104852";"SNRNP70";"small nuclear ribonucleoprotein U1 subunit 70";9055;0,0111815417185426;"No"
"row_43";"ENSG00000132600";"PRMT7";"protein arginine methyltransferase 7";9125;0,00988509505987167;"No"
"row_44";"ENSG00000167658";"EEF2";"eukaryotic translation elongation factor 2";9138;0,00965152587741613;"No"
"row_45";"ENSG00000151806";"GUF1";"GTP binding elongation factor GUF1";9141;0,00960905384272337;"No"
"row_46";"ENSG00000144895";"EIF2A";"eukaryotic translation initiation factor 2A";9207;0,00815258920192719;"No"
"row_47";"ENSG00000143742";"SRP9";"signal recognition particle 9";9265;0,00706089753657579;"No"
"row_48";"ENSG00000154277";"UCHL1";"ubiquitin C-terminal hydrolase L1";9295;0,00658738519996405;"No"
"row_49";"ENSG00000204463";"BAG6";"BAG cochaperone 6";9331;0,00576702645048499;"No"
"row_50";"ENSG00000153037";"SRP19";"signal recognition particle 19";9340;0,00570960342884064;"No"
"row_51";"ENSG00000044574";"HSPA5";"heat shock protein family A (Hsp70) member 5";9371;0,00503180734813213;"No"
"row_52";"ENSG00000102081";"FMR1";"fragile X messenger ribonucleoprotein 1";9383;0,00479886448010802;"No"
"row_53";"ENSG00000136986";"DERL1";"derlin 1";9385;0,0046441457234323;"No"
"row_54";"ENSG00000137193";"PIM1";"Pim-1 proto-oncogene, serine/threonine kinase";9400;0,00445058569312096;"No"
"row_55";"ENSG00000104626";"ERI1";"exoribonuclease 1";9578;0,00211581028997898;"No"
"row_56";"ENSG00000174106";"LEMD3";"LEM domain containing 3";9580;0,00209303596056998;"No"
"row_57";"ENSG00000165792";"METTL17";"methyltransferase like 17";9604;0,00185475440230221;"No"
"row_58";"ENSG00000114416";"FXR1";"FMR1 autosomal homolog 1";9758;0,000603168096859008;"No"
"row_59";"ENSG00000132432";"SEC61G";"SEC61 translocon subunit gamma";9884;5,85826055612415e-05;"No"
"row_60";"ENSG00000100883";"SRP54";"signal recognition particle 54";9893;4,18667623307556e-05;"No"
"row_61";"ENSG00000099958";"DERL3";"derlin 3";10116;0;"No"
"row_62";"ENSG00000122033";"MTIF3";"mitochondrial translational initiation factor 3";10482;0;"No"
"row_63";"ENSG00000128739";"SNRPN";"small nuclear ribonucleoprotein polypeptide N";10629;0;"No"
"row_64";"ENSG00000134001";"EIF2S1";"eukaryotic translation initiation factor 2 subunit alpha";10722;0;"No"
"row_65";"ENSG00000137449";"CPEB2";"cytoplasmic polyadenylation element binding protein 2";10811;0;"No"
"row_66";"ENSG00000163331";"DAPL1";"death associated protein like 1";11269;0;"No"
"row_67";"ENSG00000163577";"EIF5A2";"eukaryotic translation initiation factor 5A2";11279;0;"No"
"row_68";"ENSG00000214274";"ANG";"angiogenin";15748;0;"No"
"row_69";"ENSG00000236320";"SLFN14";"schlafen family member 14";19461;0;"No"
"row_70";"ENSG00000239672";"NME1";"NME/NM23 nucleoside diphosphate kinase 1";20139;0;"No"
"row_71";"ENSG00000255833";"TIFAB";"TIFA inhibitor";23252;0;"No"
