"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000150782";"IL18";"interleukin 18";2351;3,16529178619385;"No"
"row_1";"ENSG00000167772";"ANGPTL4";"angiopoietin like 4";3535;0,95394641160965;"No"
"row_2";"ENSG00000165775";"FUNDC2";"FUN14 domain containing 2";4588;0,59529983997345;"No"
"row_3";"ENSG00000096717";"SIRT1";"sirtuin 1";4742;0,51106584072113;"No"
"row_4";"ENSG00000135241";"PNPLA8";"patatin like domain 8, phospholipase A2";4845;0,462933331727982;"No"
"row_5";"ENSG00000108510";"MED13";"mediator complex subunit 13";7925;0,020902106538415;"No"
"row_6";"ENSG00000091039";"OSBPL8";"oxysterol binding protein like 8";8651;0,003515888703987;"No"
"row_7";"ENSG00000177666";"PNPLA2";"patatin like domain 2, triacylglycerol lipase";8653;0,00349269970320165;"No"
"row_8";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";8820;0,00154223758727312;"No"
"row_9";"ENSG00000130173";"ANGPTL8";"angiopoietin like 8";10001;0;"No"
"row_10";"ENSG00000132855";"ANGPTL3";"angiopoietin like 3";10060;0;"No"
"row_11";"ENSG00000153291";"SLC25A27";"solute carrier family 25 member 27";10518;0;"No"
"row_12";"ENSG00000199088";"MIR379";"microRNA 379";12707;0;"No"
"row_13";"ENSG00000199157";"MIR208A";"microRNA 208a";12729;0;"No"
"row_14";"ENSG00000207932";"MIR33A";"microRNA 33a";14657;0;"No"
"row_15";"ENSG00000234906";"APOC2";"apolipoprotein C2";19051;0;"No"
"row_16";"ENSG00000267467";"APOC4";"apolipoprotein C4";25110;0;"No"
"row_17";"ENSG00000277494";"GPIHBP1";"glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1";26181;0;"No"
"row_18";"ENSG00000284357";"MIR34A";"microRNA 34a";26955;0;"No"
"row_19";"ENSG00000144909";"OSBPL11";"oxysterol binding protein like 11";28925;-0,00827684719115496;"No"
"row_20";"ENSG00000197296";"FITM2";"fat storage inducing transmembrane protein 2";30453;-0,0877401903271675;"No"
"row_21";"ENSG00000130766";"SESN2";"sestrin 2";30516;-0,0931840911507607;"No"
"row_22";"ENSG00000175701";"MTLN";"mitoregulin";30954;-0,132774725556374;"No"
"row_23";"ENSG00000082196";"C1QTNF3";"C1q and TNF related 3";31724;-0,260114192962646;"No"
"row_24";"ENSG00000073060";"SCARB1";"scavenger receptor class B member 1";31788;-0,272689342498779;"No"
"row_25";"ENSG00000062282";"DGAT2";"diacylglycerol O-acyltransferase 2";32084;-0,34693905711174;"No"
"row_26";"ENSG00000069667";"RORA";"RAR related orphan receptor A";32095;-0,351791441440582;"No"
"row_27";"ENSG00000025434";"NR1H3";"nuclear receptor subfamily 1 group H member 3";33178;-0,933945059776306;"No"
"row_28";"ENSG00000175445";"LPL";"lipoprotein lipase";33368;-0,990124225616455;"No"
"row_29";"ENSG00000100219";"XBP1";"X-box binding protein 1";34418;-2,07695150375366;"No"
"row_30";"ENSG00000163485";"ADORA1";"adenosine A1 receptor";34692;-3,05582022666931;"No"
"row_31";"ENSG00000087237";"CETP";"cholesteryl ester transfer protein";35635;-11,6829633712769;"Yes"
"row_32";"ENSG00000138075";"ABCG5";"ATP binding cassette subfamily G member 5";35851;-17,7748279571533;"Yes"
"row_33";"ENSG00000183747";"ACSM2A";"acyl-CoA synthetase medium chain family member 2A";35891;-19,221508026123;"Yes"
"row_34";"ENSG00000130208";"APOC1";"apolipoprotein C1";35945;-21,6665859222412;"Yes"
"row_35";"ENSG00000009950";"MLXIPL";"MLX interacting protein like";35988;-23,9835338592529;"Yes"
"row_36";"ENSG00000138308";"PLA2G12B";"phospholipase A2 group XIIB";36007;-25,4805393218994;"Yes"
"row_37";"ENSG00000110244";"APOA4";"apolipoprotein A4";36126;-35,4268379211426;"Yes"
"row_38";"ENSG00000118961";"LDAH";"lipid droplet associated hydrolase";36220;-48,0884284973145;"Yes"
"row_39";"ENSG00000143921";"ABCG8";"ATP binding cassette subfamily G member 8";36268;-57,4578323364258;"Yes"
"row_40";"ENSG00000110243";"APOA5";"apolipoprotein A5";36293;-64,7118148803711;"Yes"
"row_41";"ENSG00000166035";"LIPC";"lipase C, hepatic type";36311;-70,2092971801758;"Yes"
"row_42";"ENSG00000084734";"GCKR";"glucokinase regulator";36315;-71,3337478637695;"Yes"
"row_43";"ENSG00000130203";"APOE";"apolipoprotein E";36317;-72,3003387451172;"Yes"
"row_44";"ENSG00000012504";"NR1H4";"nuclear receptor subfamily 1 group H member 4";36324;-73,1116409301758;"Yes"
"row_45";"ENSG00000110245";"APOC3";"apolipoprotein C3";36334;-75,8434524536133;"Yes"
"row_46";"ENSG00000118137";"APOA1";"apolipoprotein A1";36370;-102,236145019531;"Yes"
"row_47";"ENSG00000101076";"HNF4A";"hepatocyte nuclear factor 4 alpha";36388;-123,804870605469;"Yes"
