"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000107485";"GATA3";"GATA binding protein 3";947;13,7150621414185;"No"
"row_1";"ENSG00000204287";"HLA-DRA";"major histocompatibility complex, class II, DR alpha";1331;8,68519592285156;"No"
"row_2";"ENSG00000015285";"WAS";"WASP actin nucleation promoting factor";2067;3,9072585105896;"No"
"row_3";"ENSG00000010704";"HFE";"homeostatic iron regulator";2073;3,90496277809143;"No"
"row_4";"ENSG00000101665";"SMAD7";"SMAD family member 7";2226;3,85978889465332;"No"
"row_5";"ENSG00000160862";"AZGP1";"alpha-2-glycoprotein 1, zinc-binding";2299;3,54095935821533;"No"
"row_6";"ENSG00000158473";"CD1D";"CD1d molecule";2863;2,03685760498047;"No"
"row_7";"ENSG00000213047";"DENND1B";"DENN domain containing 1B";3737;1,03528797626495;"No"
"row_8";"ENSG00000123338";"NCKAP1L";"NCK associated protein 1 like";3755;1,02623188495636;"No"
"row_9";"ENSG00000158485";"CD1B";"CD1b molecule";3765;1,02623188495636;"No"
"row_10";"ENSG00000196126";"HLA-DRB1";"major histocompatibility complex, class II, DR beta 1";3778;1,02623188495636;"No"
"row_11";"ENSG00000081237";"PTPRC";"protein tyrosine phosphatase receptor type C";4034;0,897293627262115;"No"
"row_12";"ENSG00000105205";"CLC";"Charcot-Leyden crystal galectin";4052;0,897293627262115;"No"
"row_13";"ENSG00000117090";"SLAMF1";"signaling lymphocytic activation molecule family member 1";4075;0,897293627262115;"No"
"row_14";"ENSG00000121594";"CD80";"CD80 molecule";4084;0,897293627262115;"No"
"row_15";"ENSG00000122122";"SASH3";"SAM and SH3 domain containing 3";4086;0,897293627262115;"No"
"row_16";"ENSG00000134539";"KLRD1";"killer cell lectin like receptor D1";4118;0,897293627262115;"No"
"row_17";"ENSG00000158488";"CD1E";"CD1e molecule";4163;0,897293627262115;"No"
"row_18";"ENSG00000197471";"SPN";"sialophorin";4311;0,897293627262115;"No"
"row_19";"ENSG00000126804";"ZBTB1";"zinc finger and BTB domain containing 1";5993;0,337041974067688;"No"
"row_20";"ENSG00000175104";"TRAF6";"TNF receptor associated factor 6";6262;0,277531266212463;"No"
"row_21";"ENSG00000099910";"KLHL22";"kelch like family member 22";6431;0,246174514293671;"No"
"row_22";"ENSG00000135341";"MAP3K7";"mitogen-activated protein kinase kinase kinase 7";6726;0,1931411921978;"No"
"row_23";"ENSG00000170027";"YWHAG";"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma";6740;0,189983278512955;"No"
"row_24";"ENSG00000120217";"CD274";"CD274 molecule";6751;0,187138870358467;"No"
"row_25";"ENSG00000189403";"HMGB1";"high mobility group box 1";6881;0,171045228838921;"No"
"row_26";"ENSG00000204305";"AGER";"advanced glycosylation end-product specific receptor";7790;0,0736976861953735;"No"
"row_27";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";7833;0,0706743597984314;"No"
"row_28";"ENSG00000110944";"IL23A";"interleukin 23 subunit alpha";7855;0,0684232339262962;"No"
"row_29";"ENSG00000014123";"UFL1";"UFM1 specific ligase 1";7925;0,0635810494422913;"No"
"row_30";"ENSG00000111667";"USP5";"ubiquitin specific peptidase 5";8008;0,0574911497533321;"No"
"row_31";"ENSG00000196843";"ARID5A";"AT-rich interaction domain 5A";8418;0,0336352698504925;"No"
"row_32";"ENSG00000203722";"RAET1G";"retinoic acid early transcript 1G";9006;0,0126997688785195;"No"
"row_33";"ENSG00000134321";"RSAD2";"radical S-adenosyl methionine domain containing 2";9352;0,00546484719961882;"No"
"row_34";"ENSG00000067606";"PRKCZ";"protein kinase C zeta";9432;0,00413861451670527;"No"
"row_35";"ENSG00000174564";"IL20RB";"interleukin 20 receptor subunit beta";9538;0,00248976843431592;"No"
"row_36";"ENSG00000117586";"TNFSF4";"TNF superfamily member 4";9596;0,00193178292829543;"No"
"row_37";"ENSG00000145868";"FBXO38";"F-box protein 38";9822;0,000257816631346941;"No"
"row_38";"ENSG00000172175";"MALT1";"MALT1 paracaspase";9862;0,000122010838822462;"No"
"row_39";"ENSG00000072694";"FCGR2B";"Fc gamma receptor IIb";10023;0;"No"
"row_40";"ENSG00000073008";"PVR";"PVR cell adhesion molecule";10024;0;"No"
"row_41";"ENSG00000073861";"TBX21";"T-box transcription factor 21";10028;0;"No"
"row_42";"ENSG00000079385";"CEACAM1";"CEA cell adhesion molecule 1";10042;0;"No"
"row_43";"ENSG00000089041";"P2RX7";"purinergic receptor P2X 7";10082;0;"No"
"row_44";"ENSG00000096996";"IL12RB1";"interleukin 12 receptor subunit beta 1";10110;0;"No"
"row_45";"ENSG00000104951";"IL4I1";"interleukin 4 induced 1";10226;0;"No"
"row_46";"ENSG00000104972";"LILRB1";"leukocyte immunoglobulin like receptor B1";10227;0;"No"
"row_47";"ENSG00000113302";"IL12B";"interleukin 12B";10366;0;"No"
"row_48";"ENSG00000113520";"IL4";"interleukin 4";10370;0;"No"
"row_49";"ENSG00000118520";"ARG1";"arginase 1";10425;0;"No"
"row_50";"ENSG00000121807";"CCR2";"C-C motif chemokine receptor 2";10478;0;"No"
"row_51";"ENSG00000129465";"RIPK3";"receptor interacting serine/threonine kinase 3";10637;0;"No"
"row_52";"ENSG00000134545";"KLRC1";"killer cell lectin like receptor C1";10738;0;"No"
"row_53";"ENSG00000143184";"XCL1";"X-C motif chemokine ligand 1";10912;0;"No"
"row_54";"ENSG00000158477";"CD1A";"CD1a molecule";11141;0;"No"
"row_55";"ENSG00000158481";"CD1C";"CD1c molecule";11142;0;"No"
"row_56";"ENSG00000164520";"RAET1E";"retinoic acid early transcript 1E";11321;0;"No"
"row_57";"ENSG00000168811";"IL12A";"interleukin 12A";11505;0;"No"
"row_58";"ENSG00000171855";"IFNB1";"interferon beta 1";11676;0;"No"
"row_59";"ENSG00000180549";"FUT7";"fucosyltransferase 7";12119;0;"No"
"row_60";"ENSG00000182566";"CLEC4G";"C-type lectin domain family 4 member G";12246;0;"No"
"row_61";"ENSG00000186818";"LILRB4";"leukocyte immunoglobulin like receptor B4";12528;0;"No"
"row_62";"ENSG00000188379";"IFNA2";"interferon alpha 2";12646;0;"No"
"row_63";"ENSG00000188389";"PDCD1";"programmed cell death 1";12648;0;"No"
"row_64";"ENSG00000204632";"HLA-G";"major histocompatibility complex, class I, G";14068;0;"No"
"row_65";"ENSG00000206341";"HLA-H";"major histocompatibility complex, class I, H (pseudogene)";28434;-0,00423071393743157;"No"
"row_66";"ENSG00000206503";"HLA-A";"major histocompatibility complex, class I, A";28625;-0,00759568810462952;"No"
"row_67";"ENSG00000110651";"CD81";"CD81 molecule";29074;-0,0217908322811127;"No"
"row_68";"ENSG00000112679";"DUSP22";"dual specificity phosphatase 22";29220;-0,0284385420382023;"No"
"row_69";"ENSG00000153310";"CYRIB";"CYFIP related Rac1 interactor B";29226;-0,0287415236234665;"No"
"row_70";"ENSG00000153029";"MR1";"major histocompatibility complex, class I-related";30469;-0,116575725376606;"No"
"row_71";"ENSG00000132356";"PRKAA1";"protein kinase AMP-activated catalytic subunit alpha 1";30475;-0,117185793817043;"No"
"row_72";"ENSG00000130202";"NECTIN2";"nectin cell adhesion molecule 2";32167;-0,465191096067429;"No"
"row_73";"ENSG00000079950";"STX7";"syntaxin 7";32297;-0,517654955387115;"No"
"row_74";"ENSG00000127191";"TRAF2";"TNF receptor associated factor 2";32632;-0,665156245231628;"No"
"row_75";"ENSG00000163251";"FZD5";"frizzled class receptor 5";32645;-0,675045013427734;"No"
"row_76";"ENSG00000049768";"FOXP3";"forkhead box P3";32662;-0,681369185447693;"No"
"row_77";"ENSG00000173762";"CD7";"CD7 molecule";32664;-0,681369185447693;"No"
"row_78";"ENSG00000107758";"PPP3CB";"protein phosphatase 3 catalytic subunit beta";32669;-0,681706070899963;"No"
"row_79";"ENSG00000204642";"HLA-F";"major histocompatibility complex, class I, F";32782;-0,763460755348206;"No"
"row_80";"ENSG00000136244";"IL6";"interleukin 6";33170;-1,03109467029572;"No"
"row_81";"ENSG00000162594";"IL23R";"interleukin 23 receptor";33200;-1,03109467029572;"No"
"row_82";"ENSG00000144381";"HSPD1";"heat shock protein family D (Hsp60) member 1";33659;-1,23021960258484;"No"
"row_83";"ENSG00000168040";"FADD";"Fas associated via death domain";34203;-2,2565770149231;"Yes"
"row_84";"ENSG00000111981";"ULBP1";"UL16 binding protein 1";34271;-2,52575778961182;"Yes"
"row_85";"ENSG00000188372";"ZP3";"zona pellucida glycoprotein 3";34331;-2,7206974029541;"Yes"
"row_86";"ENSG00000130529";"TRPM4";"transient receptor potential cation channel subfamily M member 4";34473;-3,04862594604492;"Yes"
"row_87";"ENSG00000115594";"IL1R1";"interleukin 1 receptor type 1";34537;-3,3999125957489;"Yes"
"row_88";"ENSG00000162711";"NLRP3";"NLR family pyrin domain containing 3";34576;-3,58870720863342;"Yes"
"row_89";"ENSG00000204267";"TAP2";"transporter 2, ATP binding cassette subfamily B member";34616;-3,78361582756042;"Yes"
"row_90";"ENSG00000204525";"HLA-C";"major histocompatibility complex, class I, C";34623;-3,85462927818298;"Yes"
"row_91";"ENSG00000166710";"B2M";"beta-2-microglobulin";34626;-3,87372922897339;"Yes"
"row_92";"ENSG00000204592";"HLA-E";"major histocompatibility complex, class I, E";34867;-4,73043966293335;"Yes"
"row_93";"ENSG00000172940";"SLC22A13";"solute carrier family 22 member 13";35023;-5,74713850021362;"Yes"
"row_94";"ENSG00000234745";"HLA-B";"major histocompatibility complex, class I, B";35071;-5,87704944610596;"Yes"
"row_95";"ENSG00000028137";"TNFRSF1B";"TNF receptor superfamily member 1B";35364;-9,05084800720215;"Yes"
"row_96";"ENSG00000115604";"IL18R1";"interleukin 18 receptor 1";35798;-17,3394298553467;"Yes"
"row_97";"ENSG00000168685";"IL7R";"interleukin 7 receptor";35834;-18,4180564880371;"Yes"
"row_98";"ENSG00000131019";"ULBP3";"UL16 binding protein 3";35895;-20,6051082611084;"Yes"
"row_99";"ENSG00000155918";"RAET1L";"retinoic acid early transcript 1L";36007;-24,9570636749268;"Yes"
"row_100";"ENSG00000106546";"AHR";"aryl hydrocarbon receptor";36175;-36,4582176208496;"Yes"
"row_101";"ENSG00000141574";"SECTM1";"secreted and transmembrane 1";36214;-39,6065406799316;"Yes"
"row_102";"ENSG00000131015";"ULBP2";"UL16 binding protein 2";36258;-44,628044128418;"Yes"
"row_103";"ENSG00000150782";"IL18";"interleukin 18";36290;-49,9753837585449;"Yes"
"row_104";"ENSG00000125538";"IL1B";"interleukin 1 beta";36345;-63,9819488525391;"Yes"
"row_105";"ENSG00000196352";"CD55";"CD55 molecule (Cromer blood group)";36396;-89,3650665283203;"Yes"
