"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000243955";"GSTA1";"glutathione S-transferase alpha 1";30;106,214935302734;"Yes"
"row_1";"ENSG00000171234";"UGT2B7";"UDP glucuronosyltransferase family 2 member B7";42;87,6204376220703;"Yes"
"row_2";"ENSG00000168765";"GSTM4";"glutathione S-transferase mu 4";84;65,0414352416992;"Yes"
"row_3";"ENSG00000244067";"GSTA2";"glutathione S-transferase alpha 2";153;46,5629730224609;"Yes"
"row_4";"ENSG00000069535";"MAOB";"monoamine oxidase B";298;29,0839920043945;"Yes"
"row_5";"ENSG00000109181";"UGT2B10";"UDP glucuronosyltransferase family 2 member B10";334;26,9519920349121;"Yes"
"row_6";"ENSG00000135220";"UGT2A3";"UDP glucuronosyltransferase family 2 member A3";377;24,4009037017822;"Yes"
"row_7";"ENSG00000138356";"AOX1";"aldehyde oxidase 1";380;23,8937835693359;"Yes"
"row_8";"ENSG00000134184";"GSTM1";"glutathione S-transferase mu 1";643;13,1410284042358;"Yes"
"row_9";"ENSG00000156096";"UGT2B4";"UDP glucuronosyltransferase family 2 member B4";724;11,1338586807251;"Yes"
"row_10";"ENSG00000213366";"GSTM2";"glutathione S-transferase mu 2";805;9,31111812591553;"Yes"
"row_11";"ENSG00000008394";"MGST1";"microsomal glutathione S-transferase 1";883;8,21045780181885;"Yes"
"row_12";"ENSG00000006534";"ALDH3B1";"aldehyde dehydrogenase 3 family member B1";950;7,31609201431274;"Yes"
"row_13";"ENSG00000189221";"MAOA";"monoamine oxidase A";1418;3,77579188346863;"Yes"
"row_14";"ENSG00000021461";"CYP3A43";"cytochrome P450 family 3 subfamily A member 43";1547;3,06245374679565;"Yes"
"row_15";"ENSG00000160868";"CYP3A4";"cytochrome P450 family 3 subfamily A member 4";1574;3,06245374679565;"Yes"
"row_16";"ENSG00000197894";"ADH5";"alcohol dehydrogenase 5 (class III), chi polypeptide";1903;2,12345671653748;"Yes"
"row_17";"ENSG00000085871";"MGST2";"microsomal glutathione S-transferase 2";1930;2,05385541915894;"Yes"
"row_18";"ENSG00000140505";"CYP1A2";"cytochrome P450 family 1 subfamily A member 2";1943;2,04467725753784;"Yes"
"row_19";"ENSG00000100197";"CYP2D6";"cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene)";2050;1,95934200286865;"Yes"
"row_20";"ENSG00000099984";"GSTT2";"glutathione S-transferase theta 2 (gene/pseudogene)";2646;0,992691874504089;"No"
"row_21";"ENSG00000135226";"UGT2B28";"UDP glucuronosyltransferase family 2 member B28";2685;0,992691874504089;"No"
"row_22";"ENSG00000173610";"UGT2A1";"UDP glucuronosyltransferase family 2 member A1 complex locus";2744;0,992691874504089;"No"
"row_23";"ENSG00000197888";"UGT2B17";"UDP glucuronosyltransferase family 2 member B17";2790;0,992691874504089;"No"
"row_24";"ENSG00000134202";"GSTM3";"glutathione S-transferase mu 3";3484;0,631115257740021;"No"
"row_25";"ENSG00000148834";"GSTO1";"glutathione S-transferase omega 1";3674;0,536406576633453;"No"
"row_26";"ENSG00000108602";"ALDH3A1";"aldehyde dehydrogenase 3 family member A1";4853;0,181985154747963;"No"
"row_27";"ENSG00000170899";"GSTA4";"glutathione S-transferase alpha 4";5432;0,111922539770603;"No"
"row_28";"ENSG00000100577";"GSTZ1";"glutathione S-transferase zeta 1";6255;0,0466981381177902;"No"
"row_29";"ENSG00000138109";"CYP2C9";"cytochrome P450 family 2 subfamily C member 9";6409;0,0393725745379925;"No"
"row_30";"ENSG00000065621";"GSTO2";"glutathione S-transferase omega 2";6470;0,0376698896288872;"No"
"row_31";"ENSG00000007933";"FMO3";"flavin containing dimethylaniline monoxygenase 3";8137;0;"No"
"row_32";"ENSG00000010932";"FMO1";"flavin containing dimethylaniline monoxygenase 1";8142;0;"No"
"row_33";"ENSG00000094963";"FMO2";"flavin containing dimethylaniline monoxygenase 2";8319;0;"No"
"row_34";"ENSG00000106258";"CYP3A5";"cytochrome P450 family 3 subfamily A member 5";8478;0;"No"
"row_35";"ENSG00000131781";"FMO5";"flavin containing dimethylaniline monoxygenase 5";8952;0;"No"
"row_36";"ENSG00000132746";"ALDH3B2";"aldehyde dehydrogenase 3 family member B2";8973;0;"No"
