"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000147160";"AWAT2";"acyl-CoA wax alcohol acyltransferase 2";907;10,1066331863403;"No"
"row_1";"ENSG00000026652";"AGPAT4";"1-acylglycerol-3-phosphate O-acyltransferase 4";1182;6,58092021942139;"No"
"row_2";"ENSG00000162407";"PLPP3";"phospholipid phosphatase 3";1316;5,85351800918579;"No"
"row_3";"ENSG00000186281";"GPAT2";"glycerol-3-phosphate acyltransferase 2, mitochondrial";2171;2,10183906555176;"No"
"row_4";"ENSG00000187021";"PNLIPRP1";"pancreatic lipase related protein 1";2441;1,96281337738037;"No"
"row_5";"ENSG00000204310";"AGPAT1";"1-acylglycerol-3-phosphate O-acyltransferase 1";2706;1,81158864498138;"No"
"row_6";"ENSG00000062282";"DGAT2";"diacylglycerol O-acyltransferase 2";3206;1,00152122974396;"No"
"row_7";"ENSG00000072210";"ALDH3A2";"aldehyde dehydrogenase 3 family member A2";3336;0,869483828544617;"No"
"row_8";"ENSG00000170835";"CEL";"carboxyl ester lipase";3436;0,795971155166626;"No"
"row_9";"ENSG00000145214";"DGKQ";"diacylglycerol kinase theta";3768;0,601646780967712;"No"
"row_10";"ENSG00000169692";"AGPAT2";"1-acylglycerol-3-phosphate O-acyltransferase 2";3842;0,56934005022049;"No"
"row_11";"ENSG00000198814";"GK";"glycerol kinase";4137;0,434071063995361;"No"
"row_12";"ENSG00000153933";"DGKE";"diacylglycerol kinase epsilon";4177;0,429997593164444;"No"
"row_13";"ENSG00000168237";"GLYCTK";"glycerate kinase";4186;0,427226990461349;"No"
"row_14";"ENSG00000149091";"DGKZ";"diacylglycerol kinase zeta";4685;0,283268094062805;"No"
"row_15";"ENSG00000149476";"TKFC";"triokinase and FMN cyclase";4734;0,274005055427551;"No"
"row_16";"ENSG00000185000";"DGAT1";"diacylglycerol O-acyltransferase 1";4815;0,253797054290771;"No"
"row_17";"ENSG00000157680";"DGKI";"diacylglycerol kinase iota";5100;0,205683723092079;"No"
"row_18";"ENSG00000074416";"MGLL";"monoglyceride lipase";5443;0,149441421031952;"No"
"row_19";"ENSG00000143797";"MBOAT2";"membrane bound glycerophospholipid O-acyltransferase 2";6443;0,068036787211895;"No"
"row_20";"ENSG00000067113";"PLPP1";"phospholipid phosphatase 1";6821;0,0424154028296471;"No"
"row_21";"ENSG00000077044";"DGKD";"diacylglycerol kinase delta";6842;0,0416628234088421;"No"
"row_22";"ENSG00000143149";"ALDH9A1";"aldehyde dehydrogenase 9 family member A1";7844;0,00855612847954035;"No"
"row_23";"ENSG00000006530";"AGK";"acylglycerol kinase";7947;0,00650221901014447;"No"
"row_24";"ENSG00000058866";"DGKG";"diacylglycerol kinase gamma";8154;0,00351607194170356;"No"
"row_25";"ENSG00000117448";"AKR1A1";"aldo-keto reductase family 1 member A1";8674;2,32236448027834e-06;"No"
"row_26";"ENSG00000102393";"GLA";"galactosidase alpha";9047;0;"No"
"row_27";"ENSG00000136267";"DGKB";"diacylglycerol kinase beta";9794;0;"No"
"row_28";"ENSG00000175445";"LPL";"lipoprotein lipase";11083;0;"No"
"row_29";"ENSG00000175535";"PNLIP";"pancreatic lipase";11092;0;"No"
"row_30";"ENSG00000182333";"LIPF";"lipase F, gastric type";11532;0;"No"
"row_31";"ENSG00000196475";"GK2";"glycerol kinase 2";12148;0;"No"
"row_32";"ENSG00000266200";"PNLIPRP2";"pancreatic lipase related protein 2 (gene/pseudogene)";24569;0;"No"
"row_33";"ENSG00000119927";"GPAM";"glycerol-3-phosphate acyltransferase, mitochondrial";28290;-0,00232255784794688;"No"
"row_34";"ENSG00000158669";"GPAT4";"glycerol-3-phosphate acyltransferase 4";28912;-0,0135502815246582;"No"
"row_35";"ENSG00000065357";"DGKA";"diacylglycerol kinase alpha";30446;-0,0801153555512428;"No"
"row_36";"ENSG00000172954";"LCLAT1";"lysocardiolipin acyltransferase 1";31937;-0,2550028860569;"No"
"row_37";"ENSG00000102780";"DGKH";"diacylglycerol kinase eta";32052;-0,276079595088959;"No"
"row_38";"ENSG00000164904";"ALDH7A1";"aldehyde dehydrogenase 7 family member A1";32094;-0,285859674215317;"No"
"row_39";"ENSG00000137124";"ALDH1B1";"aldehyde dehydrogenase 1 family member B1";32759;-0,461229354143143;"No"
"row_40";"ENSG00000160216";"AGPAT3";"1-acylglycerol-3-phosphate O-acyltransferase 3";32963;-0,536766171455383;"No"
"row_41";"ENSG00000138678";"GPAT3";"glycerol-3-phosphate acyltransferase 3";33005;-0,551905751228333;"No"
"row_42";"ENSG00000172197";"MBOAT1";"membrane bound glycerophospholipid O-acyltransferase 1";33231;-0,65853351354599;"No"
"row_43";"ENSG00000111275";"ALDH2";"aldehyde dehydrogenase 2 family member";34321;-1,71802628040314;"No"
"row_44";"ENSG00000101670";"LIPG";"lipase G, endothelial type";35613;-7,39112138748169;"Yes"
"row_45";"ENSG00000085662";"AKR1B1";"aldo-keto reductase family 1 member B";36108;-21,4224433898926;"Yes"
"row_46";"ENSG00000100344";"PNPLA3";"patatin like domain 3, 1-acylglycerol-3-phosphate O-acyltransferase";36151;-23,7252826690674;"Yes"
"row_47";"ENSG00000166035";"LIPC";"lipase C, hepatic type";36299;-41,7350616455078;"Yes"
"row_48";"ENSG00000141934";"PLPP2";"phospholipid phosphatase 2";36384;-85,2015686035156;"Yes"
