"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000145824";"CXCL14";"C-X-C motif chemokine ligand 14";254;43,0781593322754;"Yes"
"row_1";"ENSG00000129946";"SHC2";"SHC adaptor protein 2";281;41,575927734375;"Yes"
"row_2";"ENSG00000100077";"GRK3";"G protein-coupled receptor kinase 3";344;37,7027893066406;"Yes"
"row_3";"ENSG00000006210";"CX3CL1";"C-X3-C motif chemokine ligand 1";365;36,7659111022949;"Yes"
"row_4";"ENSG00000186469";"GNG2";"G protein subunit gamma 2";418;34,522762298584;"Yes"
"row_5";"ENSG00000115009";"CCL20";"C-C motif chemokine ligand 20";685;24,7185325622559;"Yes"
"row_6";"ENSG00000106178";"CCL24";"C-C motif chemokine ligand 24";748;22,8484115600586;"Yes"
"row_7";"ENSG00000124875";"CXCL6";"C-X-C motif chemokine ligand 6";791;21,9998874664307;"Yes"
"row_8";"ENSG00000155897";"ADCY8";"adenylate cyclase 8";809;21,6639575958252;"Yes"
"row_9";"ENSG00000182621";"PLCB1";"phospholipase C beta 1";1071;16,5350074768066;"Yes"
"row_10";"ENSG00000108691";"CCL2";"C-C motif chemokine ligand 2";1078;16,5160465240479;"Yes"
"row_11";"ENSG00000112486";"CCR6";"C-C motif chemokine receptor 6";1233;13,8910245895386;"Yes"
"row_12";"ENSG00000078295";"ADCY2";"adenylate cyclase 2";1360;12,2634115219116;"Yes"
"row_13";"ENSG00000101333";"PLCB4";"phospholipase C beta 4";1365;12,1634292602539;"Yes"
"row_14";"ENSG00000167083";"GNGT2";"G protein subunit gamma transducin 2";1445;10,828369140625;"Yes"
"row_15";"ENSG00000107562";"CXCL12";"C-X-C motif chemokine ligand 12";1459;10,7259187698364;"Yes"
"row_16";"ENSG00000137841";"PLCB2";"phospholipase C beta 2";1527;10,3475074768066;"Yes"
"row_17";"ENSG00000134516";"DOCK2";"dedicator of cytokinesis 2";1610;9,15125846862793;"Yes"
"row_18";"ENSG00000166501";"PRKCB";"protein kinase C beta";1954;6,69312286376953;"Yes"
"row_19";"ENSG00000111664";"GNB3";"G protein subunit beta 3";2048;6,54449367523193;"Yes"
"row_20";"ENSG00000142875";"PRKACB";"protein kinase cAMP-activated catalytic subunit beta";2084;6,28027868270874;"Yes"
"row_21";"ENSG00000105851";"PIK3CG";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma";2108;6,02192974090576;"Yes"
"row_22";"ENSG00000113263";"ITK";"IL2 inducible T cell kinase";2109;6,02192974090576;"Yes"
"row_23";"ENSG00000185974";"GRK1";"G protein-coupled receptor kinase 1";2145;5,80681276321411;"Yes"
"row_24";"ENSG00000173175";"ADCY5";"adenylate cyclase 5";2197;5,56759405136108;"Yes"
"row_25";"ENSG00000006606";"CCL26";"C-C motif chemokine ligand 26";2211;5,47339916229248;"Yes"
"row_26";"ENSG00000068831";"RASGRP2";"RAS guanyl releasing protein 2";2251;5,16893100738525;"Yes"
"row_27";"ENSG00000213927";"CCL27";"C-C motif chemokine ligand 27";2406;4,8639235496521;"Yes"
