"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000103449";"SALL1";"spalt like transcription factor 1";35;77,8647003173828;"Yes"
"row_1";"ENSG00000176165";"FOXG1";"forkhead box G1";44;73,3354263305664;"Yes"
"row_2";"ENSG00000114251";"WNT5A";"Wnt family member 5A";64;66,404052734375;"Yes"
"row_3";"ENSG00000145147";"SLIT2";"slit guidance ligand 2";75;63,2947120666504;"Yes"
"row_4";"ENSG00000172201";"ID4";"inhibitor of DNA binding 4";130;52,4586563110352;"Yes"
"row_5";"ENSG00000016082";"ISL1";"ISL LIM homeobox 1";134;51,4754486083984;"Yes"
"row_6";"ENSG00000170500";"LONRF2";"LON peptidase N-terminal domain and ring finger 2";166;47,8460006713867;"Yes"
"row_7";"ENSG00000177551";"NHLH2";"nescient helix-loop-helix 2";171;47,5444679260254;"Yes"
"row_8";"ENSG00000106571";"GLI3";"GLI family zinc finger 3";198;45,1287689208984;"Yes"
"row_9";"ENSG00000178568";"ERBB4";"erb-b2 receptor tyrosine kinase 4";229;42,307430267334;"Yes"
"row_10";"ENSG00000139445";"FOXN4";"forkhead box N4";282;37,7943916320801;"Yes"
"row_11";"ENSG00000126970";"ZC4H2";"zinc finger C4H2-type containing";287;37,5389747619629;"Yes"
"row_12";"ENSG00000169855";"ROBO1";"roundabout guidance receptor 1";294;37,094539642334;"Yes"
"row_13";"ENSG00000115844";"DLX2";"distal-less homeobox 2";311;35,9245414733887;"Yes"
"row_14";"ENSG00000185008";"ROBO2";"roundabout guidance receptor 2";348;34,0542373657227;"Yes"
"row_15";"ENSG00000105880";"DLX5";"distal-less homeobox 5";360;33,4876480102539;"Yes"
"row_16";"ENSG00000117707";"PROX1";"prospero homeobox 1";367;33,0322380065918;"Yes"
"row_17";"ENSG00000184486";"POU3F2";"POU class 3 homeobox 2";378;32,5003242492676;"Yes"
"row_18";"ENSG00000143032";"BARHL2";"BarH like homeobox 2";393;31,7123012542725;"Yes"
"row_19";"ENSG00000128710";"HOXD10";"homeobox D10";471;28,0308818817139;"Yes"
"row_20";"ENSG00000128573";"FOXP2";"forkhead box P2";477;27,7833499908447;"Yes"
"row_21";"ENSG00000184347";"SLIT3";"slit guidance ligand 3";513;26,6969356536865;"Yes"
"row_22";"ENSG00000156687";"UNC5D";"unc-5 netrin receptor D";567;24,3052368164062;"Yes"
"row_23";"ENSG00000163508";"EOMES";"eomesodermin";572;24,0818519592285;"Yes"
"row_24";"ENSG00000064218";"DMRT3";"doublesex and mab-3 related transcription factor 3";581;23,794153213501;"Yes"
"row_25";"ENSG00000174672";"BRSK2";"BR serine/threonine kinase 2";591;23,6037311553955;"Yes"
"row_26";"ENSG00000154342";"WNT3A";"Wnt family member 3A";598;23,3165035247803;"Yes"
"row_27";"ENSG00000138136";"LBX1";"ladybird homeobox 1";614;22,7104721069336;"Yes"
"row_28";"ENSG00000187122";"SLIT1";"slit guidance ligand 1";620;22,5000019073486;"Yes"
"row_29";"ENSG00000164532";"TBX20";"T-box transcription factor 20";641;21,6892852783203;"Yes"
"row_30";"ENSG00000102924";"CBLN1";"cerebellin 1 precursor";645;21,5547523498535;"Yes"
"row_31";"ENSG00000138696";"BMPR1B";"bone morphogenetic protein receptor type 1B";704;19,9672603607178;"Yes"
"row_32";"ENSG00000125820";"NKX2-2";"NK2 homeobox 2";712;19,7271251678467;"Yes"
"row_33";"ENSG00000074047";"GLI2";"GLI family zinc finger 2";767;18,3224697113037;"Yes"
"row_34";"ENSG00000009709";"PAX7";"paired box 7";780;17,9363784790039;"Yes"
"row_35";"ENSG00000205927";"OLIG2";"oligodendrocyte transcription factor 2";891;15,1494731903076;"Yes"
