"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000026025";"VIM";"vimentin";291;266,409545898438;"No"
"row_1";"ENSG00000151914";"DST";"dystonin";724;105,438911437988;"No"
"row_2";"ENSG00000162520";"SYNC";"syncoilin, intermediate filament protein";1099;61,4049301147461;"No"
"row_3";"ENSG00000127603";"MACF1";"microtubule actin crosslinking factor 1";1291;48,9916572570801;"No"
"row_4";"ENSG00000112851";"ERBIN";"erbb2 interacting protein";1850;25,7858295440674;"No"
"row_5";"ENSG00000214944";"ARHGEF28";"Rho guanine nucleotide exchange factor 28";2032;21,1877727508545;"No"
"row_6";"ENSG00000166579";"NDEL1";"nudE neurodevelopment protein 1 like 1";2126;19,545202255249;"No"
"row_7";"ENSG00000143952";"VPS54";"VPS54 subunit of GARP complex";2366;15,8370113372803;"No"
"row_8";"ENSG00000113712";"CSNK1A1";"casein kinase 1 alpha 1";2652;12,286376953125;"No"
"row_9";"ENSG00000277586";"NEFL";"neurofilament light chain";3085;8,74283218383789;"No"
"row_10";"ENSG00000182253";"SYNM";"synemin";3136;8,33819198608398;"No"
"row_11";"ENSG00000105993";"DNAJB6";"DnaJ heat shock protein family (Hsp40) member B6";3651;5,59328365325928;"No"
"row_12";"ENSG00000186395";"KRT10";"keratin 10";3813;5,0145902633667;"No"
"row_13";"ENSG00000132688";"NES";"nestin";3921;4,65968656539917;"No"
"row_14";"ENSG00000178209";"PLEC";"plectin";5193;1,77726805210114;"No"
"row_15";"ENSG00000170454";"KRT75";"keratin 75";5399;1,43004143238068;"No"
"row_16";"ENSG00000115966";"ATF2";"activating transcription factor 2";5637;1,21995329856873;"No"
"row_17";"ENSG00000132932";"ATP8A2";"ATPase phospholipid transporting 8A2";5647;1,20673644542694;"No"
"row_18";"ENSG00000175084";"DES";"desmin";5802;1,10722529888153;"No"
"row_19";"ENSG00000171100";"MTM1";"myotubularin 1";5813;1,089111328125;"No"
"row_20";"ENSG00000135443";"KRT85";"keratin 85";6633;0,561107099056244;"No"
