"gene_id";"log2FoldChange";"log2CPM";"pvalue";"FDR";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000006756";7,16663465368974;3,19122135148187;0,00017063705881817;0,0160108576374595;"ARSD";"X";2903970;2929375;"-";25406;"protein_coding";"arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]"
"ENSG00000008513";6,38988246446183;8,5653243800037;0,000164947550847649;0,0156790614521136;"ST3GAL1";"8";133454848;133572534;"-";117687;"protein_coding";"ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]"
"ENSG00000010438";11,0827677391305;8,0376853313755;1,14487435859485e-07;0,000219369978415811;"PRSS3";"9";33750466;33799231;"+";48766;"protein_coding";"serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]"
"ENSG00000011677";7,70731805563422;3,72338385780166;6,7646361121671e-05;0,00870223824380054;"GABRA3";"X";152166234;152451359;"-";285126;"protein_coding";"gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]"
"ENSG00000019549";6,16736087080352;4,92163461999791;0,000314748909537896;0,0247489174959754;"SNAI2";"8";48917677;48921440;"-";3764;"protein_coding";"snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]"
"ENSG00000024422";5,71339847341161;5,18525085788054;0,000614406385377099;0,0392422436246292;"EHD2";"19";47713344;47743134;"+";29791;"protein_coding";"EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]"
"ENSG00000027869";6,6977496871028;2,73274016813938;0,000378149462929173;0,027424122205975;"SH2D2A";"1";156806238;156816853;"-";10616;"protein_coding";"SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821]"
"ENSG00000028137";9,18767758440109;1,18543475423596;0,000711289290342356;0,0432307143642802;"TNFRSF1B";"1";12166948;12209222;"+";42275;"protein_coding";"TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]"
"ENSG00000039139";7,00619129649262;4,5479649716956;0,000102350471009875;0,0117026185998995;"DNAH5";"5";13690328;14011829;"-";321502;"protein_coding";"dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]"
"ENSG00000041982";5,5776689011487;7,83108525186687;0,000652805731209442;0,040905413856129;"TNC";"9";115019575;115118257;"-";98683;"protein_coding";"tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]"
"ENSG00000042493";6,18702342921946;5,29952274531628;0,000288265945657333;0,0235215682323074;"CAPG";"2";85394748;85418467;"-";23720;"protein_coding";"capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]"
"ENSG00000042832";8,68539591303819;4,69217967154681;1,26598205131378e-05;0,0031494129057347;"TG";"8";132866943;133134902;"+";267960;"protein_coding";"thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]"
"ENSG00000048540";9,06237159817671;1,06665547336692;0,000873046438567737;0,0498965912755056;"LMO3";"12";16548372;16610233;"-";61862;"protein_coding";"LIM domain only 3 [Source:HGNC Symbol;Acc:HGNC:6643]"
"ENSG00000058085";7,11195886400843;6,2132941359608;5,95871215184968e-05;0,00818614621132979;"LAMC2";"1";183186039;183245127;"+";59089;"protein_coding";"laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]"
"ENSG00000058866";11,3995148492031;3,33967175948634;1,67851577443201e-05;0,0036812075472272;"DGKG";"3";186147201;186362234;"-";215034;"protein_coding";"diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]"
"ENSG00000067798";5,79094962213449;3,3561290004931;0,000797619674286889;0,046911376190773;"NAV3";"12";77571856;78213012;"+";641157;"protein_coding";"neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]"
"ENSG00000072657";12,7820101709418;4,71217358024983;1,55738585831945e-06;0,000953041855184765;"TRHDE";"12";72087288;72666662;"+";579375;"protein_coding";"thyrotropin releasing hormone degrading enzyme [Source:HGNC Symbol;Acc:HGNC:30748]"
"ENSG00000072858";8,04666238795628;5,57923618304721;1,71787867189587e-05;0,00371246822884293;"SIDT1";"3";113532296;113629579;"+";97284;"protein_coding";"SID1 transmembrane family member 1 [Source:HGNC Symbol;Acc:HGNC:25967]"
"ENSG00000074416";7,00736121927188;6,79300610239837;6,59962905536106e-05;0,0086706905263055;"MGLL";"3";127689062;127823250;"-";134189;"protein_coding";"monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]"
"ENSG00000080031";5,83277800610824;4,11586031916787;0,000609347952447638;0,0391250821107737;"PTPRH";"19";55181247;55209506;"-";28260;"protein_coding";"protein tyrosine phosphatase receptor type H [Source:HGNC Symbol;Acc:HGNC:9672]"
"ENSG00000081277";16,7110618871484;8,63538554047498;1,73320901430514e-09;1,26198414749586e-05;"PKP1";"1";201283452;201332993;"+";49542;"protein_coding";"plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]"
"ENSG00000082126";9,58700908704402;1,56723627456766;0,000367961906649227;0,0271174517681614;"MPP4";"2";201644874;201700263;"-";55390;"protein_coding";"MAGUK p55 scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:13680]"
"ENSG00000086696";11,5353987882917;3,47410252058604;1,33260736997665e-05;0,00317090875237711;"HSD17B2";"16";82035253;82098534;"+";63282;"protein_coding";"hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]"
"ENSG00000087495";5,68058291858377;6,23775928300346;0,000569080479558025;0,0373918433841494;"PHACTR3";"20";59577497;59849829;"+";272333;"protein_coding";"phosphatase and actin regulator 3 [Source:HGNC Symbol;Acc:HGNC:15833]"
"ENSG00000089127";12,3101812688082;4,24275615520284;3,50855720607363e-06;0,00145150606413996;"OAS1";"12";112906777;112932190;"+";25414;"protein_coding";"2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]"
"ENSG00000089250";10,5476220766421;2,5007299190158;7,23269140999575e-05;0,00914847276513332;"NOS1";"12";117208142;117361802;"-";153661;"protein_coding";"nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]"
"ENSG00000090339";8,76719178302339;4,77344628343684;1,09830320078983e-05;0,00294006075940842;"ICAM1";"19";10270841;10286615;"+";15775;"protein_coding";"intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]"
"ENSG00000099812";6,06669733081214;4,82277291346367;0,000373457574888074;0,027424122205975;"MISP";"19";748413;764319;"+";15907;"protein_coding";"mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]"
"ENSG00000100097";7,44038952484041;8,66394356963814;2,80171857852124e-05;0,00521030036853954;"LGALS1";"22";37675606;37679802;"+";4197;"protein_coding";"galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]"
"ENSG00000100911";7,04032598357621;5,30408784951342;7,84203102652502e-05;0,00971078168543095;"PSME2";"14";24143365;24146646;"-";6564;"protein_coding";"proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]"
"ENSG00000100979";9,51010994060011;5,51270781800806;3,0547604609893e-06;0,00133989890774429;"PLTP";"20";45898620;45912364;"-";13745;"protein_coding";"phospholipid transfer protein [Source:HGNC Symbol;Acc:HGNC:9093]"
"ENSG00000101188";8,97145908216719;6,49989480625953;3,4901428759685e-06;0,00145150606413996;"NTSR1";"20";62708770;62762771;"+";54002;"protein_coding";"neurotensin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8039]"
"ENSG00000101276";10,1763950233682;2,13796584075537;0,000134936390619795;0,0135704260687963;"SLC52A3";"20";760080;776015;"-";15936;"protein_coding";"solute carrier family 52 member 3 [Source:HGNC Symbol;Acc:HGNC:16187]"
